2009-05-07 | Bull | 0.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-05-08 | Bear | 0.9 / -5.3% | HEAD 0% | TAIL 0% | B/ATR nan
2009-05-11 | Bull | 1.14 / 14.0% | HEAD 7% | TAIL 0% | B/ATR nan
2009-05-12 | Bull | 1.25 / 0.0% | HEAD 500% | TAIL 300% | B/ATR nan
2009-05-13 | Bull | 1.3 / 0.0% | HEAD 0% | TAIL 400% | B/ATR nan
2009-05-14 | Bear | 1.25 / -16.7% | HEAD 0% | TAIL 0% | B/ATR nan
2009-05-15 | Bear | 1.2 / -7.7% | HEAD 0% | TAIL 100% | B/ATR nan
2009-05-18 | Bear | 1.23 / -5.4% | HEAD 0% | TAIL 29% | B/ATR nan
2009-05-19 | Bull | 1.25 / 0.0% | HEAD 500% | TAIL 100% | B/ATR nan
2009-05-20 | Bull | 1.75 / 16.7% | HEAD 0% | TAIL 0% | B/ATR nan
2009-05-21 | Bull | 2.0 / 42.9% | HEAD 0% | TAIL 0% | B/ATR nan
2009-05-22 | Bull | 2.2 / 10.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-05-26 | Bull | 2.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-05-27 | Bull | 2.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-05-28 | Bull | 2.48 / 1.2% | HEAD 0% | TAIL 0% | B/ATR nan
2009-05-29 | Bull | 2.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-01 | Bear | 2.2 / -4.3% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-02 | Bull | 2.05 / 2.5% | HEAD 200% | TAIL 0% | B/ATR nan
2009-06-03 | Bear | 2.01 / -12.6% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-04 | Bear | 2.0 / -1.5% | HEAD 167% | TAIL 0% | B/ATR nan
2009-06-05 | Bear | 2.0 / -0.5% | HEAD 900% | TAIL 100% | B/ATR nan
2009-06-08 | Bear | 1.95 / -7.1% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-09 | Bull | 2.05 / 2.5% | HEAD 0% | TAIL 120% | B/ATR nan
2009-06-10 | Bull | 2.1 / 2.4% | HEAD 1600% | TAIL 60% | B/ATR nan
2009-06-11 | Bear | 2.3 / -16.4% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-12 | Bull | 2.35 / 2.6% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-15 | Bull | 2.38 / 0.8% | HEAD 50% | TAIL 0% | B/ATR nan
2009-06-16 | Bull | 2.38 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-17 | Bear | 2.36 / -5.6% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-18 | Bear | 2.6 / -10.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-19 | Bull | 2.6 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-22 | Bull | 2.6 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-23 | Bull | 2.55 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-24 | Bull | 2.85 / 11.8% | HEAD 0% | TAIL 50% | B/ATR nan
2009-06-25 | Bull | 2.85 / 2.2% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-26 | Bull | 2.4 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-29 | Bull | 2.4 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-06-30 | Bull | 2.45 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-01 | Bull | 2.6 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-02 | Bull | 2.6 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-06 | Bull | 2.6 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-07 | Bull | 2.6 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-08 | Bear | 2.45 / -2.0% | HEAD 100% | TAIL 0% | B/ATR nan
2009-07-09 | Bull | 2.4 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-10 | Bull | 2.4 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-13 | Bull | 2.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-14 | Bull | 2.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-15 | Bull | 2.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-16 | Bull | 2.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-17 | Bull | 2.8 / 1.8% | HEAD 160% | TAIL 0% | B/ATR nan
2009-07-20 | Bull | 2.8 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-21 | Bull | 2.8 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-22 | Bull | 2.8 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-23 | Bull | 2.8 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-24 | Bull | 2.8 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-27 | Bull | 2.8 / 19.1% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-28 | Bull | 2.8 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-07-29 | Bull | 2.4 / 2.1% | HEAD 200% | TAIL 0% | B/ATR nan
2009-07-30 | Bear | 2.8 / -1.8% | HEAD 0% | TAIL 600% | B/ATR nan
2009-07-31 | Bull | 3.0 / 3.8% | HEAD 227% | TAIL 236% | B/ATR nan
2009-08-03 | Bear | 3.1 / -11.4% | HEAD 0% | TAIL 13% | B/ATR nan
2009-08-04 | Bull | 3.45 / 0.0% | HEAD 500% | TAIL 0% | B/ATR nan
2009-08-05 | Bull | 4.15 / 16.9% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-06 | Bull | 4.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-07 | Bull | 3.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-10 | Bear | 3.9 / -2.5% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-11 | Bull | 3.9 / 4.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-12 | Bull | 3.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-13 | Bear | 3.5 / -7.9% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-14 | Bear | 3.15 / -1.6% | HEAD 600% | TAIL 0% | B/ATR nan
2009-08-17 | Bull | 3.21 / 1.6% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-18 | Bull | 3.54 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-19 | Bull | 3.54 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-20 | Bull | 3.99 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-21 | Bull | 3.99 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-24 | Bull | 3.99 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-25 | Bear | 3.29 / -1.8% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-26 | Bull | 3.9 / 18.9% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-27 | Bull | 3.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-28 | Bull | 3.88 / 3.5% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-31 | Bull | 4.05 / 3.8% | HEAD 33% | TAIL 0% | B/ATR nan
2009-09-01 | Bull | 4.0 / 0.0% | HEAD 0% | TAIL 1400% | B/ATR nan
2009-09-02 | Bear | 3.6 / -9.8% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-03 | Bull | 3.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-04 | Bull | 3.94 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-08 | Bull | 4.05 / 3.8% | HEAD 33% | TAIL 200% | B/ATR nan
2009-09-09 | Bull | 4.0 / 6.7% | HEAD 0% | TAIL 20% | B/ATR nan
2009-09-10 | Bull | 4.02 / 0.5% | HEAD 0% | TAIL 500% | B/ATR nan
2009-09-11 | Bull | 4.15 / 2.5% | HEAD 20% | TAIL 50% | B/ATR nan
2009-09-14 | Bull | 4.55 / 7.1% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-15 | Bull | 4.75 / 0.0% | HEAD 0% | TAIL 1500% | B/ATR nan
2009-09-16 | Bull | 4.75 / 0.0% | HEAD 1000% | TAIL 0% | B/ATR nan
2009-09-17 | Bull | 4.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-18 | Bull | 4.92 / 15.8% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-21 | Bull | 4.95 / 6.9% | HEAD 12% | TAIL 0% | B/ATR nan
2009-09-22 | Bull | 5.0 / 4.2% | HEAD 0% | TAIL 100% | B/ATR nan
2009-09-23 | Bull | 5.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-24 | Bull | 4.97 / 5.7% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-25 | Bull | 4.97 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-28 | Bull | 4.8 / 9.8% | HEAD 0% | TAIL 0% | B/ATR nan
2009-09-29 | Bull | 5.3 / 6.2% | HEAD 32% | TAIL 13% | B/ATR nan
2009-09-30 | Bull | 6.25 / 15.7% | HEAD 18% | TAIL 0% | B/ATR nan
2009-10-01 | Bear | 6.55 / -0.8% | HEAD 0% | TAIL 1100% | B/ATR nan
2009-10-02 | Bull | 6.65 / 2.3% | HEAD 0% | TAIL 167% | B/ATR nan
2009-10-05 | Bull | 6.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-10-06 | Bull | 6.7 / 0.0% | HEAD 300% | TAIL 1500% | B/ATR nan
2009-10-07 | Bull | 6.5 / 1.6% | HEAD 50% | TAIL 350% | B/ATR nan
2009-10-08 | Bear | 6.0 / -7.7% | HEAD 0% | TAIL 10% | B/ATR nan
2009-10-09 | Bull | 6.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-10-12 | Bull | 6.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-10-13 | Bull | 6.75 / 14.4% | HEAD 0% | TAIL 0% | B/ATR nan
2009-10-14 | Bear | 6.02 / -10.8% | HEAD 0% | TAIL 0% | B/ATR nan
2009-10-15 | Bear | 6.63 / -1.0% | HEAD 0% | TAIL 543% | B/ATR nan
2009-10-16 | Bear | 6.52 / -0.5% | HEAD 0% | TAIL 67% | B/ATR nan
2009-10-19 | Bear | 6.55 / -1.5% | HEAD 0% | TAIL 40% | B/ATR nan
2009-10-20 | Bull | 7.0 / 0.0% | HEAD 10000% | TAIL 0% | B/ATR nan
2009-10-21 | Bull | 7.5 / 0.0% | HEAD 0% | TAIL 7500% | B/ATR nan
2009-10-22 | Bear | 6.9 / -6.1% | HEAD 0% | TAIL 67% | B/ATR nan
2009-10-23 | Bull | 6.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2009-10-26 | Bull | 7.34 / 26.3% | HEAD 1% | TAIL 0% | B/ATR 6.8
2009-10-27 | Bull | 6.85 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2009-10-28 | Bear | 6.65 / -2.2% | HEAD 0% | TAIL 633% | B/ATR 0.6
2009-10-29 | Bull | 6.65 / 16.7% | HEAD 0% | TAIL 0% | B/ATR 4.0
2009-10-30 | Bull | 6.64 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2009-11-02 | Bull | 6.45 / 22.4% | HEAD 0% | TAIL 0% | B/ATR 4.8
2009-11-03 | Bull | 6.45 / 12.8% | HEAD 0% | TAIL 0% | B/ATR 2.9
2009-11-04 | Bull | 6.39 / 21.3% | HEAD 5% | TAIL 19% | B/ATR 4.4
2009-11-05 | Bull | 6.27 / 14.0% | HEAD 1% | TAIL 39% | B/ATR 3.0
2009-11-06 | Bull | 6.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2009-11-09 | Bull | 5.6 / 0.0% | HEAD 0% | TAIL 3000% | B/ATR 0.0
2009-11-10 | Bull | 6.28 / 22.9% | HEAD 0% | TAIL 1% | B/ATR 4.3
2009-11-11 | Bull | 6.28 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2009-11-12 | Bull | 6.28 / 22.9% | HEAD 0% | TAIL 0% | B/ATR 4.2
2009-11-13 | Bull | 6.28 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2009-11-16 | Bull | 6.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2009-11-17 | Bull | 6.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2009-11-18 | Bull | 7.29 / 12.2% | HEAD 14% | TAIL 62% | B/ATR 2.6
2009-11-19 | Bull | 6.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
