2013-05-23 | Bull | 0.84 / 4.8% | HEAD 158% | TAIL 0% | B/ATR nan
2013-05-24 | Bear | 0.19 / -1.0% | HEAD 0% | TAIL 189% | B/ATR nan
2013-05-28 | Bear | 0.94 / -5.0% | HEAD 0% | TAIL 14% | B/ATR nan
2013-05-29 | Bear | 0.69 / -3.9% | HEAD 0% | TAIL 52% | B/ATR nan
2013-05-30 | Bull | 0.08 / 0.5% | HEAD 537% | TAIL 131% | B/ATR nan
2013-05-31 | Bull | 0.01 / 0.0% | HEAD 3000% | TAIL 1984% | B/ATR nan
2013-06-03 | Bull | 0.02 / 0.1% | HEAD 0% | TAIL 1450% | B/ATR nan
2013-06-04 | Bear | 0.45 / -2.6% | HEAD 0% | TAIL 47% | B/ATR nan
2013-06-05 | Bear | 0.10 / -0.6% | HEAD 230% | TAIL 30% | B/ATR nan
2013-06-06 | Bear | 0.29 / -1.7% | HEAD 0% | TAIL 83% | B/ATR nan
2013-06-07 | Bull | 0.25 / 1.5% | HEAD 94% | TAIL 0% | B/ATR nan
2013-06-10 | Bear | 0.14 / -0.8% | HEAD 0% | TAIL 43% | B/ATR nan
2013-06-11 | Bear | 0.06 / -0.4% | HEAD 267% | TAIL 298% | B/ATR nan
2013-06-12 | Bear | 0.49 / -3.0% | HEAD 6% | TAIL 82% | B/ATR nan
2013-06-13 | Bear | 0.21 / -1.3% | HEAD 0% | TAIL 57% | B/ATR nan
2013-06-14 | Bear | 0.14 / -0.9% | HEAD 71% | TAIL 103% | B/ATR nan
2013-06-17 | Bear | 0.16 / -1.0% | HEAD 219% | TAIL 50% | B/ATR nan
2013-06-18 | Bull | 0.02 / 0.1% | HEAD 200% | TAIL 1000% | B/ATR nan
2013-06-19 | Bear | 0.20 / -1.3% | HEAD 0% | TAIL 0% | B/ATR nan
2013-06-20 | Bear | 0.29 / -1.8% | HEAD 24% | TAIL 31% | B/ATR nan
2013-06-21 | Bear | 0.58 / -3.7% | HEAD 6% | TAIL 0% | B/ATR nan
2013-06-24 | Bear | 0.41 / -2.8% | HEAD 0% | TAIL 44% | B/ATR nan
2013-06-25 | Bull | 0.43 / 3.0% | HEAD 47% | TAIL 0% | B/ATR nan
2013-06-26 | Bear | 0.39 / -2.6% | HEAD 23% | TAIL 46% | B/ATR nan
2013-06-27 | Bull | 0.42 / 2.8% | HEAD 12% | TAIL 0% | B/ATR nan
2013-06-28 | Bull | 0.30 / 1.9% | HEAD 143% | TAIL 77% | B/ATR nan
2013-07-01 | Bull | 0.35 / 2.2% | HEAD 69% | TAIL 49% | B/ATR nan
2013-07-02 | Bear | 0.12 / -0.7% | HEAD 250% | TAIL 100% | B/ATR nan
2013-07-03 | Bull | 0.09 / 0.6% | HEAD 67% | TAIL 44% | B/ATR nan
2013-07-05 | Bear | 0.49 / -3.0% | HEAD 0% | TAIL 92% | B/ATR nan
2013-07-08 | Bull | 0.12 / 0.8% | HEAD 67% | TAIL 83% | B/ATR nan
