2007-05-15 | Bear | 1.04 / -6.1% | HEAD 0% | TAIL 18% | B/ATR nan
2007-05-16 | Bear | 0.50 / -3.1% | HEAD 4% | TAIL 84% | B/ATR nan
2007-05-17 | Bear | 0.16 / -1.0% | HEAD 188% | TAIL 50% | B/ATR nan
2007-05-18 | Bull | 0.13 / 0.9% | HEAD 85% | TAIL 0% | B/ATR nan
2007-05-21 | Bull | 0.40 / 2.6% | HEAD 0% | TAIL 33% | B/ATR nan
2007-05-22 | Bull | 0.03 / 0.2% | HEAD 433% | TAIL 900% | B/ATR nan
2007-05-23 | Bear | 0.50 / -3.2% | HEAD 0% | TAIL 40% | B/ATR nan
2007-05-24 | Bear | 0.12 / -0.8% | HEAD 0% | TAIL 308% | B/ATR nan
2007-05-25 | Bear | 0.06 / -0.4% | HEAD 0% | TAIL 117% | B/ATR nan
2007-05-29 | Bull | 0.12 / 0.8% | HEAD 25% | TAIL 83% | B/ATR nan
2007-05-30 | Bull | 0.10 / 0.7% | HEAD 40% | TAIL 10% | B/ATR nan
2007-05-31 | Bear | 0.08 / -0.5% | HEAD 137% | TAIL 312% | B/ATR nan
2007-06-01 | Bull | 0.01 / 0.0% | HEAD 400% | TAIL 2000% | B/ATR nan
2007-06-04 | Bull | 0.01 / 0.1% | HEAD 0% | TAIL 1900% | B/ATR nan
2007-06-05 | Bear | 0.24 / -1.6% | HEAD 12% | TAIL 58% | B/ATR nan
2007-06-06 | Bear | 0.32 / -2.2% | HEAD 0% | TAIL 9% | B/ATR nan
2007-06-07 | Bear | 0.03 / -0.2% | HEAD 1100% | TAIL 400% | B/ATR nan
2007-06-08 | Bull | 0.18 / 1.3% | HEAD 11% | TAIL 11% | B/ATR nan
2007-06-11 | Bull | 0.35 / 2.5% | HEAD 66% | TAIL 11% | B/ATR nan
2007-06-12 | Bear | 0.23 / -1.6% | HEAD 57% | TAIL 0% | B/ATR nan
2007-06-13 | Bear | 0.01 / -0.1% | HEAD 2400% | TAIL 100% | B/ATR nan
2007-06-14 | Bear | 0.08 / -0.6% | HEAD 100% | TAIL 150% | B/ATR nan
2007-06-15 | Bear | 0.25 / -1.8% | HEAD 0% | TAIL 0% | B/ATR nan
2007-06-18 | Bull | 0.07 / 0.5% | HEAD 214% | TAIL 114% | B/ATR nan
2007-06-19 | Bull | 0.14 / 1.0% | HEAD 193% | TAIL 50% | B/ATR nan
2007-06-20 | Bear | 0.01 / -0.1% | HEAD 1700% | TAIL 2600% | B/ATR nan
2007-06-21 | Bear | 0.28 / -1.9% | HEAD 36% | TAIL 57% | B/ATR nan
2007-06-22 | Bear | 0.05 / -0.4% | HEAD 1540% | TAIL 0% | B/ATR nan
2007-06-25 | Bear | 0.18 / -1.3% | HEAD 0% | TAIL 89% | B/ATR nan
2007-06-26 | Bear | 0.10 / -0.7% | HEAD 10% | TAIL 114% | B/ATR nan
2007-06-27 | Bull | 0.32 / 2.3% | HEAD 9% | TAIL 6% | B/ATR nan
2007-06-28 | Bear | 0.25 / -1.8% | HEAD 16% | TAIL 52% | B/ATR nan
2007-06-29 | Bull | 0.03 / 0.2% | HEAD 267% | TAIL 767% | B/ATR nan
2007-07-02 | Bull | 0.15 / 1.0% | HEAD 73% | TAIL 147% | B/ATR nan
2007-07-03 | Bull | 0.45 / 3.2% | HEAD 9% | TAIL 0% | B/ATR nan
2007-07-05 | Bear | 0.03 / -0.2% | HEAD 0% | TAIL 1233% | B/ATR nan
2007-07-06 | Bull | 0.19 / 1.3% | HEAD 21% | TAIL 5% | B/ATR nan
2007-07-09 | Bear | 0.01 / -0.1% | HEAD 1100% | TAIL 3700% | B/ATR nan
2007-07-10 | Bull | 0.31 / 2.1% | HEAD 13% | TAIL 0% | B/ATR nan
2007-07-11 | Bear | 0.16 / -1.1% | HEAD 39% | TAIL 12% | B/ATR nan
2007-07-12 | Bear | 0.01 / -0.1% | HEAD 300% | TAIL 400% | B/ATR nan
2007-07-13 | Bear | 0.26 / -1.7% | HEAD 0% | TAIL 50% | B/ATR nan
2007-07-16 | Bear | 0.79 / -5.3% | HEAD 0% | TAIL 20% | B/ATR nan
2007-07-17 | Bear | 0.14 / -1.0% | HEAD 57% | TAIL 0% | B/ATR nan
2007-07-18 | Bull | 0.01 / 0.0% | HEAD 600% | TAIL 1600% | B/ATR nan
2007-07-19 | Bull | 0.01 / 0.0% | HEAD 3400% | TAIL 3200% | B/ATR nan
2007-07-20 | Bull | 0.01 / 0.1% | HEAD 600% | TAIL 900% | B/ATR nan
2007-07-23 | Bear | 0.07 / -0.5% | HEAD 329% | TAIL 143% | B/ATR nan
2007-07-24 | Bear | 0.09 / -0.7% | HEAD 222% | TAIL 444% | B/ATR nan
2007-07-25 | Bull | 0.37 / 2.7% | HEAD 0% | TAIL 4% | B/ATR nan
2007-07-26 | Bull | 0.71 / 5.1% | HEAD 18% | TAIL 0% | B/ATR nan
2007-07-27 | Bear | 0.35 / -2.4% | HEAD 6% | TAIL 43% | B/ATR nan
2007-07-30 | Bear | 0.04 / -0.3% | HEAD 375% | TAIL 150% | B/ATR nan
2007-07-31 | Bear | 0.07 / -0.5% | HEAD 0% | TAIL 86% | B/ATR nan
2007-08-01 | Bull | 0.23 / 1.6% | HEAD 0% | TAIL 57% | B/ATR nan
2007-08-02 | Bull | 0.28 / 2.0% | HEAD 4% | TAIL 93% | B/ATR nan
2007-08-03 | Bear | 0.03 / -0.2% | HEAD 767% | TAIL 267% | B/ATR nan
2007-08-06 | Bull | 0.04 / 0.3% | HEAD 700% | TAIL 0% | B/ATR nan
2007-08-07 | Bull | 0.22 / 1.6% | HEAD 100% | TAIL 118% | B/ATR nan
2007-08-08 | Bull | 0.60 / 4.2% | HEAD 92% | TAIL 0% | B/ATR nan
2007-08-09 | Bear | 0.75 / -4.9% | HEAD 100% | TAIL 0% | B/ATR nan
2007-08-10 | Bear | 0.02 / -0.1% | HEAD 2550% | TAIL 3100% | B/ATR nan
2007-08-13 | Bull | 0.34 / 2.3% | HEAD 165% | TAIL 47% | B/ATR nan
2007-08-14 | Bear | 0.34 / -2.2% | HEAD 44% | TAIL 132% | B/ATR nan
2007-08-15 | Bull | 0.01 / 0.0% | HEAD 5900% | TAIL 4600% | B/ATR nan
2007-08-16 | Bull | 1.97 / 13.1% | HEAD 0% | TAIL 5% | B/ATR nan
2007-08-17 | Bear | 0.33 / -1.9% | HEAD 152% | TAIL 88% | B/ATR nan
2007-08-20 | Bull | 0.02 / 0.1% | HEAD 1850% | TAIL 650% | B/ATR nan
2007-08-21 | Bear | 0.19 / -1.1% | HEAD 0% | TAIL 32% | B/ATR nan
2007-08-22 | Bear | 0.08 / -0.5% | HEAD 75% | TAIL 300% | B/ATR nan
2007-08-23 | Bear | 0.20 / -1.2% | HEAD 120% | TAIL 50% | B/ATR nan
2007-08-24 | Bear | 0.08 / -0.5% | HEAD 75% | TAIL 365% | B/ATR nan
2007-08-27 | Bear | 0.16 / -0.9% | HEAD 19% | TAIL 112% | B/ATR nan
2007-08-28 | Bull | 0.72 / 4.3% | HEAD 10% | TAIL 8% | B/ATR nan
2007-08-29 | Bull | 0.81 / 4.6% | HEAD 54% | TAIL 0% | B/ATR nan
2007-08-30 | Bear | 0.07 / -0.4% | HEAD 357% | TAIL 714% | B/ATR nan
2007-08-31 | Bear | 0.83 / -4.5% | HEAD 0% | TAIL 33% | B/ATR nan
2007-09-04 | Bull | 0.39 / 2.2% | HEAD 10% | TAIL 0% | B/ATR nan
2007-09-05 | Bear | 0.47 / -2.6% | HEAD 21% | TAIL 40% | B/ATR nan
2007-09-06 | Bull | 0.54 / 3.1% | HEAD 2% | TAIL 0% | B/ATR nan
2007-09-07 | Bear | 0.51 / -2.8% | HEAD 0% | TAIL 31% | B/ATR nan
2007-09-10 | Bull | 0.19 / 1.1% | HEAD 126% | TAIL 258% | B/ATR nan
2007-09-11 | Bull | 1.02 / 5.6% | HEAD 114% | TAIL 0% | B/ATR nan
2007-09-12 | Bull | 1.20 / 6.3% | HEAD 0% | TAIL 10% | B/ATR nan
2007-09-13 | Bull | 0.81 / 4.0% | HEAD 63% | TAIL 51% | B/ATR nan
2007-09-14 | Bull | 0.56 / 2.7% | HEAD 25% | TAIL 0% | B/ATR nan
2007-09-17 | Bull | 0.93 / 4.3% | HEAD 6% | TAIL 6% | B/ATR nan
2007-09-18 | Bull | 0.01 / 0.0% | HEAD 14000% | TAIL 3500% | B/ATR nan
2007-09-19 | Bear | 0.18 / -0.8% | HEAD 133% | TAIL 489% | B/ATR nan
2007-09-20 | Bear | 0.57 / -2.5% | HEAD 23% | TAIL 19% | B/ATR nan
2007-09-21 | Bear | 0.53 / -2.4% | HEAD 66% | TAIL 143% | B/ATR nan
2007-09-24 | Bull | 0.47 / 2.2% | HEAD 19% | TAIL 121% | B/ATR nan
2007-09-25 | Bear | 0.03 / -0.1% | HEAD 233% | TAIL 1300% | B/ATR nan
2007-09-26 | Bear | 0.42 / -1.9% | HEAD 0% | TAIL 63% | B/ATR nan
2007-09-27 | Bear | 0.11 / -0.5% | HEAD 273% | TAIL 336% | B/ATR nan
2007-09-28 | Bull | 0.30 / 1.4% | HEAD 40% | TAIL 110% | B/ATR nan
2007-10-01 | Bear | 0.45 / -2.1% | HEAD 180% | TAIL 36% | B/ATR nan
2007-10-02 | Bull | 0.96 / 4.5% | HEAD 71% | TAIL 0% | B/ATR nan
2007-10-03 | Bull | 0.21 / 0.9% | HEAD 167% | TAIL 48% | B/ATR nan
2007-10-04 | Bull | 0.65 / 2.8% | HEAD 78% | TAIL 77% | B/ATR nan
2007-10-05 | Bear | 0.19 / -0.8% | HEAD 311% | TAIL 32% | B/ATR nan
2007-10-08 | Bear | 0.42 / -1.8% | HEAD 86% | TAIL 55% | B/ATR nan
2007-10-09 | Bull | 1.12 / 4.8% | HEAD 23% | TAIL 13% | B/ATR nan
2007-10-10 | Bull | 0.31 / 1.3% | HEAD 161% | TAIL 290% | B/ATR nan
2007-10-11 | Bull | 0.28 / 1.1% | HEAD 254% | TAIL 189% | B/ATR nan
2007-10-12 | Bull | 0.66 / 2.6% | HEAD 9% | TAIL 0% | B/ATR nan
2007-10-15 | Bear | 0.93 / -3.6% | HEAD 18% | TAIL 56% | B/ATR nan
2007-10-16 | Bull | 0.40 / 1.6% | HEAD 45% | TAIL 48% | B/ATR nan
2007-10-17 | Bear | 1.17 / -4.6% | HEAD 150% | TAIL 19% | B/ATR nan
2007-10-18 | Bear | 0.24 / -1.0% | HEAD 142% | TAIL 408% | B/ATR nan
2007-10-19 | Bear | 0.63 / -2.7% | HEAD 116% | TAIL 22% | B/ATR nan
2007-10-22 | Bull | 1.20 / 5.2% | HEAD 8% | TAIL 67% | B/ATR nan
2007-10-23 | Bull | 0.92 / 3.8% | HEAD 14% | TAIL 9% | B/ATR nan
2007-10-24 | Bull | 0.72 / 2.9% | HEAD 47% | TAIL 50% | B/ATR nan
2007-10-25 | Bear | 0.10 / -0.4% | HEAD 790% | TAIL 170% | B/ATR nan
2007-10-26 | Bull | 0.30 / 1.1% | HEAD 43% | TAIL 287% | B/ATR nan
2007-10-29 | Bull | 1.61 / 6.4% | HEAD 48% | TAIL 14% | B/ATR nan
2007-10-30 | Bear | 1.59 / -5.9% | HEAD 0% | TAIL 6% | B/ATR nan
2007-10-31 | Bear | 0.40 / -1.6% | HEAD 30% | TAIL 157% | B/ATR nan
2007-11-01 | Bear | 1.06 / -4.3% | HEAD 6% | TAIL 9% | B/ATR 1.6
2007-11-02 | Bear | 0.15 / -0.6% | HEAD 313% | TAIL 447% | B/ATR 0.2
2007-11-05 | Bull | 1.12 / 4.8% | HEAD 80% | TAIL 42% | B/ATR 1.6
2007-11-06 | Bear | 0.79 / -3.3% | HEAD 22% | TAIL 27% | B/ATR 1.1
2007-11-07 | Bear | 0.05 / -0.2% | HEAD 440% | TAIL 220% | B/ATR 0.1
2007-11-08 | Bull | 0.11 / 0.5% | HEAD 218% | TAIL 264% | B/ATR 0.2
2007-11-09 | Bull | 0.12 / 0.5% | HEAD 208% | TAIL 150% | B/ATR 0.2
2007-11-12 | Bear | 0.22 / -0.9% | HEAD 0% | TAIL 100% | B/ATR 0.3
2007-11-13 | Bull | 0.54 / 2.3% | HEAD 28% | TAIL 52% | B/ATR 0.7
2007-11-14 | Bear | 0.65 / -2.7% | HEAD 0% | TAIL 118% | B/ATR 0.9
2007-11-15 | Bull | 0.25 / 1.1% | HEAD 188% | TAIL 52% | B/ATR 0.3
2007-11-16 | Bull | 0.63 / 2.7% | HEAD 69% | TAIL 63% | B/ATR 0.8
2007-11-19 | Bull | 1.63 / 6.9% | HEAD 36% | TAIL 0% | B/ATR 2.1
2007-11-20 | Bear | 0.04 / -0.2% | HEAD 1000% | TAIL 1500% | B/ATR 0.1
2007-11-21 | Bear | 0.51 / -2.0% | HEAD 39% | TAIL 24% | B/ATR 0.6
2007-11-23 | Bear | 0.20 / -0.8% | HEAD 100% | TAIL 450% | B/ATR 0.3
2007-11-26 | Bear | 0.23 / -0.9% | HEAD 135% | TAIL 26% | B/ATR 0.3
2007-11-27 | Bear | 0.01 / -0.0% | HEAD 3700% | TAIL 1700% | B/ATR 0.0
2007-11-28 | Bull | 1.05 / 4.1% | HEAD 44% | TAIL 0% | B/ATR 1.3
2007-11-29 | Bull | 0.23 / 0.9% | HEAD 48% | TAIL 291% | B/ATR 0.3
2007-11-30 | Bull | 0.42 / 1.6% | HEAD 93% | TAIL 57% | B/ATR 0.5
2007-12-03 | Bear | 2.60 / -9.7% | HEAD 3% | TAIL 40% | B/ATR 3.1
2007-12-04 | Bull | 0.29 / 1.2% | HEAD 241% | TAIL 93% | B/ATR 0.3
2007-12-05 | Bull | 0.25 / 1.0% | HEAD 128% | TAIL 16% | B/ATR 0.3
2007-12-06 | Bull | 0.68 / 2.7% | HEAD 3% | TAIL 9% | B/ATR 0.8
2007-12-07 | Bear | 0.77 / -3.0% | HEAD 0% | TAIL 51% | B/ATR 0.9
2007-12-10 | Bull | 0.02 / 0.1% | HEAD 1500% | TAIL 900% | B/ATR 0.0
2007-12-11 | Bear | 0.75 / -3.0% | HEAD 21% | TAIL 0% | B/ATR 0.9
2007-12-12 | Bear | 0.36 / -1.5% | HEAD 114% | TAIL 72% | B/ATR 0.4
2007-12-13 | Bull | 1.00 / 4.2% | HEAD 35% | TAIL 0% | B/ATR 1.1
2007-12-14 | Bull | 0.24 / 1.0% | HEAD 38% | TAIL 29% | B/ATR 0.3
2007-12-17 | Bear | 1.42 / -5.8% | HEAD 29% | TAIL 2% | B/ATR 1.6
2007-12-18 | Bear | 0.46 / -2.0% | HEAD 37% | TAIL 480% | B/ATR 0.5
2007-12-19 | Bear | 0.59 / -2.6% | HEAD 8% | TAIL 7% | B/ATR 0.6
2007-12-20 | Bull | 0.70 / 3.1% | HEAD 0% | TAIL 0% | B/ATR 0.8
2007-12-21 | Bull | 0.28 / 1.2% | HEAD 186% | TAIL 111% | B/ATR 0.3
2007-12-24 | Bear | 0.48 / -2.0% | HEAD 0% | TAIL 21% | B/ATR 0.5
2007-12-26 | Bull | 0.08 / 0.3% | HEAD 275% | TAIL 814% | B/ATR 0.1
2007-12-27 | Bear | 0.32 / -1.4% | HEAD 147% | TAIL 19% | B/ATR 0.3
2007-12-28 | Bull | 0.40 / 1.7% | HEAD 98% | TAIL 0% | B/ATR 0.4
2007-12-31 | Bull | 0.25 / 1.1% | HEAD 100% | TAIL 0% | B/ATR 0.3
2008-01-02 | Bull | 0.28 / 1.2% | HEAD 139% | TAIL 0% | B/ATR 0.3
2008-01-03 | Bull | 0.01 / 0.0% | HEAD 3700% | TAIL 1600% | B/ATR 0.0
2008-01-04 | Bull | 0.07 / 0.3% | HEAD 371% | TAIL 214% | B/ATR 0.1
2008-01-07 | Bull | 0.99 / 4.2% | HEAD 20% | TAIL 9% | B/ATR 1.0
2008-01-08 | Bull | 0.54 / 2.2% | HEAD 267% | TAIL 2% | B/ATR 0.6
2008-01-09 | Bull | 0.73 / 2.9% | HEAD 51% | TAIL 99% | B/ATR 0.8
2008-01-10 | Bear | 1.20 / -4.7% | HEAD 44% | TAIL 3% | B/ATR 1.2
2008-01-11 | Bear | 1.69 / -6.5% | HEAD 0% | TAIL 0% | B/ATR 1.7
2008-01-14 | Bear | 0.64 / -2.6% | HEAD 30% | TAIL 109% | B/ATR 0.7
2008-01-15 | Bear | 1.35 / -5.7% | HEAD 0% | TAIL 34% | B/ATR 1.4
2008-01-16 | Bear | 0.24 / -1.1% | HEAD 71% | TAIL 154% | B/ATR 0.2
2008-01-17 | Bear | 0.11 / -0.5% | HEAD 45% | TAIL 264% | B/ATR 0.1
2008-01-18 | Bear | 1.21 / -5.5% | HEAD 41% | TAIL 15% | B/ATR 1.2
2008-01-22 | Bull | 0.17 / 0.8% | HEAD 853% | TAIL 1059% | B/ATR 0.2
2008-01-23 | Bull | 1.69 / 8.4% | HEAD 12% | TAIL 0% | B/ATR 1.7
2008-01-24 | Bear | 1.63 / -7.4% | HEAD 69% | TAIL 23% | B/ATR 1.6
2008-01-25 | Bear | 1.33 / -6.5% | HEAD 10% | TAIL 52% | B/ATR 1.3
2008-01-28 | Bear | 0.71 / -3.7% | HEAD 49% | TAIL 28% | B/ATR 0.7
2008-01-29 | Bull | 0.65 / 3.5% | HEAD 2% | TAIL 2% | B/ATR 0.6
2008-01-30 | Bull | 0.33 / 1.7% | HEAD 209% | TAIL 52% | B/ATR 0.3
2008-01-31 | Bull | 0.56 / 2.9% | HEAD 45% | TAIL 21% | B/ATR 0.5
2008-02-01 | Bull | 0.12 / 0.6% | HEAD 92% | TAIL 292% | B/ATR 0.1
2008-02-04 | Bear | 0.95 / -4.8% | HEAD 1% | TAIL 3% | B/ATR 0.9
2008-02-05 | Bear | 0.78 / -4.2% | HEAD 0% | TAIL 208% | B/ATR 0.7
2008-02-06 | Bull | 0.26 / 1.4% | HEAD 69% | TAIL 62% | B/ATR 0.2
2008-02-07 | Bull | 0.19 / 1.0% | HEAD 111% | TAIL 113% | B/ATR 0.2
2008-02-08 | Bear | 0.48 / -2.6% | HEAD 54% | TAIL 54% | B/ATR 0.5
2008-02-11 | Bear | 0.28 / -1.6% | HEAD 0% | TAIL 29% | B/ATR 0.3
2008-02-12 | Bear | 0.24 / -1.3% | HEAD 25% | TAIL 75% | B/ATR 0.2
2008-02-13 | Bear | 0.02 / -0.1% | HEAD 600% | TAIL 550% | B/ATR 0.0
2008-02-14 | Bear | 0.15 / -0.8% | HEAD 40% | TAIL 220% | B/ATR 0.1
2008-02-15 | Bull | 0.12 / 0.7% | HEAD 67% | TAIL 292% | B/ATR 0.1
2008-02-19 | Bear | 0.58 / -3.2% | HEAD 2% | TAIL 50% | B/ATR 0.5
2008-02-20 | Bear | 0.82 / -4.8% | HEAD 11% | TAIL 73% | B/ATR 0.8
2008-02-21 | Bull | 0.74 / 4.7% | HEAD 14% | TAIL 0% | B/ATR 0.7
2008-02-22 | Bull | 0.77 / 4.7% | HEAD 18% | TAIL 0% | B/ATR 0.7
2008-02-25 | Bull | 0.39 / 2.3% | HEAD 46% | TAIL 23% | B/ATR 0.4
2008-02-26 | Bull | 0.28 / 1.6% | HEAD 50% | TAIL 7% | B/ATR 0.3
2008-02-27 | Bear | 0.39 / -2.2% | HEAD 36% | TAIL 17% | B/ATR 0.4
2008-02-28 | Bear | 0.23 / -1.3% | HEAD 61% | TAIL 30% | B/ATR 0.2
2008-02-29 | Bull | 0.14 / 0.8% | HEAD 457% | TAIL 129% | B/ATR 0.1
2008-03-03 | Bear | 0.50 / -2.9% | HEAD 18% | TAIL 12% | B/ATR 0.5
2008-03-04 | Bear | 0.05 / -0.3% | HEAD 240% | TAIL 400% | B/ATR 0.0
2008-03-05 | Bull | 0.34 / 2.1% | HEAD 12% | TAIL 0% | B/ATR 0.3
2008-03-06 | Bear | 0.08 / -0.5% | HEAD 513% | TAIL 50% | B/ATR 0.1
