2010-06-29 | Bull | 23.89 / 25.7% | HEAD 23% | TAIL 30% | B/ATR nan
2010-06-30 | Bear | 23.83 / -7.6% | HEAD 236% | TAIL 27% | B/ATR nan
2010-07-01 | Bear | 21.96 / -12.2% | HEAD 30% | TAIL 56% | B/ATR nan
2010-07-02 | Bear | 19.2 / -16.5% | HEAD 3% | TAIL 13% | B/ATR nan
2010-07-06 | Bear | 16.11 / -19.5% | HEAD 0% | TAIL 7% | B/ATR nan
2010-07-07 | Bear | 15.8 / -3.7% | HEAD 38% | TAIL 137% | B/ATR nan
2010-07-08 | Bull | 17.46 / 8.2% | HEAD 5% | TAIL 43% | B/ATR nan
2010-07-09 | Bear | 17.4 / -1.0% | HEAD 178% | TAIL 472% | B/ATR nan
2010-07-12 | Bear | 17.05 / -5.0% | HEAD 13% | TAIL 6% | B/ATR nan
2010-07-13 | Bull | 18.14 / 4.3% | HEAD 67% | TAIL 66% | B/ATR nan
2010-07-14 | Bull | 19.84 / 10.6% | HEAD 16% | TAIL 9% | B/ATR nan
2010-07-15 | Bear | 19.89 / -0.3% | HEAD 3120% | TAIL 1780% | B/ATR nan
2010-07-16 | Bear | 20.64 / -0.3% | HEAD 1000% | TAIL 983% | B/ATR nan
2010-07-19 | Bull | 21.91 / 2.5% | HEAD 63% | TAIL 83% | B/ATR nan
2010-07-20 | Bear | 20.3 / -7.1% | HEAD 0% | TAIL 16% | B/ATR nan
2010-07-21 | Bear | 20.22 / -2.1% | HEAD 55% | TAIL 164% | B/ATR nan
2010-07-22 | Bull | 21.0 / 2.4% | HEAD 50% | TAIL 26% | B/ATR nan
2010-07-23 | Bull | 21.29 / 0.5% | HEAD 270% | TAIL 130% | B/ATR nan
2010-07-26 | Bear | 20.95 / -2.6% | HEAD 0% | TAIL 118% | B/ATR nan
2010-07-27 | Bear | 20.55 / -1.7% | HEAD 75% | TAIL 81% | B/ATR nan
2010-07-28 | Bull | 20.72 / 0.8% | HEAD 106% | TAIL 24% | B/ATR nan
2010-07-29 | Bear | 20.35 / -2.0% | HEAD 26% | TAIL 83% | B/ATR nan
2010-07-30 | Bear | 19.94 / -1.3% | HEAD 92% | TAIL 150% | B/ATR nan
2010-08-02 | Bull | 20.92 / 2.0% | HEAD 12% | TAIL 40% | B/ATR nan
2010-08-03 | Bull | 21.95 / 4.5% | HEAD 0% | TAIL 19% | B/ATR nan
