2000-01-03 | Bull | 102.9 / 3.4% | HEAD 3% | TAIL 33% | B/ATR nan
2000-01-04 | Bear | 98.5 / -3.0% | HEAD 3% | TAIL 25% | B/ATR nan
2000-01-05 | Bear | 96.69 / -1.8% | HEAD 41% | TAIL 31% | B/ATR nan
2000-01-06 | Bear | 93.5 / -3.0% | HEAD 39% | TAIL 104% | B/ATR nan
2000-01-07 | Bull | 94.0 / 1.6% | HEAD 78% | TAIL 82% | B/ATR nan
2000-01-10 | Bull | 100.4 / 2.0% | HEAD 46% | TAIL 48% | B/ATR nan
2000-01-11 | Bear | 99.06 / -1.4% | HEAD 167% | TAIL 35% | B/ATR nan
2000-01-12 | Bull | 101.0 / 1.8% | HEAD 120% | TAIL 46% | B/ATR nan
2000-01-13 | Bear | 102.4 / -0.1% | HEAD 1300% | TAIL 3770% | B/ATR nan
2000-01-14 | Bull | 107.9 / 2.9% | HEAD 7% | TAIL 3% | B/ATR nan
2000-01-18 | Bull | 110.4 / 5.1% | HEAD 19% | TAIL 0% | B/ATR nan
2000-01-19 | Bear | 109.5 / -2.1% | HEAD 4% | TAIL 25% | B/ATR nan
2000-01-20 | Bull | 112.9 / 0.8% | HEAD 244% | TAIL 133% | B/ATR nan
2000-01-21 | Bear | 110.8 / -3.5% | HEAD 7% | TAIL 22% | B/ATR nan
2000-01-24 | Bear | 110.9 / -3.1% | HEAD 83% | TAIL 81% | B/ATR nan
2000-01-25 | Bull | 113.9 / 0.9% | HEAD 340% | TAIL 180% | B/ATR nan
2000-01-26 | Bear | 112.5 / -0.7% | HEAD 25% | TAIL 325% | B/ATR nan
2000-01-27 | Bull | 113.0 / 0.6% | HEAD 500% | TAIL 371% | B/ATR nan
2000-01-28 | Bear | 107.1 / -4.5% | HEAD 24% | TAIL 44% | B/ATR nan
2000-01-31 | Bull | 107.8 / 0.8% | HEAD 22% | TAIL 544% | B/ATR nan
2000-02-01 | Bull | 113.1 / 5.1% | HEAD 5% | TAIL 31% | B/ATR nan
2000-02-02 | Bull | 119.4 / 3.5% | HEAD 25% | TAIL 25% | B/ATR nan
2000-02-03 | Bull | 134.0 / 10.7% | HEAD 4% | TAIL 3% | B/ATR nan
2000-02-04 | Bull | 132.0 / 0.2% | HEAD 3500% | TAIL 750% | B/ATR nan
2000-02-07 | Bull | 134.5 / 2.4% | HEAD 28% | TAIL 0% | B/ATR nan
2000-02-08 | Bull | 138.9 / 2.8% | HEAD 18% | TAIL 8% | B/ATR nan
2000-02-09 | Bull | 140.9 / 1.3% | HEAD 122% | TAIL 56% | B/ATR nan
2000-02-10 | Bull | 145.0 / 3.1% | HEAD 0% | TAIL 59% | B/ATR nan
2000-02-11 | Bear | 137.6 / -3.8% | HEAD 6% | TAIL 30% | B/ATR nan
2000-02-14 | Bear | 134.6 / -3.0% | HEAD 12% | TAIL 62% | B/ATR nan
2000-02-15 | Bull | 134.9 / 0.2% | HEAD 300% | TAIL 1433% | B/ATR nan
2000-02-16 | Bear | 135.8 / -0.1% | HEAD 3900% | TAIL 500% | B/ATR nan
2000-02-17 | Bull | 143.0 / 5.2% | HEAD 28% | TAIL 0% | B/ATR nan
2000-02-18 | Bear | 134.0 / -7.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-22 | Bull | 149.0 / 4.9% | HEAD 14% | TAIL 64% | B/ATR nan
2000-02-23 | Bear | 147.1 / -1.1% | HEAD 253% | TAIL 153% | B/ATR nan
2000-02-24 | Bull | 157.8 / 5.9% | HEAD 14% | TAIL 5% | B/ATR nan
2000-02-25 | Bear | 153.3 / -2.6% | HEAD 83% | TAIL 12% | B/ATR nan
2000-02-28 | Bull | 155.9 / 1.7% | HEAD 62% | TAIL 281% | B/ATR nan
2000-02-29 | Bull | 166.1 / 5.8% | HEAD 40% | TAIL 0% | B/ATR nan
2000-03-01 | Bear | 164.4 / -1.8% | HEAD 87% | TAIL 220% | B/ATR nan
2000-03-02 | Bull | 173.0 / 5.4% | HEAD 27% | TAIL 46% | B/ATR nan
2000-03-03 | Bull | 187.6 / 5.4% | HEAD 5% | TAIL 0% | B/ATR nan
2000-03-06 | Bear | 186.0 / -3.3% | HEAD 116% | TAIL 71% | B/ATR nan
2000-03-07 | Bear | 180.0 / -4.0% | HEAD 5% | TAIL 59% | B/ATR nan
2000-03-08 | Bear | 172.0 / -4.4% | HEAD 4% | TAIL 46% | B/ATR nan
2000-03-09 | Bull | 180.0 / 4.7% | HEAD 11% | TAIL 55% | B/ATR nan
2000-03-10 | Bull | 184.0 / 2.0% | HEAD 0% | TAIL 192% | B/ATR nan
2000-03-13 | Bear | 171.8 / -1.0% | HEAD 459% | TAIL 47% | B/ATR nan
2000-03-14 | Bear | 156.5 / -10.1% | HEAD 14% | TAIL 19% | B/ATR nan
2000-03-15 | Bear | 147.0 / -6.7% | HEAD 0% | TAIL 10% | B/ATR nan
2000-03-16 | Bull | 160.0 / 6.6% | HEAD 19% | TAIL 64% | B/ATR nan
2000-03-17 | Bull | 169.9 / 6.2% | HEAD 9% | TAIL 19% | B/ATR nan
2000-03-20 | Bear | 167.1 / -1.7% | HEAD 179% | TAIL 90% | B/ATR nan
2000-03-21 | Bull | 171.3 / 2.6% | HEAD 28% | TAIL 119% | B/ATR nan
2000-03-22 | Bull | 178.0 / 2.3% | HEAD 62% | TAIL 155% | B/ATR nan
2000-03-23 | Bear | 174.3 / -2.1% | HEAD 132% | TAIL 49% | B/ATR nan
2000-03-24 | Bull | 176.56 / 0.2% | HEAD 2703% | TAIL 1371% | B/ATR nan
2000-03-27 | Bull | 180.9 / 2.8% | HEAD 51% | TAIL 0% | B/ATR nan
2000-03-28 | Bear | 178.9 / -0.9% | HEAD 25% | TAIL 213% | B/ATR nan
2000-03-29 | Bear | 170.8 / -4.0% | HEAD 14% | TAIL 32% | B/ATR nan
2000-03-30 | Bear | 163.1 / -4.5% | HEAD 3% | TAIL 105% | B/ATR nan
2000-03-31 | Bear | 160.0 / -3.0% | HEAD 40% | TAIL 60% | B/ATR nan
2000-04-03 | Bear | 150.8 / -5.7% | HEAD 7% | TAIL 11% | B/ATR nan
2000-04-04 | Bear | 145.8 / -3.4% | HEAD 44% | TAIL 337% | B/ATR nan
2000-04-05 | Bull | 150.0 / 2.8% | HEAD 249% | TAIL 85% | B/ATR nan
2000-04-06 | Bull | 160.0 / 2.6% | HEAD 50% | TAIL 42% | B/ATR nan
2000-04-07 | Bull | 166.5 / 1.5% | HEAD 4% | TAIL 128% | B/ATR nan
2000-04-10 | Bear | 156.4 / -6.6% | HEAD 14% | TAIL 10% | B/ATR nan
2000-04-11 | Bull | 153.3 / 0.9% | HEAD 200% | TAIL 454% | B/ATR nan
2000-04-12 | Bear | 140.4 / -6.7% | HEAD 33% | TAIL 19% | B/ATR nan
2000-04-13 | Bull | 141.9 / 0.2% | HEAD 2633% | TAIL 1433% | B/ATR nan
2000-04-14 | Bear | 139.0 / -0.1% | HEAD 2700% | TAIL 9400% | B/ATR nan
2000-04-17 | Bull | 149.0 / 13.9% | HEAD 55% | TAIL 0% | B/ATR nan
2000-04-18 | Bull | 150.0 / 3.0% | HEAD 0% | TAIL 195% | B/ATR nan
2000-04-19 | Bear | 143.0 / -4.7% | HEAD 43% | TAIL 6% | B/ATR nan
2000-04-20 | Bull | 145.0 / 0.0% | HEAD 39000% | TAIL 14000% | B/ATR nan
2000-04-24 | Bear | 141.3 / -0.5% | HEAD 514% | TAIL 214% | B/ATR nan
2000-04-25 | Bull | 152.0 / 3.1% | HEAD 0% | TAIL 39% | B/ATR nan
2000-04-26 | Bear | 149.0 / -3.9% | HEAD 15% | TAIL 20% | B/ATR nan
2000-04-27 | Bull | 159.5 / 8.7% | HEAD 27% | TAIL 6% | B/ATR nan
2000-04-28 | Bull | 162.9 / 0.6% | HEAD 656% | TAIL 0% | B/ATR nan
2000-05-01 | Bear | 160.0 / -2.3% | HEAD 42% | TAIL 76% | B/ATR nan
2000-05-02 | Bear | 155.5 / -1.5% | HEAD 291% | TAIL 0% | B/ATR nan
2000-05-03 | Bear | 151.8 / -2.4% | HEAD 65% | TAIL 173% | B/ATR nan
2000-05-04 | Bull | 155.5 / 2.0% | HEAD 47% | TAIL 113% | B/ATR nan
2000-05-05 | Bear | 153.8 / -2.3% | HEAD 78% | TAIL 24% | B/ATR nan
2000-05-08 | Bear | 146.8 / -5.2% | HEAD 6% | TAIL 10% | B/ATR nan
2000-05-09 | Bear | 141.3 / -3.7% | HEAD 40% | TAIL 44% | B/ATR nan
2000-05-10 | Bear | 132.9 / -4.4% | HEAD 0% | TAIL 64% | B/ATR nan
2000-05-11 | Bull | 140.0 / 6.2% | HEAD 13% | TAIL 10% | B/ATR nan
2000-05-12 | Bear | 141.3 / -1.1% | HEAD 213% | TAIL 113% | B/ATR nan
2000-05-15 | Bull | 142.7 / 1.3% | HEAD 95% | TAIL 289% | B/ATR nan
2000-05-16 | Bull | 147.9 / 1.2% | HEAD 61% | TAIL 178% | B/ATR nan
2000-05-17 | Bear | 144.9 / -1.8% | HEAD 126% | TAIL 67% | B/ATR nan
2000-05-18 | Bear | 145.1 / -0.5% | HEAD 250% | TAIL 287% | B/ATR nan
2000-05-19 | Bear | 139.5 / -1.8% | HEAD 40% | TAIL 148% | B/ATR nan
2000-05-22 | Bear | 133.8 / -2.8% | HEAD 18% | TAIL 124% | B/ATR nan
2000-05-23 | Bear | 64.0 / -5.9% | HEAD 19% | TAIL 0% | B/ATR nan
2000-05-24 | Bull | 68.38 / 6.6% | HEAD 25% | TAIL 94% | B/ATR nan
2000-05-25 | Bear | 70.0 / -2.4% | HEAD 103% | TAIL 35% | B/ATR nan
2000-05-26 | Bear | 67.0 / -1.5% | HEAD 119% | TAIL 194% | B/ATR nan
2000-05-30 | Bull | 72.25 / 3.2% | HEAD 17% | TAIL 56% | B/ATR nan
2000-05-31 | Bear | 71.56 / -1.3% | HEAD 94% | TAIL 33% | B/ATR nan
2000-06-01 | Bull | 78.13 / 5.0% | HEAD 13% | TAIL 13% | B/ATR nan
2000-06-02 | Bull | 85.69 / 3.2% | HEAD 123% | TAIL 19% | B/ATR nan
2000-06-05 | Bull | 84.0 / 0.3% | HEAD 600% | TAIL 1300% | B/ATR nan
2000-06-06 | Bear | 80.5 / -4.2% | HEAD 33% | TAIL 14% | B/ATR nan
2000-06-07 | Bull | 82.88 / 1.1% | HEAD 156% | TAIL 348% | B/ATR nan
2000-06-08 | Bear | 81.75 / -2.7% | HEAD 33% | TAIL 39% | B/ATR nan
2000-06-09 | Bull | 83.75 / 0.1% | HEAD 1042% | TAIL 1408% | B/ATR nan
2000-06-12 | Bear | 79.13 / -4.7% | HEAD 16% | TAIL 26% | B/ATR nan
2000-06-13 | Bull | 83.25 / 3.4% | HEAD 0% | TAIL 71% | B/ATR nan
2000-06-14 | Bear | 81.88 / -1.9% | HEAD 93% | TAIL 20% | B/ATR nan
2000-06-15 | Bear | 80.5 / -1.4% | HEAD 121% | TAIL 177% | B/ATR nan
2000-06-16 | Bull | 82.0 / 4.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-19 | Bull | 87.75 / 8.5% | HEAD 16% | TAIL 0% | B/ATR nan
2000-06-20 | Bear | 86.88 / -0.5% | HEAD 626% | TAIL 205% | B/ATR nan
2000-06-21 | Bear | 82.0 / -4.7% | HEAD 50% | TAIL 50% | B/ATR nan
2000-06-22 | Bear | 81.63 / -0.8% | HEAD 505% | TAIL 384% | B/ATR 0.1
2000-06-23 | Bear | 75.06 / -5.6% | HEAD 0% | TAIL 24% | B/ATR 0.4
2000-06-26 | Bear | 74.75 / -0.3% | HEAD 452% | TAIL 700% | B/ATR 0.0
2000-06-27 | Bear | 71.75 / -4.0% | HEAD 0% | TAIL 0% | B/ATR 0.3
2000-06-28 | Bear | 71.63 / -2.9% | HEAD 33% | TAIL 18% | B/ATR 0.2
2000-06-29 | Bear | 69.0 / -2.8% | HEAD 131% | TAIL 53% | B/ATR 0.2
2000-06-30 | Bear | 68.69 / -1.1% | HEAD 275% | TAIL 67% | B/ATR 0.1
2000-07-03 | Bull | 69.0 / 0.0% | HEAD 7500% | TAIL 4400% | B/ATR 0.0
2000-07-05 | Bull | 65.75 / 2.3% | HEAD 17% | TAIL 33% | B/ATR 0.2
2000-07-06 | Bull | 67.0 / 1.7% | HEAD 28% | TAIL 118% | B/ATR 0.1
2000-07-07 | Bull | 69.0 / 1.1% | HEAD 192% | TAIL 49% | B/ATR 0.1
2000-07-10 | Bear | 68.0 / -0.7% | HEAD 288% | TAIL 88% | B/ATR 0.1
2000-07-11 | Bull | 68.0 / 0.4% | HEAD 600% | TAIL 1124% | B/ATR 0.0
2000-07-12 | Bull | 68.0 / 0.7% | HEAD 0% | TAIL 288% | B/ATR 0.1
2000-07-13 | Bull | 70.88 / 3.5% | HEAD 66% | TAIL 26% | B/ATR 0.3
2000-07-14 | Bull | 72.5 / 2.1% | HEAD 33% | TAIL 83% | B/ATR 0.2
2000-07-17 | Bull | 73.5 / 0.8% | HEAD 179% | TAIL 391% | B/ATR 0.1
2000-07-18 | Bear | 70.56 / -3.3% | HEAD 0% | TAIL 25% | B/ATR 0.3
2000-07-19 | Bear | 67.25 / -4.6% | HEAD 0% | TAIL 8% | B/ATR 0.3
2000-07-20 | Bull | 67.75 / 0.4% | HEAD 652% | TAIL 776% | B/ATR 0.0
2000-07-21 | Bear | 63.5 / -3.1% | HEAD 19% | TAIL 100% | B/ATR 0.2
2000-07-24 | Bull | 68.0 / 8.4% | HEAD 17% | TAIL 13% | B/ATR 0.6
2000-07-25 | Bear | 67.06 / -2.5% | HEAD 96% | TAIL 40% | B/ATR 0.2
2000-07-26 | Bear | 64.06 / -3.8% | HEAD 3% | TAIL 72% | B/ATR 0.3
2000-07-27 | Bear | 57.06 / -0.8% | HEAD 568% | TAIL 127% | B/ATR 0.0
2000-07-28 | Bear | 57.5 / -1.7% | HEAD 44% | TAIL 162% | B/ATR 0.1
2000-07-31 | Bull | 59.5 / 0.2% | HEAD 783% | TAIL 892% | B/ATR 0.0
2000-08-01 | Bear | 58.0 / -3.0% | HEAD 0% | TAIL 41% | B/ATR 0.2
2000-08-02 | Bear | 57.0 / -1.5% | HEAD 212% | TAIL 92% | B/ATR 0.1
2000-08-03 | Bear | 55.75 / -3.9% | HEAD 0% | TAIL 122% | B/ATR 0.3
2000-08-04 | Bear | 55.25 / -6.4% | HEAD 0% | TAIL 38% | B/ATR 0.4
2000-08-07 | Bull | 58.5 / 5.6% | HEAD 16% | TAIL 16% | B/ATR 0.4
2000-08-08 | Bull | 59.88 / 3.8% | HEAD 63% | TAIL 17% | B/ATR 0.3
2000-08-09 | Bear | 60.0 / -1.6% | HEAD 125% | TAIL 0% | B/ATR 0.1
2000-08-10 | Bear | 60.5 / -0.8% | HEAD 50% | TAIL 424% | B/ATR 0.1
2000-08-11 | Bear | 57.25 / -3.0% | HEAD 31% | TAIL 71% | B/ATR 0.2
2000-08-14 | Bull | 63.5 / 6.0% | HEAD 14% | TAIL 30% | B/ATR 0.4
2000-08-15 | Bull | 67.25 / 2.7% | HEAD 14% | TAIL 14% | B/ATR 0.2
2000-08-16 | Bear | 66.5 / -0.7% | HEAD 441% | TAIL 0% | B/ATR 0.1
2000-08-17 | Bull | 67.5 / 1.4% | HEAD 113% | TAIL 113% | B/ATR 0.1
2000-08-18 | Bull | 70.63 / 2.2% | HEAD 25% | TAIL 9% | B/ATR 0.2
2000-08-21 | Bear | 67.75 / -4.1% | HEAD 4% | TAIL 54% | B/ATR 0.4
2000-08-22 | Bear | 65.38 / -3.1% | HEAD 0% | TAIL 18% | B/ATR 0.3
2000-08-23 | Bull | 67.88 / 4.2% | HEAD 0% | TAIL 0% | B/ATR 0.3
2000-08-24 | Bull | 69.63 / 1.6% | HEAD 88% | TAIL 33% | B/ATR 0.1
2000-08-25 | Bear | 67.13 / -3.3% | HEAD 11% | TAIL 8% | B/ATR 0.3
2000-08-28 | Bull | 69.38 / 3.0% | HEAD 0% | TAIL 25% | B/ATR 0.3
2000-08-29 | Bear | 67.06 / -1.2% | HEAD 52% | TAIL 30% | B/ATR 0.1
2000-08-30 | Bull | 66.94 / 0.1% | HEAD 417% | TAIL 2400% | B/ATR 0.0
2000-08-31 | Bull | 66.75 / 1.0% | HEAD 181% | TAIL 0% | B/ATR 0.1
2000-09-01 | Bear | 67.0 / -2.1% | HEAD 13% | TAIL 31% | B/ATR 0.2
2000-09-05 | Bear | 66.0 / -1.6% | HEAD 0% | TAIL 35% | B/ATR 0.1
2000-09-06 | Bear | 62.88 / -3.4% | HEAD 43% | TAIL 40% | B/ATR 0.3
2000-09-07 | Bear | 61.5 / -1.8% | HEAD 143% | TAIL 88% | B/ATR 0.2
2000-09-08 | Bear | 58.63 / -5.3% | HEAD 0% | TAIL 41% | B/ATR 0.4
2000-09-11 | Bull | 58.0 / 0.1% | HEAD 2917% | TAIL 2500% | B/ATR 0.0
2000-09-12 | Bear | 57.25 / -2.2% | HEAD 67% | TAIL 43% | B/ATR 0.2
2000-09-13 | Bull | 57.0 / 1.2% | HEAD 164% | TAIL 109% | B/ATR 0.1
2000-09-14 | Bull | 60.13 / 2.8% | HEAD 23% | TAIL 15% | B/ATR 0.2
2000-09-15 | Bear | 59.0 / -1.5% | HEAD 0% | TAIL 89% | B/ATR 0.1
2000-09-18 | Bear | 59.19 / -1.4% | HEAD 254% | TAIL 140% | B/ATR 0.1
2000-09-19 | Bull | 63.69 / 7.7% | HEAD 10% | TAIL 22% | B/ATR 0.6
2000-09-20 | Bear | 60.0 / -4.0% | HEAD 45% | TAIL 48% | B/ATR 0.4
2000-09-21 | Bear | 53.88 / -8.5% | HEAD 9% | TAIL 28% | B/ATR 0.7
2000-09-22 | Bull | 57.0 / 5.6% | HEAD 0% | TAIL 6% | B/ATR 0.4
2000-09-25 | Bear | 52.0 / -9.3% | HEAD 9% | TAIL 19% | B/ATR 0.8
2000-09-26 | Bear | 49.06 / -4.4% | HEAD 53% | TAIL 52% | B/ATR 0.3
2000-09-27 | Bear | 48.38 / -4.2% | HEAD 18% | TAIL 89% | B/ATR 0.3
2000-09-28 | Bear | 47.0 / -3.0% | HEAD 56% | TAIL 0% | B/ATR 0.2
2000-09-29 | Bull | 47.5 / 0.0% | HEAD 10600% | TAIL 6900% | B/ATR 0.0
2000-10-02 | Bull | 50.0 / 1.6% | HEAD 193% | TAIL 100% | B/ATR 0.1
2000-10-03 | Bear | 48.75 / -5.3% | HEAD 0% | TAIL 18% | B/ATR 0.4
2000-10-04 | Bull | 50.75 / 4.0% | HEAD 0% | TAIL 3% | B/ATR 0.3
2000-10-05 | Bear | 48.81 / -2.4% | HEAD 11% | TAIL 89% | B/ATR 0.2
2000-10-06 | Bear | 46.88 / -2.8% | HEAD 119% | TAIL 82% | B/ATR 0.2
2000-10-09 | Bear | 45.38 / -3.4% | HEAD 8% | TAIL 143% | B/ATR 0.2
2000-10-10 | Bear | 43.25 / -2.3% | HEAD 50% | TAIL 131% | B/ATR 0.2
2000-10-11 | Bull | 41.81 / 3.5% | HEAD 48% | TAIL 136% | B/ATR 0.2
2000-10-12 | Bear | 39.56 / -8.1% | HEAD 2% | TAIL 12% | B/ATR 0.5
2000-10-13 | Bull | 44.5 / 12.5% | HEAD 35% | TAIL 1% | B/ATR 0.8
2000-10-16 | Bear | 43.56 / -4.8% | HEAD 11% | TAIL 23% | B/ATR 0.3
2000-10-17 | Bear | 40.19 / -7.7% | HEAD 0% | TAIL 39% | B/ATR 0.5
2000-10-18 | Bear | 36.88 / -0.3% | HEAD 2400% | TAIL 1567% | B/ATR 0.0
2000-10-19 | Bull | 45.75 / 2.2% | HEAD 63% | TAIL 150% | B/ATR 0.2
2000-10-20 | Bull | 47.5 / 6.1% | HEAD 87% | TAIL 20% | B/ATR 0.4
2000-10-23 | Bear | 48.88 / -0.8% | HEAD 608% | TAIL 203% | B/ATR 0.1
2000-10-24 | Bear | 45.88 / -5.0% | HEAD 5% | TAIL 31% | B/ATR 0.4
2000-10-25 | Bear | 42.63 / -4.2% | HEAD 17% | TAIL 27% | B/ATR 0.3
