2018-02-16 | Bear | 1.56 / -0.6% | HEAD 295% | TAIL 24% | BODY/ATR 0.3
2018-02-20 | Bull | 4.33 / 1.8% | HEAD 64% | TAIL 3% | BODY/ATR 0.8
2018-02-21 | Bear | 10.18 / -4.0% | HEAD 3% | TAIL 1% | BODY/ATR 1.8
2018-02-22 | Bear | 0.58 / -0.2% | HEAD 500% | TAIL 457% | BODY/ATR 0.1
2018-02-23 | Bull | 1.36 / 0.6% | HEAD 0% | TAIL 151% | BODY/ATR 0.2
2018-02-26 | Bear | 1.22 / -0.5% | HEAD 15% | TAIL 207% | BODY/ATR 0.2
2018-02-27 | Bull | 0.56 / 0.2% | HEAD 509% | TAIL 66% | BODY/ATR 0.1
2018-02-28 | Bear | 4.50 / -1.8% | HEAD 36% | TAIL 10% | BODY/ATR 0.8
2018-03-01 | Bear | 9.70 / -4.0% | HEAD 22% | TAIL 42% | BODY/ATR 1.6
2018-03-02 | Bull | 8.68 / 3.8% | HEAD 3% | TAIL 69% | BODY/ATR 1.4
2018-03-05 | Bull | 1.14 / 0.5% | HEAD 140% | TAIL 438% | BODY/ATR 0.2
2018-03-06 | Bull | 3.06 / 1.3% | HEAD 25% | TAIL 57% | BODY/ATR 0.5
2018-03-07 | Bull | 3.84 / 1.6% | HEAD 55% | TAIL 1% | BODY/ATR 0.6
2018-03-08 | Bear | 1.77 / -0.7% | HEAD 0% | TAIL 101% | BODY/ATR 0.3
2018-03-09 | Bull | 2.23 / 0.9% | HEAD 23% | TAIL 29% | BODY/ATR 0.4
2018-03-12 | Bull | 2.76 / 1.1% | HEAD 117% | TAIL 12% | BODY/ATR 0.4
2018-03-13 | Bear | 3.78 / -1.5% | HEAD 80% | TAIL 44% | BODY/ATR 0.6
2018-03-14 | Bear | 0.71 / -0.3% | HEAD 155% | TAIL 355% | BODY/ATR 0.1
2018-03-15 | Bull | 0.05 / 0.0% | HEAD 6560% | TAIL 3300% | BODY/ATR 0.0
2018-03-16 | Bull | 0.48 / 0.2% | HEAD 160% | TAIL 317% | BODY/ATR 0.1
2018-03-19 | Bear | 7.18 / -2.9% | HEAD 16% | TAIL 56% | BODY/ATR 1.1
2018-03-20 | Bull | 8.46 / 3.5% | HEAD 19% | TAIL 0% | BODY/ATR 1.3
2018-03-21 | Bear | 0.76 / -0.3% | HEAD 353% | TAIL 162% | BODY/ATR 0.1
2018-03-22 | Bear | 4.15 / -1.7% | HEAD 45% | TAIL 36% | BODY/ATR 0.6
2018-03-23 | Bear | 9.43 / -3.9% | HEAD 3% | TAIL 5% | BODY/ATR 1.5
2018-03-26 | Bull | 6.48 / 2.7% | HEAD 1% | TAIL 32% | BODY/ATR 1.0
2018-03-27 | Bear | 22.23 / -9.0% | HEAD 10% | TAIL 26% | BODY/ATR 3.4
2018-03-28 | Bear | 2.78 / -1.2% | HEAD 189% | TAIL 156% | BODY/ATR 0.4
2018-03-29 | Bull | 7.49 / 3.3% | HEAD 52% | TAIL 45% | BODY/ATR 1.1
2018-04-02 | Bear | 7.69 / -3.4% | HEAD 77% | TAIL 46% | BODY/ATR 1.2
2018-04-03 | Bear | 2.45 / -1.1% | HEAD 104% | TAIL 163% | BODY/ATR 0.4
2018-04-04 | Bull | 11.23 / 5.2% | HEAD 4% | TAIL 9% | BODY/ATR 1.7
2018-04-05 | Bear | 7.22 / -3.2% | HEAD 7% | TAIL 40% | BODY/ATR 1.1
2018-04-06 | Bear | 2.98 / -1.4% | HEAD 147% | TAIL 39% | BODY/ATR 0.4
2018-04-09 | Bear | 1.39 / -0.6% | HEAD 372% | TAIL 58% | BODY/ATR 0.2
2018-04-10 | Bull | 3.19 / 1.4% | HEAD 34% | TAIL 72% | BODY/ATR 0.5
2018-04-11 | Bear | 1.07 / -0.5% | HEAD 156% | TAIL 123% | BODY/ATR 0.2
2018-04-12 | Bull | 4.60 / 2.0% | HEAD 16% | TAIL 39% | BODY/ATR 0.7
2018-04-13 | Bear | 5.67 / -2.4% | HEAD 6% | TAIL 34% | BODY/ATR 0.8
2018-04-16 | Bear | 0.28 / -0.1% | HEAD 379% | TAIL 1351% | BODY/ATR 0.0
