2000-01-03 | Bull | 17.69 / 0.7% | HEAD 46% | TAIL 46% | B/ATR nan
2000-01-04 | Bull | 17.44 / 0.8% | HEAD 192% | TAIL 138% | B/ATR nan
2000-01-05 | Bull | 17.88 / 1.8% | HEAD 0% | TAIL 37% | B/ATR nan
2000-01-06 | Bull | 17.75 / 0.0% | HEAD 600% | TAIL 2500% | B/ATR nan
2000-01-07 | Bear | 17.31 / -2.8% | HEAD 14% | TAIL 12% | B/ATR nan
2000-01-10 | Bear | 17.31 / -0.7% | HEAD 0% | TAIL 46% | B/ATR nan
2000-01-11 | Bull | 17.63 / 1.1% | HEAD 95% | TAIL 100% | B/ATR nan
2000-01-12 | Bear | 17.31 / -0.4% | HEAD 257% | TAIL 86% | B/ATR nan
2000-01-13 | Bear | 17.19 / -0.7% | HEAD 267% | TAIL 0% | B/ATR nan
2000-01-14 | Bear | 16.94 / -1.1% | HEAD 32% | TAIL 0% | B/ATR nan
2000-01-18 | Bull | 17.56 / 1.8% | HEAD 42% | TAIL 39% | B/ATR nan
2000-01-19 | Bear | 17.31 / -0.7% | HEAD 46% | TAIL 46% | B/ATR nan
2000-01-20 | Bear | 17.06 / -0.8% | HEAD 0% | TAIL 46% | B/ATR nan
2000-01-21 | Bull | 17.13 / 0.4% | HEAD 171% | TAIL 86% | B/ATR nan
2000-01-24 | Bear | 16.56 / -2.2% | HEAD 16% | TAIL 32% | B/ATR nan
2000-01-25 | Bear | 16.5 / -1.8% | HEAD 0% | TAIL 39% | B/ATR nan
2000-01-26 | Bear | 16.25 / -1.5% | HEAD 52% | TAIL 24% | B/ATR nan
2000-01-27 | Bull | 16.94 / 3.9% | HEAD 10% | TAIL 19% | B/ATR nan
2000-01-28 | Bear | 16.31 / -3.4% | HEAD 32% | TAIL 11% | B/ATR nan
2000-01-31 | Bull | 16.38 / 0.0% | HEAD 1800% | TAIL 1300% | B/ATR nan
2000-02-01 | Bear | 16.19 / -0.4% | HEAD 100% | TAIL 417% | B/ATR nan
2000-02-02 | Bear | 16.38 / -1.1% | HEAD 139% | TAIL 0% | B/ATR nan
2000-02-03 | Bull | 16.56 / 1.1% | HEAD 72% | TAIL 139% | B/ATR nan
2000-02-04 | Bull | 18.38 / 6.6% | HEAD 11% | TAIL 22% | B/ATR nan
2000-02-07 | Bear | 17.88 / -5.9% | HEAD 67% | TAIL 17% | B/ATR nan
2000-02-08 | Bear | 17.25 / -2.8% | HEAD 12% | TAIL 38% | B/ATR nan
2000-02-09 | Bull | 18.44 / 3.1% | HEAD 34% | TAIL 0% | B/ATR nan
2000-02-10 | Bear | 18.44 / -0.6% | HEAD 158% | TAIL 367% | B/ATR nan
2000-02-11 | Bull | 18.31 / 0.3% | HEAD 0% | TAIL 933% | B/ATR nan
2000-02-14 | Bear | 17.5 / -3.8% | HEAD 0% | TAIL 9% | B/ATR nan
2000-02-15 | Bull | 17.88 / 2.5% | HEAD 0% | TAIL 57% | B/ATR nan
2000-02-16 | Bear | 17.94 / -0.7% | HEAD 267% | TAIL 108% | B/ATR nan
2000-02-17 | Bear | 17.31 / -5.5% | HEAD 7% | TAIL 0% | B/ATR nan
2000-02-18 | Bull | 17.94 / 2.5% | HEAD 0% | TAIL 14% | B/ATR nan
2000-02-22 | Bull | 18.19 / 2.8% | HEAD 50% | TAIL 38% | B/ATR nan
2000-02-23 | Bear | 17.19 / -3.2% | HEAD 34% | TAIL 11% | B/ATR nan
2000-02-24 | Bear | 16.69 / -3.2% | HEAD 11% | TAIL 23% | B/ATR nan
2000-02-25 | Bull | 16.69 / 1.5% | HEAD 24% | TAIL 76% | B/ATR nan
2000-02-28 | Bear | 16.44 / -1.9% | HEAD 42% | TAIL 0% | B/ATR nan
2000-02-29 | Bear | 16.31 / -1.9% | HEAD 78% | TAIL 0% | B/ATR nan
2000-03-01 | Bull | 16.63 / 0.0% | HEAD 0% | TAIL 2500% | B/ATR nan
2000-03-02 | Bull | 16.38 / 0.0% | HEAD 1200% | TAIL 3200% | B/ATR nan
2000-03-03 | Bear | 16.25 / -1.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-06 | Bear | 16.13 / -0.7% | HEAD 50% | TAIL 208% | B/ATR nan
2000-03-07 | Bull | 17.06 / 5.0% | HEAD 16% | TAIL 15% | B/ATR nan
2000-03-08 | Bear | 16.56 / -1.9% | HEAD 134% | TAIL 19% | B/ATR nan
2000-03-09 | Bear | 16.69 / -0.7% | HEAD 158% | TAIL 158% | B/ATR nan
2000-03-10 | Bear | 16.19 / -2.2% | HEAD 0% | TAIL 16% | B/ATR nan
2000-03-13 | Bull | 16.69 / 0.0% | HEAD 1900% | TAIL 3100% | B/ATR nan
2000-03-14 | Bull | 16.63 / 1.2% | HEAD 32% | TAIL 100% | B/ATR nan
2000-03-15 | Bull | 16.69 / 0.4% | HEAD 100% | TAIL 533% | B/ATR nan
2000-03-16 | Bull | 16.63 / 0.4% | HEAD 86% | TAIL 443% | B/ATR nan
2000-03-17 | Bear | 16.31 / -1.2% | HEAD 100% | TAIL 63% | B/ATR nan
2000-03-20 | Bull | 16.44 / 0.4% | HEAD 517% | TAIL 0% | B/ATR nan
2000-03-21 | Bull | 17.25 / 4.9% | HEAD 0% | TAIL 7% | B/ATR nan
2000-03-22 | Bear | 16.44 / -3.3% | HEAD 11% | TAIL 0% | B/ATR nan
2000-03-23 | Bull | 16.63 / 1.5% | HEAD 0% | TAIL 28% | B/ATR nan
2000-03-24 | Bull | 16.75 / 0.7% | HEAD 158% | TAIL 108% | B/ATR nan
2000-03-27 | Bear | 16.38 / -1.1% | HEAD 106% | TAIL 72% | B/ATR nan
2000-03-28 | Bear | 16.13 / -2.2% | HEAD 16% | TAIL 19% | B/ATR nan
2000-03-29 | Bear | 15.94 / -1.5% | HEAD 76% | TAIL 152% | B/ATR nan
2000-03-30 | Bear | 15.88 / -0.4% | HEAD 417% | TAIL 0% | B/ATR nan
2000-03-31 | Bear | 15.69 / -1.2% | HEAD 163% | TAIL 32% | B/ATR nan
2000-04-03 | Bull | 16.0 / 2.0% | HEAD 0% | TAIL 61% | B/ATR nan
2000-04-04 | Bull | 16.94 / 6.3% | HEAD 0% | TAIL 38% | B/ATR nan
2000-04-05 | Bull | 17.19 / 2.3% | HEAD 16% | TAIL 0% | B/ATR nan
2000-04-06 | Bear | 16.63 / -2.2% | HEAD 0% | TAIL 19% | B/ATR nan
2000-04-07 | Bear | 16.38 / -1.1% | HEAD 106% | TAIL 39% | B/ATR nan
2000-04-10 | Bear | 16.5 / -0.8% | HEAD 92% | TAIL 238% | B/ATR nan
2000-04-11 | Bear | 16.5 / -0.8% | HEAD 138% | TAIL 46% | B/ATR nan
2000-04-12 | Bear | 16.25 / -0.4% | HEAD 950% | TAIL 0% | B/ATR nan
2000-04-13 | Bear | 16.13 / -0.7% | HEAD 108% | TAIL 208% | B/ATR nan
2000-04-14 | Bull | 17.25 / 3.7% | HEAD 21% | TAIL 31% | B/ATR nan
2000-04-17 | Bear | 16.88 / -0.4% | HEAD 317% | TAIL 417% | B/ATR nan
2000-04-18 | Bear | 16.75 / -0.4% | HEAD 117% | TAIL 417% | B/ATR nan
2000-04-19 | Bull | 17.13 / 2.6% | HEAD 14% | TAIL 14% | B/ATR nan
2000-04-20 | Bull | 17.06 / 0.0% | HEAD 7500% | TAIL 600% | B/ATR nan
2000-04-24 | Bear | 17.13 / -1.4% | HEAD 72% | TAIL 0% | B/ATR nan
2000-04-25 | Bear | 16.69 / -2.2% | HEAD 35% | TAIL 16% | B/ATR nan
2000-04-26 | Bull | 16.44 / 0.0% | HEAD 4400% | TAIL 1300% | B/ATR nan
2000-04-27 | Bull | 17.0 / 1.1% | HEAD 68% | TAIL 32% | B/ATR nan
2000-04-28 | Bull | 16.81 / 1.1% | HEAD 72% | TAIL 39% | B/ATR nan
2000-05-01 | Bull | 17.0 / 2.2% | HEAD 16% | TAIL 0% | B/ATR nan
2000-05-02 | Bull | 18.63 / 8.4% | HEAD 0% | TAIL 4% | B/ATR nan
2000-05-03 | Bull | 18.56 / 1.7% | HEAD 42% | TAIL 142% | B/ATR nan
2000-05-04 | Bear | 18.5 / -1.0% | HEAD 232% | TAIL 132% | B/ATR nan
2000-05-05 | Bear | 17.94 / -3.7% | HEAD 9% | TAIL 19% | B/ATR nan
