2000-08-11 | Bull | 17.25 / 6.9% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-12-06 | Bull | 15.84 / 5.5% | HEAD 7% | TAIL 4% | B/ATR 1.6
2000-12-15 | Bull | 15.99 / 5.2% | HEAD 14% | TAIL 0% | B/ATR 1.5
2001-01-22 | Bull | 16.25 / 6.7% | HEAD 0% | TAIL 8% | B/ATR 1.9
2001-02-26 | Bull | 16.14 / 5.4% | HEAD 20% | TAIL 1% | B/ATR 1.5
2001-03-08 | Bull | 17.35 / 6.4% | HEAD 4% | TAIL 10% | B/ATR 1.9
2002-04-26 | Bull | 20.39 / 4.5% | HEAD 14% | TAIL 14% | B/ATR 1.5
2002-05-17 | Bull | 21.97 / 4.5% | HEAD 0% | TAIL 0% | B/ATR 1.6
2003-05-30 | Bull | 17.48 / 5.2% | HEAD 14% | TAIL 0% | B/ATR 1.7
2003-08-19 | Bull | 18.92 / 4.9% | HEAD 0% | TAIL 0% | B/ATR 1.8
2003-11-12 | Bull | 21.19 / 3.9% | HEAD 0% | TAIL 0% | B/ATR 1.6
2003-12-15 | Bull | 22.15 / 3.9% | HEAD 7% | TAIL 0% | B/ATR 1.6
2005-03-02 | Bull | 25.0 / 3.4% | HEAD 4% | TAIL 10% | B/ATR 1.5
2005-06-29 | Bull | 25.8 / 4.4% | HEAD 0% | TAIL 0% | B/ATR 2.1
2007-05-02 | Bull | 29.58 / 4.7% | HEAD 12% | TAIL 10% | B/ATR 1.9
2007-07-18 | Bull | 33.78 / 5.2% | HEAD 2% | TAIL 0% | B/ATR 2.5
2007-07-30 | Bull | 33.28 / 4.3% | HEAD 1% | TAIL 0% | B/ATR 2.0
2007-09-06 | Bull | 36.2 / 6.9% | HEAD 11% | TAIL 3% | B/ATR 2.9
2007-10-09 | Bull | 41.9 / 3.6% | HEAD 12% | TAIL 2% | B/ATR 1.5
2007-11-20 | Bull | 42.3 / 7.1% | HEAD 1% | TAIL 0% | B/ATR 2.4
2007-12-28 | Bull | 42.88 / 5.4% | HEAD 0% | TAIL 0% | B/ATR 1.6
2008-01-11 | Bull | 51.2 / 4.5% | HEAD 10% | TAIL 1% | B/ATR 1.6
2008-01-22 | Bull | 49.58 / 9.9% | HEAD 0% | TAIL 3% | B/ATR 3.1
2008-09-19 | Bull | 35.1 / 13.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2008-10-08 | Bull | 35.71 / 12.3% | HEAD 0% | TAIL 11% | B/ATR 1.9
2008-11-21 | Bull | 27.05 / 21.8% | HEAD 5% | TAIL 10% | B/ATR 2.0
2009-11-03 | Bull | 39.17 / 8.1% | HEAD 4% | TAIL 8% | B/ATR 2.0
2010-11-08 | Bull | 51.21 / 4.6% | HEAD 3% | TAIL 1% | B/ATR 1.8
2011-04-05 | Bull | 54.28 / 5.6% | HEAD 3% | TAIL 7% | B/ATR 2.2
2012-01-25 | Bull | 48.41 / 6.5% | HEAD 11% | TAIL 9% | B/ATR 1.8
2012-05-23 | Bull | 39.6 / 6.7% | HEAD 0% | TAIL 8% | B/ATR 1.9
2013-09-18 | Bull | 20.11 / 11.0% | HEAD 14% | TAIL 2% | B/ATR 2.3
2014-11-14 | Bull | 12.28 / 7.5% | HEAD 8% | TAIL 14% | B/ATR 1.9
2016-02-03 | Bull | 10.73 / 7.5% | HEAD 9% | TAIL 3% | B/ATR 1.8
2016-02-18 | Bull | 12.63 / 7.4% | HEAD 5% | TAIL 9% | B/ATR 2.0
2016-03-16 | Bull | 15.18 / 8.7% | HEAD 3% | TAIL 18% | B/ATR 2.4
2016-04-11 | Bull | 16.31 / 5.6% | HEAD 7% | TAIL 3% | B/ATR 1.5
2016-04-29 | Bull | 19.37 / 7.9% | HEAD 2% | TAIL 1% | B/ATR 2.4
2016-06-03 | Bull | 19.18 / 6.6% | HEAD 4% | TAIL 0% | B/ATR 1.8
2016-09-21 | Bull | 18.69 / 6.9% | HEAD 9% | TAIL 4% | B/ATR 1.5
2018-01-02 | Bull | 15.2 / 3.8% | HEAD 7% | TAIL 7% | B/ATR 1.6
