2000-01-03 | Bear | 35.0 / -1.6% | HEAD 68% | TAIL 157% | B/ATR nan
2000-01-04 | Bear | 33.88 / -1.8% | HEAD 10% | TAIL 31% | B/ATR nan
2000-01-05 | Bull | 34.38 / 1.7% | HEAD 44% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 35.0 / 2.0% | HEAD 55% | TAIL 45% | B/ATR nan
2000-01-07 | Bull | 37.44 / 4.0% | HEAD 83% | TAIL 0% | B/ATR nan
2000-01-10 | Bull | 38.81 / 3.0% | HEAD 12% | TAIL 12% | B/ATR nan
2000-01-11 | Bull | 38.56 / 0.0% | HEAD 3800% | TAIL 4300% | B/ATR nan
2000-01-12 | Bull | 40.94 / 4.6% | HEAD 59% | TAIL 7% | B/ATR nan
2000-01-13 | Bull | 41.75 / 0.6% | HEAD 400% | TAIL 700% | B/ATR nan
2000-01-14 | Bull | 44.63 / 2.2% | HEAD 39% | TAIL 113% | B/ATR nan
2000-01-18 | Bear | 42.81 / -2.1% | HEAD 67% | TAIL 33% | B/ATR nan
2000-01-19 | Bull | 43.56 / 4.2% | HEAD 22% | TAIL 25% | B/ATR nan
2000-01-20 | Bear | 42.5 / -0.4% | HEAD 163% | TAIL 526% | B/ATR nan
2000-01-21 | Bear | 40.5 / -4.1% | HEAD 0% | TAIL 21% | B/ATR nan
2000-01-24 | Bear | 39.13 / -2.2% | HEAD 64% | TAIL 22% | B/ATR nan
2000-01-25 | Bear | 38.13 / -2.2% | HEAD 36% | TAIL 101% | B/ATR nan
2000-01-26 | Bull | 38.63 / 1.3% | HEAD 74% | TAIL 114% | B/ATR nan
2000-01-27 | Bull | 39.69 / 2.9% | HEAD 94% | TAIL 16% | B/ATR nan
2000-01-28 | Bull | 40.25 / 1.7% | HEAD 154% | TAIL 9% | B/ATR nan
2000-01-31 | Bull | 40.31 / 0.1% | HEAD 217% | TAIL 617% | B/ATR nan
2000-02-01 | Bull | 41.38 / 2.0% | HEAD 45% | TAIL 15% | B/ATR nan
2000-02-02 | Bull | 42.81 / 2.9% | HEAD 16% | TAIL 31% | B/ATR nan
2000-02-03 | Bull | 43.88 / 2.5% | HEAD 52% | TAIL 0% | B/ATR nan
2000-02-04 | Bull | 42.38 / 0.0% | HEAD 16200% | TAIL 1900% | B/ATR nan
2000-02-07 | Bull | 43.5 / 1.4% | HEAD 21% | TAIL 71% | B/ATR nan
2000-02-08 | Bear | 43.38 / -0.3% | HEAD 467% | TAIL 733% | B/ATR nan
2000-02-09 | Bear | 42.44 / -2.4% | HEAD 0% | TAIL 24% | B/ATR nan
2000-02-10 | Bear | 42.38 / -2.9% | HEAD 25% | TAIL 35% | B/ATR nan
2000-02-11 | Bear | 40.94 / -3.4% | HEAD 0% | TAIL 61% | B/ATR nan
2000-02-14 | Bull | 43.13 / 4.9% | HEAD 12% | TAIL 4% | B/ATR nan
2000-02-15 | Bear | 40.75 / -8.9% | HEAD 25% | TAIL 15% | B/ATR nan
2000-02-16 | Bear | 39.25 / -3.7% | HEAD 63% | TAIL 4% | B/ATR nan
2000-02-17 | Bear | 39.38 / -2.5% | HEAD 25% | TAIL 19% | B/ATR nan
2000-02-18 | Bull | 40.88 / 2.5% | HEAD 31% | TAIL 0% | B/ATR nan
2000-02-22 | Bear | 40.5 / -1.2% | HEAD 188% | TAIL 62% | B/ATR nan
2000-02-23 | Bull | 40.56 / 1.2% | HEAD 76% | TAIL 62% | B/ATR nan
2000-02-24 | Bear | 39.5 / -2.0% | HEAD 16% | TAIL 54% | B/ATR nan
2000-02-25 | Bull | 39.88 / 1.0% | HEAD 163% | TAIL 32% | B/ATR nan
2000-02-28 | Bull | 39.94 / 0.2% | HEAD 0% | TAIL 2817% | B/ATR nan
2000-02-29 | Bull | 40.0 / 1.1% | HEAD 30% | TAIL 127% | B/ATR nan
2000-03-01 | Bear | 38.56 / -3.6% | HEAD 9% | TAIL 8% | B/ATR nan
2000-03-02 | Bear | 37.75 / -1.2% | HEAD 70% | TAIL 198% | B/ATR nan
2000-03-03 | Bear | 36.88 / -1.7% | HEAD 50% | TAIL 11% | B/ATR nan
2000-03-06 | Bear | 36.56 / -1.3% | HEAD 0% | TAIL 300% | B/ATR nan
2000-03-07 | Bear | 36.25 / -0.4% | HEAD 623% | TAIL 285% | B/ATR nan
2000-03-08 | Bear | 35.44 / -2.1% | HEAD 33% | TAIL 25% | B/ATR nan
2000-03-09 | Bull | 38.44 / 7.1% | HEAD 7% | TAIL 5% | B/ATR nan
2000-03-10 | Bear | 37.56 / -1.0% | HEAD 213% | TAIL 213% | B/ATR nan
2000-03-13 | Bull | 38.13 / 3.1% | HEAD 22% | TAIL 55% | B/ATR nan
2000-03-14 | Bear | 35.81 / -5.5% | HEAD 3% | TAIL 36% | B/ATR nan
2000-03-15 | Bear | 35.31 / -1.9% | HEAD 0% | TAIL 190% | B/ATR nan
2000-03-16 | Bull | 40.44 / 13.9% | HEAD 4% | TAIL 2% | B/ATR nan
2000-03-17 | Bear | 38.94 / -4.2% | HEAD 0% | TAIL 33% | B/ATR nan
2000-03-20 | Bear | 37.69 / -2.0% | HEAD 108% | TAIL 108% | B/ATR nan
2000-03-21 | Bull | 39.25 / 4.8% | HEAD 0% | TAIL 10% | B/ATR nan
2000-03-22 | Bull | 39.06 / 0.5% | HEAD 139% | TAIL 278% | B/ATR nan
2000-03-23 | Bear | 38.44 / -0.8% | HEAD 142% | TAIL 181% | B/ATR nan
2000-03-24 | Bull | 38.44 / 1.3% | HEAD 12% | TAIL 112% | B/ATR nan
2000-03-27 | Bull | 38.94 / 1.0% | HEAD 97% | TAIL 0% | B/ATR nan
2000-03-28 | Bear | 37.5 / -3.4% | HEAD 5% | TAIL 76% | B/ATR nan
2000-03-29 | Bear | 37.5 / -1.0% | HEAD 66% | TAIL 163% | B/ATR nan
2000-03-30 | Bear | 37.5 / -0.3% | HEAD 238% | TAIL 338% | B/ATR nan
2000-03-31 | Bull | 39.69 / 6.0% | HEAD 67% | TAIL 3% | B/ATR nan
2000-04-03 | Bear | 38.94 / -2.5% | HEAD 87% | TAIL 63% | B/ATR nan
2000-04-04 | Bull | 41.13 / 7.0% | HEAD 21% | TAIL 35% | B/ATR nan
2000-04-05 | Bull | 45.44 / 7.1% | HEAD 29% | TAIL 17% | B/ATR nan
2000-04-06 | Bear | 44.88 / -1.4% | HEAD 161% | TAIL 142% | B/ATR nan
2000-04-07 | Bear | 44.81 / -0.4% | HEAD 163% | TAIL 295% | B/ATR nan
2000-04-10 | Bull | 45.5 / 1.1% | HEAD 88% | TAIL 62% | B/ATR nan
2000-04-11 | Bear | 45.13 / -0.6% | HEAD 48% | TAIL 328% | B/ATR nan
2000-04-12 | Bull | 46.88 / 2.3% | HEAD 81% | TAIL 11% | B/ATR nan
2000-04-13 | Bear | 47.38 / -1.0% | HEAD 24% | TAIL 126% | B/ATR nan
2000-04-14 | Bear | 45.25 / -4.2% | HEAD 3% | TAIL 88% | B/ATR nan
2000-04-17 | Bear | 44.75 / -0.6% | HEAD 0% | TAIL 500% | B/ATR nan
2000-04-18 | Bull | 46.31 / 3.2% | HEAD 9% | TAIL 17% | B/ATR nan
2000-04-19 | Bull | 46.94 / 1.4% | HEAD 49% | TAIL 40% | B/ATR nan
2000-04-20 | Bear | 46.13 / -1.7% | HEAD 85% | TAIL 23% | B/ATR nan
2000-04-24 | Bear | 45.0 / -2.4% | HEAD 0% | TAIL 11% | B/ATR nan
2000-04-25 | Bull | 46.06 / 2.1% | HEAD 0% | TAIL 14% | B/ATR nan
2000-04-26 | Bear | 44.75 / -3.9% | HEAD 4% | TAIL 20% | B/ATR nan
2000-04-27 | Bear | 43.69 / -1.8% | HEAD 23% | TAIL 100% | B/ATR nan
2000-04-28 | Bull | 44.94 / 2.4% | HEAD 6% | TAIL 36% | B/ATR nan
2000-05-01 | Bull | 44.75 / 2.9% | HEAD 40% | TAIL 60% | B/ATR nan
2000-05-02 | Bear | 44.06 / -0.7% | HEAD 78% | TAIL 116% | B/ATR nan
2000-05-03 | Bull | 44.0 / 0.3% | HEAD 525% | TAIL 0% | B/ATR nan
2000-05-04 | Bull | 44.63 / 1.4% | HEAD 79% | TAIL 0% | B/ATR nan
2000-05-05 | Bull | 45.5 / 2.2% | HEAD 19% | TAIL 25% | B/ATR nan
2000-05-08 | Bull | 45.94 / 0.1% | HEAD 517% | TAIL 417% | B/ATR nan
2000-05-09 | Bull | 48.94 / 5.4% | HEAD 2% | TAIL 8% | B/ATR nan
2000-05-10 | Bull | 49.94 / 2.2% | HEAD 76% | TAIL 36% | B/ATR nan
2000-05-11 | Bear | 50.5 / -1.6% | HEAD 0% | TAIL 54% | B/ATR nan
2000-05-12 | Bear | 49.5 / -2.0% | HEAD 0% | TAIL 112% | B/ATR nan
2000-05-15 | Bull | 50.13 / 0.8% | HEAD 32% | TAIL 263% | B/ATR nan
2000-05-16 | Bear | 49.5 / -1.1% | HEAD 0% | TAIL 155% | B/ATR nan
2000-05-17 | Bear | 48.56 / -0.9% | HEAD 0% | TAIL 141% | B/ATR nan
2000-05-18 | Bull | 48.94 / 0.8% | HEAD 147% | TAIL 0% | B/ATR nan
2000-05-19 | Bull | 49.06 / 1.8% | HEAD 44% | TAIL 57% | B/ATR nan
2000-05-22 | Bull | 50.06 / 1.5% | HEAD 76% | TAIL 157% | B/ATR nan
2000-05-23 | Bear | 49.25 / -1.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-24 | Bear | 48.75 / -1.0% | HEAD 12% | TAIL 224% | B/ATR nan
2000-05-25 | Bear | 41.56 / -7.6% | HEAD 0% | TAIL 15% | B/ATR nan
2000-05-26 | Bull | 44.19 / 3.7% | HEAD 16% | TAIL 4% | B/ATR nan
2000-05-30 | Bear | 43.25 / -3.1% | HEAD 18% | TAIL 22% | B/ATR nan
2000-05-31 | Bull | 44.31 / 1.6% | HEAD 101% | TAIL 10% | B/ATR nan
2000-06-01 | Bull | 45.94 / 4.0% | HEAD 32% | TAIL 14% | B/ATR nan
2000-06-02 | Bear | 44.81 / -2.7% | HEAD 10% | TAIL 110% | B/ATR nan
2000-06-05 | Bull | 45.13 / 1.1% | HEAD 24% | TAIL 88% | B/ATR nan
2000-06-06 | Bull | 45.91 / 1.2% | HEAD 28% | TAIL 94% | B/ATR nan
2000-06-07 | Bear | 45.56 / -0.3% | HEAD 92% | TAIL 715% | B/ATR nan
2000-06-08 | Bear | 45.09 / -2.4% | HEAD 0% | TAIL 14% | B/ATR nan
2000-06-09 | Bear | 44.13 / -0.3% | HEAD 675% | TAIL 208% | B/ATR nan
2000-06-12 | Bear | 43.09 / -2.4% | HEAD 36% | TAIL 20% | B/ATR nan
2000-06-13 | Bull | 45.69 / 5.3% | HEAD 11% | TAIL 0% | B/ATR nan
2000-06-14 | Bear | 45.75 / -0.5% | HEAD 352% | TAIL 200% | B/ATR nan
2000-06-15 | Bull | 47.44 / 2.0% | HEAD 33% | TAIL 47% | B/ATR nan
2000-06-16 | Bull | 47.13 / 0.3% | HEAD 577% | TAIL 431% | B/ATR nan
2000-06-19 | Bear | 46.38 / -1.6% | HEAD 8% | TAIL 25% | B/ATR nan
2000-06-20 | Bear | 45.91 / -1.1% | HEAD 36% | TAIL 6% | B/ATR nan
2000-06-21 | Bull | 46.66 / 1.3% | HEAD 98% | TAIL 0% | B/ATR nan
2000-06-22 | Bear | 45.28 / -3.1% | HEAD 0% | TAIL 53% | B/ATR 0.7
2000-06-23 | Bull | 46.56 / 2.2% | HEAD 38% | TAIL 0% | B/ATR 0.5
2000-06-26 | Bull | 48.16 / 1.9% | HEAD 3% | TAIL 76% | B/ATR 0.5
2000-06-27 | Bull | 48.41 / 1.0% | HEAD 113% | TAIL 119% | B/ATR 0.2
2000-06-28 | Bull | 50.36 / 4.2% | HEAD 40% | TAIL 3% | B/ATR 1.0
2000-06-29 | Bull | 53.97 / 7.8% | HEAD 12% | TAIL 5% | B/ATR 2.0
2000-06-30 | Bear | 53.75 / -0.6% | HEAD 203% | TAIL 545% | B/ATR 0.2
2000-07-03 | Bear | 52.97 / -1.5% | HEAD 0% | TAIL 140% | B/ATR 0.4
2000-07-05 | Bull | 53.97 / 1.9% | HEAD 3% | TAIL 61% | B/ATR 0.5
2000-07-06 | Bull | 54.75 / 1.0% | HEAD 134% | TAIL 23% | B/ATR 0.3
2000-07-07 | Bear | 54.66 / -0.6% | HEAD 112% | TAIL 176% | B/ATR 0.2
2000-07-10 | Bull | 54.66 / 0.1% | HEAD 3233% | TAIL 433% | B/ATR 0.0
2000-07-11 | Bear | 54.44 / -0.8% | HEAD 70% | TAIL 114% | B/ATR 0.2
2000-07-12 | Bear | 52.75 / -3.0% | HEAD 23% | TAIL 31% | B/ATR 0.8
2000-07-13 | Bear | 51.78 / -1.6% | HEAD 14% | TAIL 69% | B/ATR 0.4
2000-07-14 | Bull | 56.03 / 0.3% | HEAD 520% | TAIL 213% | B/ATR 0.1
2000-07-17 | Bull | 56.72 / 1.3% | HEAD 196% | TAIL 26% | B/ATR 0.4
2000-07-18 | Bear | 55.44 / -1.9% | HEAD 0% | TAIL 36% | B/ATR 0.5
2000-07-19 | Bear | 53.88 / -4.2% | HEAD 0% | TAIL 37% | B/ATR 1.2
2000-07-20 | Bear | 53.81 / -0.9% | HEAD 50% | TAIL 24% | B/ATR 0.3
2000-07-21 | Bull | 55.88 / 3.7% | HEAD 6% | TAIL 0% | B/ATR 1.0
2000-07-24 | Bull | 58.89 / 5.4% | HEAD 16% | TAIL 0% | B/ATR 1.5
2000-07-25 | Bear | 58.72 / -0.5% | HEAD 200% | TAIL 236% | B/ATR 0.1
2000-07-26 | Bull | 58.34 / 0.4% | HEAD 138% | TAIL 390% | B/ATR 0.1
2000-07-27 | Bull | 59.09 / 1.7% | HEAD 17% | TAIL 170% | B/ATR 0.5
2000-07-28 | Bear | 58.56 / -1.0% | HEAD 0% | TAIL 54% | B/ATR 0.3
2000-07-31 | Bear | 55.25 / -5.8% | HEAD 15% | TAIL 37% | B/ATR 1.7
2000-08-01 | Bull | 55.5 / 0.5% | HEAD 824% | TAIL 124% | B/ATR 0.1
2000-08-02 | Bear | 54.06 / -1.5% | HEAD 68% | TAIL 174% | B/ATR 0.4
2000-08-03 | Bear | 52.25 / -0.9% | HEAD 38% | TAIL 0% | B/ATR 0.3
2000-08-04 | Bull | 54.75 / 3.8% | HEAD 28% | TAIL 0% | B/ATR 1.0
2000-08-07 | Bear | 54.44 / -0.6% | HEAD 0% | TAIL 142% | B/ATR 0.2
2000-08-08 | Bear | 53.48 / -0.5% | HEAD 22% | TAIL 341% | B/ATR 0.1
2000-08-09 | Bear | 51.94 / -2.0% | HEAD 12% | TAIL 24% | B/ATR 0.5
2000-08-10 | Bear | 53.16 / -0.6% | HEAD 112% | TAIL 156% | B/ATR 0.2
2000-08-11 | Bull | 55.03 / 4.2% | HEAD 27% | TAIL 5% | B/ATR 1.1
2000-08-14 | Bear | 54.03 / -2.0% | HEAD 34% | TAIL 3% | B/ATR 0.6
2000-08-15 | Bear | 53.09 / -2.0% | HEAD 0% | TAIL 14% | B/ATR 0.6
2000-08-16 | Bear | 53.13 / -0.1% | HEAD 417% | TAIL 217% | B/ATR 0.0
2000-08-17 | Bull | 55.22 / 5.1% | HEAD 20% | TAIL 0% | B/ATR 1.3
2000-08-18 | Bear | 55.72 / -1.8% | HEAD 0% | TAIL 70% | B/ATR 0.5
2000-08-21 | Bear | 55.44 / -0.7% | HEAD 135% | TAIL 16% | B/ATR 0.2
2000-08-22 | Bull | 56.44 / 1.7% | HEAD 33% | TAIL 13% | B/ATR 0.5
2000-08-23 | Bear | 55.06 / -2.4% | HEAD 0% | TAIL 4% | B/ATR 0.7
2000-08-24 | Bull | 56.5 / 3.0% | HEAD 23% | TAIL 43% | B/ATR 0.8
2000-08-25 | Bull | 60.72 / 7.4% | HEAD 16% | TAIL 0% | B/ATR 2.1
2000-08-28 | Bear | 59.59 / -1.9% | HEAD 65% | TAIL 8% | B/ATR 0.6
2000-08-29 | Bear | 59.19 / -1.3% | HEAD 16% | TAIL 141% | B/ATR 0.4
2000-08-30 | Bull | 60.09 / 1.5% | HEAD 39% | TAIL 14% | B/ATR 0.5
2000-08-31 | Bull | 61.66 / 2.2% | HEAD 53% | TAIL 4% | B/ATR 0.7
2000-09-01 | Bull | 63.41 / 2.5% | HEAD 6% | TAIL 0% | B/ATR 0.8
2000-09-05 | Bull | 63.59 / 0.7% | HEAD 35% | TAIL 137% | B/ATR 0.2
2000-09-06 | Bull | 65.31 / 2.6% | HEAD 26% | TAIL 4% | B/ATR 0.8
2000-09-07 | Bull | 69.72 / 6.6% | HEAD 22% | TAIL 0% | B/ATR 2.2
2000-09-08 | Bear | 69.72 / -0.1% | HEAD 1878% | TAIL 1011% | B/ATR 0.0
2000-09-11 | Bear | 68.63 / -1.6% | HEAD 39% | TAIL 129% | B/ATR 0.6
2000-09-12 | Bear | 64.13 / -6.5% | HEAD 0% | TAIL 73% | B/ATR 2.2
2000-09-13 | Bull | 51.0 / 2.0% | HEAD 213% | TAIL 187% | B/ATR 0.5
2000-09-14 | Bull | 54.94 / 3.7% | HEAD 113% | TAIL 13% | B/ATR 1.0
2000-09-15 | Bear | 55.19 / -1.4% | HEAD 38% | TAIL 100% | B/ATR 0.4
