2000-06-29 | Bull | 53.97 / 7.8% | HEAD 12% | TAIL 5% | B/ATR 2.0
2000-07-24 | Bull | 58.89 / 5.4% | HEAD 16% | TAIL 0% | B/ATR 1.5
2000-08-25 | Bull | 60.72 / 7.4% | HEAD 16% | TAIL 0% | B/ATR 2.1
2001-02-16 | Bull | 57.0 / 7.5% | HEAD 0% | TAIL 11% | B/ATR 1.6
2003-01-16 | Bull | 30.28 / 11.6% | HEAD 11% | TAIL 0% | B/ATR 3.5
2003-05-06 | Bull | 33.15 / 6.9% | HEAD 7% | TAIL 0% | B/ATR 2.5
2003-05-07 | Bull | 35.36 / 4.9% | HEAD 0% | TAIL 18% | B/ATR 2.0
2003-06-05 | Bull | 39.48 / 3.8% | HEAD 6% | TAIL 8% | B/ATR 1.6
2003-09-08 | Bull | 44.29 / 5.4% | HEAD 3% | TAIL 19% | B/ATR 2.4
2003-11-05 | Bull | 42.32 / 8.2% | HEAD 6% | TAIL 0% | B/ATR 3.5
2004-01-09 | Bull | 46.25 / 3.5% | HEAD 13% | TAIL 0% | B/ATR 1.6
2005-04-05 | Bull | 31.89 / 4.4% | HEAD 7% | TAIL 7% | B/ATR 2.0
2005-09-09 | Bull | 35.83 / 2.9% | HEAD 8% | TAIL 2% | B/ATR 1.8
2005-09-30 | Bull | 36.61 / 2.7% | HEAD 15% | TAIL 7% | B/ATR 1.7
2007-09-04 | Bull | 30.66 / 6.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2008-02-14 | Bull | 28.43 / 5.3% | HEAD 2% | TAIL 0% | B/ATR 2.0
2008-07-18 | Bull | 29.9 / 6.6% | HEAD 7% | TAIL 0% | B/ATR 2.5
2009-04-23 | Bull | 30.9 / 5.5% | HEAD 4% | TAIL 17% | B/ATR 1.5
2009-06-17 | Bull | 30.27 / 7.9% | HEAD 19% | TAIL 0% | B/ATR 2.1
2010-05-11 | Bull | 43.16 / 3.9% | HEAD 10% | TAIL 0% | B/ATR 2.2
2010-06-02 | Bull | 44.43 / 3.8% | HEAD 1% | TAIL 0% | B/ATR 2.1
2010-11-11 | Bull | 50.98 / 3.4% | HEAD 18% | TAIL 5% | B/ATR 1.9
2011-04-27 | Bull | 61.73 / 3.4% | HEAD 4% | TAIL 11% | B/ATR 2.1
2011-06-28 | Bull | 68.2 / 2.9% | HEAD 5% | TAIL 13% | B/ATR 1.9
2011-08-23 | Bull | 64.53 / 4.1% | HEAD 2% | TAIL 0% | B/ATR 2.1
2013-05-10 | Bull | 119.86 / 11.4% | HEAD 10% | TAIL 16% | B/ATR 7.5
2013-10-17 | Bull | 146.87 / 2.9% | HEAD 8% | TAIL 0% | B/ATR 1.6
2014-01-08 | Bull | 177.11 / 4.1% | HEAD 10% | TAIL 8% | B/ATR 2.3
2014-03-03 | Bull | 218.82 / 2.7% | HEAD 10% | TAIL 11% | B/ATR 1.6
2014-04-09 | Bull | 201.86 / 3.5% | HEAD 1% | TAIL 15% | B/ATR 1.5
2014-11-18 | Bull | 269.6 / 7.9% | HEAD 0% | TAIL 0% | B/ATR 3.6
2015-07-28 | Bull | 339.5 / 3.5% | HEAD 4% | TAIL 3% | B/ATR 1.9
2015-09-30 | Bull | 271.81 / 5.2% | HEAD 9% | TAIL 13% | B/ATR 1.8
2015-10-27 | Bull | 285.77 / 5.6% | HEAD 14% | TAIL 0% | B/ATR 1.8
2017-02-01 | Bull | 229.32 / 4.7% | HEAD 12% | TAIL 14% | B/ATR 1.7
2018-01-22 | Bull | 188.15 / 4.0% | HEAD 4% | TAIL 4% | B/ATR 1.5
2018-02-14 | Bull | 166.63 / 6.0% | HEAD 4% | TAIL 13% | B/ATR 2.0
