2004-05-05 | Bear | 13.48 / -0.1% | HEAD 450% | TAIL 350% | B/ATR nan
2004-05-06 | Bull | 13.56 / 0.5% | HEAD 129% | TAIL 186% | B/ATR nan
2004-05-07 | Bear | 13.25 / -1.3% | HEAD 82% | TAIL 88% | B/ATR nan
2004-05-10 | Bear | 12.83 / -3.5% | HEAD 0% | TAIL 32% | B/ATR nan
2004-05-11 | Bull | 13.08 / 0.6% | HEAD 125% | TAIL 125% | B/ATR nan
2004-05-12 | Bear | 13.0 / -0.7% | HEAD 156% | TAIL 167% | B/ATR nan
2004-05-13 | Bear | 12.94 / -0.2% | HEAD 433% | TAIL 467% | B/ATR nan
2004-05-14 | Bull | 13.081 / 1.8% | HEAD 39% | TAIL 22% | B/ATR nan
2004-05-17 | Bear | 12.93 / -0.9% | HEAD 42% | TAIL 100% | B/ATR nan
2004-05-18 | Bull | 13.14 / 1.5% | HEAD 26% | TAIL 79% | B/ATR nan
2004-05-19 | Bear | 13.1 / -0.4% | HEAD 880% | TAIL 200% | B/ATR nan
2004-05-20 | Bull | 13.07 / 0.1% | HEAD 2300% | TAIL 100% | B/ATR nan
2004-05-21 | Bull | 13.16 / 0.3% | HEAD 200% | TAIL 300% | B/ATR nan
2004-05-24 | Bear | 13.0 / -1.9% | HEAD 16% | TAIL 48% | B/ATR nan
2004-05-25 | Bear | 12.95 / -0.8% | HEAD 60% | TAIL 120% | B/ATR nan
2004-05-26 | Bull | 13.24 / 1.8% | HEAD 50% | TAIL 17% | B/ATR nan
2004-05-27 | Bull | 13.46 / 2.0% | HEAD 11% | TAIL 7% | B/ATR nan
2004-05-28 | Bear | 13.33 / -0.9% | HEAD 42% | TAIL 0% | B/ATR nan
2004-06-01 | Bear | 13.43 / -0.4% | HEAD 17% | TAIL 467% | B/ATR nan
2004-06-02 | Bull | 13.5 / 0.4% | HEAD 0% | TAIL 260% | B/ATR nan
2004-06-03 | Bear | 13.4 / -0.7% | HEAD 0% | TAIL 70% | B/ATR nan
2004-06-04 | Bull | 13.5 / 0.4% | HEAD 20% | TAIL 180% | B/ATR nan
2004-06-07 | Bear | 13.52 / -0.1% | HEAD 50% | TAIL 400% | B/ATR nan
2004-06-08 | Bear | 13.49 / -0.1% | HEAD 100% | TAIL 1100% | B/ATR nan
2004-06-09 | Bear | 13.47 / -0.2% | HEAD 233% | TAIL 400% | B/ATR nan
2004-06-10 | Bear | 13.43 / -0.3% | HEAD 75% | TAIL 350% | B/ATR nan
2004-06-14 | Bear | 13.2 / -0.4% | HEAD 260% | TAIL 240% | B/ATR nan
2004-06-15 | Bull | 13.42 / 0.3% | HEAD 0% | TAIL 450% | B/ATR nan
2004-06-16 | Bear | 13.26 / -1.3% | HEAD 41% | TAIL 0% | B/ATR nan
2004-06-17 | Bear | 13.12 / -1.1% | HEAD 67% | TAIL 13% | B/ATR nan
2004-06-18 | Bull | 13.3 / 0.5% | HEAD 17% | TAIL 383% | B/ATR nan
2004-06-21 | Bull | 13.29 / 0.7% | HEAD 22% | TAIL 56% | B/ATR nan
2004-06-22 | Bull | 13.5 / 1.5% | HEAD 30% | TAIL 5% | B/ATR nan
2004-06-23 | Bull | 13.78 / 2.1% | HEAD 61% | TAIL 68% | B/ATR nan
2004-06-24 | Bear | 13.5 / -1.9% | HEAD 15% | TAIL 38% | B/ATR nan
2004-06-25 | Bull | 13.75 / 1.8% | HEAD 104% | TAIL 1567% | B/ATR nan
2004-06-28 | Bear | 13.48 / -1.2% | HEAD 59% | TAIL 135% | B/ATR nan
2004-06-29 | Bull | 13.7 / 2.3% | HEAD 16% | TAIL 26% | B/ATR nan
2004-06-30 | Bull | 13.77 / 0.5% | HEAD 43% | TAIL 157% | B/ATR nan
2004-07-01 | Bear | 13.41 / -2.7% | HEAD 0% | TAIL 0% | B/ATR nan
2004-07-02 | Bear | 13.45 / -0.3% | HEAD 50% | TAIL 275% | B/ATR nan
2004-07-06 | Bear | 13.36 / -0.7% | HEAD 33% | TAIL 67% | B/ATR nan
2004-07-07 | Bear | 13.41 / -0.1% | HEAD 350% | TAIL 550% | B/ATR nan
2004-07-08 | Bear | 13.06 / -2.2% | HEAD 17% | TAIL 0% | B/ATR nan
2004-07-09 | Bull | 13.3 / 0.2% | HEAD 400% | TAIL 500% | B/ATR nan
2004-07-12 | Bull | 13.39 / 1.1% | HEAD 79% | TAIL 29% | B/ATR nan
2004-07-13 | Bear | 13.41 / -0.7% | HEAD 0% | TAIL 144% | B/ATR nan
2004-07-14 | Bear | 13.21 / -0.8% | HEAD 100% | TAIL 0% | B/ATR nan
2004-07-15 | Bull | 13.3 / 0.4% | HEAD 300% | TAIL 20% | B/ATR nan
2004-07-16 | Bear | 13.1 / -1.1% | HEAD 107% | TAIL 21% | B/ATR nan
2004-07-19 | Bear | 13.61 / -0.4% | HEAD 483% | TAIL 183% | B/ATR nan
2004-07-20 | Bull | 13.75 / 0.0% | HEAD 1300% | TAIL 2000% | B/ATR nan
2004-07-21 | Bear | 13.56 / -2.5% | HEAD 23% | TAIL 3% | B/ATR nan
2004-07-22 | Bull | 13.64 / 0.7% | HEAD 233% | TAIL 0% | B/ATR nan
2004-07-23 | Bear | 13.51 / -1.7% | HEAD 57% | TAIL 0% | B/ATR nan
2004-07-26 | Bear | 13.42 / -2.4% | HEAD 15% | TAIL 6% | B/ATR nan
2004-07-27 | Bull | 13.5 / 0.4% | HEAD 150% | TAIL 0% | B/ATR nan
2004-07-28 | Bull | 13.65 / 1.7% | HEAD 39% | TAIL 0% | B/ATR nan
2004-07-29 | Bear | 13.63 / -1.1% | HEAD 0% | TAIL 80% | B/ATR nan
2004-07-30 | Bull | 13.63 / 0.2% | HEAD 267% | TAIL 267% | B/ATR nan
2004-08-02 | Bear | 13.7 / -0.4% | HEAD 100% | TAIL 100% | B/ATR nan
2004-08-03 | Bear | 13.62 / -0.9% | HEAD 0% | TAIL 46% | B/ATR nan
2004-08-04 | Bear | 13.51 / -0.7% | HEAD 120% | TAIL 10% | B/ATR nan
2004-08-05 | Bear | 13.5 / -1.1% | HEAD 0% | TAIL 7% | B/ATR nan
2004-08-06 | Bear | 13.23 / -1.4% | HEAD 68% | TAIL 11% | B/ATR nan
2004-08-09 | Bear | 13.15 / -1.4% | HEAD 5% | TAIL 0% | B/ATR nan
2004-08-10 | Bull | 13.37 / 0.5% | HEAD 50% | TAIL 100% | B/ATR nan
2004-08-11 | Bear | 13.1 / -2.2% | HEAD 14% | TAIL 0% | B/ATR nan
2004-08-12 | Bear | 13.13 / -0.9% | HEAD 33% | TAIL 25% | B/ATR nan
2004-08-13 | Bear | 13.15 / -0.7% | HEAD 22% | TAIL 56% | B/ATR nan
2004-08-16 | Bull | 13.32 / 0.1% | HEAD 300% | TAIL 900% | B/ATR nan
2004-08-17 | Bear | 13.15 / -1.7% | HEAD 17% | TAIL 9% | B/ATR nan
2004-08-18 | Bear | 13.22 / -0.5% | HEAD 0% | TAIL 114% | B/ATR nan
2004-08-19 | Bear | 13.18 / -0.2% | HEAD 400% | TAIL 250% | B/ATR nan
2004-08-20 | Bull | 13.4 / 1.2% | HEAD 12% | TAIL 38% | B/ATR nan
2004-08-23 | Bull | 13.71 / 0.8% | HEAD 36% | TAIL 73% | B/ATR nan
2004-08-24 | Bull | 13.89 / 0.7% | HEAD 56% | TAIL 144% | B/ATR nan
2004-08-25 | Bear | 14.05 / -0.3% | HEAD 450% | TAIL 250% | B/ATR nan
2004-08-26 | Bear | 14.06 / -1.1% | HEAD 6% | TAIL 38% | B/ATR nan
2004-08-27 | Bear | 14.06 / -0.9% | HEAD 38% | TAIL 77% | B/ATR nan
2004-08-30 | Bear | 13.98 / -2.1% | HEAD 0% | TAIL 20% | B/ATR nan
2004-08-31 | Bear | 14.03 / -0.4% | HEAD 140% | TAIL 240% | B/ATR nan
2004-09-01 | Bull | 14.32 / 1.1% | HEAD 244% | TAIL 100% | B/ATR nan
2004-09-02 | Bull | 14.49 / 0.3% | HEAD 275% | TAIL 225% | B/ATR nan
2004-09-03 | Bull | 14.57 / 0.3% | HEAD 450% | TAIL 375% | B/ATR nan
2004-09-07 | Bear | 14.49 / -1.7% | HEAD 0% | TAIL 36% | B/ATR nan
2004-09-08 | Bear | 14.33 / -1.8% | HEAD 42% | TAIL 0% | B/ATR nan
2004-09-09 | Bear | 14.18 / -1.3% | HEAD 42% | TAIL 42% | B/ATR nan
2004-09-10 | Bull | 14.2 / 0.0% | HEAD 500% | TAIL 1400% | B/ATR nan
2004-09-13 | Bull | 14.35 / 0.3% | HEAD 180% | TAIL 400% | B/ATR nan
2004-09-14 | Bear | 14.29 / -0.4% | HEAD 250% | TAIL 17% | B/ATR nan
2004-09-15 | Bear | 14.27 / -0.6% | HEAD 63% | TAIL 237% | B/ATR nan
2004-09-16 | Bear | 14.26 / -0.3% | HEAD 50% | TAIL 275% | B/ATR nan
2004-09-17 | Bear | 13.99 / -2.6% | HEAD 3% | TAIL 5% | B/ATR nan
2004-09-20 | Bear | 13.98 / -1.1% | HEAD 13% | TAIL 0% | B/ATR nan
2004-09-21 | Bull | 14.04 / 0.3% | HEAD 125% | TAIL 150% | B/ATR nan
2004-09-22 | Bear | 14.01 / -0.4% | HEAD 67% | TAIL 267% | B/ATR nan
2004-09-23 | Bear | 13.96 / -0.6% | HEAD 67% | TAIL 33% | B/ATR nan
2004-09-24 | Bull | 13.97 / 0.2% | HEAD 167% | TAIL 0% | B/ATR nan
2004-09-27 | Bear | 13.85 / -0.2% | HEAD 500% | TAIL 0% | B/ATR 0.1
2004-09-28 | Bear | 13.96 / -0.1% | HEAD 0% | TAIL 2000% | B/ATR 0.0
2004-09-29 | Bull | 14.09 / 1.7% | HEAD 0% | TAIL 29% | B/ATR 0.7
2004-09-30 | Bull | 14.15 / 1.4% | HEAD 0% | TAIL 25% | B/ATR 0.6
2004-10-01 | Bear | 13.91 / -0.7% | HEAD 230% | TAIL 60% | B/ATR 0.3
2004-10-04 | Bear | 13.92 / -0.7% | HEAD 0% | TAIL 70% | B/ATR 0.3
2004-10-05 | Bull | 13.89 / 0.1% | HEAD 800% | TAIL 500% | B/ATR 0.0
2004-10-06 | Bear | 13.6 / -1.4% | HEAD 53% | TAIL 47% | B/ATR 0.6
2004-10-07 | Bull | 13.69 / 0.9% | HEAD 92% | TAIL 8% | B/ATR 0.4
2004-10-08 | Bear | 13.43 / -1.2% | HEAD 88% | TAIL 0% | B/ATR 0.5
2004-10-11 | Bull | 13.7 / 2.1% | HEAD 7% | TAIL 0% | B/ATR 0.8
2004-10-12 | Bear | 13.7 / -0.1% | HEAD 0% | TAIL 700% | B/ATR 0.1
2004-10-13 | Bear | 13.58 / -1.5% | HEAD 0% | TAIL 0% | B/ATR 0.6
2004-10-14 | Bear | 13.5 / -0.3% | HEAD 450% | TAIL 150% | B/ATR 0.1
2004-10-15 | Bull | 13.57 / 0.1% | HEAD 1400% | TAIL 1000% | B/ATR 0.0
2004-10-18 | Bull | 13.61 / 0.6% | HEAD 138% | TAIL 0% | B/ATR 0.2
2004-10-19 | Bull | 13.7 / 0.3% | HEAD 50% | TAIL 375% | B/ATR 0.1
2004-10-20 | Bull | 13.6 / 0.1% | HEAD 750% | TAIL 350% | B/ATR 0.1
2004-10-21 | Bull | 13.61 / 0.1% | HEAD 700% | TAIL 800% | B/ATR 0.0
2004-10-22 | Bear | 13.5 / -0.5% | HEAD 114% | TAIL 0% | B/ATR 0.2
2004-10-25 | Bull | 13.59 / 0.5% | HEAD 66% | TAIL 29% | B/ATR 0.2
2004-10-26 | Bull | 13.54 / 0.1% | HEAD 500% | TAIL 600% | B/ATR 0.1
2004-10-27 | Bull | 13.58 / 0.6% | HEAD 37% | TAIL 100% | B/ATR 0.3
2004-10-28 | Bear | 13.47 / -1.0% | HEAD 0% | TAIL 57% | B/ATR 0.4
2004-10-29 | Bull | 13.6 / 1.8% | HEAD 42% | TAIL 0% | B/ATR 0.8
2004-11-01 | Bull | 13.73 / 0.9% | HEAD 17% | TAIL 75% | B/ATR 0.4
2004-11-02 | Bear | 13.76 / -0.1% | HEAD 0% | TAIL 850% | B/ATR 0.1
2004-11-03 | Bear | 13.93 / -0.9% | HEAD 8% | TAIL 150% | B/ATR 0.4
2004-11-04 | Bear | 13.88 / -0.5% | HEAD 57% | TAIL 43% | B/ATR 0.2
2004-11-05 | Bear | 13.95 / -0.1% | HEAD 50% | TAIL 950% | B/ATR 0.1
2004-11-08 | Bear | 13.85 / -0.2% | HEAD 400% | TAIL 67% | B/ATR 0.1
2004-11-09 | Bull | 13.72 / 2.3% | HEAD 6% | TAIL 0% | B/ATR 1.0
2004-11-10 | Bull | 13.8 / 1.6% | HEAD 41% | TAIL 0% | B/ATR 0.7
2004-11-11 | Bull | 14.06 / 2.9% | HEAD 10% | TAIL 0% | B/ATR 1.3
2004-11-12 | Bear | 13.95 / -0.4% | HEAD 200% | TAIL 100% | B/ATR 0.2
2004-11-15 | Bull | 14.04 / 0.0% | HEAD 400% | TAIL 2400% | B/ATR 0.0
2004-11-16 | Bull | 13.97 / 0.1% | HEAD 350% | TAIL 350% | B/ATR 0.1
2004-11-17 | Bull | 14.1 / 0.4% | HEAD 200% | TAIL 200% | B/ATR 0.2
2004-11-18 | Bear | 14.1 / -0.4% | HEAD 20% | TAIL 300% | B/ATR 0.2
2004-11-19 | Bull | 14.05 / 0.6% | HEAD 211% | TAIL 67% | B/ATR 0.3
2004-11-22 | Bull | 14.32 / 2.2% | HEAD 29% | TAIL 0% | B/ATR 1.0
2004-11-23 | Bull | 14.36 / 0.4% | HEAD 67% | TAIL 217% | B/ATR 0.2
2004-11-24 | Bull | 14.59 / 1.5% | HEAD 43% | TAIL 43% | B/ATR 0.7
2004-11-26 | Bear | 14.57 / -0.2% | HEAD 0% | TAIL 367% | B/ATR 0.1
2004-11-29 | Bull | 14.7 / 1.0% | HEAD 0% | TAIL 7% | B/ATR 0.5
2004-11-30 | Bull | 14.75 / 1.2% | HEAD 11% | TAIL 39% | B/ATR 0.6
2004-12-01 | Bull | 14.95 / 1.8% | HEAD 38% | TAIL 15% | B/ATR 0.9
2004-12-02 | Bull | 15.13 / 1.7% | HEAD 27% | TAIL 38% | B/ATR 0.9
2004-12-03 | Bear | 15.11 / -0.6% | HEAD 0% | TAIL 167% | B/ATR 0.3
2004-12-06 | Bear | 14.98 / -0.8% | HEAD 42% | TAIL 58% | B/ATR 0.4
2004-12-07 | Bear | 14.5 / -3.2% | HEAD 15% | TAIL 50% | B/ATR 1.6
2004-12-08 | Bull | 15.045 / 3.8% | HEAD 1% | TAIL 0% | B/ATR 1.9
2004-12-09 | Bull | 15.0 / 1.0% | HEAD 20% | TAIL 67% | B/ATR 0.5
2004-12-10 | Bull | 15.04 / 0.9% | HEAD 8% | TAIL 62% | B/ATR 0.4
2004-12-13 | Bear | 14.86 / -1.3% | HEAD 0% | TAIL 35% | B/ATR 0.7
2004-12-14 | Bear | 14.85 / -0.3% | HEAD 0% | TAIL 380% | B/ATR 0.2
2004-12-15 | Bull | 15.0 / 0.9% | HEAD 31% | TAIL 92% | B/ATR 0.4
2004-12-16 | Bear | 14.93 / -0.5% | HEAD 88% | TAIL 188% | B/ATR 0.3
2004-12-17 | Bear | 14.49 / -3.4% | HEAD 18% | TAIL 10% | B/ATR 1.7
2004-12-20 | Bear | 14.6 / -1.0% | HEAD 33% | TAIL 100% | B/ATR 0.5
2004-12-21 | Bull | 14.75 / 0.5% | HEAD 112% | TAIL 212% | B/ATR 0.3
2004-12-22 | Bear | 14.61 / -1.9% | HEAD 0% | TAIL 34% | B/ATR 1.0
2004-12-23 | Bull | 14.75 / 0.1% | HEAD 2200% | TAIL 1300% | B/ATR 0.0
2004-12-27 | Bear | 14.8 / -0.3% | HEAD 240% | TAIL 360% | B/ATR 0.2
2004-12-28 | Bull | 14.94 / 0.1% | HEAD 0% | TAIL 1100% | B/ATR 0.1
2004-12-29 | Bear | 14.95 / -0.3% | HEAD 80% | TAIL 260% | B/ATR 0.2
2004-12-30 | Bull | 15.0 / 0.6% | HEAD 78% | TAIL 0% | B/ATR 0.3
2004-12-31 | Bull | 15.1 / 0.9% | HEAD 36% | TAIL 0% | B/ATR 0.5
2005-01-03 | Bear | 15.08 / -0.2% | HEAD 133% | TAIL 267% | B/ATR 0.1
2005-01-04 | Bear | 14.93 / -0.5% | HEAD 200% | TAIL 71% | B/ATR 0.2
2005-01-05 | Bull | 14.98 / 0.5% | HEAD 188% | TAIL 125% | B/ATR 0.3
2005-01-06 | Bull | 15.45 / 2.0% | HEAD 133% | TAIL 33% | B/ATR 1.0
2005-01-07 | Bull | 15.83 / 0.5% | HEAD 575% | TAIL 437% | B/ATR 0.3
2005-01-10 | Bull | 16.75 / 1.5% | HEAD 338% | TAIL 79% | B/ATR 0.8
2005-01-11 | Bear | 16.75 / -0.6% | HEAD 100% | TAIL 540% | B/ATR 0.3
2005-01-12 | Bull | 17.02 / 1.6% | HEAD 111% | TAIL 56% | B/ATR 0.9
2005-01-13 | Bear | 16.49 / -2.3% | HEAD 51% | TAIL 33% | B/ATR 1.3
2005-01-14 | Bull | 16.8 / 2.1% | HEAD 14% | TAIL 86% | B/ATR 1.1
2005-01-18 | Bear | 16.81 / -0.3% | HEAD 280% | TAIL 420% | B/ATR 0.2
2005-01-19 | Bear | 16.25 / -4.2% | HEAD 1% | TAIL 38% | B/ATR 2.3
2005-01-20 | Bear | 16.2 / -0.6% | HEAD 200% | TAIL 10% | B/ATR 0.3
2005-01-21 | Bear | 16.32 / -0.5% | HEAD 56% | TAIL 267% | B/ATR 0.3
