2004-12-08 | Bull | 15.045 / 3.8% | HEAD 1% | TAIL 0% | B/ATR 1.9
2005-01-26 | Bull | 17.09 / 3.3% | HEAD 19% | TAIL 6% | B/ATR 1.6
2005-04-04 | Bull | 17.55 / 5.0% | HEAD 10% | TAIL 0% | B/ATR 2.1
2005-04-19 | Bull | 16.58 / 4.6% | HEAD 7% | TAIL 14% | B/ATR 1.8
2005-05-04 | Bull | 16.56 / 4.5% | HEAD 1% | TAIL 0% | B/ATR 1.6
2005-08-03 | Bull | 19.0 / 4.5% | HEAD 1% | TAIL 12% | B/ATR 1.7
2006-05-25 | Bull | 19.1 / 4.9% | HEAD 0% | TAIL 17% | B/ATR 2.2
2006-09-20 | Bull | 20.73 / 3.2% | HEAD 19% | TAIL 0% | B/ATR 1.7
2007-08-07 | Bull | 20.85 / 4.3% | HEAD 6% | TAIL 0% | B/ATR 1.6
2008-01-23 | Bull | 15.21 / 9.0% | HEAD 2% | TAIL 18% | B/ATR 1.9
2008-07-16 | Bull | 14.23 / 8.5% | HEAD 1% | TAIL 10% | B/ATR 1.8
2008-07-22 | Bull | 16.2 / 7.5% | HEAD 3% | TAIL 14% | B/ATR 1.8
2008-09-30 | Bull | 17.05 / 16.1% | HEAD 8% | TAIL 0% | B/ATR 3.2
2010-04-22 | Bull | 13.08 / 4.2% | HEAD 11% | TAIL 19% | B/ATR 1.5
2011-08-11 | Bull | 8.18 / 9.8% | HEAD 19% | TAIL 4% | B/ATR 2.7
2011-08-29 | Bull | 9.12 / 5.9% | HEAD 0% | TAIL 2% | B/ATR 1.7
2012-05-23 | Bull | 7.21 / 6.7% | HEAD 4% | TAIL 9% | B/ATR 2.2
2012-11-15 | Bull | 7.58 / 4.3% | HEAD 13% | TAIL 19% | B/ATR 1.8
2014-01-15 | Bull | 8.92 / 2.6% | HEAD 9% | TAIL 9% | B/ATR 1.6
2014-12-18 | Bull | 7.53 / 3.2% | HEAD 9% | TAIL 9% | B/ATR 1.7
2015-07-29 | Bull | 6.85 / 3.0% | HEAD 3% | TAIL 0% | B/ATR 1.6
2015-11-06 | Bull | 5.89 / 4.8% | HEAD 7% | TAIL 0% | B/ATR 1.9
2015-12-15 | Bull | 5.45 / 8.8% | HEAD 0% | TAIL 2% | B/ATR 3.0
