2000-01-03 | Bull | 89.38 / 9.7% | HEAD 2% | TAIL 19% | B/ATR nan
2000-01-04 | Bear | 81.94 / -4.0% | HEAD 178% | TAIL 6% | B/ATR nan
2000-01-05 | Bull | 71.75 / 1.4% | HEAD 338% | TAIL 112% | B/ATR nan
2000-01-06 | Bear | 65.56 / -8.1% | HEAD 24% | TAIL 27% | B/ATR nan
2000-01-07 | Bull | 69.56 / 3.8% | HEAD 37% | TAIL 32% | B/ATR nan
2000-01-10 | Bear | 69.19 / -4.6% | HEAD 2% | TAIL 108% | B/ATR nan
2000-01-11 | Bear | 66.75 / -0.2% | HEAD 2400% | TAIL 1346% | B/ATR nan
2000-01-12 | Bear | 63.56 / -6.4% | HEAD 3% | TAIL 13% | B/ATR nan
2000-01-13 | Bull | 65.94 / 1.5% | HEAD 125% | TAIL 181% | B/ATR nan
2000-01-14 | Bear | 64.25 / -3.7% | HEAD 70% | TAIL 10% | B/ATR nan
2000-01-18 | Bull | 64.13 / 1.1% | HEAD 154% | TAIL 64% | B/ATR nan
2000-01-19 | Bull | 66.81 / 4.2% | HEAD 26% | TAIL 42% | B/ATR nan
2000-01-20 | Bear | 64.75 / -3.3% | HEAD 3% | TAIL 37% | B/ATR nan
2000-01-21 | Bear | 62.06 / -4.0% | HEAD 0% | TAIL 80% | B/ATR nan
2000-01-24 | Bull | 70.13 / 3.8% | HEAD 126% | TAIL 2% | B/ATR nan
2000-01-25 | Bear | 69.25 / -1.1% | HEAD 167% | TAIL 433% | B/ATR nan
2000-01-26 | Bear | 64.81 / -5.6% | HEAD 36% | TAIL 2% | B/ATR nan
2000-01-27 | Bull | 66.94 / 2.7% | HEAD 46% | TAIL 32% | B/ATR nan
2000-01-28 | Bear | 61.69 / -5.1% | HEAD 44% | TAIL 51% | B/ATR nan
2000-01-31 | Bull | 64.56 / 6.9% | HEAD 5% | TAIL 46% | B/ATR nan
2000-02-01 | Bear | 67.44 / -0.1% | HEAD 5217% | TAIL 5100% | B/ATR nan
2000-02-02 | Bull | 69.44 / 2.2% | HEAD 187% | TAIL 13% | B/ATR nan
2000-02-03 | Bull | 84.19 / 3.8% | HEAD 57% | TAIL 123% | B/ATR nan
2000-02-04 | Bear | 78.56 / -5.1% | HEAD 0% | TAIL 13% | B/ATR nan
2000-02-07 | Bear | 75.0 / -1.6% | HEAD 58% | TAIL 157% | B/ATR nan
2000-02-08 | Bull | 83.13 / 12.3% | HEAD 10% | TAIL 6% | B/ATR nan
2000-02-09 | Bear | 80.25 / -0.4% | HEAD 1060% | TAIL 77% | B/ATR nan
2000-02-10 | Bear | 76.19 / -2.9% | HEAD 60% | TAIL 30% | B/ATR nan
2000-02-11 | Bear | 76.19 / -1.2% | HEAD 213% | TAIL 73% | B/ATR nan
2000-02-14 | Bear | 74.44 / -1.7% | HEAD 5% | TAIL 70% | B/ATR nan
2000-02-15 | Bull | 73.81 / 0.5% | HEAD 643% | TAIL 759% | B/ATR nan
2000-02-16 | Bear | 70.69 / -2.8% | HEAD 33% | TAIL 3% | B/ATR nan
2000-02-17 | Bear | 69.0 / -3.2% | HEAD 3% | TAIL 44% | B/ATR nan
2000-02-18 | Bear | 64.75 / -5.4% | HEAD 15% | TAIL 24% | B/ATR nan
2000-02-22 | Bear | 63.56 / -2.1% | HEAD 113% | TAIL 36% | B/ATR nan
2000-02-23 | Bull | 70.44 / 8.6% | HEAD 24% | TAIL 3% | B/ATR nan
2000-02-24 | Bear | 68.44 / -3.0% | HEAD 39% | TAIL 133% | B/ATR nan
2000-02-25 | Bull | 69.13 / 2.5% | HEAD 15% | TAIL 133% | B/ATR nan
2000-02-28 | Bear | 65.75 / -1.2% | HEAD 78% | TAIL 200% | B/ATR nan
2000-02-29 | Bull | 68.88 / 4.4% | HEAD 3% | TAIL 4% | B/ATR nan
2000-03-01 | Bear | 65.88 / -2.6% | HEAD 50% | TAIL 50% | B/ATR nan
2000-03-02 | Bear | 62.56 / -3.7% | HEAD 3% | TAIL 16% | B/ATR nan
2000-03-03 | Bear | 62.5 / -1.2% | HEAD 200% | TAIL 59% | B/ATR nan
2000-03-06 | Bull | 63.94 / 1.7% | HEAD 312% | TAIL 7% | B/ATR nan
2000-03-07 | Bear | 63.5 / -2.1% | HEAD 67% | TAIL 99% | B/ATR nan
2000-03-08 | Bull | 63.63 / 0.6% | HEAD 295% | TAIL 708% | B/ATR nan
2000-03-09 | Bull | 68.81 / 9.2% | HEAD 3% | TAIL 14% | B/ATR nan
2000-03-10 | Bear | 66.88 / -0.6% | HEAD 346% | TAIL 508% | B/ATR nan
2000-03-13 | Bull | 65.31 / 2.0% | HEAD 101% | TAIL 76% | B/ATR nan
2000-03-14 | Bear | 65.63 / -0.7% | HEAD 205% | TAIL 523% | B/ATR nan
2000-03-15 | Bear | 63.75 / -1.5% | HEAD 38% | TAIL 175% | B/ATR nan
2000-03-16 | Bull | 66.25 / 6.4% | HEAD 3% | TAIL 56% | B/ATR nan
2000-03-17 | Bear | 64.81 / -1.9% | HEAD 26% | TAIL 25% | B/ATR nan
2000-03-20 | Bull | 64.19 / 1.1% | HEAD 45% | TAIL 162% | B/ATR nan
2000-03-21 | Bull | 72.38 / 11.1% | HEAD 9% | TAIL 40% | B/ATR nan
2000-03-22 | Bear | 70.69 / -0.3% | HEAD 1642% | TAIL 758% | B/ATR nan
2000-03-23 | Bear | 67.69 / -2.6% | HEAD 80% | TAIL 10% | B/ATR nan
2000-03-24 | Bull | 67.69 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-27 | Bull | 73.13 / 1.2% | HEAD 227% | TAIL 57% | B/ATR nan
2000-03-28 | Bear | 70.13 / -3.1% | HEAD 16% | TAIL 29% | B/ATR nan
2000-03-29 | Bear | 66.25 / -4.7% | HEAD 12% | TAIL 38% | B/ATR nan
2000-03-30 | Bull | 66.5 / 3.1% | HEAD 44% | TAIL 25% | B/ATR nan
2000-03-31 | Bull | 67.0 / 0.4% | HEAD 52% | TAIL 1500% | B/ATR nan
2000-04-03 | Bear | 63.56 / -2.9% | HEAD 13% | TAIL 83% | B/ATR nan
2000-04-04 | Bull | 63.94 / 1.7% | HEAD 142% | TAIL 673% | B/ATR nan
2000-04-05 | Bull | 62.19 / 0.7% | HEAD 625% | TAIL 284% | B/ATR nan
2000-04-06 | Bull | 64.25 / 1.3% | HEAD 154% | TAIL 193% | B/ATR nan
2000-04-07 | Bull | 67.56 / 3.7% | HEAD 44% | TAIL 41% | B/ATR nan
