2001-11-14 | Bull | 9.49 / 24.4% | HEAD 0% | TAIL 2% | B/ATR 1.9
2001-11-26 | Bull | 12.21 / 24.2% | HEAD 0% | TAIL 1% | B/ATR 2.4
2002-03-06 | Bull | 16.33 / 10.2% | HEAD 17% | TAIL 0% | B/ATR 1.6
2002-04-24 | Bull | 16.79 / 10.2% | HEAD 4% | TAIL 12% | B/ATR 1.6
2002-06-17 | Bull | 18.41 / 8.6% | HEAD 5% | TAIL 6% | B/ATR 1.6
2002-07-24 | Bull | 14.1 / 14.0% | HEAD 3% | TAIL 6% | B/ATR 1.7
2002-11-20 | Bull | 22.9 / 7.3% | HEAD 6% | TAIL 8% | B/ATR 1.6
2003-03-17 | Bull | 26.55 / 8.5% | HEAD 14% | TAIL 3% | B/ATR 2.3
2003-05-27 | Bull | 34.85 / 7.1% | HEAD 8% | TAIL 4% | B/ATR 2.4
2003-07-08 | Bull | 40.51 / 4.5% | HEAD 18% | TAIL 1% | B/ATR 1.7
2003-07-23 | Bull | 40.11 / 6.3% | HEAD 6% | TAIL 17% | B/ATR 2.1
2003-08-18 | Bull | 43.02 / 6.2% | HEAD 9% | TAIL 5% | B/ATR 2.0
2003-09-23 | Bull | 50.44 / 6.4% | HEAD 16% | TAIL 2% | B/ATR 2.3
2004-04-22 | Bull | 48.86 / 6.3% | HEAD 8% | TAIL 2% | B/ATR 1.7
2005-07-27 | Bull | 43.65 / 3.9% | HEAD 5% | TAIL 10% | B/ATR 1.7
2005-07-28 | Bull | 45.68 / 4.9% | HEAD 6% | TAIL 8% | B/ATR 2.2
2005-09-06 | Bull | 43.62 / 5.0% | HEAD 1% | TAIL 2% | B/ATR 2.1
2006-05-24 | Bull | 35.19 / 5.3% | HEAD 2% | TAIL 2% | B/ATR 1.6
2006-06-29 | Bull | 38.52 / 4.6% | HEAD 3% | TAIL 7% | B/ATR 1.5
2007-04-25 | Bull | 56.81 / 6.9% | HEAD 10% | TAIL 5% | B/ATR 3.6
2007-04-26 | Bull | 62.8 / 10.2% | HEAD 4% | TAIL 16% | B/ATR 5.7
2007-05-21 | Bull | 68.3 / 7.4% | HEAD 8% | TAIL 6% | B/ATR 3.9
2007-07-09 | Bull | 72.0699 / 3.9% | HEAD 10% | TAIL 13% | B/ATR 1.7
2007-08-21 | Bull | 77.49 / 4.4% | HEAD 10% | TAIL 4% | B/ATR 1.6
2007-10-23 | Bull | 100.82 / 5.8% | HEAD 5% | TAIL 19% | B/ATR 2.3
2007-12-04 | Bull | 94.41 / 4.9% | HEAD 3% | TAIL 0% | B/ATR 1.6
2008-01-31 | Bull | 77.7 / 12.8% | HEAD 13% | TAIL 1% | B/ATR 2.8
2008-07-16 | Bull | 71.84 / 7.3% | HEAD 19% | TAIL 2% | B/ATR 1.5
2008-09-30 | Bull | 72.76 / 10.5% | HEAD 5% | TAIL 8% | B/ATR 2.0
2008-10-23 | Bull | 50.32 / 16.0% | HEAD 8% | TAIL 1% | B/ATR 1.7
2009-09-16 | Bull | 90.7 / 5.6% | HEAD 6% | TAIL 0% | B/ATR 1.6
2009-10-23 | Bull | 118.49 / 6.7% | HEAD 16% | TAIL 6% | B/ATR 2.7
2009-10-26 | Bull | 124.6399 / 4.6% | HEAD 19% | TAIL 13% | B/ATR 2.0
2010-04-08 | Bull | 140.96 / 4.6% | HEAD 5% | TAIL 0% | B/ATR 1.7
2010-05-25 | Bull | 124.86 / 5.3% | HEAD 5% | TAIL 1% | B/ATR 1.6
2010-07-23 | Bull | 118.87 / 12.2% | HEAD 3% | TAIL 1% | B/ATR 3.0
2010-10-22 | Bull | 169.13 / 4.1% | HEAD 16% | TAIL 3% | B/ATR 1.6
2011-01-27 | Bull | 184.45 / 3.9% | HEAD 8% | TAIL 2% | B/ATR 1.7
2011-02-08 | Bull | 183.06 / 3.6% | HEAD 1% | TAIL 1% | B/ATR 1.5
2011-04-27 | Bull | 196.63 / 7.3% | HEAD 9% | TAIL 3% | B/ATR 3.1
2011-08-23 | Bull | 193.55 / 8.2% | HEAD 9% | TAIL 3% | B/ATR 2.7
2011-09-06 | Bull | 216.18 / 5.6% | HEAD 4% | TAIL 3% | B/ATR 1.9
2011-09-16 | Bull | 239.3 / 5.2% | HEAD 10% | TAIL 7% | B/ATR 1.9
2012-07-27 | Bull | 237.32 / 5.4% | HEAD 8% | TAIL 6% | B/ATR 2.1
2012-10-26 | Bull | 238.24 / 4.2% | HEAD 5% | TAIL 20% | B/ATR 1.8
2013-01-25 | Bull | 283.99 / 3.3% | HEAD 8% | TAIL 7% | B/ATR 1.6
2013-11-14 | Bull | 367.396 / 2.8% | HEAD 15% | TAIL 10% | B/ATR 1.5
2015-02-02 | Bull | 364.47 / 4.1% | HEAD 4% | TAIL 0% | B/ATR 1.8
2017-10-27 | Bull | 1100.95 / 4.0% | HEAD 11% | TAIL 18% | B/ATR 2.8
2017-11-24 | Bull | 1186.0 / 2.2% | HEAD 3% | TAIL 0% | B/ATR 1.5
2018-01-12 | Bull | 1305.2 / 2.5% | HEAD 2% | TAIL 0% | B/ATR 1.8
2018-01-22 | Bull | 1327.31 / 2.3% | HEAD 0% | TAIL 2% | B/ATR 1.7
2018-02-06 | Bull | 1442.84 / 6.0% | HEAD 1% | TAIL 12% | B/ATR 4.2
2018-02-14 | Bull | 1451.05 / 3.2% | HEAD 2% | TAIL 6% | B/ATR 2.1
2018-04-04 | Bull | 1410.57 / 3.9% | HEAD 9% | TAIL 10% | B/ATR 1.8
