2006-06-30 | Bull | 1.0 / 11.1% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-03 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-05 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-06 | Bull | 1.05 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-07 | Bull | 1.1 / 0.0% | HEAD 0% | TAIL 500% | B/ATR nan
2006-07-10 | Bull | 1.1 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-11 | Bull | 1.1 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-12 | Bull | 1.1 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-13 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-14 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-17 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-18 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-19 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-20 | Bull | 1.1 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-21 | Bull | 1.35 / 8.0% | HEAD 50% | TAIL 200% | B/ATR nan
2006-07-24 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-25 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-26 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-27 | Bull | 1.5 / 0.0% | HEAD 2500% | TAIL 0% | B/ATR nan
2006-07-28 | Bull | 2.0 / 33.3% | HEAD 0% | TAIL 0% | B/ATR nan
2006-07-31 | Bull | 2.3 / 17.9% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-01 | Bull | 2.3 / 0.0% | HEAD 1500% | TAIL 0% | B/ATR nan
2006-08-02 | Bull | 2.6 / 23.8% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-03 | Bull | 3.3 / 26.9% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-04 | Bull | 3.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-07 | Bull | 3.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-08 | Bull | 4.0 / 60.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-09 | Bull | 4.0 / 60.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-10 | Bull | 4.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-11 | Bull | 4.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-14 | Bull | 3.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-15 | Bull | 6.0 / 100.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-16 | Bull | 6.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-17 | Bull | 6.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-18 | Bear | 1.98 / -65.6% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-21 | Bull | 1.98 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-22 | Bull | 1.98 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-23 | Bear | 1.55 / -11.4% | HEAD 0% | TAIL 25% | B/ATR nan
2006-08-24 | Bear | 1.5 / -0.7% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-25 | Bear | 1.25 / -16.7% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-28 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-29 | Bear | 1.1 / -12.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-30 | Bull | 1.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-08-31 | Bear | 1.1 / -4.3% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-01 | Bear | 1.0 / -4.8% | HEAD 0% | TAIL 200% | B/ATR nan
2006-09-05 | Bull | 0.95 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-06 | Bull | 1.05 / 10.5% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-07 | Bull | 1.02 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-08 | Bull | 1.02 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-11 | Bull | 1.1 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-12 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 500% | B/ATR nan
2006-09-13 | Bull | 1.25 / 4.2% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-14 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-15 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-18 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-19 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-20 | Bear | 1.2 / -4.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-21 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2006-09-22 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
