2006-12-29 | Bull | 2.05 / 36.7% | HEAD 0% | TAIL 0% | B/ATR 3.0
2007-02-13 | Bull | 2.0 / 14.3% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-05-31 | Bull | 2.6 / 20.9% | HEAD 0% | TAIL 0% | B/ATR 5.0
2007-06-07 | Bull | 2.75 / 22.2% | HEAD 0% | TAIL 0% | B/ATR 5.5
2007-06-25 | Bull | 2.4 / 6.7% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-07-23 | Bull | 3.1 / 19.2% | HEAD 0% | TAIL 0% | B/ATR 4.9
2007-08-15 | Bull | 3.5 / 27.3% | HEAD 0% | TAIL 20% | B/ATR 6.9
2007-08-22 | Bull | 3.0 / 20.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2007-08-24 | Bull | 3.5 / 16.7% | HEAD 0% | TAIL 0% | B/ATR 4.4
2007-08-28 | Bull | 3.5 / 16.7% | HEAD 0% | TAIL 0% | B/ATR 4.3
2007-08-29 | Bull | 3.75 / 7.1% | HEAD 0% | TAIL 0% | B/ATR 2.1
2007-09-20 | Bull | 3.5 / 14.8% | HEAD 0% | TAIL 0% | B/ATR 3.4
2007-09-24 | Bull | 3.5 / 11.1% | HEAD 0% | TAIL 0% | B/ATR 2.6
2007-10-03 | Bull | 3.74 / 8.4% | HEAD 0% | TAIL 17% | B/ATR 2.0
2007-10-24 | Bull | 3.0 / 25.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2007-12-03 | Bull | 3.25 / 8.3% | HEAD 0% | TAIL 0% | B/ATR 1.5
2007-12-10 | Bull | 3.45 / 15.0% | HEAD 11% | TAIL 0% | B/ATR 2.7
2007-12-14 | Bull | 3.75 / 15.4% | HEAD 0% | TAIL 0% | B/ATR 2.9
2008-02-15 | Bull | 5.9 / 10.3% | HEAD 0% | TAIL 0% | B/ATR 3.3
2008-02-21 | Bull | 5.75 / 9.5% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-03-04 | Bull | 4.75 / 58.3% | HEAD 0% | TAIL 0% | B/ATR 10.2
2008-03-06 | Bull | 5.25 / 54.4% | HEAD 0% | TAIL 0% | B/ATR 10.4
2008-03-11 | Bull | 4.75 / 11.8% | HEAD 0% | TAIL 0% | B/ATR 2.6
2008-03-19 | Bull | 5.0 / 25.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2008-04-01 | Bull | 6.0 / 9.1% | HEAD 0% | TAIL 0% | B/ATR 2.1
2008-04-30 | Bull | 5.6 / 12.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2008-07-23 | Bull | 2.75 / 37.5% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-09-30 | Bull | 2.4 / 14.3% | HEAD 0% | TAIL 0% | B/ATR 1.6
2008-10-01 | Bull | 2.39 / 29.2% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-10-02 | Bull | 2.2 / 25.7% | HEAD 0% | TAIL 0% | B/ATR 2.3
2008-10-06 | Bull | 2.24 / 28.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2008-11-13 | Bull | 1.75 / 94.4% | HEAD 0% | TAIL 18% | B/ATR 4.5
2008-11-20 | Bull | 1.5 / 150.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2008-12-23 | Bull | 1.5 / 42.9% | HEAD 0% | TAIL 0% | B/ATR 2.3
2009-01-07 | Bull | 1.45 / 38.1% | HEAD 0% | TAIL 0% | B/ATR 2.1
2009-01-13 | Bull | 1.4 / 33.3% | HEAD 0% | TAIL 0% | B/ATR 1.8
2009-01-29 | Bull | 1.4 / 75.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2009-02-18 | Bull | 1.35 / 77.6% | HEAD 0% | TAIL 0% | B/ATR 3.5
2009-02-19 | Bull | 1.25 / 64.5% | HEAD 0% | TAIL 12% | B/ATR 2.9
2009-02-20 | Bull | 1.01 / 83.6% | HEAD 0% | TAIL 0% | B/ATR 2.7
2009-03-02 | Bull | 0.85 / 70.0% | HEAD 11% | TAIL 0% | B/ATR 2.1
2009-03-27 | Bull | 0.89 / 36.9% | HEAD 0% | TAIL 0% | B/ATR 1.5
2009-04-23 | Bull | 0.89 / 74.5% | HEAD 0% | TAIL 0% | B/ATR 2.7
2009-04-24 | Bull | 0.89 / 78.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2009-04-29 | Bull | 0.9 / 109.3% | HEAD 0% | TAIL 0% | B/ATR 3.5
2009-05-28 | Bull | 0.75 / 50.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2009-06-15 | Bull | 0.75 / 59.6% | HEAD 0% | TAIL 0% | B/ATR 2.4
2009-10-22 | Bull | 0.5 / 22.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2010-02-05 | Bull | 0.4 / 33.3% | HEAD 0% | TAIL 0% | B/ATR 3.1
2010-05-24 | Bull | 0.35 / 75.0% | HEAD 0% | TAIL 0% | B/ATR 7.0
2010-06-11 | Bull | 0.23 / 53.3% | HEAD 0% | TAIL 0% | B/ATR 4.0
2010-06-21 | Bull | 0.35 / 75.0% | HEAD 0% | TAIL 0% | B/ATR 7.6
2010-06-30 | Bull | 0.35 / 45.8% | HEAD 0% | TAIL 0% | B/ATR 5.7
2010-08-10 | Bull | 0.34 / 54.5% | HEAD 0% | TAIL 0% | B/ATR 6.6
2010-09-03 | Bull | 0.43 / 43.3% | HEAD 0% | TAIL 0% | B/ATR 7.0
2010-11-01 | Bull | 0.34 / 61.9% | HEAD 0% | TAIL 0% | B/ATR 7.0
2010-11-05 | Bull | 0.34 / 47.8% | HEAD 0% | TAIL 0% | B/ATR 5.8
2010-11-30 | Bull | 0.34 / 47.8% | HEAD 0% | TAIL 0% | B/ATR 5.5
2010-12-01 | Bull | 0.34 / 21.4% | HEAD 0% | TAIL 0% | B/ATR 3.0
2010-12-08 | Bull | 0.34 / 13.3% | HEAD 0% | TAIL 0% | B/ATR 2.0
2010-12-14 | Bull | 0.34 / 47.8% | HEAD 0% | TAIL 0% | B/ATR 5.4
2010-12-23 | Bull | 0.32 / 39.1% | HEAD 0% | TAIL 0% | B/ATR 4.3
2010-12-30 | Bull | 0.29 / 26.1% | HEAD 0% | TAIL 0% | B/ATR 2.9
2011-01-03 | Bull | 0.28 / 21.7% | HEAD 0% | TAIL 0% | B/ATR 2.4
2011-02-01 | Bull | 0.28 / 86.7% | HEAD 0% | TAIL 0% | B/ATR 6.6
2011-02-15 | Bull | 0.24 / 20.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2011-02-24 | Bull | 0.24 / 41.2% | HEAD 0% | TAIL 0% | B/ATR 3.6
2011-02-28 | Bull | 0.25 / 47.1% | HEAD 0% | TAIL 0% | B/ATR 4.1
2011-03-01 | Bull | 0.24 / 41.2% | HEAD 0% | TAIL 0% | B/ATR 3.6
2011-03-02 | Bull | 0.24 / 41.2% | HEAD 0% | TAIL 0% | B/ATR 3.6
2011-03-04 | Bull | 0.24 / 26.3% | HEAD 0% | TAIL 0% | B/ATR 2.5
2011-03-11 | Bull | 0.44 / 39.7% | HEAD 8% | TAIL 0% | B/ATR 6.0
2011-03-14 | Bull | 0.5 / 13.6% | HEAD 0% | TAIL 0% | B/ATR 2.9
2011-03-21 | Bull | 0.55 / 19.6% | HEAD 0% | TAIL 0% | B/ATR 4.0
2011-03-23 | Bull | 0.6 / 20.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2011-04-26 | Bull | 0.47 / 14.6% | HEAD 0% | TAIL 0% | B/ATR 1.8
2011-05-02 | Bull | 0.48 / 20.0% | HEAD 0% | TAIL 0% | B/ATR 2.3
2011-05-03 | Bull | 0.48 / 60.0% | HEAD 0% | TAIL 0% | B/ATR 5.2
2011-05-06 | Bull | 0.48 / 33.3% | HEAD 0% | TAIL 0% | B/ATR 3.4
2011-07-08 | Bull | 0.59 / 22.4% | HEAD 0% | TAIL 2% | B/ATR 2.7
2011-07-19 | Bull | 0.65 / 14.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2011-08-03 | Bull | 0.72 / 16.1% | HEAD 0% | TAIL 0% | B/ATR 2.3
2011-08-08 | Bull | 0.67 / 21.6% | HEAD 17% | TAIL 0% | B/ATR 2.6
2011-08-11 | Bull | 0.73 / 12.3% | HEAD 0% | TAIL 0% | B/ATR 1.7
2011-09-20 | Bull | 0.62 / 15.9% | HEAD 0% | TAIL 0% | B/ATR 1.6
2011-12-07 | Bull | 0.63 / 28.6% | HEAD 0% | TAIL 0% | B/ATR 2.6
2012-02-21 | Bull | 0.85 / 10.4% | HEAD 13% | TAIL 0% | B/ATR 1.5
2012-03-07 | Bull | 0.75 / 13.6% | HEAD 0% | TAIL 0% | B/ATR 1.7
2012-03-08 | Bull | 0.75 / 13.6% | HEAD 0% | TAIL 0% | B/ATR 1.7
2012-03-19 | Bull | 0.99 / 16.5% | HEAD 0% | TAIL 0% | B/ATR 2.5
2012-03-29 | Bull | 0.94 / 11.9% | HEAD 0% | TAIL 0% | B/ATR 1.8
2012-05-02 | Bull | 0.99 / 10.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2012-05-03 | Bull | 0.99 / 10.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2012-06-04 | Bull | 0.89 / 18.7% | HEAD 0% | TAIL 0% | B/ATR 2.5
2012-07-05 | Bull | 0.79 / 12.9% | HEAD 0% | TAIL 0% | B/ATR 1.6
2012-08-24 | Bull | 0.85 / 13.3% | HEAD 0% | TAIL 0% | B/ATR 1.9
2012-10-18 | Bull | 0.79 / 15.3% | HEAD 0% | TAIL 0% | B/ATR 2.3
2012-12-06 | Bull | 0.8 / 14.3% | HEAD 0% | TAIL 0% | B/ATR 2.4
2013-02-22 | Bull | 0.85 / 13.3% | HEAD 0% | TAIL 0% | B/ATR 2.4
2013-05-28 | Bull | 4.79 / 19.8% | HEAD 1% | TAIL 0% | B/ATR 6.1
2013-06-10 | Bull | 4.75 / 8.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2013-11-08 | Bull | 2.84 / 16.9% | HEAD 10% | TAIL 2% | B/ATR 1.8
2014-01-16 | Bull | 3.26 / 14.4% | HEAD 0% | TAIL 12% | B/ATR 1.9
2014-01-22 | Bull | 3.93 / 11.6% | HEAD 5% | TAIL 10% | B/ATR 1.9
2014-08-18 | Bull | 4.51 / 19.6% | HEAD 5% | TAIL 3% | B/ATR 3.1
