2000-09-28 | Bull | 0.13 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2000-09-29 | Bull | 0.13 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2000-10-02 | Bull | 0.13 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2000-10-03 | Bull | 0.13 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2000-10-04 | Bull | 0.13 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2000-10-05 | Bull | 0.13 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2000-10-06 | Bull | 0.13 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2000-10-09 | Bull | 0.13 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2000-10-11 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2000-10-12 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-10-13 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-10-16 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-10-17 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-10-18 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-10-19 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-10-20 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-10-23 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2000-10-24 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2000-10-25 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2000-10-26 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2000-10-27 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2000-10-30 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-10-31 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-11-01 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-11-02 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-11-03 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-11-06 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
