2009-09-28 | Bull | 4.8 / 9.8% | HEAD 0% | TAIL 0% | B/ATR 2.2
2009-09-30 | Bull | 6.25 / 15.7% | HEAD 18% | TAIL 0% | B/ATR 4.2
2009-10-13 | Bull | 6.75 / 14.4% | HEAD 0% | TAIL 0% | B/ATR 3.8
2009-10-26 | Bull | 7.34 / 26.3% | HEAD 1% | TAIL 0% | B/ATR 6.1
2009-10-29 | Bull | 6.65 / 16.7% | HEAD 0% | TAIL 0% | B/ATR 3.6
2009-11-02 | Bull | 6.45 / 22.4% | HEAD 0% | TAIL 0% | B/ATR 4.3
2009-11-03 | Bull | 6.45 / 12.8% | HEAD 0% | TAIL 0% | B/ATR 2.6
2009-11-04 | Bull | 6.39 / 21.3% | HEAD 5% | TAIL 19% | B/ATR 3.9
2009-11-10 | Bull | 6.28 / 22.9% | HEAD 0% | TAIL 1% | B/ATR 3.8
2009-11-12 | Bull | 6.28 / 22.9% | HEAD 0% | TAIL 0% | B/ATR 3.7
2009-11-24 | Bull | 6.5 / 12.1% | HEAD 0% | TAIL 0% | B/ATR 2.0
2009-11-25 | Bull | 6.99 / 11.8% | HEAD 0% | TAIL 0% | B/ATR 2.0
2010-09-14 | Bull | 10.3 / 21.2% | HEAD 11% | TAIL 1% | B/ATR 4.7
2010-09-15 | Bull | 11.9 / 14.3% | HEAD 19% | TAIL 16% | B/ATR 3.8
2010-09-16 | Bull | 12.9 / 9.3% | HEAD 1% | TAIL 0% | B/ATR 2.8
2010-10-11 | Bull | 24.5 / 26.9% | HEAD 3% | TAIL 5% | B/ATR 10.4
2010-10-22 | Bull | 25.45 / 18.4% | HEAD 4% | TAIL 3% | B/ATR 6.1
2010-12-28 | Bull | 26.81 / 7.5% | HEAD 19% | TAIL 2% | B/ATR 1.6
2011-03-23 | Bull | 23.14 / 23.4% | HEAD 1% | TAIL 0% | B/ATR 3.6
2012-01-10 | Bull | 7.33 / 18.0% | HEAD 6% | TAIL 0% | B/ATR 1.5
2012-01-27 | Bull | 9.75 / 12.1% | HEAD 7% | TAIL 0% | B/ATR 1.5
2012-06-04 | Bull | 5.04 / 30.9% | HEAD 17% | TAIL 2% | B/ATR 2.3
2013-06-17 | Bull | 1.86 / 18.5% | HEAD 0% | TAIL 0% | B/ATR 1.5
2014-01-02 | Bull | 0.63 / 23.5% | HEAD 12% | TAIL 16% | B/ATR 1.5
2014-02-18 | Bull | 1.16 / 17.2% | HEAD 18% | TAIL 17% | B/ATR 2.3
2014-07-09 | Bull | 1.33 / 22.0% | HEAD 8% | TAIL 0% | B/ATR 3.1
2016-02-12 | Bull | 0.3759 / 39.2% | HEAD 4% | TAIL 0% | B/ATR 4.3
2016-02-18 | Bull | 0.56 / 14.8% | HEAD 0% | TAIL 0% | B/ATR 2.9
2016-03-02 | Bull | 0.4408 / 19.1% | HEAD 12% | TAIL 13% | B/ATR 2.5
2016-08-25 | Bull | 0.8307 / 22.0% | HEAD 13% | TAIL 1% | B/ATR 2.1
2017-09-06 | Bull | 0.63 / 14.5% | HEAD 13% | TAIL 0% | B/ATR 2.3
