2009-05-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT nan |CHG/ATR nan |B/CHG nan |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 0.9 |H 0.9 |L 0.9 |C 0.9 |V 6 Thousand
2009-05-08|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 1.1 |O 0.9 |H 0.9 |L 0.9 |C 0.9 |V 7 Thousand
2009-05-11|NIU|H/Body 0.07 |T/Body 0.00 |CHG_PCT 26.7 |CHG/ATR nan |B/CHG 0.58 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 5.3 |O 1.0 |H 1.1 |L 1.0 |C 1.1 |V 37 Thousand
2009-05-12|RED|H/Body 5.00 |T/Body 3.00 |CHG_PCT 9.6 |CHG/ATR nan |B/CHG 0.09 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 4.0 |O 1.2 |H 1.3 |L 1.2 |C 1.2 |V 150 Thousand
2009-05-13|RED|H/Body 0.00 |T/Body 4.00 |CHG_PCT 4.0 |CHG/ATR nan |B/CHG 0.20 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.1 |O 1.3 |H 1.3 |L 1.3 |C 1.3 |V 8 Thousand
2009-05-14|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -3.8 |CHG/ATR nan |B/CHG -5.00 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 1.7 |O 1.5 |H 1.5 |L 1.2 |C 1.2 |V 14 Thousand
2009-05-15|RED|H/Body 0.00 |T/Body 1.00 |CHG_PCT -4.0 |CHG/ATR nan |B/CHG -2.00 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV 4.7 |O 1.3 |H 1.3 |L 1.1 |C 1.2 |V 66 Thousand
2009-05-18|RED|H/Body 0.00 |T/Body 0.29 |CHG_PCT 2.5 |CHG/ATR nan |B/CHG 2.33 |B/ATR nan |V/LONG nan |V/SHORT 2.5 |V/PREV 2.1 |O 1.3 |H 1.3 |L 1.2 |C 1.2 |V 139 Thousand
2009-05-19|RED|H/Body 5.00 |T/Body 1.00 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 0.50 |B/ATR nan |V/LONG nan |V/SHORT 2.0 |V/PREV 1.1 |O 1.2 |H 1.3 |L 1.2 |C 1.2 |V 154 Thousand
2009-05-20|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 40.0 |CHG/ATR nan |B/CHG 0.50 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.1 |O 1.5 |H 1.8 |L 1.5 |C 1.8 |V 17 Thousand
2009-05-21|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 14.3 |CHG/ATR nan |B/CHG 2.40 |B/ATR nan |V/LONG nan |V/SHORT 3.9 |V/PREV 17.7 |O 1.4 |H 2.0 |L 1.4 |C 2.0 |V 301 Thousand
2009-05-22|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 10.0 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.1 |O 2.0 |H 2.2 |L 2.0 |C 2.2 |V 38 Thousand
2009-05-26|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -9.1 |CHG/ATR nan |B/CHG -0.05 |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.0 |H 2.0 |L 2.0 |C 2.0 |V 200
2009-05-27|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.0 |H 2.0 |L 2.0 |C 2.0 |V 0
2009-05-28|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 24.0 |CHG/ATR nan |B/CHG 0.06 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV inf |O 2.5 |H 2.5 |L 2.5 |C 2.5 |V 10 Thousand
2009-05-29|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -9.3 |CHG/ATR nan |B/CHG -0.04 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 0.6 |O 2.2 |H 2.2 |L 2.2 |C 2.2 |V 6 Thousand
2009-06-01|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -2.2 |CHG/ATR nan |B/CHG -2.00 |B/ATR nan |V/LONG nan |V/SHORT 4.0 |V/PREV 7.9 |O 2.3 |H 2.3 |L 2.2 |C 2.2 |V 44 Thousand
2009-06-02|NIU|H/Body 2.00 |T/Body 0.00 |CHG_PCT -6.8 |CHG/ATR nan |B/CHG -0.33 |B/ATR nan |V/LONG nan |V/SHORT 22.0 |V/PREV 6.0 |O 2.0 |H 2.1 |L 2.0 |C 2.0 |V 260 Thousand
2009-06-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -2.0 |CHG/ATR nan |B/CHG -7.25 |B/ATR nan |V/LONG nan |V/SHORT 1.3 |V/PREV 0.3 |O 2.3 |H 2.3 |L 2.0 |C 2.0 |V 84 Thousand
2009-06-04|RED|H/Body 1.67 |T/Body 0.00 |CHG_PCT -0.5 |CHG/ATR nan |B/CHG -3.00 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 0.8 |O 2.0 |H 2.1 |L 2.0 |C 2.0 |V 69 Thousand
2009-06-05|RED|H/Body 9.00 |T/Body 1.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 1.0 |O 2.0 |H 2.1 |L 2.0 |C 2.0 |V 71 Thousand
2009-06-08|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -2.5 |CHG/ATR nan |B/CHG -3.00 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 0.2 |O 2.1 |H 2.1 |L 1.9 |C 1.9 |V 14 Thousand
2009-06-09|NIU|H/Body 0.00 |T/Body 1.20 |CHG_PCT 5.1 |CHG/ATR nan |B/CHG 0.50 |B/ATR nan |V/LONG nan |V/SHORT 2.9 |V/PREV 20.2 |O 2.0 |H 2.0 |L 1.9 |C 2.0 |V 289 Thousand
2009-06-10|NIU|H/Body 16.00 |T/Body 0.60 |CHG_PCT 2.4 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 4.2 |V/PREV 1.5 |O 2.0 |H 2.9 |L 2.0 |C 2.1 |V 443 Thousand
2009-06-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 9.5 |CHG/ATR nan |B/CHG 2.25 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 0.0 |O 2.8 |H 2.8 |L 2.3 |C 2.3 |V 12 Thousand
2009-06-12|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 2.2 |CHG/ATR nan |B/CHG 1.20 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 13.0 |O 2.3 |H 2.4 |L 2.3 |C 2.4 |V 160 Thousand
2009-06-15|NIU|H/Body 0.50 |T/Body 0.00 |CHG_PCT 1.3 |CHG/ATR nan |B/CHG 0.67 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.3 |O 2.4 |H 2.4 |L 2.4 |C 2.4 |V 42 Thousand
2009-06-16|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.4 |H 2.4 |L 2.4 |C 2.4 |V 300
2009-06-17|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -0.8 |CHG/ATR nan |B/CHG -7.00 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 44.3 |O 2.5 |H 2.5 |L 2.4 |C 2.4 |V 13 Thousand
2009-06-18|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 10.2 |CHG/ATR nan |B/CHG 1.21 |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.9 |H 2.9 |L 2.6 |C 2.6 |V 600
2009-06-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.6 |H 2.6 |L 2.6 |C 2.6 |V 0
