2002-05-23 | Bull | 12.22 / 1.8% | HEAD 36% | TAIL 91% | B/ATR nan
2002-05-24 | Bear | 12.95 / -0.8% | HEAD 0% | TAIL 250% | B/ATR nan
2002-05-28 | Bear | 12.94 / -2.0% | HEAD 0% | TAIL 35% | B/ATR nan
2002-05-29 | Bull | 12.15 / 0.4% | HEAD 400% | TAIL 100% | B/ATR nan
2002-05-30 | Bear | 11.95 / -1.6% | HEAD 0% | TAIL 225% | B/ATR nan
2002-05-31 | Bear | 11.8 / -1.7% | HEAD 25% | TAIL 0% | B/ATR nan
2002-06-03 | Bear | 10.4 / -9.6% | HEAD 9% | TAIL 0% | B/ATR nan
2002-06-04 | Bear | 10.71 / -1.7% | HEAD 16% | TAIL 26% | B/ATR nan
2002-06-05 | Bull | 11.1 / 2.8% | HEAD 17% | TAIL 0% | B/ATR nan
2002-06-06 | Bull | 11.34 / 0.8% | HEAD 67% | TAIL 167% | B/ATR nan
2002-06-07 | Bull | 11.02 / 0.2% | HEAD 150% | TAIL 750% | B/ATR nan
2002-06-10 | Bull | 11.7 / 1.7% | HEAD 70% | TAIL 20% | B/ATR nan
2002-06-11 | Bear | 11.38 / -2.3% | HEAD 0% | TAIL 11% | B/ATR nan
2002-06-12 | Bear | 11.6 / -0.4% | HEAD 0% | TAIL 380% | B/ATR nan
2002-06-13 | Bear | 11.26 / -3.3% | HEAD 3% | TAIL 3% | B/ATR nan
2002-06-14 | Bear | 10.4 / -1.0% | HEAD 100% | TAIL 490% | B/ATR nan
2002-06-17 | Bull | 10.64 / 2.3% | HEAD 4% | TAIL 21% | B/ATR nan
2002-06-18 | Bear | 10.31 / -1.7% | HEAD 44% | TAIL 0% | B/ATR nan
2002-06-19 | Bear | 9.39 / -6.1% | HEAD 0% | TAIL 11% | B/ATR nan
2002-06-20 | Bear | 8.8 / -6.3% | HEAD 10% | TAIL 46% | B/ATR nan
2002-06-21 | Bull | 9.05 / 0.0% | HEAD 2100% | TAIL 1500% | B/ATR nan
2002-06-24 | Bull | 9.0 / 2.2% | HEAD 26% | TAIL 84% | B/ATR nan
2002-06-25 | Bear | 8.97 / -1.6% | HEAD 87% | TAIL 27% | B/ATR nan
2002-06-26 | Bull | 8.59 / 1.1% | HEAD 356% | TAIL 144% | B/ATR nan
2002-06-27 | Bear | 8.89 / -1.6% | HEAD 0% | TAIL 36% | B/ATR nan
2002-06-28 | Bear | 8.31 / -2.5% | HEAD 29% | TAIL 24% | B/ATR nan
2002-07-01 | Bear | 7.59 / -5.1% | HEAD 2% | TAIL 22% | B/ATR nan
2002-07-02 | Bear | 7.0 / -5.0% | HEAD 0% | TAIL 38% | B/ATR nan
2002-07-03 | Bull | 8.3 / 7.1% | HEAD 0% | TAIL 91% | B/ATR nan
2002-07-05 | Bull | 9.26 / 6.4% | HEAD 16% | TAIL 0% | B/ATR nan
2002-07-08 | Bear | 9.13 / -3.9% | HEAD 0% | TAIL 0% | B/ATR nan
2002-07-09 | Bear | 9.37 / -2.9% | HEAD 11% | TAIL 14% | B/ATR nan
2002-07-10 | Bear | 8.91 / -4.8% | HEAD 0% | TAIL 0% | B/ATR nan
2002-07-11 | Bull | 9.22 / 3.5% | HEAD 10% | TAIL 3% | B/ATR nan
2002-07-12 | Bull | 10.36 / 5.7% | HEAD 11% | TAIL 9% | B/ATR nan
2002-07-15 | Bull | 10.45 / 3.5% | HEAD 0% | TAIL 43% | B/ATR nan
2002-07-16 | Bull | 10.2 / 4.6% | HEAD 42% | TAIL 0% | B/ATR nan
2002-07-17 | Bear | 10.25 / -2.4% | HEAD 12% | TAIL 60% | B/ATR nan
2002-07-18 | Bear | 9.95 / -3.1% | HEAD 0% | TAIL 16% | B/ATR nan
2002-07-19 | Bear | 9.17 / -6.9% | HEAD 0% | TAIL 0% | B/ATR nan
2002-07-22 | Bull | 9.0 / 0.3% | HEAD 33% | TAIL 567% | B/ATR nan
2002-07-23 | Bear | 8.91 / -2.5% | HEAD 0% | TAIL 65% | B/ATR nan
2002-07-24 | Bull | 8.75 / 3.2% | HEAD 19% | TAIL 52% | B/ATR nan
2002-07-25 | Bear | 8.0 / -5.9% | HEAD 0% | TAIL 50% | B/ATR nan
2002-07-26 | Bull | 7.9 / 1.3% | HEAD 0% | TAIL 250% | B/ATR nan
2002-07-29 | Bull | 8.3 / 3.9% | HEAD 0% | TAIL 0% | B/ATR nan
2002-07-30 | Bear | 8.5 / -2.3% | HEAD 0% | TAIL 40% | B/ATR nan
2002-07-31 | Bear | 8.1 / -3.0% | HEAD 0% | TAIL 16% | B/ATR nan
2002-08-01 | Bear | 7.99 / -1.4% | HEAD 0% | TAIL 27% | B/ATR nan
2002-08-02 | Bear | 7.42 / -7.1% | HEAD 0% | TAIL 2% | B/ATR nan
2002-08-05 | Bear | 6.75 / -6.9% | HEAD 0% | TAIL 14% | B/ATR nan
2002-08-06 | Bull | 7.22 / 6.2% | HEAD 19% | TAIL 0% | B/ATR nan
2002-08-07 | Bear | 6.54 / -8.7% | HEAD 6% | TAIL 15% | B/ATR nan
2002-08-08 | Bull | 6.82 / 4.1% | HEAD 30% | TAIL 0% | B/ATR nan
2002-08-09 | Bull | 6.98 / 1.2% | HEAD 0% | TAIL 225% | B/ATR nan
2002-08-12 | Bull | 6.95 / 3.7% | HEAD 0% | TAIL 0% | B/ATR nan
2002-08-13 | Bull | 7.0 / 0.0% | HEAD 1500% | TAIL 0% | B/ATR nan
2002-08-14 | Bull | 7.29 / 1.5% | HEAD 9% | TAIL 73% | B/ATR nan
2002-08-15 | Bull | 7.81 / 1.4% | HEAD 36% | TAIL 45% | B/ATR nan
2002-08-16 | Bull | 8.0 / 2.4% | HEAD 21% | TAIL 5% | B/ATR nan
2002-08-19 | Bull | 7.95 / 0.6% | HEAD 0% | TAIL 40% | B/ATR nan
2002-08-20 | Bear | 7.5 / -3.2% | HEAD 0% | TAIL 0% | B/ATR nan
2002-08-21 | Bear | 7.61 / -0.5% | HEAD 350% | TAIL 0% | B/ATR nan
2002-08-22 | Bear | 7.82 / -0.4% | HEAD 467% | TAIL 67% | B/ATR nan
2002-08-23 | Bull | 7.86 / 0.1% | HEAD 1400% | TAIL 600% | B/ATR nan
2002-08-26 | Bear | 7.88 / -0.9% | HEAD 14% | TAIL 29% | B/ATR nan
2002-08-27 | Bear | 7.8 / -2.5% | HEAD 0% | TAIL 15% | B/ATR nan
