2003-05-30 | Bull | 6.65 / 8.1% | HEAD 20% | TAIL 0% | B/ATR 2.2
2003-06-03 | Bull | 6.79 / 5.3% | HEAD 6% | TAIL 9% | B/ATR 1.5
2003-07-02 | Bull | 7.8 / 7.3% | HEAD 0% | TAIL 6% | B/ATR 2.3
2003-08-06 | Bull | 10.25 / 5.1% | HEAD 10% | TAIL 0% | B/ATR 1.9
2003-08-21 | Bull | 13.72 / 7.6% | HEAD 3% | TAIL 0% | B/ATR 3.3
2003-09-18 | Bull | 14.58 / 4.1% | HEAD 12% | TAIL 0% | B/ATR 1.6
2004-02-05 | Bull | 15.48 / 6.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2004-02-25 | Bull | 16.7 / 5.2% | HEAD 1% | TAIL 0% | B/ATR 1.8
2004-03-30 | Bull | 21.05 / 5.3% | HEAD 0% | TAIL 7% | B/ATR 1.9
2004-04-07 | Bull | 22.7 / 5.4% | HEAD 8% | TAIL 0% | B/ATR 2.0
2005-02-04 | Bull | 16.33 / 5.2% | HEAD 15% | TAIL 1% | B/ATR 1.6
2006-02-08 | Bull | 16.74 / 6.9% | HEAD 14% | TAIL 1% | B/ATR 2.6
2006-04-20 | Bull | 17.2 / 4.8% | HEAD 0% | TAIL 0% | B/ATR 1.7
2006-06-29 | Bull | 14.53 / 6.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-04-24 | Bull | 16.71 / 6.3% | HEAD 15% | TAIL 0% | B/ATR 2.9
2007-07-30 | Bull | 17.35 / 3.3% | HEAD 5% | TAIL 0% | B/ATR 1.5
2007-10-08 | Bull | 19.21 / 4.6% | HEAD 13% | TAIL 4% | B/ATR 1.9
2007-10-18 | Bull | 21.04 / 3.7% | HEAD 9% | TAIL 9% | B/ATR 1.7
2007-11-06 | Bull | 22.41 / 3.7% | HEAD 9% | TAIL 16% | B/ATR 1.6
2007-11-13 | Bull | 20.36 / 6.9% | HEAD 0% | TAIL 0% | B/ATR 2.4
2008-10-10 | Bull | 9.22 / 17.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2010-04-22 | Bull | 12.51 / 7.3% | HEAD 5% | TAIL 1% | B/ATR 2.7
2014-12-24 | Bull | 5.42 / 6.5% | HEAD 15% | TAIL 0% | B/ATR 2.8
