2016-02-11 | Bull | 18.05 / 0.2% | HEAD 1517% | TAIL 6367% | B/ATR nan
2016-02-12 | Bear | 17.8 / -0.5% | HEAD 400% | TAIL 167% | B/ATR nan
2016-02-16 | Bull | 18.26 / 4.9% | HEAD 21% | TAIL 0% | B/ATR nan
2016-02-17 | Bull | 18.75 / 1.9% | HEAD 69% | TAIL 0% | B/ATR nan
2016-02-18 | Bear | 18.54 / -2.3% | HEAD 9% | TAIL 9% | B/ATR nan
2016-02-19 | Bull | 18.73 / 1.2% | HEAD 48% | TAIL 0% | B/ATR nan
2016-02-22 | Bear | 18.5 / -2.5% | HEAD 4% | TAIL 0% | B/ATR nan
2016-02-23 | Bull | 18.58 / 0.0% | HEAD 500% | TAIL 800% | B/ATR nan
2016-02-24 | Bull | 18.77 / 1.5% | HEAD 0% | TAIL 141% | B/ATR nan
2016-02-25 | Bull | 19.517 / 4.1% | HEAD 111% | TAIL 0% | B/ATR nan
2016-02-26 | Bear | 19.49 / -2.6% | HEAD 0% | TAIL 46% | B/ATR nan
2016-02-29 | Bear | 19.41 / -2.4% | HEAD 0% | TAIL 33% | B/ATR nan
2016-03-01 | Bull | 20.13 / 4.5% | HEAD 52% | TAIL 0% | B/ATR nan
2016-03-02 | Bull | 21.26 / 5.2% | HEAD 18% | TAIL 57% | B/ATR nan
2016-03-03 | Bull | 23.23 / 9.8% | HEAD 9% | TAIL 16% | B/ATR nan
2016-03-04 | Bear | 19.67 / -17.8% | HEAD 2% | TAIL 7% | B/ATR nan
2016-03-07 | Bull | 20.87 / 5.4% | HEAD 59% | TAIL 103% | B/ATR nan
2016-03-08 | Bull | 21.68 / 4.1% | HEAD 59% | TAIL 99% | B/ATR nan
2016-03-09 | Bear | 21.33 / -4.3% | HEAD 16% | TAIL 124% | B/ATR nan
2016-03-10 | Bear | 20.85 / -4.7% | HEAD 159% | TAIL 156% | B/ATR nan
2016-03-11 | Bull | 21.15 / 2.2% | HEAD 173% | TAIL 78% | B/ATR nan
2016-03-14 | Bull | 22.76 / 8.5% | HEAD 33% | TAIL 34% | B/ATR nan
2016-03-15 | Bull | 22.84 / 1.2% | HEAD 164% | TAIL 740% | B/ATR nan
2016-03-16 | Bull | 24.48 / 5.5% | HEAD 12% | TAIL 50% | B/ATR nan
2016-03-17 | Bear | 23.16 / -6.1% | HEAD 52% | TAIL 135% | B/ATR nan
2016-03-18 | Bull | 24.47 / 6.9% | HEAD 32% | TAIL 50% | B/ATR nan
2016-03-21 | Bear | 24.03 / -1.5% | HEAD 768% | TAIL 230% | B/ATR nan
2016-03-22 | Bull | 24.23 / 1.7% | HEAD 278% | TAIL 54% | B/ATR nan
2016-03-23 | Bull | 24.7 / 1.9% | HEAD 17% | TAIL 98% | B/ATR nan
2016-03-24 | Bull | 27.41 / 11.0% | HEAD 3% | TAIL 7% | B/ATR nan
2016-03-28 | Bull | 29.05 / 5.2% | HEAD 40% | TAIL 0% | B/ATR nan
2016-03-29 | Bear | 28.64 / -0.6% | HEAD 244% | TAIL 475% | B/ATR nan
2016-03-30 | Bear | 25.55 / -10.7% | HEAD 14% | TAIL 12% | B/ATR nan
2016-03-31 | Bull | 27.24 / 8.3% | HEAD 56% | TAIL 74% | B/ATR nan
