2015-06-11 | Bull | 29.9 / 42.9% | HEAD 14% | TAIL 9% | B/ATR nan
2015-06-12 | Bear | 22.31 / -18.0% | HEAD 16% | TAIL 2% | B/ATR nan
2015-06-15 | Bull | 22.87 / 7.6% | HEAD 70% | TAIL 12% | B/ATR nan
2015-06-16 | Bear | 22.12 / -1.6% | HEAD 219% | TAIL 124% | B/ATR nan
2015-06-17 | Bear | 21.0 / -2.8% | HEAD 143% | TAIL 98% | B/ATR nan
2015-06-18 | Bear | 19.26 / -2.5% | HEAD 139% | TAIL 53% | B/ATR nan
2015-06-19 | Bull | 19.38 / 2.3% | HEAD 23% | TAIL 75% | B/ATR nan
2015-06-22 | Bull | 20.09 / 5.5% | HEAD 24% | TAIL 1% | B/ATR nan
2015-06-23 | Bear | 20.13 / -1.7% | HEAD 374% | TAIL 118% | B/ATR nan
2015-06-24 | Bull | 20.08 / 2.2% | HEAD 144% | TAIL 128% | B/ATR nan
2015-06-25 | Bear | 19.65 / -2.7% | HEAD 73% | TAIL 49% | B/ATR nan
2015-06-26 | Bull | 19.48 / 0.9% | HEAD 156% | TAIL 167% | B/ATR nan
2015-06-29 | Bull | 19.96 / 9.8% | HEAD 2% | TAIL 0% | B/ATR nan
2015-06-30 | Bull | 20.38 / 1.0% | HEAD 110% | TAIL 514% | B/ATR nan
2015-07-01 | Bear | 19.7 / -5.3% | HEAD 54% | TAIL 12% | B/ATR nan
2015-07-02 | Bear | 19.26 / -4.6% | HEAD 65% | TAIL 26% | B/ATR nan
2015-07-06 | Bear | 18.99 / -3.3% | HEAD 14% | TAIL 22% | B/ATR nan
2015-07-07 | Bull | 19.0 / 1.1% | HEAD 113% | TAIL 147% | B/ATR nan
2015-07-08 | Bear | 18.72 / -1.2% | HEAD 59% | TAIL 91% | B/ATR nan
2015-07-09 | Bear | 18.3 / -2.7% | HEAD 42% | TAIL 124% | B/ATR nan
2015-07-10 | Bear | 17.56 / -2.3% | HEAD 249% | TAIL 49% | B/ATR nan
2015-07-13 | Bear | 17.24 / -2.5% | HEAD 91% | TAIL 107% | B/ATR nan
2015-07-14 | Bear | 16.99 / -1.2% | HEAD 38% | TAIL 114% | B/ATR nan
2015-07-15 | Bull | 17.3 / 0.3% | HEAD 1150% | TAIL 383% | B/ATR nan
2015-07-16 | Bull | 17.54 / 0.6% | HEAD 673% | TAIL 282% | B/ATR nan
2015-07-17 | Bull | 21.27 / 7.1% | HEAD 114% | TAIL 57% | B/ATR nan
2015-07-20 | Bear | 20.84 / -7.4% | HEAD 0% | TAIL 41% | B/ATR nan
2015-07-21 | Bear | 19.41 / -7.5% | HEAD 0% | TAIL 26% | B/ATR nan
2015-07-22 | Bear | 18.16 / -5.4% | HEAD 221% | TAIL 88% | B/ATR nan
2015-07-23 | Bear | 16.39 / -13.4% | HEAD 3% | TAIL 6% | B/ATR nan
2015-07-24 | Bear | 15.46 / -1.0% | HEAD 247% | TAIL 879% | B/ATR nan
2015-07-27 | Bull | 15.58 / 3.5% | HEAD 98% | TAIL 49% | B/ATR nan
