2004-10-28 | Bear | 25.05 / -7.2% | HEAD 8% | TAIL 21% | B/ATR nan
2004-10-29 | Bear | 24.41 / -2.0% | HEAD 20% | TAIL 43% | B/ATR nan
2004-11-01 | Bear | 23.55 / -3.9% | HEAD 5% | TAIL 26% | B/ATR nan
2004-11-02 | Bull | 23.75 / 0.2% | HEAD 1480% | TAIL 300% | B/ATR nan
2004-11-03 | Bull | 24.25 / 1.3% | HEAD 150% | TAIL 0% | B/ATR nan
2004-11-04 | Bull | 26.0 / 7.2% | HEAD 14% | TAIL 0% | B/ATR nan
2004-11-05 | Bull | 26.5 / 1.6% | HEAD 0% | TAIL 157% | B/ATR nan
2004-11-08 | Bear | 26.27 / -0.9% | HEAD 0% | TAIL 617% | B/ATR nan
2004-11-09 | Bear | 25.93 / -3.8% | HEAD 29% | TAIL 79% | B/ATR nan
2004-11-10 | Bear | 25.5 / -1.9% | HEAD 60% | TAIL 40% | B/ATR nan
2004-11-11 | Bull | 26.75 / 4.9% | HEAD 20% | TAIL 0% | B/ATR nan
2004-11-12 | Bear | 26.74 / -1.0% | HEAD 96% | TAIL 8% | B/ATR nan
2004-11-15 | Bull | 27.92 / 4.4% | HEAD 7% | TAIL 43% | B/ATR nan
2004-11-16 | Bull | 30.01 / 7.9% | HEAD 22% | TAIL 14% | B/ATR nan
2004-11-17 | Bull | 30.4 / 0.5% | HEAD 567% | TAIL 300% | B/ATR nan
2004-11-18 | Bear | 29.97 / -1.9% | HEAD 9% | TAIL 45% | B/ATR nan
2004-11-19 | Bear | 29.6 / -1.3% | HEAD 5% | TAIL 145% | B/ATR nan
2004-11-22 | Bull | 29.75 / 0.8% | HEAD 160% | TAIL 8% | B/ATR nan
2004-11-23 | Bear | 29.55 / -1.0% | HEAD 17% | TAIL 83% | B/ATR nan
2004-11-24 | Bull | 30.2 / 1.3% | HEAD 73% | TAIL 163% | B/ATR nan
2004-11-26 | Bear | 30.02 / -0.8% | HEAD 43% | TAIL 0% | B/ATR nan
2004-11-29 | Bear | 29.7 / -1.5% | HEAD 111% | TAIL 0% | B/ATR nan
2004-11-30 | Bear | 29.38 / -1.6% | HEAD 106% | TAIL 2% | B/ATR nan
2004-12-01 | Bull | 29.85 / 1.0% | HEAD 33% | TAIL 0% | B/ATR nan
2004-12-02 | Bull | 30.56 / 2.2% | HEAD 179% | TAIL 14% | B/ATR nan
2004-12-03 | Bear | 30.65 / -0.3% | HEAD 140% | TAIL 100% | B/ATR nan
2004-12-06 | Bear | 31.16 / -0.1% | HEAD 2250% | TAIL 375% | B/ATR nan
2004-12-07 | Bull | 31.62 / 1.5% | HEAD 191% | TAIL 209% | B/ATR nan
2004-12-08 | Bear | 30.65 / -4.2% | HEAD 7% | TAIL 0% | B/ATR nan
2004-12-09 | Bear | 29.7 / -2.1% | HEAD 23% | TAIL 177% | B/ATR nan
2004-12-10 | Bear | 29.41 / -2.8% | HEAD 83% | TAIL 1% | B/ATR nan
2004-12-13 | Bull | 30.65 / 2.2% | HEAD 15% | TAIL 31% | B/ATR nan
2004-12-14 | Bear | 30.34 / -0.8% | HEAD 19% | TAIL 35% | B/ATR nan
2004-12-15 | Bull | 30.85 / 1.1% | HEAD 157% | TAIL 14% | B/ATR nan
2004-12-16 | Bull | 31.99 / 2.4% | HEAD 1% | TAIL 24% | B/ATR nan
2004-12-17 | Bear | 31.5 / -1.1% | HEAD 129% | TAIL 179% | B/ATR nan
2004-12-20 | Bear | 31.5 / -1.4% | HEAD 16% | TAIL 22% | B/ATR nan
2004-12-21 | Bull | 32.3 / 2.2% | HEAD 14% | TAIL 7% | B/ATR nan
2004-12-22 | Bull | 34.2 / 5.1% | HEAD 30% | TAIL 0% | B/ATR nan
2004-12-23 | Bull | 34.7 / 0.7% | HEAD 120% | TAIL 0% | B/ATR nan
2004-12-27 | Bear | 34.4 / -3.6% | HEAD 0% | TAIL 31% | B/ATR nan
2004-12-28 | Bear | 34.29 / -0.0% | HEAD 4000% | TAIL 7800% | B/ATR nan
2004-12-29 | Bull | 34.5 / 0.6% | HEAD 25% | TAIL 25% | B/ATR nan
2004-12-30 | Bull | 35.06 / 0.2% | HEAD 567% | TAIL 200% | B/ATR nan
2004-12-31 | Bull | 35.15 / 0.0% | HEAD 2500% | TAIL 3300% | B/ATR nan
2005-01-03 | Bear | 33.98 / -5.0% | HEAD 5% | TAIL 19% | B/ATR nan
2005-01-04 | Bear | 32.9 / -3.2% | HEAD 10% | TAIL 50% | B/ATR nan
2005-01-05 | Bull | 34.18 / 3.4% | HEAD 28% | TAIL 0% | B/ATR nan
2005-01-06 | Bear | 33.93 / -3.7% | HEAD 42% | TAIL 101% | B/ATR nan
