2005-10-07 | Bull | 22.91 / 6.1% | HEAD 16% | TAIL 0% | B/ATR 1.6
2005-11-21 | Bull | 28.82 / 4.9% | HEAD 4% | TAIL 2% | B/ATR 1.6
2006-01-31 | Bull | 32.35 / 4.9% | HEAD 6% | TAIL 1% | B/ATR 1.8
2007-01-23 | Bull | 29.55 / 5.1% | HEAD 3% | TAIL 3% | B/ATR 1.7
2008-09-19 | Bull | 8.32 / 14.6% | HEAD 2% | TAIL 0% | B/ATR 1.8
2010-04-22 | Bull | 8.03 / 7.9% | HEAD 0% | TAIL 8% | B/ATR 2.3
2010-05-10 | Bull | 8.79 / 9.1% | HEAD 10% | TAIL 4% | B/ATR 2.7
2010-05-25 | Bull | 8.08 / 5.8% | HEAD 5% | TAIL 11% | B/ATR 1.5
2011-05-05 | Bull | 6.26 / 8.9% | HEAD 6% | TAIL 0% | B/ATR 1.7
2011-08-29 | Bull | 5.72 / 11.7% | HEAD 13% | TAIL 0% | B/ATR 2.2
2011-11-14 | Bull | 8.0 / 7.8% | HEAD 0% | TAIL 0% | B/ATR 1.8
2013-07-12 | Bull | 6.6 / 4.9% | HEAD 0% | TAIL 1% | B/ATR 1.5
2013-10-24 | Bull | 7.91 / 10.6% | HEAD 11% | TAIL 3% | B/ATR 3.8
2013-10-31 | Bull | 7.86 / 5.8% | HEAD 9% | TAIL 0% | B/ATR 2.2
2013-11-04 | Bull | 8.29 / 5.5% | HEAD 2% | TAIL 12% | B/ATR 2.2
2013-11-11 | Bull | 9.0 / 7.1% | HEAD 3% | TAIL 0% | B/ATR 3.0
2013-11-13 | Bull | 9.74 / 11.3% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-11-21 | Bull | 9.7 / 9.1% | HEAD 12% | TAIL 1% | B/ATR 3.8
2014-01-14 | Bull | 8.49 / 14.7% | HEAD 18% | TAIL 9% | B/ATR 4.1
2014-03-05 | Bull | 8.97 / 11.7% | HEAD 6% | TAIL 0% | B/ATR 3.2
2014-04-01 | Bull | 10.49 / 8.1% | HEAD 0% | TAIL 19% | B/ATR 2.7
2014-05-01 | Bull | 13.63 / 16.0% | HEAD 10% | TAIL 0% | B/ATR 6.0
2014-05-05 | Bull | 13.95 / 4.8% | HEAD 16% | TAIL 0% | B/ATR 2.0
2014-06-06 | Bull | 15.26 / 6.1% | HEAD 19% | TAIL 2% | B/ATR 2.4
2014-09-05 | Bull | 14.24 / 6.0% | HEAD 6% | TAIL 6% | B/ATR 1.8
2014-09-16 | Bull | 13.26 / 5.9% | HEAD 0% | TAIL 0% | B/ATR 1.6
2014-10-16 | Bull | 13.82 / 8.8% | HEAD 13% | TAIL 9% | B/ATR 2.4
2014-10-27 | Bull | 16.55 / 6.9% | HEAD 11% | TAIL 2% | B/ATR 2.2
2015-01-16 | Bull | 22.44 / 9.4% | HEAD 3% | TAIL 0% | B/ATR 3.0
2015-08-05 | Bull | 18.66 / 6.1% | HEAD 20% | TAIL 4% | B/ATR 1.5
2015-09-30 | Bull | 18.89 / 6.5% | HEAD 1% | TAIL 0% | B/ATR 1.7
2015-10-30 | Bull | 15.56 / 8.4% | HEAD 12% | TAIL 3% | B/ATR 1.7
2016-05-03 | Bull | 13.94 / 9.8% | HEAD 12% | TAIL 0% | B/ATR 2.1
2016-05-20 | Bull | 14.2 / 6.3% | HEAD 6% | TAIL 2% | B/ATR 1.5
2016-10-31 | Bull | 13.5 / 7.1% | HEAD 6% | TAIL 11% | B/ATR 2.4
2017-02-24 | Bull | 10.1 / 21.0% | HEAD 6% | TAIL 3% | B/ATR 3.9
2017-04-28 | Bull | 10.4 / 8.3% | HEAD 12% | TAIL 6% | B/ATR 1.7
2017-08-28 | Bull | 9.45 / 9.2% | HEAD 0% | TAIL 6% | B/ATR 1.9
2018-04-04 | Bull | 9.35 / 7.5% | HEAD 15% | TAIL 0% | B/ATR 1.7
