2000-01-03 | Bull | 33.19 / 15.4% | HEAD 18% | TAIL 6% | B/ATR nan
2000-01-04 | Bear | 30.75 / -4.3% | HEAD 9% | TAIL 109% | B/ATR nan
2000-01-05 | Bull | 33.06 / 6.0% | HEAD 24% | TAIL 24% | B/ATR nan
2000-01-06 | Bull | 34.63 / 3.0% | HEAD 0% | TAIL 68% | B/ATR nan
2000-01-07 | Bull | 38.25 / 7.4% | HEAD 26% | TAIL 19% | B/ATR nan
2000-01-10 | Bull | 47.69 / 3.1% | HEAD 208% | TAIL 227% | B/ATR nan
2000-01-11 | Bear | 41.75 / -8.7% | HEAD 2% | TAIL 19% | B/ATR nan
2000-01-12 | Bull | 42.63 / 3.5% | HEAD 60% | TAIL 247% | B/ATR nan
2000-01-13 | Bear | 43.63 / -4.1% | HEAD 0% | TAIL 34% | B/ATR nan
2000-01-14 | Bear | 44.81 / -1.5% | HEAD 72% | TAIL 190% | B/ATR nan
2000-01-18 | Bull | 51.0 / 9.8% | HEAD 41% | TAIL 21% | B/ATR nan
2000-01-19 | Bull | 58.5 / 11.2% | HEAD 13% | TAIL 0% | B/ATR nan
2000-01-20 | Bull | 71.75 / 13.8% | HEAD 14% | TAIL 42% | B/ATR nan
2000-01-21 | Bull | 78.38 / 5.6% | HEAD 136% | TAIL 26% | B/ATR nan
2000-01-24 | Bear | 65.25 / -22.2% | HEAD 14% | TAIL 4% | B/ATR nan
2000-01-25 | Bear | 65.69 / -3.8% | HEAD 49% | TAIL 222% | B/ATR nan
2000-01-26 | Bear | 62.56 / -10.0% | HEAD 4% | TAIL 22% | B/ATR nan
2000-01-27 | Bull | 61.63 / 0.2% | HEAD 2446% | TAIL 1154% | B/ATR nan
2000-01-28 | Bear | 55.5 / -7.9% | HEAD 63% | TAIL 11% | B/ATR nan
2000-01-31 | Bull | 65.38 / 23.4% | HEAD 15% | TAIL 18% | B/ATR nan
2000-02-01 | Bear | 66.0 / -2.2% | HEAD 9% | TAIL 558% | B/ATR nan
2000-02-02 | Bear | 62.38 / -4.4% | HEAD 1% | TAIL 48% | B/ATR nan
2000-02-03 | Bull | 67.75 / 6.9% | HEAD 17% | TAIL 14% | B/ATR nan
2000-02-04 | Bull | 75.25 / 8.7% | HEAD 88% | TAIL 4% | B/ATR nan
2000-02-07 | Bear | 73.06 / -4.8% | HEAD 2% | TAIL 30% | B/ATR nan
2000-02-08 | Bull | 77.0 / 0.7% | HEAD 688% | TAIL 400% | B/ATR nan
2000-02-09 | Bear | 78.88 / -0.8% | HEAD 403% | TAIL 303% | B/ATR nan
2000-02-10 | Bull | 77.06 / 0.1% | HEAD 1567% | TAIL 7500% | B/ATR nan
2000-02-11 | Bear | 74.25 / -3.4% | HEAD 0% | TAIL 29% | B/ATR nan
2000-02-14 | Bull | 81.88 / 10.2% | HEAD 15% | TAIL 4% | B/ATR nan
2000-02-15 | Bull | 80.38 / 0.0% | HEAD 13700% | TAIL 41900% | B/ATR nan
2000-02-16 | Bull | 83.63 / 3.1% | HEAD 55% | TAIL 65% | B/ATR nan
2000-02-17 | Bull | 89.94 / 5.2% | HEAD 44% | TAIL 11% | B/ATR nan
2000-02-18 | Bull | 104.1 / 11.6% | HEAD 18% | TAIL 9% | B/ATR nan
2000-02-22 | Bull | 118.8 / 0.0% | HEAD 40000% | TAIL 178000% | B/ATR nan
2000-02-23 | Bear | 112.4 / -6.4% | HEAD 0% | TAIL 44% | B/ATR nan
2000-02-24 | Bear | 106.0 / -4.5% | HEAD 20% | TAIL 94% | B/ATR nan
2000-02-25 | Bull | 105.1 / 0.0% | HEAD 57000% | TAIL 3000% | B/ATR nan
2000-02-28 | Bear | 103.4 / -1.6% | HEAD 24% | TAIL 88% | B/ATR nan
2000-02-29 | Bull | 114.8 / 9.8% | HEAD 10% | TAIL 1% | B/ATR nan
2000-03-01 | Bull | 127.5 / 6.3% | HEAD 30% | TAIL 0% | B/ATR nan
2000-03-02 | Bull | 132.2 / 1.1% | HEAD 907% | TAIL 271% | B/ATR nan
2000-03-03 | Bear | 120.7 / -13.8% | HEAD 5% | TAIL 4% | B/ATR nan
2000-03-06 | Bear | 114.1 / -7.2% | HEAD 60% | TAIL 20% | B/ATR nan
2000-03-07 | Bear | 115.1 / -1.1% | HEAD 662% | TAIL 8% | B/ATR nan
2000-03-08 | Bear | 116.7 / -3.8% | HEAD 24% | TAIL 48% | B/ATR nan
2000-03-09 | Bull | 121.3 / 1.1% | HEAD 162% | TAIL 208% | B/ATR nan
2000-03-10 | Bull | 129.0 / 2.5% | HEAD 106% | TAIL 116% | B/ATR nan
2000-03-13 | Bull | 120.6 / 0.7% | HEAD 800% | TAIL 538% | B/ATR nan
2000-03-14 | Bear | 106.9 / -11.7% | HEAD 14% | TAIL 4% | B/ATR nan
2000-03-15 | Bear | 89.06 / -16.2% | HEAD 4% | TAIL 10% | B/ATR nan
2000-03-16 | Bull | 99.5 / 6.8% | HEAD 52% | TAIL 49% | B/ATR nan
2000-03-17 | Bear | 98.69 / -6.0% | HEAD 0% | TAIL 51% | B/ATR nan
2000-03-20 | Bear | 95.19 / -5.7% | HEAD 30% | TAIL 36% | B/ATR nan
2000-03-21 | Bull | 95.5 / 6.0% | HEAD 35% | TAIL 155% | B/ATR nan
2000-03-22 | Bull | 98.0 / 2.9% | HEAD 32% | TAIL 186% | B/ATR nan
2000-03-23 | Bull | 110.8 / 7.8% | HEAD 0% | TAIL 35% | B/ATR nan
2000-03-24 | Bear | 105.0 / -8.2% | HEAD 4% | TAIL 32% | B/ATR nan
2000-03-27 | Bear | 99.0 / -5.4% | HEAD 13% | TAIL 18% | B/ATR nan
2000-03-28 | Bear | 92.5 / -4.7% | HEAD 0% | TAIL 33% | B/ATR nan
2000-03-29 | Bear | 79.63 / -13.4% | HEAD 1% | TAIL 0% | B/ATR nan
2000-03-30 | Bear | 74.25 / -4.9% | HEAD 136% | TAIL 113% | B/ATR nan
2000-03-31 | Bull | 84.5 / 5.8% | HEAD 46% | TAIL 62% | B/ATR nan
2000-04-03 | Bear | 80.0 / -1.5% | HEAD 20% | TAIL 430% | B/ATR nan
2000-04-04 | Bear | 76.38 / -6.9% | HEAD 49% | TAIL 238% | B/ATR nan
2000-04-05 | Bull | 79.88 / 4.6% | HEAD 146% | TAIL 79% | B/ATR nan
2000-04-06 | Bull | 90.75 / 8.6% | HEAD 28% | TAIL 0% | B/ATR nan
2000-04-07 | Bear | 87.25 / -8.2% | HEAD 5% | TAIL 20% | B/ATR nan
2000-04-10 | Bear | 83.0 / -7.8% | HEAD 9% | TAIL 21% | B/ATR nan
2000-04-11 | Bull | 80.81 / 1.5% | HEAD 244% | TAIL 392% | B/ATR nan
2000-04-12 | Bear | 75.89 / -5.7% | HEAD 54% | TAIL 19% | B/ATR nan
2000-04-13 | Bear | 74.75 / -1.2% | HEAD 355% | TAIL 306% | B/ATR nan
2000-04-14 | Bear | 66.5 / -5.7% | HEAD 119% | TAIL 38% | B/ATR nan
2000-04-17 | Bull | 70.0 / 14.5% | HEAD 3% | TAIL 1% | B/ATR nan
2000-04-18 | Bull | 80.06 / 8.0% | HEAD 16% | TAIL 44% | B/ATR nan
2000-04-19 | Bear | 75.75 / -6.1% | HEAD 10% | TAIL 29% | B/ATR nan
2000-04-20 | Bear | 72.13 / -7.4% | HEAD 2% | TAIL 20% | B/ATR nan
2000-04-24 | Bear | 68.13 / -4.6% | HEAD 0% | TAIL 76% | B/ATR nan
2000-04-25 | Bull | 73.13 / 4.8% | HEAD 170% | TAIL 2% | B/ATR nan
2000-04-26 | Bull | 75.25 / 2.1% | HEAD 48% | TAIL 100% | B/ATR nan
2000-04-27 | Bull | 81.0 / 14.0% | HEAD 15% | TAIL 8% | B/ATR nan
2000-04-28 | Bear | 80.0 / -3.0% | HEAD 52% | TAIL 45% | B/ATR nan
2000-05-01 | Bull | 87.0 / 3.2% | HEAD 12% | TAIL 86% | B/ATR nan
2000-05-02 | Bear | 79.38 / -6.6% | HEAD 0% | TAIL 25% | B/ATR nan
2000-05-03 | Bear | 76.63 / -1.6% | HEAD 20% | TAIL 250% | B/ATR nan
2000-05-04 | Bear | 76.5 / -1.2% | HEAD 372% | TAIL 133% | B/ATR nan
2000-05-05 | Bull | 74.0 / 0.7% | HEAD 400% | TAIL 362% | B/ATR nan
2000-05-08 | Bull | 73.13 / 2.1% | HEAD 125% | TAIL 92% | B/ATR nan
2000-05-09 | Bear | 69.25 / -6.1% | HEAD 22% | TAIL 6% | B/ATR nan
2000-05-10 | Bear | 67.0 / -1.7% | HEAD 143% | TAIL 172% | B/ATR nan
