2001-10-25 | Bull | 32.33 / 16.0% | HEAD 5% | TAIL 10% | B/ATR 1.5
2002-01-08 | Bull | 34.96 / 13.2% | HEAD 1% | TAIL 0% | B/ATR 1.7
2003-05-14 | Bull | 13.41 / 11.7% | HEAD 4% | TAIL 0% | B/ATR 2.1
2003-06-04 | Bull | 13.71 / 8.8% | HEAD 4% | TAIL 0% | B/ATR 1.7
2004-06-01 | Bull | 10.2 / 9.4% | HEAD 5% | TAIL 2% | B/ATR 1.9
2004-09-28 | Bull | 7.9 / 26.2% | HEAD 5% | TAIL 2% | B/ATR 4.0
2005-05-24 | Bull | 4.11 / 13.9% | HEAD 8% | TAIL 12% | B/ATR 1.8
2005-08-30 | Bull | 5.23 / 13.2% | HEAD 3% | TAIL 13% | B/ATR 2.4
2006-01-26 | Bull | 5.19 / 8.1% | HEAD 3% | TAIL 18% | B/ATR 1.6
2006-04-18 | Bull | 8.72 / 5.8% | HEAD 10% | TAIL 19% | B/ATR 1.9
2006-10-23 | Bull | 6.49 / 9.6% | HEAD 18% | TAIL 19% | B/ATR 1.7
2006-10-25 | Bull | 7.09 / 12.7% | HEAD 11% | TAIL 4% | B/ATR 2.4
2007-02-21 | Bull | 6.19 / 9.6% | HEAD 0% | TAIL 2% | B/ATR 2.0
2007-06-27 | Bull | 5.28 / 7.3% | HEAD 3% | TAIL 6% | B/ATR 1.7
2007-08-07 | Bull | 5.02 / 10.6% | HEAD 2% | TAIL 12% | B/ATR 2.3
2007-09-26 | Bull | 4.95 / 7.6% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-12-27 | Bull | 5.27 / 7.8% | HEAD 8% | TAIL 0% | B/ATR 1.8
2007-12-28 | Bull | 5.63 / 10.0% | HEAD 20% | TAIL 10% | B/ATR 2.4
2008-07-23 | Bull | 4.1 / 9.9% | HEAD 0% | TAIL 16% | B/ATR 2.0
2008-09-12 | Bull | 3.94 / 7.9% | HEAD 0% | TAIL 0% | B/ATR 1.6
2008-11-24 | Bull | 2.18 / 27.5% | HEAD 0% | TAIL 0% | B/ATR 2.0
2009-09-25 | Bull | 2.82 / 43.1% | HEAD 6% | TAIL 20% | B/ATR 6.7
2009-09-29 | Bull | 3.07 / 23.3% | HEAD 9% | TAIL 2% | B/ATR 4.5
2009-10-15 | Bull | 3.25 / 8.7% | HEAD 0% | TAIL 19% | B/ATR 1.9
2010-03-23 | Bull | 2.76 / 9.5% | HEAD 0% | TAIL 12% | B/ATR 1.7
2010-08-18 | Bull | 2.0 / 14.3% | HEAD 0% | TAIL 0% | B/ATR 2.1
2011-02-02 | Bull | 2.14 / 24.4% | HEAD 12% | TAIL 0% | B/ATR 5.3
2012-10-01 | Bull | 0.87 / 14.5% | HEAD 5% | TAIL 0% | B/ATR 2.0
2013-03-13 | Bull | 1.21 / 7.1% | HEAD 12% | TAIL 0% | B/ATR 1.7
2013-05-02 | Bull | 1.03 / 13.2% | HEAD 17% | TAIL 0% | B/ATR 1.9
2013-05-24 | Bull | 1.39 / 14.9% | HEAD 6% | TAIL 11% | B/ATR 2.6
2014-01-07 | Bull | 2.47 / 28.6% | HEAD 5% | TAIL 9% | B/ATR 5.2
2014-02-24 | Bull | 2.82 / 16.5% | HEAD 0% | TAIL 0% | B/ATR 3.1
2014-02-26 | Bull | 3.35 / 8.1% | HEAD 8% | TAIL 12% | B/ATR 1.9
2014-03-25 | Bull | 5.4 / 29.2% | HEAD 0% | TAIL 7% | B/ATR 6.1
2014-05-28 | Bull | 3.88 / 18.3% | HEAD 5% | TAIL 0% | B/ATR 1.9
2014-06-18 | Bull | 4.15 / 15.3% | HEAD 7% | TAIL 7% | B/ATR 1.7
2016-07-11 | Bull | 1.45 / 9.4% | HEAD 0% | TAIL 20% | B/ATR 1.8
2016-07-18 | Bull | 2.01 / 28.8% | HEAD 0% | TAIL 16% | B/ATR 6.6
2016-10-03 | Bull | 2.49 / 12.7% | HEAD 14% | TAIL 4% | B/ATR 2.9
2016-12-19 | Bull | 1.82 / 12.3% | HEAD 10% | TAIL 5% | B/ATR 1.9
2017-05-05 | Bull | 2.82 / 6.4% | HEAD 18% | TAIL 0% | B/ATR 1.6
2017-09-13 | Bull | 4.72 / 18.0% | HEAD 4% | TAIL 11% | B/ATR 6.0
2017-09-20 | Bull | 4.86 / 6.8% | HEAD 13% | TAIL 10% | B/ATR 2.5
2017-10-06 | Bull | 5.1 / 5.2% | HEAD 16% | TAIL 20% | B/ATR 1.8
2017-11-02 | Bull | 5.6 / 8.3% | HEAD 9% | TAIL 5% | B/ATR 2.6
2018-01-29 | Bull | 4.02 / 17.5% | HEAD 3% | TAIL 5% | B/ATR 3.0
