2000-01-03 | Bull | 12.75 / 4.1% | HEAD 0% | TAIL 100% | B/ATR nan
2000-01-04 | Bull | 13.56 / 3.3% | HEAD 0% | TAIL 102% | B/ATR nan
2000-01-05 | Bear | 12.88 / -1.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 12.75 / 0.0% | HEAD 2500% | TAIL 0% | B/ATR nan
2000-01-07 | Bear | 13.38 / -0.4% | HEAD 417% | TAIL 0% | B/ATR nan
2000-01-10 | Bull | 13.69 / 2.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-11 | Bull | 14.06 / 2.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-12 | Bear | 14.25 / -3.4% | HEAD 100% | TAIL 12% | B/ATR nan
2000-01-13 | Bull | 15.25 / 3.4% | HEAD 88% | TAIL 0% | B/ATR nan
2000-01-14 | Bull | 16.75 / 5.5% | HEAD 29% | TAIL 29% | B/ATR nan
2000-01-18 | Bear | 16.44 / -3.0% | HEAD 12% | TAIL 88% | B/ATR nan
2000-01-19 | Bear | 15.5 / -6.1% | HEAD 0% | TAIL 125% | B/ATR nan
2000-01-20 | Bear | 15.06 / -4.2% | HEAD 5% | TAIL 38% | B/ATR nan
2000-01-21 | Bear | 15.0 / -0.9% | HEAD 0% | TAIL 285% | B/ATR nan
2000-01-24 | Bear | 14.75 / -6.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-25 | Bull | 14.88 / 1.7% | HEAD 0% | TAIL 28% | B/ATR nan
2000-01-26 | Bull | 14.88 / 0.0% | HEAD 0% | TAIL 3800% | B/ATR nan
2000-01-27 | Bull | 14.75 / 0.0% | HEAD 0% | TAIL 5000% | B/ATR nan
2000-01-28 | Bull | 15.5 / 7.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-31 | Bear | 14.56 / -4.5% | HEAD 0% | TAIL 26% | B/ATR nan
2000-02-01 | Bull | 14.88 / 3.5% | HEAD 24% | TAIL 0% | B/ATR nan
2000-02-02 | Bull | 14.38 / 0.0% | HEAD 3700% | TAIL 1300% | B/ATR nan
2000-02-03 | Bull | 15.0 / 2.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-04 | Bear | 14.88 / -2.0% | HEAD 0% | TAIL 61% | B/ATR nan
2000-02-07 | Bull | 15.5 / 0.4% | HEAD 833% | TAIL 517% | B/ATR nan
2000-02-08 | Bull | 17.0 / 4.6% | HEAD 0% | TAIL 67% | B/ATR nan
2000-02-09 | Bear | 17.5 / -0.7% | HEAD 46% | TAIL 477% | B/ATR nan
2000-02-10 | Bear | 17.0 / -2.9% | HEAD 426% | TAIL 0% | B/ATR nan
2000-02-11 | Bear | 18.38 / -2.0% | HEAD 135% | TAIL 103% | B/ATR nan
2000-02-14 | Bear | 19.0 / -0.7% | HEAD 138% | TAIL 92% | B/ATR nan
2000-02-15 | Bull | 19.44 / 0.3% | HEAD 417% | TAIL 633% | B/ATR nan
2000-02-16 | Bear | 19.13 / -0.6% | HEAD 0% | TAIL 317% | B/ATR nan
2000-02-17 | Bear | 19.13 / -0.3% | HEAD 317% | TAIL 833% | B/ATR nan
2000-02-18 | Bull | 19.0 / 2.0% | HEAD 135% | TAIL 0% | B/ATR nan
2000-02-22 | Bull | 20.06 / 5.6% | HEAD 177% | TAIL 0% | B/ATR nan
2000-02-23 | Bear | 21.0 / -1.2% | HEAD 0% | TAIL 324% | B/ATR nan
2000-02-24 | Bull | 22.13 / 3.2% | HEAD 199% | TAIL 9% | B/ATR nan
2000-02-25 | Bull | 24.13 / 2.1% | HEAD 0% | TAIL 76% | B/ATR nan
2000-02-28 | Bull | 26.25 / 1.0% | HEAD 300% | TAIL 324% | B/ATR nan
2000-02-29 | Bull | 31.25 / 2.6% | HEAD 96% | TAIL 28% | B/ATR nan
2000-03-01 | Bull | 38.75 / 2.1% | HEAD 247% | TAIL 100% | B/ATR nan
2000-03-02 | Bear | 33.0 / -19.4% | HEAD 4% | TAIL 38% | B/ATR nan
