2001-08-29 | Bull | 12.49 / 11.2% | HEAD 9% | TAIL 6% | B/ATR 2.2
2003-01-13 | Bull | 7.36 / 12.4% | HEAD 0% | TAIL 19% | B/ATR 1.7
2003-03-13 | Bull | 11.97 / 8.2% | HEAD 3% | TAIL 4% | B/ATR 1.7
2003-04-02 | Bull | 12.29 / 9.7% | HEAD 5% | TAIL 12% | B/ATR 2.0
2003-06-05 | Bull | 13.32 / 14.8% | HEAD 1% | TAIL 6% | B/ATR 3.1
2004-08-18 | Bull | 5.51 / 12.0% | HEAD 7% | TAIL 3% | B/ATR 1.6
2004-11-11 | Bull | 4.4 / 12.5% | HEAD 14% | TAIL 2% | B/ATR 1.5
2005-06-16 | Bull | 6.92 / 8.0% | HEAD 16% | TAIL 12% | B/ATR 1.7
2005-08-31 | Bull | 8.63 / 6.5% | HEAD 4% | TAIL 13% | B/ATR 1.6
2005-11-02 | Bull | 9.1 / 9.9% | HEAD 2% | TAIL 13% | B/ATR 2.3
2005-11-03 | Bull | 9.37 / 7.2% | HEAD 3% | TAIL 0% | B/ATR 1.7
2005-11-21 | Bull | 10.48 / 6.1% | HEAD 3% | TAIL 10% | B/ATR 1.6
2007-01-29 | Bull | 19.08 / 5.0% | HEAD 11% | TAIL 3% | B/ATR 1.8
2007-02-14 | Bull | 20.29 / 3.9% | HEAD 14% | TAIL 0% | B/ATR 1.5
2007-05-16 | Bull | 18.16 / 6.1% | HEAD 2% | TAIL 9% | B/ATR 2.0
2007-12-06 | Bull | 28.78 / 7.2% | HEAD 4% | TAIL 2% | B/ATR 2.5
2008-01-09 | Bull | 40.37 / 3.9% | HEAD 12% | TAIL 6% | B/ATR 1.6
2008-07-08 | Bull | 29.73 / 8.1% | HEAD 12% | TAIL 14% | B/ATR 1.6
2008-07-15 | Bull | 29.85 / 8.2% | HEAD 12% | TAIL 11% | B/ATR 1.6
2008-10-13 | Bull | 22.73 / 11.8% | HEAD 5% | TAIL 0% | B/ATR 1.7
2008-10-29 | Bull | 18.01 / 17.5% | HEAD 15% | TAIL 12% | B/ATR 1.8
2009-07-31 | Bull | 16.41 / 8.7% | HEAD 0% | TAIL 7% | B/ATR 1.8
2010-04-01 | Bull | 24.49 / 4.1% | HEAD 3% | TAIL 0% | B/ATR 1.6
2010-10-20 | Bull | 23.03 / 4.3% | HEAD 18% | TAIL 6% | B/ATR 1.6
2010-10-29 | Bull | 26.11 / 5.2% | HEAD 5% | TAIL 11% | B/ATR 2.2
2012-07-02 | Bull | 41.69 / 4.5% | HEAD 1% | TAIL 16% | B/ATR 1.7
2012-11-05 | Bull | 49.069 / 6.7% | HEAD 15% | TAIL 0% | B/ATR 2.9
2013-02-22 | Bull | 56.1 / 5.2% | HEAD 4% | TAIL 0% | B/ATR 2.2
2013-04-19 | Bull | 65.44 / 3.6% | HEAD 0% | TAIL 16% | B/ATR 1.7
2013-04-30 | Bull | 65.6 / 3.6% | HEAD 1% | TAIL 2% | B/ATR 1.7
2013-09-09 | Bull | 76.08 / 4.9% | HEAD 2% | TAIL 0% | B/ATR 1.9
2013-10-01 | Bull | 75.92 / 4.8% | HEAD 3% | TAIL 0% | B/ATR 1.8
2013-11-15 | Bull | 69.29 / 8.3% | HEAD 17% | TAIL 2% | B/ATR 2.6
2014-02-13 | Bull | 75.93 / 4.6% | HEAD 1% | TAIL 4% | B/ATR 1.7
2014-02-20 | Bull | 80.13 / 4.6% | HEAD 12% | TAIL 3% | B/ATR 1.7
2014-10-24 | Bull | 81.03 / 7.5% | HEAD 14% | TAIL 0% | B/ATR 2.7
2014-11-24 | Bull | 87.94 / 4.8% | HEAD 11% | TAIL 20% | B/ATR 1.8
2015-03-13 | Bull | 123.52 / 5.0% | HEAD 11% | TAIL 1% | B/ATR 1.9
2015-10-15 | Bull | 111.5 / 7.6% | HEAD 4% | TAIL 12% | B/ATR 1.6
2016-07-27 | Bull | 98.09 / 7.1% | HEAD 10% | TAIL 16% | B/ATR 1.6
2017-06-21 | Bull | 98.82 / 6.6% | HEAD 2% | TAIL 2% | B/ATR 2.6
2018-02-01 | Bull | 92.63 / 3.6% | HEAD 14% | TAIL 4% | B/ATR 1.5
2018-02-14 | Bull | 84.54 / 4.4% | HEAD 7% | TAIL 0% | B/ATR 1.6
