2000-01-03 | Bear | 25.69 / -1.6% | HEAD 16% | TAIL 44% | B/ATR nan
2000-01-04 | Bear | 25.44 / -0.2% | HEAD 1150% | TAIL 317% | B/ATR nan
2000-01-05 | Bull | 25.88 / 2.0% | HEAD 0% | TAIL 76% | B/ATR nan
2000-01-06 | Bull | 26.13 / 2.0% | HEAD 12% | TAIL 26% | B/ATR nan
2000-01-07 | Bear | 26.0 / -0.7% | HEAD 63% | TAIL 132% | B/ATR nan
2000-01-10 | Bear | 26.25 / -0.9% | HEAD 152% | TAIL 48% | B/ATR nan
2000-01-11 | Bear | 26.13 / -1.4% | HEAD 35% | TAIL 0% | B/ATR nan
2000-01-12 | Bear | 26.0 / -1.9% | HEAD 0% | TAIL 88% | B/ATR nan
2000-01-13 | Bull | 26.31 / 0.2% | HEAD 217% | TAIL 200% | B/ATR nan
2000-01-14 | Bear | 25.31 / -4.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-18 | Bull | 26.25 / 2.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-19 | Bear | 25.63 / -2.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-20 | Bull | 26.0 / 2.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-21 | Bull | 26.38 / 0.5% | HEAD 431% | TAIL 92% | B/ATR nan
2000-01-24 | Bear | 26.5 / -0.5% | HEAD 192% | TAIL 192% | B/ATR nan
2000-01-25 | Bull | 26.69 / 2.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-26 | Bull | 27.25 / 1.6% | HEAD 30% | TAIL 14% | B/ATR nan
2000-01-27 | Bull | 27.75 / 0.9% | HEAD 76% | TAIL 100% | B/ATR nan
2000-01-28 | Bear | 27.69 / -0.7% | HEAD 63% | TAIL 100% | B/ATR nan
2000-01-31 | Bull | 27.88 / 0.7% | HEAD 32% | TAIL 163% | B/ATR nan
2000-02-01 | Bear | 27.5 / -0.9% | HEAD 52% | TAIL 0% | B/ATR nan
2000-02-02 | Bear | 26.44 / -1.6% | HEAD 27% | TAIL 14% | B/ATR nan
2000-02-03 | Bull | 27.38 / 2.6% | HEAD 36% | TAIL 19% | B/ATR nan
2000-02-04 | Bear | 27.0 / -1.6% | HEAD 70% | TAIL 0% | B/ATR nan
2000-02-07 | Bear | 26.63 / -1.4% | HEAD 0% | TAIL 35% | B/ATR nan
2000-02-08 | Bull | 26.75 / 1.4% | HEAD 35% | TAIL 0% | B/ATR nan
2000-02-09 | Bull | 27.0 / 0.0% | HEAD 2500% | TAIL 2500% | B/ATR nan
2000-02-10 | Bear | 27.19 / -0.2% | HEAD 217% | TAIL 517% | B/ATR nan
2000-02-11 | Bear | 27.0 / -1.6% | HEAD 14% | TAIL 57% | B/ATR nan
2000-02-14 | Bull | 27.5 / 1.4% | HEAD 35% | TAIL 103% | B/ATR nan
2000-02-15 | Bear | 26.88 / -3.6% | HEAD 6% | TAIL 13% | B/ATR nan
2000-02-16 | Bear | 26.38 / -1.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-17 | Bull | 26.38 / 1.5% | HEAD 66% | TAIL 0% | B/ATR nan
2000-02-18 | Bear | 26.0 / -1.4% | HEAD 66% | TAIL 0% | B/ATR nan
2000-02-22 | Bear | 26.0 / -0.5% | HEAD 192% | TAIL 338% | B/ATR nan
2000-02-23 | Bull | 26.13 / 1.5% | HEAD 66% | TAIL 0% | B/ATR nan
2000-02-24 | Bear | 26.13 / -0.5% | HEAD 108% | TAIL 108% | B/ATR nan
2000-02-25 | Bear | 25.69 / -1.7% | HEAD 27% | TAIL 30% | B/ATR nan
2000-02-28 | Bear | 25.5 / -1.0% | HEAD 0% | TAIL 76% | B/ATR nan
2000-02-29 | Bull | 26.63 / 3.9% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-01 | Bear | 26.81 / -0.7% | HEAD 132% | TAIL 63% | B/ATR nan
2000-03-02 | Bull | 27.0 / 0.2% | HEAD 217% | TAIL 317% | B/ATR nan
2000-03-03 | Bull | 27.38 / 1.9% | HEAD 12% | TAIL 64% | B/ATR nan
2000-03-06 | Bear | 26.5 / -3.4% | HEAD 0% | TAIL 13% | B/ATR nan
2000-03-07 | Bear | 26.63 / -0.2% | HEAD 317% | TAIL 217% | B/ATR nan
2000-03-08 | Bull | 26.75 / 0.9% | HEAD 24% | TAIL 100% | B/ATR nan
2000-03-09 | Bear | 26.19 / -1.7% | HEAD 0% | TAIL 14% | B/ATR nan
2000-03-10 | Bear | 26.13 / -0.7% | HEAD 0% | TAIL 178% | B/ATR nan
2000-03-13 | Bear | 25.81 / -0.7% | HEAD 0% | TAIL 63% | B/ATR nan
2000-03-14 | Bear | 25.56 / -0.7% | HEAD 32% | TAIL 0% | B/ATR nan
2000-03-15 | Bull | 26.19 / 1.9% | HEAD 12% | TAIL 12% | B/ATR nan
