2001-01-08 | Bull | 31.0 / 5.5% | HEAD 0% | TAIL 8% | B/ATR 3.3
2001-01-31 | Bull | 32.95 / 3.3% | HEAD 5% | TAIL 4% | B/ATR 1.9
2001-05-29 | Bull | 37.5 / 3.3% | HEAD 8% | TAIL 0% | B/ATR 1.7
2001-12-19 | Bull | 37.15 / 3.1% | HEAD 2% | TAIL 5% | B/ATR 1.7
2002-07-25 | Bull | 32.79 / 7.5% | HEAD 5% | TAIL 0% | B/ATR 4.1
2002-07-26 | Bull | 33.7 / 2.8% | HEAD 11% | TAIL 0% | B/ATR 1.6
2002-07-29 | Bull | 34.68 / 2.6% | HEAD 6% | TAIL 11% | B/ATR 1.5
2003-06-20 | Bull | 39.05 / 2.8% | HEAD 10% | TAIL 12% | B/ATR 1.9
2003-07-29 | Bull | 39.4 / 2.4% | HEAD 0% | TAIL 1% | B/ATR 1.7
2003-11-05 | Bull | 43.1 / 2.6% | HEAD 9% | TAIL 0% | B/ATR 2.1
2003-12-17 | Bull | 44.38 / 2.5% | HEAD 0% | TAIL 0% | B/ATR 2.0
2003-12-29 | Bull | 45.08 / 2.2% | HEAD 19% | TAIL 0% | B/ATR 1.8
2004-01-26 | Bull | 42.49 / 2.3% | HEAD 0% | TAIL 11% | B/ATR 1.6
2004-03-12 | Bull | 42.55 / 2.3% | HEAD 5% | TAIL 0% | B/ATR 1.6
2004-05-11 | Bull | 37.01 / 3.3% | HEAD 16% | TAIL 0% | B/ATR 1.9
2005-04-22 | Bull | 47.79 / 1.9% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-06-28 | Bull | 50.65 / 3.4% | HEAD 0% | TAIL 6% | B/ATR 2.0
2007-08-07 | Bull | 48.75 / 6.0% | HEAD 18% | TAIL 0% | B/ATR 2.9
2008-06-25 | Bull | 45.7 / 3.3% | HEAD 0% | TAIL 10% | B/ATR 1.8
2008-10-13 | Bull | 32.43 / 19.6% | HEAD 11% | TAIL 11% | B/ATR 4.5
2008-10-20 | Bull | 36.74 / 8.0% | HEAD 10% | TAIL 0% | B/ATR 2.1
2008-11-26 | Bull | 35.17 / 9.6% | HEAD 9% | TAIL 3% | B/ATR 1.7
2010-03-10 | Bull | 60.76 / 3.4% | HEAD 5% | TAIL 0% | B/ATR 1.9
2010-11-09 | Bull | 69.13 / 4.8% | HEAD 15% | TAIL 2% | B/ATR 2.7
2011-08-23 | Bull | 59.77 / 3.3% | HEAD 3% | TAIL 2% | B/ATR 1.7
2011-09-13 | Bull | 63.09 / 3.0% | HEAD 8% | TAIL 0% | B/ATR 1.5
2012-06-05 | Bull | 48.71 / 4.3% | HEAD 17% | TAIL 14% | B/ATR 1.9
2012-11-16 | Bull | 46.64 / 4.4% | HEAD 8% | TAIL 10% | B/ATR 2.0
2013-01-02 | Bull | 47.83 / 4.6% | HEAD 8% | TAIL 0% | B/ATR 2.2
2013-04-08 | Bull | 60.62 / 2.5% | HEAD 2% | TAIL 0% | B/ATR 1.6
2013-05-03 | Bull | 66.37 / 4.5% | HEAD 15% | TAIL 9% | B/ATR 2.9
2013-10-11 | Bull | 65.93 / 4.1% | HEAD 17% | TAIL 5% | B/ATR 2.1
2013-12-20 | Bull | 69.84 / 3.4% | HEAD 0% | TAIL 14% | B/ATR 1.7
2014-01-21 | Bull | 71.6 / 3.5% | HEAD 4% | TAIL 0% | B/ATR 1.8
2014-01-23 | Bull | 72.75 / 3.8% | HEAD 9% | TAIL 0% | B/ATR 2.0
2014-02-06 | Bull | 71.88 / 3.2% | HEAD 10% | TAIL 0% | B/ATR 1.6
2014-02-26 | Bull | 74.5 / 3.2% | HEAD 0% | TAIL 8% | B/ATR 1.6
2014-11-03 | Bull | 78.14 / 3.5% | HEAD 19% | TAIL 3% | B/ATR 1.6
2015-07-28 | Bull | 75.44 / 5.1% | HEAD 4% | TAIL 12% | B/ATR 2.3
2015-09-30 | Bull | 59.27 / 6.5% | HEAD 17% | TAIL 4% | B/ATR 1.9
2015-10-28 | Bull | 68.75 / 6.3% | HEAD 2% | TAIL 0% | B/ATR 2.0
2015-12-09 | Bull | 61.83 / 6.1% | HEAD 10% | TAIL 14% | B/ATR 1.7
2017-07-14 | Bull | 65.9 / 3.1% | HEAD 0% | TAIL 0% | B/ATR 1.7
2017-09-25 | Bull | 57.39 / 3.6% | HEAD 11% | TAIL 0% | B/ATR 1.8
2018-01-03 | Bull | 53.11 / 3.9% | HEAD 3% | TAIL 2% | B/ATR 1.7
2018-02-06 | Bull | 53.29 / 4.1% | HEAD 13% | TAIL 0% | B/ATR 1.7
