2013-03-26 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.3
2013-03-27 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 11.2
2013-03-28 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 10.4
2013-04-01 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.7
2013-04-02 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.1
2013-04-03 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.7
2013-04-04 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.3
2013-04-05 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.0
2013-04-08 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.7
2013-04-09 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.5
2013-04-10 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.2
2013-04-11 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.1
2013-04-12 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.9
2013-04-15 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.8
2013-04-16 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.7
2013-04-17 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.6
2013-04-18 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.5
2013-04-19 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.4
2013-04-22 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.3
2013-04-23 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.3
2013-04-24 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.2
2013-04-25 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.2
2013-04-26 | Bull | 0.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.2
