2012-05-11 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-14 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-15 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-16 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-17 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-18 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-21 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-22 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-23 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-24 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-25 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-29 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-30 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-05-31 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-01 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-04 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-05 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-06 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-07 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-08 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-11 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-12 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-13 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-14 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-15 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-18 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-19 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-20 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-21 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-22 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-25 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-26 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-06-27 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
