2011-01-24 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-01-25 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-01-26 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-01-27 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-01-28 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-01-31 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-01 | Bull | 1.5 / 50.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-02 | Bull | 1.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-03 | Bull | 2.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-04 | Bull | 2.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-07 | Bear | 0.5 / -76.2% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-08 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-09 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-10 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-11 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-14 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-15 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-16 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-17 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-18 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-22 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-23 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-24 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-25 | Bull | 0.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-28 | Bull | 1.01 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-01 | Bull | 1.01 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-02 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-03 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-04 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-07 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-08 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-09 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-10 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-11 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-14 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-15 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-16 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-17 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-18 | Bull | 1.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-21 | Bull | 0.6 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-22 | Bear | 0.3 / -41.2% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-23 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-24 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-25 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-28 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-29 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-30 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-31 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-01 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-04 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-05 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-06 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-07 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-08 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-11 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-12 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-13 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-14 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-15 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-18 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-19 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-20 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-21 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-25 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-26 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-27 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-28 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-29 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-02 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-03 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-04 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-05 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-06 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-09 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-10 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-11 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-12 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-13 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-16 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-17 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-18 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-19 | Bull | 0.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-20 | Bull | 0.35 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-23 | Bull | 0.35 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-24 | Bull | 0.35 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-25 | Bull | 0.35 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-26 | Bull | 0.35 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-27 | Bull | 0.35 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-31 | Bull | 0.35 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-06-01 | Bull | 0.35 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
