2012-07-10 | Bull | 0.251 / 25.5% | HEAD 0% | TAIL 0% | B/ATR 4.7
2012-09-07 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2012-09-10 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2012-09-11 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2012-09-12 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2012-09-13 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2012-09-14 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2012-09-17 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2012-09-18 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2012-09-19 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2012-09-20 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2012-09-21 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2012-09-24 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2012-09-25 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2012-09-26 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2012-09-27 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2012-09-28 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2012-10-01 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2012-10-02 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2012-10-03 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2012-10-04 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2012-10-05 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2012-10-08 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2012-10-09 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2012-10-10 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2012-10-11 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2012-10-12 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2012-10-15 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2012-10-16 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2012-10-17 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.3
2012-10-18 | Bull | 0.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.3
2012-10-19 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.3
2012-10-22 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.3
2012-10-23 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2012-10-24 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2012-10-25 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2012-10-26 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2012-10-31 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2012-11-01 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2012-11-02 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2012-11-05 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2012-11-06 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.6
2012-11-07 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.6
2012-11-08 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.6
2012-11-09 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.6
2012-11-12 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2012-11-13 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2012-11-14 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2012-11-15 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2012-11-16 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2012-11-19 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2012-11-20 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2012-11-21 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2012-11-23 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2012-11-26 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2012-11-27 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2012-11-28 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2012-11-29 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2012-11-30 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2012-12-03 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2012-12-04 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2012-12-05 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2012-12-06 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2012-12-07 | Bull | 0.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2012-12-11 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2012-12-12 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2012-12-13 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2012-12-14 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2012-12-17 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2012-12-18 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2012-12-19 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2012-12-20 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2012-12-21 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2012-12-24 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2012-12-26 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2012-12-27 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2012-12-28 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2012-12-31 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-01-02 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-01-03 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-01-04 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-01-07 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-01-08 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-01-09 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-01-10 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-01-11 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-01-14 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-01-15 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-01-16 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-01-17 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-01-18 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-01-22 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-01-23 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-01-24 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-01-25 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-01-28 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-01-29 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2013-01-30 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2013-01-31 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2013-02-01 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-02-04 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-02-05 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.0
2013-02-06 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.1
2013-02-07 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.1
2013-02-08 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.2
2013-02-11 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.3
2013-02-12 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.3
2013-02-13 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.4
2013-02-14 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.5
2013-02-15 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.6
2013-02-19 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.6
2013-02-20 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.7
2013-02-21 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.8
2013-02-22 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.9
2013-02-25 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.0
2013-02-26 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.0
2013-02-27 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.1
