2000-01-03 | Bear | 37.25 / -6.0% | HEAD 0% | TAIL 11% | B/ATR nan
2000-01-04 | Bear | 35.88 / -3.0% | HEAD 28% | TAIL 17% | B/ATR nan
2000-01-05 | Bear | 35.44 / -1.0% | HEAD 322% | TAIL 84% | B/ATR nan
2000-01-06 | Bull | 36.31 / 3.4% | HEAD 16% | TAIL 6% | B/ATR nan
2000-01-07 | Bull | 37.0 / 1.0% | HEAD 51% | TAIL 68% | B/ATR nan
2000-01-10 | Bear | 35.81 / -2.6% | HEAD 80% | TAIL 27% | B/ATR nan
2000-01-11 | Bull | 36.19 / 1.6% | HEAD 145% | TAIL 0% | B/ATR nan
2000-01-12 | Bear | 35.75 / -1.2% | HEAD 100% | TAIL 100% | B/ATR nan
2000-01-13 | Bull | 36.38 / 1.2% | HEAD 127% | TAIL 14% | B/ATR nan
2000-01-14 | Bull | 35.31 / 2.7% | HEAD 74% | TAIL 0% | B/ATR nan
2000-01-18 | Bull | 35.13 / 4.7% | HEAD 16% | TAIL 8% | B/ATR nan
2000-01-19 | Bear | 33.5 / -0.4% | HEAD 623% | TAIL 285% | B/ATR nan
2000-01-20 | Bear | 32.19 / -3.6% | HEAD 31% | TAIL 11% | B/ATR nan
2000-01-21 | Bull | 33.06 / 2.3% | HEAD 51% | TAIL 41% | B/ATR nan
2000-01-24 | Bear | 31.25 / -5.0% | HEAD 19% | TAIL 53% | B/ATR nan
2000-01-25 | Bear | 30.44 / -2.4% | HEAD 59% | TAIL 51% | B/ATR nan
2000-01-26 | Bull | 31.0 / 0.8% | HEAD 300% | TAIL 100% | B/ATR nan
2000-01-27 | Bear | 30.63 / -2.8% | HEAD 0% | TAIL 79% | B/ATR nan
2000-01-28 | Bear | 29.56 / -3.1% | HEAD 6% | TAIL 33% | B/ATR nan
2000-01-31 | Bull | 31.44 / 5.2% | HEAD 52% | TAIL 21% | B/ATR nan
2000-02-01 | Bear | 29.44 / -4.7% | HEAD 12% | TAIL 22% | B/ATR nan
2000-02-02 | Bull | 28.81 / 0.2% | HEAD 533% | TAIL 833% | B/ATR nan
2000-02-03 | Bull | 29.31 / 1.7% | HEAD 76% | TAIL 24% | B/ATR nan
2000-02-04 | Bear | 28.19 / -3.0% | HEAD 0% | TAIL 51% | B/ATR nan
2000-02-07 | Bear | 27.81 / -1.3% | HEAD 16% | TAIL 82% | B/ATR nan
2000-02-08 | Bull | 28.38 / 2.3% | HEAD 40% | TAIL 10% | B/ATR nan
2000-02-09 | Bear | 27.69 / -2.2% | HEAD 0% | TAIL 10% | B/ATR nan
2000-02-10 | Bear | 26.31 / -2.6% | HEAD 91% | TAIL 9% | B/ATR nan
2000-02-11 | Bear | 25.81 / -1.9% | HEAD 26% | TAIL 74% | B/ATR nan
2000-02-14 | Bull | 25.94 / 0.5% | HEAD 431% | TAIL 0% | B/ATR nan
2000-02-15 | Bull | 27.44 / 5.8% | HEAD 8% | TAIL 4% | B/ATR nan
2000-02-16 | Bear | 27.44 / -7.2% | HEAD 0% | TAIL 21% | B/ATR nan
2000-02-17 | Bull | 29.38 / 7.8% | HEAD 8% | TAIL 0% | B/ATR nan
2000-02-18 | Bear | 29.25 / -0.2% | HEAD 833% | TAIL 617% | B/ATR nan
2000-02-22 | Bull | 29.56 / 1.3% | HEAD 103% | TAIL 103% | B/ATR nan
2000-02-23 | Bear | 28.88 / -2.3% | HEAD 0% | TAIL 56% | B/ATR nan
2000-02-24 | Bear | 27.75 / -0.9% | HEAD 0% | TAIL 176% | B/ATR nan
2000-02-25 | Bear | 27.75 / -0.2% | HEAD 1367% | TAIL 417% | B/ATR nan
2000-02-28 | Bull | 28.25 / 1.8% | HEAD 38% | TAIL 24% | B/ATR nan
2000-02-29 | Bull | 28.38 / 1.1% | HEAD 19% | TAIL 78% | B/ATR nan
2000-03-01 | Bull | 28.94 / 2.0% | HEAD 45% | TAIL 0% | B/ATR nan
2000-03-02 | Bear | 28.56 / -1.3% | HEAD 50% | TAIL 32% | B/ATR nan
2000-03-03 | Bull | 29.0 / 2.0% | HEAD 34% | TAIL 23% | B/ATR nan
2000-03-06 | Bull | 29.0 / 0.0% | HEAD 1300% | TAIL 4400% | B/ATR nan
2000-03-07 | Bear | 27.56 / -3.7% | HEAD 0% | TAIL 35% | B/ATR nan
2000-03-08 | Bull | 30.31 / 11.0% | HEAD 4% | TAIL 8% | B/ATR nan
2000-03-09 | Bull | 30.19 / 2.3% | HEAD 17% | TAIL 64% | B/ATR nan
2000-03-10 | Bear | 28.94 / -1.3% | HEAD 19% | TAIL 286% | B/ATR nan
2000-03-13 | Bear | 28.31 / -1.3% | HEAD 0% | TAIL 113% | B/ATR nan
2000-03-14 | Bull | 28.06 / 0.0% | HEAD 3800% | TAIL 1800% | B/ATR nan
2000-03-15 | Bull | 29.75 / 6.2% | HEAD 14% | TAIL 7% | B/ATR nan
2000-03-16 | Bull | 34.0 / 13.6% | HEAD 3% | TAIL 6% | B/ATR nan
2000-03-17 | Bear | 31.88 / -5.4% | HEAD 3% | TAIL 0% | B/ATR nan
2000-03-20 | Bull | 33.81 / 6.9% | HEAD 72% | TAIL 34% | B/ATR nan
2000-03-21 | Bear | 31.38 / -7.4% | HEAD 42% | TAIL 38% | B/ATR nan
2000-03-22 | Bear | 29.69 / -1.9% | HEAD 45% | TAIL 123% | B/ATR nan
2000-03-23 | Bull | 30.06 / 1.7% | HEAD 164% | TAIL 286% | B/ATR nan
2000-03-24 | Bull | 30.5 / 2.3% | HEAD 72% | TAIL 36% | B/ATR nan
2000-03-27 | Bear | 29.19 / -0.8% | HEAD 200% | TAIL 52% | B/ATR nan
2000-03-28 | Bull | 29.0 / 0.2% | HEAD 1250% | TAIL 0% | B/ATR nan
2000-03-29 | Bull | 29.94 / 3.0% | HEAD 14% | TAIL 7% | B/ATR nan
2000-03-30 | Bull | 31.13 / 3.1% | HEAD 27% | TAIL 0% | B/ATR nan
2000-03-31 | Bear | 30.75 / -1.2% | HEAD 0% | TAIL 147% | B/ATR nan
2000-04-03 | Bear | 30.69 / -0.4% | HEAD 108% | TAIL 625% | B/ATR nan
2000-04-04 | Bear | 31.81 / -2.1% | HEAD 200% | TAIL 99% | B/ATR nan
2000-04-05 | Bear | 31.31 / -0.8% | HEAD 352% | TAIL 72% | B/ATR nan
2000-04-06 | Bear | 30.13 / -3.0% | HEAD 8% | TAIL 61% | B/ATR nan
2000-04-07 | Bear | 28.13 / -5.6% | HEAD 4% | TAIL 4% | B/ATR nan
2000-04-10 | Bull | 29.0 / 3.1% | HEAD 0% | TAIL 66% | B/ATR nan
2000-04-11 | Bear | 28.56 / -0.5% | HEAD 46% | TAIL 331% | B/ATR nan
2000-04-12 | Bull | 29.5 / 3.3% | HEAD 94% | TAIL 0% | B/ATR nan
2000-04-13 | Bull | 30.94 / 4.0% | HEAD 58% | TAIL 5% | B/ATR nan
2000-04-14 | Bear | 29.25 / -2.1% | HEAD 168% | TAIL 10% | B/ATR nan
2000-04-17 | Bull | 30.0 / 1.7% | HEAD 50% | TAIL 100% | B/ATR nan
2000-04-18 | Bull | 28.38 / 3.2% | HEAD 85% | TAIL 42% | B/ATR nan
2000-04-19 | Bull | 28.06 / 0.2% | HEAD 417% | TAIL 417% | B/ATR nan
2000-04-20 | Bull | 28.06 / 0.2% | HEAD 317% | TAIL 417% | B/ATR nan
2000-04-24 | Bull | 28.13 / 0.2% | HEAD 529% | TAIL 800% | B/ATR nan
2000-04-25 | Bull | 29.0 / 2.9% | HEAD 54% | TAIL 116% | B/ATR nan
2000-04-26 | Bear | 27.44 / -5.4% | HEAD 16% | TAIL 24% | B/ATR nan
2000-04-27 | Bear | 26.69 / -1.8% | HEAD 0% | TAIL 100% | B/ATR nan
2000-04-28 | Bear | 26.0 / -2.6% | HEAD 0% | TAIL 54% | B/ATR nan
2000-05-01 | Bull | 26.06 / 2.2% | HEAD 79% | TAIL 11% | B/ATR nan
2000-05-02 | Bull | 26.5 / 1.7% | HEAD 57% | TAIL 14% | B/ATR nan
2000-05-03 | Bull | 29.56 / 3.2% | HEAD 101% | TAIL 88% | B/ATR nan
2000-05-04 | Bull | 28.56 / 2.0% | HEAD 157% | TAIL 134% | B/ATR nan
2000-05-05 | Bear | 28.38 / -3.2% | HEAD 20% | TAIL 14% | B/ATR nan
2000-05-08 | Bull | 29.5 / 1.1% | HEAD 123% | TAIL 123% | B/ATR nan
2000-05-09 | Bull | 29.06 / 0.6% | HEAD 72% | TAIL 211% | B/ATR nan
2000-05-10 | Bear | 28.75 / -0.7% | HEAD 132% | TAIL 63% | B/ATR nan
2000-05-11 | Bull | 29.25 / 0.9% | HEAD 152% | TAIL 48% | B/ATR nan
2000-05-12 | Bull | 29.13 / 0.4% | HEAD 138% | TAIL 385% | B/ATR nan
2000-05-15 | Bull | 29.88 / 2.2% | HEAD 68% | TAIL 40% | B/ATR nan
2000-05-16 | Bear | 30.44 / -1.6% | HEAD 0% | TAIL 100% | B/ATR nan
2000-05-17 | Bull | 29.25 / 0.9% | HEAD 400% | TAIL 300% | B/ATR nan
2000-05-18 | Bull | 28.5 / 0.2% | HEAD 1050% | TAIL 100% | B/ATR nan
2000-05-19 | Bear | 28.19 / -0.7% | HEAD 163% | TAIL 100% | B/ATR nan
2000-05-22 | Bull | 28.44 / 0.5% | HEAD 192% | TAIL 192% | B/ATR nan
2000-05-23 | Bear | 28.44 / -0.2% | HEAD 217% | TAIL 833% | B/ATR nan
2000-05-24 | Bull | 31.63 / 11.2% | HEAD 4% | TAIL 0% | B/ATR 2.0
2000-05-25 | Bull | 31.0 / 0.0% | HEAD 600% | TAIL 6200% | B/ATR 0.0
2000-05-26 | Bull | 31.69 / 2.0% | HEAD 40% | TAIL 89% | B/ATR 0.4
2000-05-30 | Bull | 31.75 / 1.2% | HEAD 119% | TAIL 170% | B/ATR 0.2
2000-05-31 | Bear | 30.06 / -3.0% | HEAD 53% | TAIL 19% | B/ATR 0.6
2000-06-01 | Bear | 30.13 / -2.0% | HEAD 40% | TAIL 21% | B/ATR 0.4
2000-06-02 | Bear | 29.94 / -0.6% | HEAD 95% | TAIL 200% | B/ATR 0.1
2000-06-05 | Bear | 31.13 / -1.6% | HEAD 336% | TAIL 64% | B/ATR 0.3
2000-06-06 | Bear | 29.56 / -4.6% | HEAD 0% | TAIL 52% | B/ATR 0.9
2000-06-07 | Bull | 31.63 / 7.0% | HEAD 18% | TAIL 6% | B/ATR 1.3
2000-06-08 | Bull | 31.56 / 1.8% | HEAD 23% | TAIL 79% | B/ATR 0.4
2000-06-09 | Bear | 31.06 / -1.4% | HEAD 43% | TAIL 70% | B/ATR 0.3
2000-06-12 | Bear | 30.56 / -1.6% | HEAD 14% | TAIL 36% | B/ATR 0.3
2000-06-13 | Bull | 31.06 / 0.2% | HEAD 633% | TAIL 317% | B/ATR 0.0
2000-06-14 | Bull | 31.25 / 0.8% | HEAD 24% | TAIL 100% | B/ATR 0.2
2000-06-15 | Bear | 30.94 / -0.6% | HEAD 263% | TAIL 0% | B/ATR 0.1
2000-06-16 | Bull | 30.56 / 1.7% | HEAD 176% | TAIL 0% | B/ATR 0.3
2000-06-19 | Bear | 29.88 / -2.2% | HEAD 47% | TAIL 0% | B/ATR 0.4
2000-06-20 | Bull | 30.38 / 1.7% | HEAD 50% | TAIL 50% | B/ATR 0.3
2000-06-21 | Bear | 29.81 / -2.3% | HEAD 9% | TAIL 45% | B/ATR 0.4
2000-06-22 | Bull | 29.5 / 0.0% | HEAD 3100% | TAIL 1200% | B/ATR 0.0
2000-06-23 | Bull | 30.0 / 1.7% | HEAD 12% | TAIL 0% | B/ATR 0.3
2000-06-26 | Bull | 30.56 / 1.0% | HEAD 203% | TAIL 81% | B/ATR 0.2
2000-06-27 | Bear | 30.25 / -2.4% | HEAD 25% | TAIL 25% | B/ATR 0.5
2000-06-28 | Bear | 30.09 / -1.1% | HEAD 160% | TAIL 151% | B/ATR 0.2
2000-06-29 | Bear | 29.19 / -1.5% | HEAD 127% | TAIL 30% | B/ATR 0.3
2000-06-30 | Bull | 29.13 / 4.0% | HEAD 27% | TAIL 22% | B/ATR 0.7
2000-07-03 | Bull | 29.13 / 0.9% | HEAD 48% | TAIL 152% | B/ATR 0.2
2000-07-05 | Bear | 28.75 / -2.5% | HEAD 25% | TAIL 16% | B/ATR 0.5
2000-07-06 | Bull | 28.88 / 0.0% | HEAD 1800% | TAIL 3800% | B/ATR 0.0
2000-07-07 | Bear | 28.19 / -0.2% | HEAD 733% | TAIL 317% | B/ATR 0.0
2000-07-10 | Bull | 28.0 / 0.2% | HEAD 317% | TAIL 933% | B/ATR 0.0
