2000-11-16 | Bull | 32.06 / 5.5% | HEAD 11% | TAIL 0% | B/ATR 1.6
2001-07-02 | Bull | 27.46 / 5.6% | HEAD 3% | TAIL 17% | B/ATR 1.8
2002-06-27 | Bull | 27.82 / 4.4% | HEAD 3% | TAIL 6% | B/ATR 2.0
2003-03-17 | Bull | 21.68 / 4.8% | HEAD 0% | TAIL 11% | B/ATR 1.6
2004-04-22 | Bull | 27.5 / 3.0% | HEAD 4% | TAIL 10% | B/ATR 1.7
2005-02-17 | Bull | 29.49 / 2.4% | HEAD 19% | TAIL 1% | B/ATR 1.6
2005-07-18 | Bull | 30.7 / 2.6% | HEAD 14% | TAIL 6% | B/ATR 1.8
2005-09-09 | Bull | 31.09 / 2.9% | HEAD 1% | TAIL 2% | B/ATR 2.2
2005-11-21 | Bull | 30.97 / 3.1% | HEAD 9% | TAIL 15% | B/ATR 2.3
2006-04-26 | Bull | 32.15 / 3.2% | HEAD 4% | TAIL 0% | B/ATR 2.7
2006-08-08 | Bull | 37.3 / 2.6% | HEAD 17% | TAIL 0% | B/ATR 2.1
2006-08-28 | Bull | 37.48 / 2.3% | HEAD 13% | TAIL 0% | B/ATR 1.8
2006-09-05 | Bull | 37.86 / 2.2% | HEAD 12% | TAIL 12% | B/ATR 1.7
2006-09-11 | Bull | 37.45 / 3.6% | HEAD 8% | TAIL 8% | B/ATR 2.7
2007-02-16 | Bull | 42.29 / 3.7% | HEAD 11% | TAIL 15% | B/ATR 3.2
2007-02-20 | Bull | 42.39 / 2.7% | HEAD 9% | TAIL 0% | B/ATR 2.3
2007-06-13 | Bull | 39.57 / 2.2% | HEAD 0% | TAIL 14% | B/ATR 1.6
2007-08-06 | Bull | 37.97 / 2.9% | HEAD 2% | TAIL 10% | B/ATR 1.9
2007-08-16 | Bull | 36.07 / 3.3% | HEAD 11% | TAIL 5% | B/ATR 1.9
2007-08-24 | Bull | 38.32 / 3.3% | HEAD 1% | TAIL 0% | B/ATR 2.0
2008-01-23 | Bull | 31.5 / 3.9% | HEAD 14% | TAIL 10% | B/ATR 1.8
2008-05-01 | Bull | 35.7 / 3.3% | HEAD 6% | TAIL 0% | B/ATR 1.7
2008-08-08 | Bull | 37.39 / 3.2% | HEAD 3% | TAIL 19% | B/ATR 1.7
2008-10-28 | Bull | 38.98 / 6.9% | HEAD 0% | TAIL 20% | B/ATR 3.0
2011-05-12 | Bull | 34.34 / 2.3% | HEAD 6% | TAIL 0% | B/ATR 1.8
2011-05-13 | Bull | 35.19 / 2.6% | HEAD 8% | TAIL 2% | B/ATR 2.1
2011-11-07 | Bull | 34.05 / 2.8% | HEAD 0% | TAIL 7% | B/ATR 1.7
2012-11-13 | Bull | 36.58 / 2.7% | HEAD 11% | TAIL 8% | B/ATR 2.1
2013-01-02 | Bull | 35.92 / 2.1% | HEAD 0% | TAIL 19% | B/ATR 1.6
2013-03-01 | Bull | 42.11 / 2.3% | HEAD 5% | TAIL 12% | B/ATR 2.0
2013-03-20 | Bull | 42.95 / 1.7% | HEAD 14% | TAIL 0% | B/ATR 1.5
2013-05-14 | Bull | 47.64 / 2.6% | HEAD 9% | TAIL 0% | B/ATR 2.2
2013-06-07 | Bull | 44.67 / 2.8% | HEAD 1% | TAIL 2% | B/ATR 2.1
2013-12-06 | Bull | 42.43 / 5.8% | HEAD 10% | TAIL 0% | B/ATR 3.4
2013-12-17 | Bull | 42.74 / 4.0% | HEAD 14% | TAIL 2% | B/ATR 2.4
2015-06-16 | Bull | 47.55 / 2.5% | HEAD 7% | TAIL 5% | B/ATR 1.8
2015-09-16 | Bull | 51.56 / 2.1% | HEAD 6% | TAIL 5% | B/ATR 1.5
2015-10-02 | Bull | 50.6 / 2.2% | HEAD 2% | TAIL 9% | B/ATR 1.5
2016-01-12 | Bull | 53.48 / 3.1% | HEAD 4% | TAIL 14% | B/ATR 1.8
2016-02-09 | Bull | 57.21 / 2.6% | HEAD 8% | TAIL 0% | B/ATR 1.6
2016-04-01 | Bull | 65.16 / 2.8% | HEAD 3% | TAIL 0% | B/ATR 1.7
2016-06-30 | Bull | 66.53 / 5.7% | HEAD 0% | TAIL 3% | B/ATR 3.4
2017-07-19 | Bull | 52.57 / 2.5% | HEAD 17% | TAIL 6% | B/ATR 1.5
2017-09-05 | Bull | 46.67 / 2.9% | HEAD 1% | TAIL 3% | B/ATR 1.7
2017-09-25 | Bull | 46.58 / 3.1% | HEAD 16% | TAIL 1% | B/ATR 1.8
2017-10-26 | Bull | 47.52 / 2.7% | HEAD 6% | TAIL 13% | B/ATR 1.5
2017-11-10 | Bull | 47.42 / 3.8% | HEAD 5% | TAIL 0% | B/ATR 2.1
2017-11-16 | Bull | 48.32 / 3.6% | HEAD 7% | TAIL 12% | B/ATR 2.0
2017-11-17 | Bull | 49.72 / 3.3% | HEAD 3% | TAIL 0% | B/ATR 1.8
2017-11-29 | Bull | 48.99 / 4.4% | HEAD 14% | TAIL 9% | B/ATR 2.3
2018-02-06 | Bull | 45.14 / 3.5% | HEAD 14% | TAIL 6% | B/ATR 1.5
2018-03-05 | Bull | 43.52 / 4.1% | HEAD 6% | TAIL 2% | B/ATR 1.6
