2014-11-13|RED|H/Body 0.79 |T/Body 1.00 |CHG_PCT nan |CHG/ATR nan |B/CHG nan |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 9.0 |H 9.7 |L 7.2 |C 8.1 |V 9 Million
2014-11-14|NIU|H/Body 3.67 |T/Body 1.33 |CHG_PCT 4.3 |CHG/ATR nan |B/CHG 0.43 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.3 |O 8.3 |H 9.0 |L 8.1 |C 8.4 |V 3 Million
2014-11-17|RED|H/Body 9.40 |T/Body 2.80 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.4 |O 8.6 |H 9.0 |L 8.4 |C 8.5 |V 1 Million
2014-11-18|NIU|H/Body 0.50 |T/Body 0.50 |CHG_PCT 2.4 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 1.7 |O 8.5 |H 8.8 |L 8.4 |C 8.7 |V 2 Million
2014-11-19|RED|H/Body 1.10 |T/Body 0.20 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -2.00 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.5 |O 8.8 |H 8.9 |L 8.6 |C 8.7 |V 1 Million
2014-11-20|NIU|H/Body 0.00 |T/Body 0.15 |CHG_PCT 2.3 |CHG/ATR nan |B/CHG 0.65 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 1.6 |O 8.7 |H 8.8 |L 8.7 |C 8.8 |V 2 Million
2014-11-21|NIU|H/Body 0.30 |T/Body 0.04 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 1.64 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 1.0 |O 8.8 |H 9.1 |L 8.8 |C 9.0 |V 2 Million
2014-11-24|NIU|H/Body 1.89 |T/Body 0.89 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 1.29 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.5 |O 8.9 |H 9.5 |L 8.8 |C 9.1 |V 830 Thousand
2014-11-25|RED|H/Body 1.50 |T/Body 1.19 |CHG_PCT -0.9 |CHG/ATR nan |B/CHG -2.00 |B/ATR nan |V/LONG nan |V/SHORT 1.4 |V/PREV 2.4 |O 9.2 |H 9.4 |L 8.9 |C 9.1 |V 2 Million
2014-11-26|RED|H/Body 0.00 |T/Body 0.20 |CHG_PCT -3.3 |CHG/ATR nan |B/CHG -2.00 |B/ATR nan |V/LONG nan |V/SHORT 1.6 |V/PREV 1.1 |O 9.3 |H 9.3 |L 8.6 |C 8.8 |V 2 Million
2014-11-28|NIU|H/Body 0.93 |T/Body 0.00 |CHG_PCT -8.0 |CHG/ATR nan |B/CHG -0.79 |B/ATR nan |V/LONG nan |V/SHORT 36.2 |V/PREV 27.1 |O 7.5 |H 8.6 |L 7.5 |C 8.1 |V 62 Million
