2000-01-03 | Bear | 27.0 / -2.5% | HEAD 17% | TAIL 9% | B/ATR nan
2000-01-04 | Bull | 26.88 / 0.5% | HEAD 0% | TAIL 92% | B/ATR nan
2000-01-05 | Bull | 27.56 / 2.5% | HEAD 28% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 28.88 / 3.8% | HEAD 0% | TAIL 23% | B/ATR nan
2000-01-07 | Bear | 28.44 / -1.1% | HEAD 0% | TAIL 61% | B/ATR nan
2000-01-10 | Bear | 28.19 / -0.4% | HEAD 58% | TAIL 258% | B/ATR nan
2000-01-11 | Bear | 27.5 / -2.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-12 | Bear | 26.94 / -2.2% | HEAD 0% | TAIL 90% | B/ATR nan
2000-01-13 | Bull | 27.5 / 1.1% | HEAD 0% | TAIL 100% | B/ATR nan
2000-01-14 | Bull | 27.5 / 0.9% | HEAD 100% | TAIL 0% | B/ATR nan
2000-01-18 | Bear | 26.56 / -3.0% | HEAD 15% | TAIL 38% | B/ATR nan
2000-01-19 | Bull | 26.81 / 3.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-20 | Bear | 26.63 / -4.9% | HEAD 9% | TAIL 0% | B/ATR nan
2000-01-21 | Bear | 25.75 / -3.5% | HEAD 0% | TAIL 13% | B/ATR nan
2000-01-24 | Bear | 25.31 / -1.7% | HEAD 57% | TAIL 14% | B/ATR nan
2000-01-25 | Bull | 25.5 / 0.2% | HEAD 217% | TAIL 317% | B/ATR nan
2000-01-26 | Bear | 25.0 / -2.5% | HEAD 10% | TAIL 30% | B/ATR nan
2000-01-27 | Bear | 24.0 / -3.3% | HEAD 16% | TAIL 31% | B/ATR nan
2000-01-28 | Bull | 24.81 / 3.4% | HEAD 0% | TAIL 31% | B/ATR nan
2000-01-31 | Bear | 24.0 / -3.0% | HEAD 41% | TAIL 0% | B/ATR nan
2000-02-01 | Bear | 24.0 / -0.2% | HEAD 533% | TAIL 200% | B/ATR nan
2000-02-02 | Bull | 25.12 / 4.7% | HEAD 34% | TAIL 0% | B/ATR nan
2000-02-03 | Bear | 24.0 / -4.5% | HEAD 11% | TAIL 17% | B/ATR nan
2000-02-04 | Bear | 23.81 / -0.3% | HEAD 257% | TAIL 614% | B/ATR nan
2000-02-07 | Bear | 23.44 / -2.6% | HEAD 0% | TAIL 21% | B/ATR nan
2000-02-08 | Bear | 23.5 / -0.3% | HEAD 417% | TAIL 0% | B/ATR nan
