2000-07-07 | Bull | 23.19 / 6.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2000-07-26 | Bull | 24.63 / 5.7% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-07-27 | Bull | 29.25 / 18.2% | HEAD 3% | TAIL 0% | B/ATR 6.4
2000-08-07 | Bull | 30.94 / 5.1% | HEAD 0% | TAIL 4% | B/ATR 2.1
2000-10-20 | Bull | 28.19 / 5.9% | HEAD 0% | TAIL 16% | B/ATR 2.1
2000-10-30 | Bull | 31.13 / 5.7% | HEAD 18% | TAIL 0% | B/ATR 2.3
2000-11-07 | Bull | 33.25 / 4.7% | HEAD 4% | TAIL 8% | B/ATR 2.0
2000-12-08 | Bull | 38.25 / 7.6% | HEAD 0% | TAIL 4% | B/ATR 3.2
2000-12-28 | Bull | 35.25 / 4.8% | HEAD 0% | TAIL 0% | B/ATR 1.8
2001-05-21 | Bull | 28.54 / 5.3% | HEAD 14% | TAIL 0% | B/ATR 1.6
2002-03-06 | Bull | 26.01 / 4.5% | HEAD 8% | TAIL 0% | B/ATR 1.7
2002-07-29 | Bull | 24.24 / 9.0% | HEAD 6% | TAIL 0% | B/ATR 3.1
2003-04-24 | Bull | 13.22 / 7.7% | HEAD 3% | TAIL 0% | B/ATR 1.6
2003-07-28 | Bull | 18.4 / 6.1% | HEAD 0% | TAIL 0% | B/ATR 1.8
2003-08-19 | Bull | 19.95 / 5.0% | HEAD 5% | TAIL 0% | B/ATR 1.6
2003-09-03 | Bull | 22.08 / 4.4% | HEAD 11% | TAIL 0% | B/ATR 1.5
2003-10-01 | Bull | 22.62 / 5.2% | HEAD 7% | TAIL 6% | B/ATR 1.8
2003-10-29 | Bull | 26.86 / 4.5% | HEAD 12% | TAIL 0% | B/ATR 1.8
2003-11-25 | Bull | 26.13 / 4.8% | HEAD 0% | TAIL 6% | B/ATR 1.7
2003-12-08 | Bull | 28.57 / 5.8% | HEAD 0% | TAIL 0% | B/ATR 2.2
2003-12-11 | Bull | 29.21 / 4.3% | HEAD 0% | TAIL 0% | B/ATR 1.7
2004-01-05 | Bull | 31.84 / 3.9% | HEAD 8% | TAIL 0% | B/ATR 1.6
2004-01-20 | Bull | 30.57 / 6.8% | HEAD 2% | TAIL 0% | B/ATR 2.5
2004-07-26 | Bull | 36.96 / 8.2% | HEAD 1% | TAIL 0% | B/ATR 2.6
2004-07-30 | Bull | 43.0 / 6.2% | HEAD 10% | TAIL 0% | B/ATR 2.3
2005-03-04 | Bull | 70.0 / 4.5% | HEAD 4% | TAIL 0% | B/ATR 1.6
2005-12-01 | Bull | 68.75 / 4.2% | HEAD 0% | TAIL 6% | B/ATR 1.5
2006-01-24 | Bull | 81.25 / 4.7% | HEAD 3% | TAIL 1% | B/ATR 2.0
2006-01-31 | Bull | 90.56 / 7.2% | HEAD 15% | TAIL 1% | B/ATR 3.4
2006-03-29 | Bull | 97.82 / 3.8% | HEAD 8% | TAIL 0% | B/ATR 1.6
2006-04-05 | Bull | 103.05 / 4.5% | HEAD 5% | TAIL 1% | B/ATR 2.0
2006-04-12 | Bull | 103.49 / 3.5% | HEAD 6% | TAIL 0% | B/ATR 1.5
2006-04-17 | Bull | 108.6 / 3.4% | HEAD 3% | TAIL 0% | B/ATR 1.6
2006-05-04 | Bull | 133.67 / 4.4% | HEAD 8% | TAIL 11% | B/ATR 2.2
2006-05-25 | Bull | 116.58 / 4.1% | HEAD 0% | TAIL 17% | B/ATR 1.5
2006-06-01 | Bull | 117.82 / 6.2% | HEAD 3% | TAIL 16% | B/ATR 2.1
2010-02-01 | Bull | 28.82 / 6.8% | HEAD 1% | TAIL 7% | B/ATR 1.6
2010-05-21 | Bull | 36.33 / 8.3% | HEAD 20% | TAIL 19% | B/ATR 2.1
2010-06-11 | Bull | 38.99 / 8.0% | HEAD 6% | TAIL 5% | B/ATR 1.9
2010-07-20 | Bull | 34.36 / 8.6% | HEAD 4% | TAIL 0% | B/ATR 1.7
2011-01-18 | Bull | 44.94 / 7.7% | HEAD 0% | TAIL 1% | B/ATR 2.3
2011-03-15 | Bull | 39.94 / 8.8% | HEAD 11% | TAIL 4% | B/ATR 2.3
2011-06-02 | Bull | 53.66 / 4.3% | HEAD 10% | TAIL 4% | B/ATR 1.5
2011-06-28 | Bull | 56.15 / 5.1% | HEAD 13% | TAIL 5% | B/ATR 1.8
2011-08-26 | Bull | 47.76 / 9.4% | HEAD 1% | TAIL 14% | B/ATR 2.3
2012-04-25 | Bull | 56.81 / 6.2% | HEAD 19% | TAIL 0% | B/ATR 1.7
2014-10-23 | Bull | 49.98 / 8.7% | HEAD 11% | TAIL 12% | B/ATR 3.6
2014-11-07 | Bull | 52.87 / 3.8% | HEAD 2% | TAIL 0% | B/ATR 1.7
2014-12-09 | Bull | 50.76 / 3.9% | HEAD 3% | TAIL 0% | B/ATR 1.5
2015-04-06 | Bull | 38.3 / 5.7% | HEAD 4% | TAIL 0% | B/ATR 1.6
2015-08-27 | Bull | 37.78 / 6.2% | HEAD 11% | TAIL 8% | B/ATR 1.9
2015-11-24 | Bull | 35.24 / 6.7% | HEAD 2% | TAIL 0% | B/ATR 1.7
2016-03-02 | Bull | 32.31 / 7.4% | HEAD 3% | TAIL 16% | B/ATR 1.6
2016-03-07 | Bull | 34.21 / 6.6% | HEAD 0% | TAIL 7% | B/ATR 1.5
2016-11-09 | Bull | 35.59 / 6.2% | HEAD 18% | TAIL 0% | B/ATR 1.5
2018-02-14 | Bull | 51.43 / 5.4% | HEAD 4% | TAIL 2% | B/ATR 2.1
