2000-01-03 | Bear | 83.63 / -2.6% | HEAD 0% | TAIL 48% | B/ATR nan
2000-01-04 | Bull | 83.63 / 0.8% | HEAD 72% | TAIL 64% | B/ATR nan
2000-01-05 | Bull | 85.44 / 2.9% | HEAD 47% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 88.75 / 4.0% | HEAD 13% | TAIL 0% | B/ATR nan
2000-01-07 | Bull | 90.31 / 0.3% | HEAD 184% | TAIL 323% | B/ATR nan
2000-01-10 | Bear | 87.88 / -2.4% | HEAD 0% | TAIL 9% | B/ATR nan
2000-01-11 | Bear | 87.06 / -0.9% | HEAD 122% | TAIL 15% | B/ATR nan
2000-01-12 | Bear | 86.75 / -0.4% | HEAD 184% | TAIL 281% | B/ATR nan
2000-01-13 | Bull | 87.56 / 1.2% | HEAD 159% | TAIL 35% | B/ATR nan
2000-01-14 | Bull | 87.0 / 1.4% | HEAD 37% | TAIL 21% | B/ATR nan
2000-01-18 | Bull | 89.31 / 2.1% | HEAD 10% | TAIL 31% | B/ATR nan
2000-01-19 | Bear | 87.94 / -1.2% | HEAD 0% | TAIL 18% | B/ATR nan
2000-01-20 | Bear | 87.5 / -0.8% | HEAD 0% | TAIL 100% | B/ATR nan
2000-01-21 | Bull | 88.56 / 0.8% | HEAD 194% | TAIL 10% | B/ATR nan
2000-01-24 | Bear | 88.81 / -0.8% | HEAD 128% | TAIL 126% | B/ATR nan
2000-01-25 | Bear | 88.56 / -0.3% | HEAD 676% | TAIL 372% | B/ATR nan
2000-01-26 | Bear | 87.75 / -1.7% | HEAD 33% | TAIL 83% | B/ATR nan
2000-01-27 | Bear | 84.31 / -3.4% | HEAD 11% | TAIL 25% | B/ATR nan
2000-01-28 | Bear | 82.56 / -1.2% | HEAD 13% | TAIL 68% | B/ATR nan
2000-01-31 | Bull | 83.63 / 1.9% | HEAD 20% | TAIL 83% | B/ATR nan
2000-02-01 | Bear | 83.19 / -0.2% | HEAD 558% | TAIL 363% | B/ATR nan
2000-02-02 | Bear | 82.63 / -0.1% | HEAD 2083% | TAIL 317% | B/ATR nan
2000-02-03 | Bear | 81.44 / -0.8% | HEAD 54% | TAIL 117% | B/ATR nan
2000-02-04 | Bear | 78.56 / -3.3% | HEAD 0% | TAIL 7% | B/ATR nan
2000-02-07 | Bear | 79.06 / -0.1% | HEAD 1243% | TAIL 886% | B/ATR nan
2000-02-08 | Bear | 78.31 / -2.3% | HEAD 31% | TAIL 0% | B/ATR nan
2000-02-09 | Bear | 75.0 / -4.4% | HEAD 7% | TAIL 2% | B/ATR nan
2000-02-10 | Bull | 76.81 / 1.7% | HEAD 50% | TAIL 54% | B/ATR nan
2000-02-11 | Bear | 74.0 / -4.4% | HEAD 7% | TAIL 54% | B/ATR nan
2000-02-14 | Bear | 73.81 / -0.5% | HEAD 329% | TAIL 47% | B/ATR nan
2000-02-15 | Bull | 77.5 / 4.1% | HEAD 6% | TAIL 0% | B/ATR nan
2000-02-16 | Bull | 77.81 / 0.1% | HEAD 1883% | TAIL 733% | B/ATR nan
2000-02-17 | Bear | 77.75 / -0.5% | HEAD 16% | TAIL 313% | B/ATR nan
2000-02-18 | Bear | 76.19 / -1.7% | HEAD 19% | TAIL 29% | B/ATR nan
2000-02-22 | Bull | 75.69 / 0.8% | HEAD 79% | TAIL 129% | B/ATR nan
2000-02-23 | Bear | 73.25 / -2.3% | HEAD 3% | TAIL 25% | B/ATR nan
2000-02-24 | Bear | 71.44 / -2.6% | HEAD 13% | TAIL 3% | B/ATR nan
2000-02-25 | Bear | 71.06 / -1.3% | HEAD 80% | TAIL 119% | B/ATR nan
2000-02-28 | Bull | 74.56 / 4.9% | HEAD 11% | TAIL 5% | B/ATR nan
2000-02-29 | Bull | 74.69 / 0.2% | HEAD 577% | TAIL 862% | B/ATR nan
2000-03-01 | Bull | 75.25 / 0.9% | HEAD 55% | TAIL 280% | B/ATR nan
2000-03-02 | Bull | 75.69 / 0.4% | HEAD 565% | TAIL 142% | B/ATR nan
2000-03-03 | Bull | 74.56 / 0.0% | HEAD 8200% | TAIL 10000% | B/ATR nan
2000-03-06 | Bear | 74.0 / -0.6% | HEAD 70% | TAIL 70% | B/ATR nan
2000-03-07 | Bull | 81.0 / 8.6% | HEAD 16% | TAIL 1% | B/ATR nan
2000-03-08 | Bull | 81.06 / 1.2% | HEAD 357% | TAIL 41% | B/ATR nan
2000-03-09 | Bull | 83.25 / 3.7% | HEAD 26% | TAIL 19% | B/ATR nan
2000-03-10 | Bear | 80.38 / -3.8% | HEAD 39% | TAIL 30% | B/ATR nan
2000-03-13 | Bear | 79.81 / -1.4% | HEAD 249% | TAIL 5% | B/ATR nan
2000-03-14 | Bull | 82.88 / 3.6% | HEAD 9% | TAIL 24% | B/ATR nan
2000-03-15 | Bull | 83.94 / 1.3% | HEAD 6% | TAIL 189% | B/ATR nan
2000-03-16 | Bull | 84.13 / 1.1% | HEAD 305% | TAIL 160% | B/ATR nan
2000-03-17 | Bear | 83.31 / -0.8% | HEAD 10% | TAIL 159% | B/ATR nan
2000-03-20 | Bear | 82.94 / -0.7% | HEAD 81% | TAIL 202% | B/ATR nan
2000-03-21 | Bull | 86.0 / 3.6% | HEAD 17% | TAIL 0% | B/ATR nan
2000-03-22 | Bear | 84.0 / -0.6% | HEAD 250% | TAIL 312% | B/ATR nan
2000-03-23 | Bull | 84.63 / 2.0% | HEAD 72% | TAIL 46% | B/ATR nan
2000-03-24 | Bull | 85.63 / 1.0% | HEAD 35% | TAIL 0% | B/ATR nan
2000-03-27 | Bull | 84.56 / 0.4% | HEAD 357% | TAIL 473% | B/ATR nan
2000-03-28 | Bull | 84.88 / 1.6% | HEAD 66% | TAIL 23% | B/ATR nan
2000-03-29 | Bull | 88.5 / 4.4% | HEAD 14% | TAIL 3% | B/ATR nan
2000-03-30 | Bull | 92.19 / 3.4% | HEAD 2% | TAIL 4% | B/ATR nan
2000-03-31 | Bull | 92.44 / 0.2% | HEAD 953% | TAIL 195% | B/ATR nan
2000-04-03 | Bear | 92.31 / -0.3% | HEAD 350% | TAIL 253% | B/ATR nan
2000-04-04 | Bear | 89.81 / -3.0% | HEAD 25% | TAIL 16% | B/ATR nan
2000-04-05 | Bear | 87.5 / -2.4% | HEAD 50% | TAIL 6% | B/ATR nan
2000-04-06 | Bull | 88.94 / 1.1% | HEAD 93% | TAIL 73% | B/ATR nan
2000-04-07 | Bear | 86.44 / -2.8% | HEAD 0% | TAIL 5% | B/ATR nan
2000-04-10 | Bull | 86.06 / 0.7% | HEAD 223% | TAIL 50% | B/ATR nan
2000-04-11 | Bull | 88.69 / 2.5% | HEAD 38% | TAIL 0% | B/ATR nan
2000-04-12 | Bear | 89.0 / -0.3% | HEAD 365% | TAIL 181% | B/ATR nan
2000-04-13 | Bear | 86.94 / -2.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-14 | Bear | 85.69 / -1.5% | HEAD 5% | TAIL 19% | B/ATR nan
2000-04-17 | Bear | 82.94 / -2.4% | HEAD 33% | TAIL 31% | B/ATR nan
2000-04-18 | Bull | 84.56 / 2.2% | HEAD 21% | TAIL 24% | B/ATR nan
2000-04-19 | Bull | 84.75 / 0.5% | HEAD 314% | TAIL 84% | B/ATR nan
2000-04-20 | Bull | 86.31 / 3.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-24 | Bear | 85.25 / -0.1% | HEAD 3333% | TAIL 517% | B/ATR nan
2000-04-25 | Bear | 84.81 / -0.7% | HEAD 142% | TAIL 132% | B/ATR nan
2000-04-26 | Bull | 86.31 / 0.1% | HEAD 208% | TAIL 625% | B/ATR nan
2000-04-27 | Bull | 88.44 / 2.5% | HEAD 26% | TAIL 0% | B/ATR nan
2000-04-28 | Bear | 85.13 / -2.6% | HEAD 43% | TAIL 0% | B/ATR nan
2000-05-01 | Bull | 86.31 / 0.9% | HEAD 270% | TAIL 0% | B/ATR nan
2000-05-02 | Bull | 89.31 / 2.4% | HEAD 30% | TAIL 3% | B/ATR nan
2000-05-03 | Bear | 87.31 / -2.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-04 | Bull | 88.38 / 0.9% | HEAD 91% | TAIL 0% | B/ATR nan
2000-05-05 | Bull | 90.75 / 2.4% | HEAD 0% | TAIL 27% | B/ATR nan
2000-05-08 | Bull | 91.81 / 0.8% | HEAD 151% | TAIL 41% | B/ATR nan
2000-05-09 | Bear | 90.13 / -1.7% | HEAD 4% | TAIL 80% | B/ATR nan
2000-05-10 | Bull | 90.88 / 1.6% | HEAD 69% | TAIL 0% | B/ATR nan
2000-05-11 | Bull | 93.38 / 2.8% | HEAD 2% | TAIL 0% | B/ATR nan
2000-05-12 | Bull | 94.27 / 1.4% | HEAD 3% | TAIL 29% | B/ATR nan
2000-05-15 | Bull | 94.0 / 0.2% | HEAD 395% | TAIL 195% | B/ATR nan
2000-05-16 | Bear | 92.94 / -1.1% | HEAD 0% | TAIL 83% | B/ATR nan
2000-05-17 | Bull | 91.31 / 0.6% | HEAD 68% | TAIL 123% | B/ATR nan
2000-05-18 | Bear | 90.88 / -0.7% | HEAD 74% | TAIL 74% | B/ATR nan
2000-05-19 | Bull | 93.31 / 2.5% | HEAD 27% | TAIL 13% | B/ATR nan
2000-05-22 | Bull | 94.06 / 0.3% | HEAD 328% | TAIL 200% | B/ATR nan
2000-05-23 | Bear | 93.25 / -0.5% | HEAD 0% | TAIL 384% | B/ATR nan
2000-05-24 | Bull | 94.25 / 0.9% | HEAD 22% | TAIL 72% | B/ATR 0.3
2000-05-25 | Bear | 93.19 / -0.7% | HEAD 0% | TAIL 254% | B/ATR 0.2
2000-05-26 | Bear | 91.38 / -2.6% | HEAD 8% | TAIL 10% | B/ATR 0.9
2000-05-30 | Bear | 91.31 / -0.1% | HEAD 192% | TAIL 577% | B/ATR 0.0
2000-05-31 | Bull | 92.38 / 0.6% | HEAD 11% | TAIL 44% | B/ATR 0.2
2000-06-01 | Bear | 91.0 / -1.6% | HEAD 0% | TAIL 108% | B/ATR 0.5
2000-06-02 | Bull | 90.56 / 0.6% | HEAD 0% | TAIL 212% | B/ATR 0.2
2000-06-05 | Bear | 90.44 / -0.3% | HEAD 161% | TAIL 61% | B/ATR 0.1
2000-06-06 | Bull | 92.88 / 2.6% | HEAD 13% | TAIL 3% | B/ATR 0.9
2000-06-07 | Bear | 92.38 / -1.6% | HEAD 4% | TAIL 46% | B/ATR 0.5
2000-06-08 | Bull | 92.56 / 0.1% | HEAD 367% | TAIL 525% | B/ATR 0.0
2000-06-09 | Bear | 92.0 / -1.1% | HEAD 19% | TAIL 50% | B/ATR 0.4
2000-06-12 | Bull | 92.88 / 0.1% | HEAD 2314% | TAIL 86% | B/ATR 0.0
2000-06-13 | Bear | 91.75 / -0.3% | HEAD 124% | TAIL 124% | B/ATR 0.1
2000-06-14 | Bull | 93.25 / 1.3% | HEAD 100% | TAIL 0% | B/ATR 0.4
2000-06-15 | Bull | 93.13 / 0.1% | HEAD 1157% | TAIL 1514% | B/ATR 0.0
2000-06-16 | Bull | 92.75 / 0.1% | HEAD 1617% | TAIL 0% | B/ATR 0.0
2000-06-19 | Bear | 91.38 / -2.1% | HEAD 7% | TAIL 49% | B/ATR 0.7
2000-06-20 | Bear | 90.25 / -1.2% | HEAD 0% | TAIL 50% | B/ATR 0.4
2000-06-21 | Bull | 91.27 / 1.3% | HEAD 54% | TAIL 55% | B/ATR 0.4
2000-06-22 | Bear | 89.56 / -2.5% | HEAD 33% | TAIL 8% | B/ATR 0.8
2000-06-23 | Bull | 89.75 / 0.2% | HEAD 395% | TAIL 63% | B/ATR 0.1
2000-06-26 | Bear | 88.73 / -1.1% | HEAD 84% | TAIL 4% | B/ATR 0.4
2000-06-27 | Bear | 88.44 / -0.5% | HEAD 0% | TAIL 43% | B/ATR 0.2
2000-06-28 | Bear | 87.57 / -0.8% | HEAD 19% | TAIL 75% | B/ATR 0.3
2000-06-29 | Bear | 86.64 / -0.3% | HEAD 442% | TAIL 58% | B/ATR 0.1
2000-06-30 | Bear | 84.81 / -2.1% | HEAD 27% | TAIL 14% | B/ATR 0.7
2000-07-03 | Bull | 85.92 / 1.1% | HEAD 77% | TAIL 13% | B/ATR 0.4
2000-07-05 | Bear | 82.5 / -3.0% | HEAD 0% | TAIL 17% | B/ATR 1.0
2000-07-06 | Bull | 83.56 / 0.9% | HEAD 243% | TAIL 0% | B/ATR 0.3
2000-07-07 | Bear | 83.95 / -0.1% | HEAD 2380% | TAIL 400% | B/ATR 0.0
2000-07-10 | Bear | 84.0 / -0.1% | HEAD 1883% | TAIL 0% | B/ATR 0.0
2000-07-11 | Bull | 87.0 / 3.4% | HEAD 20% | TAIL 0% | B/ATR 1.1
2000-07-12 | Bear | 85.67 / -1.6% | HEAD 0% | TAIL 0% | B/ATR 0.5
2000-07-13 | Bear | 83.95 / -2.2% | HEAD 7% | TAIL 38% | B/ATR 0.7
2000-07-14 | Bull | 83.75 / 0.1% | HEAD 0% | TAIL 1667% | B/ATR 0.0
2000-07-17 | Bear | 82.67 / -1.6% | HEAD 38% | TAIL 3% | B/ATR 0.5
2000-07-18 | Bear | 81.44 / -0.8% | HEAD 223% | TAIL 81% | B/ATR 0.2
2000-07-19 | Bull | 81.94 / 0.1% | HEAD 517% | TAIL 417% | B/ATR 0.0
2000-07-20 | Bear | 80.0 / -2.4% | HEAD 0% | TAIL 0% | B/ATR 0.8
2000-07-21 | Bear | 78.5 / -1.9% | HEAD 17% | TAIL 0% | B/ATR 0.6
2000-07-24 | Bear | 77.38 / -1.7% | HEAD 19% | TAIL 5% | B/ATR 0.5
2000-07-25 | Bear | 77.31 / -0.9% | HEAD 19% | TAIL 62% | B/ATR 0.3
2000-07-26 | Bear | 77.31 / -1.5% | HEAD 42% | TAIL 0% | B/ATR 0.5
2000-07-27 | Bull | 80.94 / 3.8% | HEAD 6% | TAIL 2% | B/ATR 1.2
2000-07-28 | Bear | 80.58 / -0.8% | HEAD 169% | TAIL 49% | B/ATR 0.3
2000-07-31 | Bear | 78.98 / -1.3% | HEAD 177% | TAIL 28% | B/ATR 0.4
2000-08-01 | Bull | 78.88 / 0.5% | HEAD 345% | TAIL 0% | B/ATR 0.2
2000-08-02 | Bull | 79.81 / 0.5% | HEAD 102% | TAIL 0% | B/ATR 0.2
2000-08-03 | Bear | 80.0 / -0.3% | HEAD 300% | TAIL 448% | B/ATR 0.1
2000-08-04 | Bull | 79.33 / 0.8% | HEAD 144% | TAIL 166% | B/ATR 0.3
2000-08-07 | Bull | 80.7 / 1.3% | HEAD 85% | TAIL 6% | B/ATR 0.4
2000-08-08 | Bull | 80.36 / 0.4% | HEAD 108% | TAIL 86% | B/ATR 0.1
2000-08-09 | Bull | 82.59 / 1.3% | HEAD 61% | TAIL 40% | B/ATR 0.5
2000-08-10 | Bull | 83.88 / 1.5% | HEAD 34% | TAIL 0% | B/ATR 0.5
2000-08-11 | Bull | 84.0 / 0.2% | HEAD 295% | TAIL 358% | B/ATR 0.1
