2001-09-27 | Bull | 83.5 / 5.5% | HEAD 0% | TAIL 9% | B/ATR 2.5
2001-10-02 | Bull | 85.5 / 3.5% | HEAD 5% | TAIL 12% | B/ATR 1.6
2002-05-13 | Bull | 90.1 / 3.3% | HEAD 14% | TAIL 6% | B/ATR 1.7
2002-10-10 | Bull | 71.3 / 4.6% | HEAD 6% | TAIL 0% | B/ATR 1.5
2004-04-22 | Bull | 91.8 / 2.5% | HEAD 2% | TAIL 0% | B/ATR 1.8
2004-08-03 | Bull | 98.66 / 2.3% | HEAD 9% | TAIL 0% | B/ATR 1.6
2007-07-03 | Bull | 86.33 / 3.3% | HEAD 13% | TAIL 0% | B/ATR 2.0
2007-07-12 | Bull | 93.3 / 2.6% | HEAD 3% | TAIL 7% | B/ATR 1.7
2008-06-05 | Bull | 99.99 / 3.7% | HEAD 7% | TAIL 0% | B/ATR 1.7
2008-07-30 | Bull | 87.26 / 5.0% | HEAD 4% | TAIL 17% | B/ATR 1.9
2008-09-30 | Bull | 82.48 / 4.6% | HEAD 6% | TAIL 7% | B/ATR 1.5
2008-10-13 | Bull | 69.89 / 16.2% | HEAD 6% | TAIL 8% | B/ATR 3.8
2008-10-20 | Bull | 69.61 / 8.6% | HEAD 7% | TAIL 2% | B/ATR 2.0
2010-05-21 | Bull | 74.48 / 2.9% | HEAD 8% | TAIL 16% | B/ATR 1.5
2011-08-23 | Bull | 97.33 / 3.6% | HEAD 1% | TAIL 13% | B/ATR 1.7
2014-12-02 | Bull | 114.02 / 2.5% | HEAD 20% | TAIL 14% | B/ATR 1.5
2014-12-17 | Bull | 106.02 / 3.8% | HEAD 15% | TAIL 4% | B/ATR 2.0
2015-03-18 | Bull | 106.7 / 4.0% | HEAD 4% | TAIL 6% | B/ATR 1.8
2015-07-28 | Bull | 92.4 / 3.3% | HEAD 10% | TAIL 1% | B/ATR 1.6
2015-10-02 | Bull | 81.55 / 4.9% | HEAD 0% | TAIL 11% | B/ATR 2.0
2015-11-02 | Bull | 94.96 / 4.8% | HEAD 7% | TAIL 3% | B/ATR 2.1
2015-11-16 | Bull | 91.45 / 4.2% | HEAD 1% | TAIL 0% | B/ATR 1.8
2016-02-08 | Bull | 85.99 / 5.2% | HEAD 17% | TAIL 16% | B/ATR 1.7
2017-06-09 | Bull | 106.4 / 2.3% | HEAD 4% | TAIL 0% | B/ATR 1.5
2017-12-21 | Bull | 124.82 / 2.8% | HEAD 16% | TAIL 11% | B/ATR 2.4
2018-02-06 | Bull | 117.18 / 5.4% | HEAD 8% | TAIL 7% | B/ATR 4.0
2018-03-09 | Bull | 117.22 / 2.5% | HEAD 6% | TAIL 2% | B/ATR 1.6
