2000-01-03 | Bear | 53.0 / -4.7% | HEAD 0% | TAIL 38% | B/ATR nan
2000-01-04 | Bear | 49.75 / -4.3% | HEAD 8% | TAIL 0% | B/ATR nan
2000-01-05 | Bull | 51.75 / 1.7% | HEAD 29% | TAIL 159% | B/ATR nan
2000-01-06 | Bull | 54.25 / 5.7% | HEAD 15% | TAIL 2% | B/ATR nan
2000-01-07 | Bull | 54.0 / 0.0% | HEAD 9400% | TAIL 11900% | B/ATR nan
2000-01-10 | Bear | 53.81 / -2.1% | HEAD 0% | TAIL 22% | B/ATR nan
2000-01-11 | Bear | 53.13 / -0.5% | HEAD 400% | TAIL 100% | B/ATR nan
2000-01-12 | Bull | 55.0 / 2.7% | HEAD 0% | TAIL 8% | B/ATR nan
2000-01-13 | Bull | 55.63 / 1.1% | HEAD 68% | TAIL 49% | B/ATR nan
2000-01-14 | Bull | 58.0 / 2.7% | HEAD 37% | TAIL 4% | B/ATR nan
2000-01-18 | Bull | 58.5 / 0.8% | HEAD 100% | TAIL 198% | B/ATR nan
2000-01-19 | Bull | 59.75 / 3.0% | HEAD 22% | TAIL 7% | B/ATR nan
2000-01-20 | Bear | 58.61 / -2.1% | HEAD 14% | TAIL 112% | B/ATR nan
2000-01-21 | Bear | 56.44 / -3.0% | HEAD 18% | TAIL 32% | B/ATR nan
2000-01-24 | Bear | 55.19 / -3.2% | HEAD 0% | TAIL 31% | B/ATR nan
2000-01-25 | Bear | 55.88 / -1.6% | HEAD 74% | TAIL 81% | B/ATR nan
2000-01-26 | Bull | 58.13 / 2.9% | HEAD 26% | TAIL 12% | B/ATR nan
2000-01-27 | Bull | 59.0 / 0.6% | HEAD 135% | TAIL 238% | B/ATR nan
2000-01-28 | Bear | 56.13 / -2.4% | HEAD 73% | TAIL 9% | B/ATR nan
2000-01-31 | Bull | 57.0 / 0.7% | HEAD 254% | TAIL 103% | B/ATR nan
2000-02-01 | Bull | 58.25 / 1.2% | HEAD 36% | TAIL 17% | B/ATR nan
2000-02-02 | Bear | 57.75 / -1.0% | HEAD 57% | TAIL 134% | B/ATR nan
2000-02-03 | Bear | 56.31 / -2.6% | HEAD 13% | TAIL 87% | B/ATR nan
2000-02-04 | Bear | 54.75 / -3.7% | HEAD 41% | TAIL 26% | B/ATR nan
2000-02-07 | Bear | 54.38 / -1.7% | HEAD 95% | TAIL 20% | B/ATR nan
2000-02-08 | Bull | 56.0 / 1.2% | HEAD 28% | TAIL 26% | B/ATR nan
2000-02-09 | Bear | 54.19 / -1.7% | HEAD 66% | TAIL 27% | B/ATR nan
2000-02-10 | Bear | 53.69 / -1.5% | HEAD 85% | TAIL 85% | B/ATR nan
2000-02-11 | Bear | 54.0 / -0.4% | HEAD 526% | TAIL 589% | B/ATR nan
2000-02-14 | Bear | 54.0 / -0.5% | HEAD 124% | TAIL 776% | B/ATR nan
2000-02-15 | Bull | 54.88 / 3.8% | HEAD 3% | TAIL 10% | B/ATR nan
2000-02-16 | Bear | 53.63 / -0.9% | HEAD 150% | TAIL 114% | B/ATR nan
