2001-01-03 | Bull | 54.94 / 8.8% | HEAD 1% | TAIL 3% | B/ATR 1.9
2004-12-22 | Bull | 48.31 / 2.8% | HEAD 4% | TAIL 0% | B/ATR 1.9
2006-12-11 | Bull | 52.88 / 2.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2006-12-18 | Bull | 55.44 / 2.1% | HEAD 15% | TAIL 4% | B/ATR 1.9
2007-07-12 | Bull | 52.84 / 2.5% | HEAD 5% | TAIL 11% | B/ATR 1.6
2008-07-22 | Bull | 20.89 / 9.7% | HEAD 5% | TAIL 13% | B/ATR 1.6
2010-03-09 | Bull | 3.82 / 7.6% | HEAD 15% | TAIL 4% | B/ATR 1.6
2011-07-01 | Bull | 42.88 / 3.3% | HEAD 13% | TAIL 8% | B/ATR 1.7
2014-10-08 | Bull | 52.54 / 2.6% | HEAD 5% | TAIL 2% | B/ATR 1.7
2015-10-28 | Bull | 54.73 / 3.5% | HEAD 12% | TAIL 8% | B/ATR 1.6
2016-03-01 | Bull | 41.27 / 5.4% | HEAD 1% | TAIL 2% | B/ATR 1.6
2016-05-18 | Bull | 45.87 / 4.8% | HEAD 13% | TAIL 0% | B/ATR 1.7
2016-11-14 | Bull | 54.68 / 3.1% | HEAD 13% | TAIL 2% | B/ATR 1.7
2017-10-05 | Bull | 75.72 / 2.2% | HEAD 13% | TAIL 13% | B/ATR 1.5
2017-11-28 | Bull | 73.7 / 3.2% | HEAD 13% | TAIL 14% | B/ATR 2.1
2018-02-06 | Bull | 74.82 / 4.6% | HEAD 11% | TAIL 11% | B/ATR 2.8
2018-04-04 | Bull | 69.31 / 3.2% | HEAD 12% | TAIL 5% | B/ATR 1.5
