2013-05-23 | Bull | 18.44 / 4.8% | HEAD 158% | TAIL 0% | B/ATR nan
2013-05-24 | Bear | 18.69 / -1.0% | HEAD 0% | TAIL 189% | B/ATR nan
2013-05-28 | Bear | 17.78 / -5.0% | HEAD 0% | TAIL 14% | B/ATR nan
2013-05-29 | Bear | 17.0 / -3.9% | HEAD 0% | TAIL 52% | B/ATR nan
2013-05-30 | Bull | 17.07 / 0.5% | HEAD 537% | TAIL 131% | B/ATR nan
2013-05-31 | Bull | 17.0 / 0.0% | HEAD 3000% | TAIL 1984% | B/ATR nan
2013-06-03 | Bull | 17.11 / 0.1% | HEAD 0% | TAIL 1450% | B/ATR nan
2013-06-04 | Bear | 17.02 / -2.6% | HEAD 0% | TAIL 47% | B/ATR nan
2013-06-05 | Bear | 16.68 / -0.6% | HEAD 230% | TAIL 30% | B/ATR nan
2013-06-06 | Bear | 16.36 / -1.7% | HEAD 0% | TAIL 83% | B/ATR nan
2013-06-07 | Bull | 16.56 / 1.5% | HEAD 94% | TAIL 0% | B/ATR nan
2013-06-10 | Bear | 16.5 / -0.8% | HEAD 0% | TAIL 43% | B/ATR nan
2013-06-11 | Bear | 16.29 / -0.4% | HEAD 267% | TAIL 298% | B/ATR nan
2013-06-12 | Bear | 15.83 / -3.0% | HEAD 6% | TAIL 82% | B/ATR nan
2013-06-13 | Bear | 15.62 / -1.3% | HEAD 0% | TAIL 57% | B/ATR nan
2013-06-14 | Bear | 15.45 / -0.9% | HEAD 71% | TAIL 103% | B/ATR nan
2013-06-17 | Bear | 15.83 / -1.0% | HEAD 219% | TAIL 50% | B/ATR nan
2013-06-18 | Bull | 15.92 / 0.1% | HEAD 200% | TAIL 1000% | B/ATR nan
2013-06-19 | Bear | 15.78 / -1.3% | HEAD 0% | TAIL 0% | B/ATR nan
2013-06-20 | Bear | 15.5 / -1.8% | HEAD 24% | TAIL 31% | B/ATR nan
2013-06-21 | Bear | 15.0 / -3.7% | HEAD 6% | TAIL 0% | B/ATR nan
2013-06-24 | Bear | 14.43 / -2.8% | HEAD 0% | TAIL 44% | B/ATR nan
2013-06-25 | Bull | 14.92 / 3.0% | HEAD 47% | TAIL 0% | B/ATR nan
2013-06-26 | Bear | 14.74 / -2.6% | HEAD 23% | TAIL 46% | B/ATR nan
2013-06-27 | Bull | 15.32 / 2.8% | HEAD 12% | TAIL 0% | B/ATR nan
2013-06-28 | Bull | 15.73 / 1.9% | HEAD 143% | TAIL 77% | B/ATR nan
2013-07-01 | Bull | 16.22 / 2.2% | HEAD 69% | TAIL 49% | B/ATR nan
2013-07-02 | Bear | 16.05 / -0.7% | HEAD 250% | TAIL 100% | B/ATR nan
2013-07-03 | Bull | 16.03 / 0.6% | HEAD 67% | TAIL 44% | B/ATR nan
2013-07-05 | Bear | 15.61 / -3.0% | HEAD 0% | TAIL 92% | B/ATR nan
2013-07-08 | Bull | 15.83 / 0.8% | HEAD 67% | TAIL 83% | B/ATR nan
2013-07-09 | Bull | 16.29 / 2.8% | HEAD 23% | TAIL 20% | B/ATR nan
2013-07-10 | Bull | 16.73 / 2.3% | HEAD 27% | TAIL 35% | B/ATR nan
2013-07-11 | Bull | 17.35 / 2.8% | HEAD 0% | TAIL 4% | B/ATR nan
2013-07-12 | Bull | 17.66 / 2.1% | HEAD 3% | TAIL 67% | B/ATR nan
2013-07-15 | Bull | 17.77 / 0.6% | HEAD 330% | TAIL 20% | B/ATR nan
2013-07-16 | Bear | 17.32 / -2.4% | HEAD 0% | TAIL 70% | B/ATR nan
2013-07-17 | Bull | 17.58 / 1.4% | HEAD 110% | TAIL 138% | B/ATR nan
2013-07-18 | Bull | 17.63 / 0.1% | HEAD 1000% | TAIL 2100% | B/ATR nan
2013-07-19 | Bull | 17.87 / 2.4% | HEAD 148% | TAIL 10% | B/ATR nan
2013-07-22 | Bull | 18.15 / 1.6% | HEAD 103% | TAIL 0% | B/ATR nan
2013-07-23 | Bull | 18.25 / 0.5% | HEAD 222% | TAIL 80% | B/ATR nan
2013-07-24 | Bull | 18.52 / 0.7% | HEAD 58% | TAIL 167% | B/ATR nan
2013-07-25 | Bull | 19.44 / 4.6% | HEAD 2% | TAIL 19% | B/ATR nan
2013-07-26 | Bull | 19.7 / 2.0% | HEAD 21% | TAIL 113% | B/ATR nan
2013-07-29 | Bear | 19.42 / -1.4% | HEAD 36% | TAIL 74% | B/ATR nan
