2013-05-23|NIU|H/Body 1.58 |T/Body 0.00 |CHG_PCT nan |CHG/ATR nan |B/CHG nan |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 17.6 |H 19.8 |L 17.6 |C 18.4 |V 6 Million
2013-05-24|RED|H/Body 0.00 |T/Body 1.89 |CHG_PCT 1.4 |CHG/ATR nan |B/CHG 0.76 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.1 |O 18.9 |H 18.9 |L 18.3 |C 18.7 |V 500 Thousand
2013-05-28|RED|H/Body 0.00 |T/Body 0.14 |CHG_PCT -4.9 |CHG/ATR nan |B/CHG -1.03 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.8 |O 18.7 |H 18.7 |L 17.6 |C 17.8 |V 424 Thousand
2013-05-29|RED|H/Body 0.00 |T/Body 0.52 |CHG_PCT -4.4 |CHG/ATR nan |B/CHG -0.88 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.9 |O 17.7 |H 17.7 |L 16.6 |C 17.0 |V 394 Thousand
2013-05-30|NIU|H/Body 5.37 |T/Body 1.31 |CHG_PCT 0.4 |CHG/ATR nan |B/CHG 1.14 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.3 |O 17.0 |H 17.5 |L 16.9 |C 17.1 |V 123 Thousand
2013-05-31|RED|H/Body 30.00 |T/Body 19.84 |CHG_PCT -0.4 |CHG/ATR nan |B/CHG -0.14 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 1.6 |O 17.0 |H 17.3 |L 16.8 |C 17.0 |V 198 Thousand
2013-06-03|NIU|H/Body 0.00 |T/Body 14.50 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 0.18 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.5 |O 17.1 |H 17.1 |L 16.8 |C 17.1 |V 108 Thousand
2013-06-04|RED|H/Body 0.00 |T/Body 0.47 |CHG_PCT -0.5 |CHG/ATR nan |B/CHG -5.00 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.8 |O 17.5 |H 17.5 |L 16.8 |C 17.0 |V 88 Thousand
2013-06-05|RED|H/Body 2.30 |T/Body 0.30 |CHG_PCT -2.0 |CHG/ATR nan |B/CHG -0.29 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.6 |O 16.8 |H 17.0 |L 16.6 |C 16.7 |V 57 Thousand
2013-06-06|RED|H/Body 0.00 |T/Body 0.83 |CHG_PCT -1.9 |CHG/ATR nan |B/CHG -0.91 |B/ATR nan |V/LONG nan |V/SHORT 1.8 |V/PREV 3.6 |O 16.6 |H 16.6 |L 16.1 |C 16.4 |V 202 Thousand
2013-06-07|NIU|H/Body 0.94 |T/Body 0.00 |CHG_PCT 1.2 |CHG/ATR nan |B/CHG 1.25 |B/ATR nan |V/LONG nan |V/SHORT 1.6 |V/PREV 1.1 |O 16.3 |H 16.8 |L 16.3 |C 16.6 |V 214 Thousand
2013-06-10|RED|H/Body 0.00 |T/Body 0.43 |CHG_PCT -0.4 |CHG/ATR nan |B/CHG -2.33 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.5 |O 16.6 |H 16.6 |L 16.4 |C 16.5 |V 109 Thousand
2013-06-11|RED|H/Body 2.67 |T/Body 2.98 |CHG_PCT -1.3 |CHG/ATR nan |B/CHG -0.29 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 1.3 |O 16.4 |H 16.5 |L 16.1 |C 16.3 |V 140 Thousand
2013-06-12|RED|H/Body 0.06 |T/Body 0.82 |CHG_PCT -2.8 |CHG/ATR nan |B/CHG -1.07 |B/ATR nan |V/LONG nan |V/SHORT 1.8 |V/PREV 1.8 |O 16.3 |H 16.4 |L 15.4 |C 15.8 |V 254 Thousand
2013-06-13|RED|H/Body 0.00 |T/Body 0.57 |CHG_PCT -1.3 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.5 |O 15.8 |H 15.8 |L 15.5 |C 15.6 |V 116 Thousand
2013-06-14|RED|H/Body 0.71 |T/Body 1.03 |CHG_PCT -1.1 |CHG/ATR nan |B/CHG -0.82 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.6 |O 15.6 |H 15.7 |L 15.3 |C 15.4 |V 71 Thousand
2013-06-17|RED|H/Body 2.19 |T/Body 0.50 |CHG_PCT 2.5 |CHG/ATR nan |B/CHG 0.42 |B/ATR nan |V/LONG nan |V/SHORT 2.5 |V/PREV 4.9 |O 16.0 |H 16.3 |L 15.8 |C 15.8 |V 351 Thousand
2013-06-18|NIU|H/Body 2.00 |T/Body 10.00 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 0.22 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.4 |O 15.9 |H 16.0 |L 15.7 |C 15.9 |V 150 Thousand
2013-06-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -0.9 |CHG/ATR nan |B/CHG -1.43 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 0.2 |O 16.0 |H 16.0 |L 15.8 |C 15.8 |V 24 Thousand
2013-06-20|RED|H/Body 0.24 |T/Body 0.31 |CHG_PCT -1.8 |CHG/ATR nan |B/CHG -1.04 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 2.4 |O 15.8 |H 15.9 |L 15.4 |C 15.5 |V 58 Thousand
2013-06-21|RED|H/Body 0.06 |T/Body 0.00 |CHG_PCT -3.2 |CHG/ATR nan |B/CHG -1.16 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 2.0 |O 15.6 |H 15.6 |L 15.0 |C 15.0 |V 115 Thousand
2013-06-24|RED|H/Body 0.00 |T/Body 0.44 |CHG_PCT -3.8 |CHG/ATR nan |B/CHG -0.72 |B/ATR nan |V/LONG nan |V/SHORT 1.3 |V/PREV 1.6 |O 14.8 |H 14.8 |L 14.2 |C 14.4 |V 179 Thousand
2013-06-25|NIU|H/Body 0.47 |T/Body 0.00 |CHG_PCT 3.4 |CHG/ATR nan |B/CHG 0.88 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 0.6 |O 14.5 |H 15.1 |L 14.5 |C 14.9 |V 100 Thousand
2013-06-26|RED|H/Body 0.23 |T/Body 0.46 |CHG_PCT -1.2 |CHG/ATR nan |B/CHG -2.17 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 0.9 |O 15.1 |H 15.2 |L 14.6 |C 14.7 |V 94 Thousand
