2000-01-03 | Bull | 35.31 / 0.9% | HEAD 184% | TAIL 39% | B/ATR nan
2000-01-04 | Bear | 35.25 / -0.2% | HEAD 533% | TAIL 0% | B/ATR nan
2000-01-05 | Bull | 36.31 / 3.7% | HEAD 15% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 37.38 / 2.7% | HEAD 37% | TAIL 0% | B/ATR nan
2000-01-07 | Bull | 37.94 / 1.9% | HEAD 28% | TAIL 17% | B/ATR nan
2000-01-10 | Bull | 38.44 / 1.0% | HEAD 16% | TAIL 47% | B/ATR nan
2000-01-11 | Bear | 38.06 / -1.5% | HEAD 0% | TAIL 98% | B/ATR nan
2000-01-12 | Bull | 38.63 / 0.5% | HEAD 163% | TAIL 100% | B/ATR nan
2000-01-13 | Bear | 38.69 / -0.5% | HEAD 63% | TAIL 100% | B/ATR nan
2000-01-14 | Bear | 38.44 / -0.6% | HEAD 24% | TAIL 76% | B/ATR nan
2000-01-18 | Bull | 39.13 / 1.3% | HEAD 0% | TAIL 38% | B/ATR nan
2000-01-19 | Bull | 40.75 / 4.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-20 | Bear | 39.31 / -3.5% | HEAD 9% | TAIL 12% | B/ATR nan
2000-01-21 | Bull | 39.38 / 2.6% | HEAD 37% | TAIL 0% | B/ATR nan
2000-01-24 | Bull | 39.25 / 0.0% | HEAD 1300% | TAIL 7500% | B/ATR nan
2000-01-25 | Bear | 38.5 / -2.1% | HEAD 9% | TAIL 0% | B/ATR nan
2000-01-26 | Bull | 38.94 / 1.0% | HEAD 16% | TAIL 0% | B/ATR nan
2000-01-27 | Bear | 37.63 / -1.5% | HEAD 34% | TAIL 0% | B/ATR nan
2000-01-28 | Bear | 37.38 / -1.0% | HEAD 35% | TAIL 0% | B/ATR nan
2000-01-31 | Bull | 37.38 / 1.2% | HEAD 27% | TAIL 0% | B/ATR nan
2000-02-01 | Bull | 37.5 / 0.7% | HEAD 176% | TAIL 48% | B/ATR nan
2000-02-02 | Bull | 37.38 / 0.2% | HEAD 714% | TAIL 443% | B/ATR nan
2000-02-03 | Bear | 37.5 / -0.2% | HEAD 217% | TAIL 417% | B/ATR nan
2000-02-04 | Bull | 37.75 / 0.3% | HEAD 367% | TAIL 0% | B/ATR nan
2000-02-07 | Bull | 37.63 / 0.0% | HEAD 2500% | TAIL 3800% | B/ATR nan
2000-02-08 | Bear | 37.25 / -0.8% | HEAD 61% | TAIL 61% | B/ATR nan
2000-02-09 | Bear | 35.75 / -3.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-10 | Bull | 35.88 / 0.0% | HEAD 0% | TAIL 3800% | B/ATR nan
2000-02-11 | Bull | 36.13 / 0.4% | HEAD 238% | TAIL 92% | B/ATR nan
2000-02-14 | Bear | 36.19 / -0.5% | HEAD 195% | TAIL 32% | B/ATR nan
2000-02-15 | Bull | 37.13 / 2.4% | HEAD 0% | TAIL 7% | B/ATR nan
2000-02-16 | Bull | 37.94 / 1.5% | HEAD 45% | TAIL 23% | B/ATR nan
2000-02-17 | Bull | 38.0 / 0.3% | HEAD 108% | TAIL 0% | B/ATR nan
2000-02-18 | Bear | 37.31 / -1.5% | HEAD 65% | TAIL 11% | B/ATR nan
2000-02-22 | Bear | 37.25 / -0.7% | HEAD 100% | TAIL 0% | B/ATR nan
2000-02-23 | Bear | 37.13 / -0.7% | HEAD 100% | TAIL 52% | B/ATR nan
2000-02-24 | Bear | 36.63 / -1.2% | HEAD 16% | TAIL 30% | B/ATR nan
2000-02-25 | Bear | 36.63 / -0.7% | HEAD 0% | TAIL 28% | B/ATR nan
2000-02-28 | Bull | 37.06 / 1.4% | HEAD 14% | TAIL 12% | B/ATR nan
2000-02-29 | Bull | 37.5 / 1.7% | HEAD 10% | TAIL 0% | B/ATR nan
2000-03-01 | Bear | 37.19 / -0.5% | HEAD 63% | TAIL 32% | B/ATR nan
2000-03-02 | Bear | 36.81 / -0.9% | HEAD 37% | TAIL 19% | B/ATR nan
2000-03-03 | Bull | 36.81 / 0.0% | HEAD 1900% | TAIL 3100% | B/ATR nan
2000-03-06 | Bear | 36.38 / -0.5% | HEAD 178% | TAIL 211% | B/ATR nan
2000-03-07 | Bear | 35.13 / -2.8% | HEAD 12% | TAIL 13% | B/ATR nan
2000-03-08 | Bear | 35.06 / -0.9% | HEAD 37% | TAIL 175% | B/ATR nan
2000-03-09 | Bear | 34.38 / -1.8% | HEAD 50% | TAIL 21% | B/ATR nan
2000-03-10 | Bear | 33.81 / -1.7% | HEAD 11% | TAIL 0% | B/ATR nan
2000-03-13 | Bear | 33.63 / -0.4% | HEAD 208% | TAIL 0% | B/ATR nan
2000-03-14 | Bear | 33.0 / -1.9% | HEAD 0% | TAIL 159% | B/ATR nan
2000-03-15 | Bull | 33.63 / 2.1% | HEAD 54% | TAIL 45% | B/ATR nan
2000-03-16 | Bull | 34.38 / 1.5% | HEAD 124% | TAIL 76% | B/ATR nan
2000-03-17 | Bear | 34.06 / -0.9% | HEAD 19% | TAIL 56% | B/ATR nan
2000-03-20 | Bull | 34.06 / 0.2% | HEAD 317% | TAIL 417% | B/ATR nan
2000-03-21 | Bull | 35.31 / 2.9% | HEAD 57% | TAIL 25% | B/ATR nan
2000-03-22 | Bull | 35.63 / 0.7% | HEAD 72% | TAIL 100% | B/ATR nan
2000-03-23 | Bear | 34.94 / -1.2% | HEAD 14% | TAIL 100% | B/ATR nan
2000-03-24 | Bear | 34.31 / -1.1% | HEAD 66% | TAIL 82% | B/ATR nan
2000-03-27 | Bear | 33.75 / -1.6% | HEAD 0% | TAIL 45% | B/ATR nan
2000-03-28 | Bear | 33.75 / -0.7% | HEAD 0% | TAIL 200% | B/ATR nan
2000-03-29 | Bear | 33.88 / -0.4% | HEAD 317% | TAIL 733% | B/ATR nan
2000-03-30 | Bull | 34.31 / 1.3% | HEAD 102% | TAIL 30% | B/ATR nan
2000-03-31 | Bull | 34.75 / 1.5% | HEAD 100% | TAIL 0% | B/ATR nan
2000-04-03 | Bear | 34.63 / -0.9% | HEAD 19% | TAIL 42% | B/ATR nan
2000-04-04 | Bear | 34.5 / -0.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-05 | Bear | 34.31 / -0.9% | HEAD 37% | TAIL 19% | B/ATR nan
2000-04-06 | Bear | 33.44 / -2.4% | HEAD 47% | TAIL 23% | B/ATR nan
2000-04-07 | Bull | 33.75 / 0.7% | HEAD 252% | TAIL 0% | B/ATR nan
2000-04-10 | Bull | 34.06 / 0.5% | HEAD 317% | TAIL 72% | B/ATR nan
2000-04-11 | Bull | 35.19 / 3.3% | HEAD 27% | TAIL 5% | B/ATR nan
2000-04-12 | Bear | 35.0 / -0.2% | HEAD 0% | TAIL 617% | B/ATR nan
2000-04-13 | Bull | 35.25 / 0.3% | HEAD 525% | TAIL 0% | B/ATR nan
2000-04-14 | Bear | 34.69 / -0.9% | HEAD 0% | TAIL 100% | B/ATR nan
2000-04-17 | Bull | 34.75 / 0.2% | HEAD 417% | TAIL 517% | B/ATR nan
2000-04-18 | Bull | 35.31 / 2.0% | HEAD 10% | TAIL 65% | B/ATR nan
2000-04-19 | Bull | 35.38 / 0.5% | HEAD 263% | TAIL 100% | B/ATR nan
2000-04-20 | Bull | 35.75 / 0.3% | HEAD 158% | TAIL 158% | B/ATR nan
2000-04-24 | Bull | 35.94 / 0.5% | HEAD 100% | TAIL 63% | B/ATR nan
2000-04-25 | Bull | 36.0 / 0.0% | HEAD 6300% | TAIL 1200% | B/ATR nan
2000-04-26 | Bull | 35.38 / 0.4% | HEAD 0% | TAIL 669% | B/ATR nan
2000-04-27 | Bear | 34.88 / -0.7% | HEAD 124% | TAIL 0% | B/ATR nan
2000-04-28 | Bull | 35.5 / 1.6% | HEAD 0% | TAIL 68% | B/ATR nan
2000-05-01 | Bear | 35.13 / -1.0% | HEAD 0% | TAIL 68% | B/ATR nan
2000-05-02 | Bull | 35.75 / 2.0% | HEAD 36% | TAIL 0% | B/ATR nan
2000-05-03 | Bull | 35.63 / 0.0% | HEAD 3700% | TAIL 5700% | B/ATR nan
2000-05-04 | Bear | 35.63 / -0.3% | HEAD 0% | TAIL 267% | B/ATR nan
2000-05-05 | Bull | 35.94 / 0.5% | HEAD 0% | TAIL 395% | B/ATR nan
2000-05-08 | Bear | 35.81 / -0.2% | HEAD 86% | TAIL 171% | B/ATR nan
2000-05-09 | Bull | 36.0 / 0.2% | HEAD 0% | TAIL 733% | B/ATR nan
2000-05-10 | Bull | 36.0 / 0.0% | HEAD 1300% | TAIL 1200% | B/ATR nan
2000-05-11 | Bull | 36.5 / 1.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-12 | Bull | 37.69 / 2.6% | HEAD 6% | TAIL 13% | B/ATR nan
2000-05-15 | Bull | 38.31 / 1.0% | HEAD 35% | TAIL 51% | B/ATR nan
2000-05-16 | Bear | 38.63 / -2.2% | HEAD 15% | TAIL 37% | B/ATR nan
2000-05-17 | Bull | 39.31 / 1.4% | HEAD 45% | TAIL 21% | B/ATR nan
2000-05-18 | Bull | 39.13 / 0.3% | HEAD 192% | TAIL 192% | B/ATR nan
