2000-07-10 | Bull | 41.25 / 3.6% | HEAD 9% | TAIL 0% | B/ATR 1.8
2001-08-22 | Bull | 49.5 / 3.1% | HEAD 7% | TAIL 3% | B/ATR 2.0
2001-12-28 | Bull | 42.15 / 5.4% | HEAD 5% | TAIL 1% | B/ATR 2.5
2002-07-29 | Bull | 43.5 / 6.0% | HEAD 0% | TAIL 1% | B/ATR 3.4
2002-10-15 | Bull | 41.9 / 4.7% | HEAD 0% | TAIL 0% | B/ATR 2.3
2003-10-17 | Bull | 52.86 / 2.2% | HEAD 6% | TAIL 0% | B/ATR 1.7
2004-04-15 | Bull | 48.99 / 5.1% | HEAD 14% | TAIL 0% | B/ATR 4.2
2004-05-04 | Bull | 45.6 / 4.2% | HEAD 2% | TAIL 3% | B/ATR 3.0
2004-12-30 | Bull | 51.42 / 2.1% | HEAD 0% | TAIL 0% | B/ATR 1.9
2005-01-20 | Bull | 54.15 / 2.3% | HEAD 12% | TAIL 19% | B/ATR 2.2
2005-03-23 | Bull | 49.7 / 3.5% | HEAD 15% | TAIL 6% | B/ATR 2.7
2005-04-01 | Bull | 51.41 / 2.7% | HEAD 4% | TAIL 0% | B/ATR 2.1
2005-05-05 | Bull | 51.25 / 3.2% | HEAD 2% | TAIL 3% | B/ATR 2.2
2005-12-29 | Bull | 43.39 / 3.2% | HEAD 15% | TAIL 4% | B/ATR 1.7
2006-06-16 | Bull | 44.39 / 2.7% | HEAD 14% | TAIL 4% | B/ATR 1.9
2006-08-21 | Bull | 49.35 / 2.0% | HEAD 5% | TAIL 0% | B/ATR 1.6
2006-10-19 | Bull | 50.04 / 1.7% | HEAD 10% | TAIL 0% | B/ATR 1.5
2006-11-01 | Bull | 50.4 / 1.8% | HEAD 1% | TAIL 0% | B/ATR 1.7
2007-04-16 | Bull | 59.25 / 1.9% | HEAD 13% | TAIL 7% | B/ATR 2.0
2008-07-30 | Bull | 49.3 / 4.9% | HEAD 5% | TAIL 0% | B/ATR 2.6
2008-10-13 | Bull | 33.5 / 16.9% | HEAD 12% | TAIL 0% | B/ATR 4.4
2008-12-10 | Bull | 29.55 / 10.9% | HEAD 5% | TAIL 0% | B/ATR 1.7
2011-08-09 | Bull | 27.62 / 7.6% | HEAD 19% | TAIL 0% | B/ATR 2.0
2013-05-08 | Bull | 30.22 / 4.1% | HEAD 0% | TAIL 3% | B/ATR 2.5
2013-05-21 | Bull | 30.91 / 2.7% | HEAD 7% | TAIL 6% | B/ATR 1.7
2014-06-23 | Bull | 34.93 / 2.9% | HEAD 10% | TAIL 14% | B/ATR 1.8
2014-06-24 | Bull | 36.08 / 3.4% | HEAD 9% | TAIL 4% | B/ATR 2.2
2014-09-17 | Bull | 37.93 / 3.6% | HEAD 8% | TAIL 0% | B/ATR 2.1
2014-10-16 | Bull | 35.28 / 6.4% | HEAD 18% | TAIL 7% | B/ATR 3.1
2014-12-17 | Bull | 38.42 / 4.1% | HEAD 5% | TAIL 5% | B/ATR 1.7
2015-09-30 | Bull | 24.72 / 8.0% | HEAD 11% | TAIL 4% | B/ATR 2.0
2016-08-03 | Bull | 23.46 / 6.3% | HEAD 16% | TAIL 0% | B/ATR 1.6
2017-11-30 | Bull | 14.62 / 13.4% | HEAD 13% | TAIL 0% | B/ATR 4.4
