2016-01-04 | Bull | 25.59 / 0.9% | HEAD 33% | TAIL 17% | B/ATR nan
2016-01-05 | Bear | 25.51 / -0.2% | HEAD 333% | TAIL 17% | B/ATR nan
2016-01-06 | Bear | 25.25 / -0.0% | HEAD 3250% | TAIL 800% | B/ATR nan
2016-01-07 | Bear | 24.85 / -0.5% | HEAD 125% | TAIL 167% | B/ATR nan
2016-01-08 | Bear | 24.47 / -1.6% | HEAD 45% | TAIL 12% | B/ATR nan
2016-01-11 | Bear | 24.42 / -0.5% | HEAD 169% | TAIL 31% | B/ATR nan
2016-01-12 | Bull | 24.66 / 0.2% | HEAD 217% | TAIL 467% | B/ATR nan
2016-01-13 | Bear | 24.19 / -1.9% | HEAD 32% | TAIL 4% | B/ATR nan
2016-01-14 | Bull | 24.67 / 1.6% | HEAD 16% | TAIL 50% | B/ATR nan
2016-01-15 | Bull | 25.01 / 3.3% | HEAD 8% | TAIL 3% | B/ATR nan
2016-01-19 | Bear | 24.35 / -2.8% | HEAD 12% | TAIL 4% | B/ATR nan
2016-01-20 | Bull | 24.11 / 0.3% | HEAD 186% | TAIL 500% | B/ATR nan
2016-01-21 | Bear | 23.98 / -1.4% | HEAD 56% | TAIL 23% | B/ATR nan
2016-01-22 | Bull | 24.45 / 0.7% | HEAD 44% | TAIL 22% | B/ATR nan
2016-01-25 | Bear | 23.98 / -1.5% | HEAD 5% | TAIL 8% | B/ATR nan
2016-01-26 | Bull | 24.3 / 0.4% | HEAD 67% | TAIL 111% | B/ATR nan
2016-01-27 | Bull | 23.9 / 0.6% | HEAD 221% | TAIL 0% | B/ATR nan
2016-01-28 | Bull | 24.22 / 1.3% | HEAD 25% | TAIL 3% | B/ATR nan
2016-01-29 | Bull | 24.77 / 1.7% | HEAD 0% | TAIL 24% | B/ATR nan
2016-02-01 | Bull | 24.52 / 0.2% | HEAD 575% | TAIL 125% | B/ATR nan
2016-02-02 | Bear | 24.3 / -0.2% | HEAD 292% | TAIL 83% | B/ATR nan
2016-02-03 | Bull | 24.47 / 0.5% | HEAD 17% | TAIL 258% | B/ATR nan
2016-02-04 | Bull | 24.75 / 1.3% | HEAD 6% | TAIL 13% | B/ATR nan
2016-02-05 | Bear | 24.55 / -0.6% | HEAD 22% | TAIL 56% | B/ATR nan
2016-02-08 | Bear | 24.2 / -0.6% | HEAD 27% | TAIL 180% | B/ATR nan
2016-02-09 | Bull | 24.17 / 1.3% | HEAD 60% | TAIL 0% | B/ATR nan
2016-02-10 | Bull | 24.55 / 0.6% | HEAD 107% | TAIL 87% | B/ATR nan
2016-02-11 | Bear | 24.16 / -0.7% | HEAD 108% | TAIL 100% | B/ATR nan
