2012-05-18 | Bear | 38.2318 / -9.1% | HEAD 77% | TAIL 6% | B/ATR nan
2012-05-21 | Bear | 34.03 / -6.8% | HEAD 5% | TAIL 41% | B/ATR nan
2012-05-22 | Bear | 31.0 / -4.9% | HEAD 61% | TAIL 4% | B/ATR nan
2012-05-23 | Bull | 32.0 / 2.0% | HEAD 79% | TAIL 2% | B/ATR nan
2012-05-24 | Bull | 33.03 / 0.2% | HEAD 225% | TAIL 1475% | B/ATR nan
2012-05-25 | Bear | 31.91 / -3.0% | HEAD 5% | TAIL 81% | B/ATR nan
2012-05-29 | Bear | 28.84 / -8.4% | HEAD 8% | TAIL 7% | B/ATR nan
2012-05-30 | Bear | 28.19 / -1.8% | HEAD 169% | TAIL 65% | B/ATR nan
2012-05-31 | Bull | 29.6 / 3.7% | HEAD 7% | TAIL 163% | B/ATR nan
2012-06-01 | Bear | 27.72 / -4.1% | HEAD 22% | TAIL 28% | B/ATR nan
2012-06-04 | Bear | 26.9 / -1.1% | HEAD 150% | TAIL 153% | B/ATR nan
2012-06-05 | Bear | 25.869 / -3.1% | HEAD 128% | TAIL 14% | B/ATR nan
2012-06-06 | Bull | 26.81 / 2.8% | HEAD 49% | TAIL 74% | B/ATR nan
2012-06-07 | Bear | 26.31 / -2.6% | HEAD 51% | TAIL 23% | B/ATR nan
2012-06-08 | Bull | 27.1 / 2.1% | HEAD 120% | TAIL 20% | B/ATR nan
2012-06-11 | Bear | 27.005 / -0.6% | HEAD 509% | TAIL 97% | B/ATR nan
2012-06-12 | Bear | 27.4 / -0.3% | HEAD 362% | TAIL 550% | B/ATR nan
2012-06-13 | Bear | 27.27 / -1.4% | HEAD 113% | TAIL 44% | B/ATR nan
2012-06-14 | Bull | 28.29 / 2.3% | HEAD 5% | TAIL 42% | B/ATR nan
2012-06-15 | Bull | 30.014 / 5.3% | HEAD 6% | TAIL 10% | B/ATR nan
2012-06-18 | Bull | 31.41 / 4.9% | HEAD 46% | TAIL 37% | B/ATR nan
2012-06-19 | Bull | 31.911 / 1.2% | HEAD 72% | TAIL 222% | B/ATR nan
2012-06-20 | Bear | 31.6 / -1.0% | HEAD 3% | TAIL 141% | B/ATR nan
2012-06-21 | Bull | 31.84 / 0.5% | HEAD 388% | TAIL 94% | B/ATR nan
2012-06-22 | Bull | 33.05 / 2.0% | HEAD 63% | TAIL 55% | B/ATR nan
2012-06-25 | Bear | 32.06 / -2.4% | HEAD 20% | TAIL 64% | B/ATR nan
2012-06-26 | Bull | 33.1 / 1.3% | HEAD 83% | TAIL 46% | B/ATR nan
2012-06-27 | Bear | 32.23 / -0.7% | HEAD 191% | TAIL 143% | B/ATR nan
2012-06-28 | Bear | 31.36 / -1.9% | HEAD 38% | TAIL 77% | B/ATR nan
2012-06-29 | Bear | 31.095 / -2.6% | HEAD 8% | TAIL 41% | B/ATR nan
2012-07-02 | Bear | 30.771 / -1.5% | HEAD 100% | TAIL 46% | B/ATR nan
2012-07-03 | Bull | 31.2 / 0.9% | HEAD 83% | TAIL 38% | B/ATR nan
2012-07-05 | Bull | 31.47 / 0.5% | HEAD 103% | TAIL 200% | B/ATR nan
2012-07-06 | Bull | 31.73 / 0.9% | HEAD 59% | TAIL 62% | B/ATR nan
2012-07-09 | Bull | 32.17 / 0.2% | HEAD 1014% | TAIL 157% | B/ATR nan
2012-07-10 | Bear | 31.47 / -3.0% | HEAD 5% | TAIL 32% | B/ATR nan
2012-07-11 | Bear | 30.97 / -1.6% | HEAD 16% | TAIL 82% | B/ATR nan
2012-07-12 | Bull | 30.81 / 0.4% | HEAD 536% | TAIL 91% | B/ATR nan
2012-07-13 | Bear | 30.72 / -1.0% | HEAD 9% | TAIL 50% | B/ATR nan
2012-07-16 | Bear | 28.245 / -7.4% | HEAD 0% | TAIL 2% | B/ATR nan
