2012-11-14 | Bull | 22.36 / 11.2% | HEAD 6% | TAIL 8% | B/ATR 1.9
2013-07-29 | Bull | 35.43 / 4.0% | HEAD 15% | TAIL 4% | B/ATR 1.6
2013-07-30 | Bull | 37.627 / 5.5% | HEAD 17% | TAIL 17% | B/ATR 2.3
2013-08-23 | Bull | 40.55 / 4.0% | HEAD 5% | TAIL 5% | B/ATR 1.7
2013-09-11 | Bull | 45.04 / 3.8% | HEAD 3% | TAIL 17% | B/ATR 1.7
2013-09-17 | Bull | 45.07 / 6.0% | HEAD 14% | TAIL 3% | B/ATR 2.6
2013-11-05 | Bull | 50.105 / 4.8% | HEAD 3% | TAIL 12% | B/ATR 1.8
2013-11-13 | Bull | 48.71 / 5.4% | HEAD 1% | TAIL 7% | B/ATR 1.9
2013-12-04 | Bull | 48.62 / 4.6% | HEAD 7% | TAIL 9% | B/ATR 1.5
2014-01-06 | Bull | 57.2 / 5.1% | HEAD 2% | TAIL 13% | B/ATR 1.8
2014-02-13 | Bull | 67.33 / 4.9% | HEAD 0% | TAIL 4% | B/ATR 1.8
2015-06-23 | Bull | 87.88 / 3.4% | HEAD 3% | TAIL 7% | B/ATR 1.8
2016-11-21 | Bull | 121.77 / 3.0% | HEAD 5% | TAIL 11% | B/ATR 1.8
2017-05-18 | Bull | 147.66 / 2.0% | HEAD 17% | TAIL 7% | B/ATR 1.6
2017-12-07 | Bull | 180.14 / 2.5% | HEAD 6% | TAIL 0% | B/ATR 1.7
2018-01-22 | Bull | 185.37 / 2.5% | HEAD 0% | TAIL 9% | B/ATR 1.7
2018-02-06 | Bull | 185.31 / 3.8% | HEAD 7% | TAIL 12% | B/ATR 2.4
2018-02-14 | Bull | 179.52 / 3.5% | HEAD 5% | TAIL 4% | B/ATR 2.0
2018-04-10 | Bull | 165.04 / 4.5% | HEAD 13% | TAIL 13% | B/ATR 1.8
