2000-01-03 | Bear | 24.19 / -2.5% | HEAD 0% | TAIL 273% | B/ATR nan
2000-01-04 | Bear | 22.75 / -3.2% | HEAD 67% | TAIL 33% | B/ATR nan
2000-01-05 | Bull | 22.5 / 0.0% | HEAD 0% | TAIL 12500% | B/ATR nan
2000-01-06 | Bull | 24.0 / 6.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-07 | Bull | 29.87 / 24.5% | HEAD 2% | TAIL 0% | B/ATR nan
2000-01-10 | Bull | 35.13 / 0.0% | HEAD 18700% | TAIL 22500% | B/ATR nan
2000-01-11 | Bear | 31.19 / -7.3% | HEAD 25% | TAIL 0% | B/ATR nan
2000-01-12 | Bear | 29.75 / -3.1% | HEAD 53% | TAIL 0% | B/ATR nan
2000-01-13 | Bear | 29.5 / -2.5% | HEAD 83% | TAIL 25% | B/ATR nan
2000-01-14 | Bull | 29.94 / 1.5% | HEAD 127% | TAIL 0% | B/ATR nan
2000-01-18 | Bull | 30.5 / 1.7% | HEAD 50% | TAIL 0% | B/ATR nan
2000-01-19 | Bull | 37.5 / 23.5% | HEAD 6% | TAIL 0% | B/ATR nan
2000-01-20 | Bull | 50.0 / 31.6% | HEAD 0% | TAIL 15% | B/ATR nan
2000-01-21 | Bull | 56.0 / 1.8% | HEAD 550% | TAIL 250% | B/ATR nan
2000-01-24 | Bear | 46.0 / -24.0% | HEAD 17% | TAIL 24% | B/ATR nan
2000-01-25 | Bear | 43.75 / -5.0% | HEAD 62% | TAIL 195% | B/ATR nan
2000-01-26 | Bear | 42.63 / -2.0% | HEAD 115% | TAIL 115% | B/ATR nan
2000-01-27 | Bull | 42.63 / 0.6% | HEAD 948% | TAIL 152% | B/ATR nan
2000-01-28 | Bear | 39.5 / -9.5% | HEAD 0% | TAIL 27% | B/ATR nan
2000-01-31 | Bear | 37.5 / -2.6% | HEAD 88% | TAIL 337% | B/ATR nan
2000-02-01 | Bull | 42.13 / 9.4% | HEAD 3% | TAIL 48% | B/ATR nan
2000-02-02 | Bull | 44.5 / 6.0% | HEAD 5% | TAIL 50% | B/ATR nan
2000-02-03 | Bull | 47.63 / 7.0% | HEAD 56% | TAIL 4% | B/ATR nan
2000-02-04 | Bull | 50.5 / 5.2% | HEAD 140% | TAIL 0% | B/ATR nan
2000-02-07 | Bear | 48.25 / -5.6% | HEAD 100% | TAIL 52% | B/ATR nan
2000-02-08 | Bear | 48.0 / -1.0% | HEAD 276% | TAIL 150% | B/ATR nan
2000-02-09 | Bear | 44.81 / -6.6% | HEAD 39% | TAIL 33% | B/ATR nan
2000-02-10 | Bull | 46.0 / 2.2% | HEAD 150% | TAIL 0% | B/ATR nan
2000-02-11 | Bear | 46.0 / -0.5% | HEAD 100% | TAIL 300% | B/ATR nan
2000-02-14 | Bull | 50.5 / 8.6% | HEAD 50% | TAIL 0% | B/ATR nan
2000-02-15 | Bull | 52.25 / 0.0% | HEAD 12500% | TAIL 40000% | B/ATR nan
2000-02-16 | Bull | 54.63 / 5.1% | HEAD 62% | TAIL 48% | B/ATR nan
2000-02-17 | Bull | 56.88 / 2.5% | HEAD 190% | TAIL 27% | B/ATR nan
2000-02-18 | Bear | 54.0 / -5.5% | HEAD 42% | TAIL 32% | B/ATR nan
2000-02-22 | Bull | 64.5 / 17.3% | HEAD 5% | TAIL 0% | B/ATR nan
2000-02-23 | Bull | 71.0 / 7.0% | HEAD 32% | TAIL 5% | B/ATR nan
2000-02-24 | Bear | 67.0 / -5.8% | HEAD 0% | TAIL 61% | B/ATR nan
2000-02-25 | Bear | 67.12 / -1.7% | HEAD 44% | TAIL 55% | B/ATR nan
2000-02-28 | Bull | 67.94 / 0.7% | HEAD 14% | TAIL 341% | B/ATR nan
2000-02-29 | Bull | 74.75 / 9.1% | HEAD 108% | TAIL 0% | B/ATR nan
2000-03-01 | Bear | 72.75 / -3.0% | HEAD 156% | TAIL 33% | B/ATR nan
2000-03-02 | Bear | 73.37 / -0.2% | HEAD 1346% | TAIL 92% | B/ATR nan
2000-03-03 | Bull | 87.25 / 16.7% | HEAD 22% | TAIL 8% | B/ATR nan
2000-03-06 | Bear | 86.25 / -2.0% | HEAD 429% | TAIL 43% | B/ATR nan
2000-03-07 | Bear | 78.25 / -9.5% | HEAD 29% | TAIL 6% | B/ATR nan
2000-03-08 | Bull | 81.75 / 5.5% | HEAD 18% | TAIL 18% | B/ATR nan
2000-03-09 | Bull | 79.87 / 1.1% | HEAD 72% | TAIL 338% | B/ATR nan
2000-03-10 | Bull | 84.44 / 3.9% | HEAD 72% | TAIL 0% | B/ATR nan
2000-03-13 | Bull | 83.5 / 3.8% | HEAD 20% | TAIL 10% | B/ATR nan
2000-03-14 | Bear | 75.37 / -10.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-15 | Bear | 67.62 / -1.1% | HEAD 317% | TAIL 167% | B/ATR nan
2000-03-16 | Bull | 68.75 / 1.1% | HEAD 159% | TAIL 933% | B/ATR nan
2000-03-17 | Bull | 75.87 / 11.8% | HEAD 20% | TAIL 0% | B/ATR nan
2000-03-20 | Bear | 72.5 / -1.9% | HEAD 219% | TAIL 109% | B/ATR nan
2000-03-21 | Bull | 67.0 / 7.2% | HEAD 0% | TAIL 3% | B/ATR nan
2000-03-22 | Bull | 70.0 / 4.5% | HEAD 42% | TAIL 17% | B/ATR nan
2000-03-23 | Bull | 83.12 / 15.4% | HEAD 17% | TAIL 0% | B/ATR nan
2000-03-24 | Bull | 84.12 / 1.1% | HEAD 928% | TAIL 223% | B/ATR nan
2000-03-27 | Bear | 82.0 / -2.5% | HEAD 112% | TAIL 71% | B/ATR nan
2000-03-28 | Bear | 79.5 / -1.9% | HEAD 52% | TAIL 153% | B/ATR nan
2000-03-29 | Bear | 75.06 / -0.9% | HEAD 72% | TAIL 697% | B/ATR nan
