2000-08-29 | Bull | 115.4 / 12.7% | HEAD 15% | TAIL 1% | B/ATR 2.6
2000-09-11 | Bull | 157.6 / 12.2% | HEAD 4% | TAIL 4% | B/ATR 3.4
2002-01-08 | Bull | 21.85 / 20.4% | HEAD 7% | TAIL 6% | B/ATR 1.6
2003-10-06 | Bull | 13.44 / 9.5% | HEAD 3% | TAIL 0% | B/ATR 2.4
2004-01-20 | Bull | 15.6 / 7.7% | HEAD 3% | TAIL 13% | B/ATR 1.6
2004-04-08 | Bull | 15.17 / 11.1% | HEAD 3% | TAIL 4% | B/ATR 2.1
2004-04-16 | Bull | 19.44 / 20.5% | HEAD 5% | TAIL 2% | B/ATR 4.6
2005-02-16 | Bull | 10.98 / 11.5% | HEAD 4% | TAIL 4% | B/ATR 2.0
2005-03-01 | Bull | 11.85 / 9.5% | HEAD 3% | TAIL 6% | B/ATR 1.8
2005-06-28 | Bull | 10.4 / 11.5% | HEAD 3% | TAIL 3% | B/ATR 2.2
2006-01-12 | Bull | 9.6 / 8.0% | HEAD 10% | TAIL 7% | B/ATR 1.7
2007-08-07 | Bull | 8.13 / 9.6% | HEAD 10% | TAIL 4% | B/ATR 2.2
2007-08-08 | Bull | 9.11 / 13.7% | HEAD 0% | TAIL 0% | B/ATR 3.5
2007-08-30 | Bull | 9.33 / 9.8% | HEAD 2% | TAIL 0% | B/ATR 2.5
2007-09-18 | Bull | 9.73 / 7.9% | HEAD 0% | TAIL 8% | B/ATR 2.0
2009-08-19 | Bull | 4.08 / 13.0% | HEAD 0% | TAIL 4% | B/ATR 1.6
2010-02-22 | Bull | 3.02 / 13.5% | HEAD 17% | TAIL 1% | B/ATR 1.7
2010-12-13 | Bull | 1.68 / 12.0% | HEAD 17% | TAIL 0% | B/ATR 1.9
2010-12-15 | Bull | 1.61 / 11.0% | HEAD 19% | TAIL 0% | B/ATR 1.7
2010-12-17 | Bull | 1.94 / 19.0% | HEAD 6% | TAIL 19% | B/ATR 3.2
2013-05-24 | Bull | 1.52 / 28.8% | HEAD 3% | TAIL 6% | B/ATR 7.0
2013-06-03 | Bull | 1.41 / 10.2% | HEAD 0% | TAIL 8% | B/ATR 2.6
2013-07-01 | Bull | 1.38 / 8.7% | HEAD 18% | TAIL 0% | B/ATR 1.8
2013-10-24 | Bull | 1.49 / 10.4% | HEAD 14% | TAIL 7% | B/ATR 2.3
2014-01-03 | Bull | 1.69 / 13.4% | HEAD 15% | TAIL 10% | B/ATR 3.0
2014-03-25 | Bull | 2.91 / 18.8% | HEAD 7% | TAIL 4% | B/ATR 3.9
2015-08-10 | Bull | 0.8867 / 23.2% | HEAD 2% | TAIL 0% | B/ATR 2.5
2016-03-02 | Bull | 6.02 / 9.3% | HEAD 14% | TAIL 2% | B/ATR 1.7
2016-03-17 | Bull | 7.72 / 6.9% | HEAD 6% | TAIL 0% | B/ATR 1.5
2016-05-31 | Bull | 7.65 / 10.9% | HEAD 16% | TAIL 9% | B/ATR 2.0
