2000-01-03 | Bull | 42.69 / 0.7% | HEAD 39% | TAIL 223% | B/ATR nan
2000-01-04 | Bear | 41.5 / -2.4% | HEAD 69% | TAIL 50% | B/ATR nan
2000-01-05 | Bull | 43.25 / 3.3% | HEAD 0% | TAIL 36% | B/ATR nan
2000-01-06 | Bull | 47.25 / 11.2% | HEAD 1% | TAIL 1% | B/ATR nan
2000-01-07 | Bull | 47.5 / 0.5% | HEAD 0% | TAIL 1200% | B/ATR nan
2000-01-10 | Bear | 46.5 / -2.0% | HEAD 0% | TAIL 80% | B/ATR nan
2000-01-11 | Bear | 45.63 / -0.7% | HEAD 200% | TAIL 42% | B/ATR nan
2000-01-12 | Bull | 45.25 / 0.8% | HEAD 51% | TAIL 203% | B/ATR nan
2000-01-13 | Bull | 47.0 / 0.8% | HEAD 238% | TAIL 238% | B/ATR nan
2000-01-14 | Bear | 46.56 / -1.3% | HEAD 119% | TAIL 138% | B/ATR nan
2000-01-18 | Bear | 44.19 / -3.9% | HEAD 21% | TAIL 59% | B/ATR nan
2000-01-19 | Bull | 44.25 / 0.7% | HEAD 526% | TAIL 42% | B/ATR nan
2000-01-20 | Bear | 42.5 / -0.9% | HEAD 197% | TAIL 182% | B/ATR nan
2000-01-21 | Bear | 41.75 / -1.3% | HEAD 0% | TAIL 134% | B/ATR nan
2000-01-24 | Bear | 41.0 / -1.7% | HEAD 9% | TAIL 109% | B/ATR nan
2000-01-25 | Bear | 40.25 / -1.5% | HEAD 68% | TAIL 0% | B/ATR nan
2000-01-26 | Bull | 42.38 / 5.1% | HEAD 12% | TAIL 12% | B/ATR nan
2000-01-27 | Bear | 40.75 / -1.5% | HEAD 148% | TAIL 98% | B/ATR nan
2000-01-28 | Bear | 38.69 / -3.4% | HEAD 14% | TAIL 32% | B/ATR nan
2000-01-31 | Bull | 39.56 / 2.9% | HEAD 0% | TAIL 34% | B/ATR nan
2000-02-01 | Bear | 38.94 / -0.3% | HEAD 317% | TAIL 833% | B/ATR nan
2000-02-02 | Bear | 38.56 / -1.1% | HEAD 30% | TAIL 127% | B/ATR nan
2000-02-03 | Bull | 39.5 / 1.4% | HEAD 123% | TAIL 123% | B/ATR nan
2000-02-04 | Bear | 39.19 / -1.1% | HEAD 0% | TAIL 57% | B/ATR nan
2000-02-07 | Bear | 39.19 / -0.2% | HEAD 1150% | TAIL 733% | B/ATR nan
2000-02-08 | Bull | 39.69 / 1.3% | HEAD 50% | TAIL 0% | B/ATR nan
2000-02-09 | Bull | 39.06 / 0.2% | HEAD 733% | TAIL 617% | B/ATR nan
2000-02-10 | Bear | 38.69 / -0.5% | HEAD 63% | TAIL 558% | B/ATR nan
2000-02-11 | Bear | 37.13 / -4.0% | HEAD 0% | TAIL 12% | B/ATR nan
2000-02-14 | Bear | 36.31 / -0.7% | HEAD 500% | TAIL 124% | B/ATR nan
2000-02-15 | Bear | 35.94 / -1.5% | HEAD 11% | TAIL 157% | B/ATR nan
2000-02-16 | Bull | 36.44 / 1.2% | HEAD 255% | TAIL 141% | B/ATR nan
2000-02-17 | Bear | 35.63 / -1.2% | HEAD 307% | TAIL 58% | B/ATR nan
2000-02-18 | Bull | 36.81 / 1.4% | HEAD 126% | TAIL 186% | B/ATR nan
2000-02-22 | Bull | 36.0 / 0.9% | HEAD 323% | TAIL 0% | B/ATR nan
2000-02-23 | Bear | 35.38 / -1.9% | HEAD 19% | TAIL 37% | B/ATR nan
2000-02-24 | Bear | 34.13 / -2.8% | HEAD 62% | TAIL 13% | B/ATR nan
2000-02-25 | Bear | 33.56 / -3.4% | HEAD 16% | TAIL 26% | B/ATR nan
2000-02-28 | Bull | 34.75 / 4.3% | HEAD 31% | TAIL 8% | B/ATR nan
2000-02-29 | Bull | 34.94 / 1.3% | HEAD 114% | TAIL 70% | B/ATR nan
2000-03-01 | Bear | 34.44 / -2.7% | HEAD 33% | TAIL 27% | B/ATR nan
2000-03-02 | Bear | 33.88 / -1.1% | HEAD 0% | TAIL 135% | B/ATR nan
2000-03-03 | Bull | 34.75 / 1.8% | HEAD 152% | TAIL 61% | B/ATR nan
2000-03-06 | Bear | 32.75 / -3.8% | HEAD 38% | TAIL 38% | B/ATR nan
2000-03-07 | Bear | 31.06 / -4.4% | HEAD 44% | TAIL 35% | B/ATR nan
2000-03-08 | Bull | 33.06 / 1.7% | HEAD 212% | TAIL 123% | B/ATR nan
2000-03-09 | Bull | 33.38 / 0.2% | HEAD 1243% | TAIL 1329% | B/ATR nan
2000-03-10 | Bull | 33.56 / 0.5% | HEAD 178% | TAIL 383% | B/ATR nan
2000-03-13 | Bear | 32.81 / -0.6% | HEAD 363% | TAIL 63% | B/ATR nan
2000-03-14 | Bear | 32.5 / -1.5% | HEAD 76% | TAIL 100% | B/ATR nan
2000-03-15 | Bull | 33.81 / 5.5% | HEAD 50% | TAIL 0% | B/ATR nan
2000-03-16 | Bull | 35.5 / 2.5% | HEAD 51% | TAIL 51% | B/ATR nan
2000-03-17 | Bear | 34.19 / -3.2% | HEAD 62% | TAIL 0% | B/ATR nan
2000-03-20 | Bear | 35.44 / -0.5% | HEAD 326% | TAIL 163% | B/ATR nan
2000-03-21 | Bull | 36.63 / 4.5% | HEAD 52% | TAIL 0% | B/ATR nan
2000-03-22 | Bull | 37.25 / 0.3% | HEAD 1042% | TAIL 367% | B/ATR nan
2000-03-23 | Bull | 39.75 / 3.6% | HEAD 36% | TAIL 64% | B/ATR nan
2000-03-24 | Bear | 39.62 / -1.2% | HEAD 138% | TAIL 74% | B/ATR nan
2000-03-27 | Bear | 38.79 / -2.1% | HEAD 14% | TAIL 35% | B/ATR nan
2000-03-28 | Bull | 38.38 / 0.3% | HEAD 1100% | TAIL 146% | B/ATR nan
2000-03-29 | Bear | 38.06 / -2.4% | HEAD 47% | TAIL 53% | B/ATR nan
2000-03-30 | Bull | 38.63 / 2.2% | HEAD 68% | TAIL 7% | B/ATR nan
2000-03-31 | Bear | 38.81 / -1.7% | HEAD 0% | TAIL 36% | B/ATR nan
2000-04-03 | Bull | 39.19 / 0.5% | HEAD 232% | TAIL 163% | B/ATR nan
2000-04-04 | Bear | 38.5 / -1.8% | HEAD 109% | TAIL 281% | B/ATR nan
2000-04-05 | Bull | 39.38 / 4.2% | HEAD 20% | TAIL 0% | B/ATR nan
2000-04-06 | Bear | 38.94 / -1.4% | HEAD 55% | TAIL 123% | B/ATR nan
2000-04-07 | Bear | 38.19 / -1.4% | HEAD 168% | TAIL 134% | B/ATR nan
2000-04-10 | Bull | 40.5 / 4.0% | HEAD 60% | TAIL 12% | B/ATR nan
2000-04-11 | Bull | 41.13 / 0.5% | HEAD 263% | TAIL 232% | B/ATR nan
2000-04-12 | Bear | 41.56 / -0.2% | HEAD 1157% | TAIL 529% | B/ATR nan
2000-04-13 | Bear | 40.25 / -1.8% | HEAD 25% | TAIL 49% | B/ATR nan
2000-04-14 | Bear | 37.25 / -5.1% | HEAD 3% | TAIL 6% | B/ATR nan
2000-04-17 | Bear | 36.25 / -3.3% | HEAD 40% | TAIL 0% | B/ATR nan
2000-04-18 | Bull | 37.5 / 3.1% | HEAD 22% | TAIL 6% | B/ATR nan
2000-04-19 | Bull | 38.19 / 0.5% | HEAD 163% | TAIL 295% | B/ATR nan
2000-04-20 | Bull | 38.06 / 0.0% | HEAD 10700% | TAIL 5600% | B/ATR nan
2000-04-24 | Bear | 37.25 / -2.6% | HEAD 6% | TAIL 37% | B/ATR nan
