2000-10-19 | Bull | 42.3 / 7.1% | HEAD 18% | TAIL 0% | B/ATR 2.0
2000-10-30 | Bull | 46.99 / 9.8% | HEAD 2% | TAIL 0% | B/ATR 3.0
2000-11-15 | Bull | 47.51 / 5.0% | HEAD 0% | TAIL 2% | B/ATR 1.6
2000-11-21 | Bull | 49.4 / 5.7% | HEAD 0% | TAIL 3% | B/ATR 1.8
2001-01-03 | Bull | 41.06 / 7.5% | HEAD 7% | TAIL 7% | B/ATR 1.9
2001-09-17 | Bull | 38.3 / 14.3% | HEAD 2% | TAIL 4% | B/ATR 4.4
2001-09-28 | Bull | 36.75 / 5.5% | HEAD 0% | TAIL 11% | B/ATR 1.7
2002-03-04 | Bull | 61.22 / 4.4% | HEAD 0% | TAIL 0% | B/ATR 1.9
2002-05-08 | Bull | 52.76 / 4.8% | HEAD 3% | TAIL 0% | B/ATR 1.8
2003-03-19 | Bull | 55.18 / 4.5% | HEAD 2% | TAIL 4% | B/ATR 1.7
2003-06-04 | Bull | 64.23 / 3.6% | HEAD 8% | TAIL 0% | B/ATR 1.7
2003-06-26 | Bull | 62.42 / 5.4% | HEAD 8% | TAIL 0% | B/ATR 2.4
2003-09-18 | Bull | 68.6 / 3.1% | HEAD 20% | TAIL 10% | B/ATR 1.6
2003-10-14 | Bull | 73.65 / 3.2% | HEAD 4% | TAIL 6% | B/ATR 1.8
2004-07-20 | Bull | 82.81 / 2.4% | HEAD 0% | TAIL 1% | B/ATR 1.5
2004-08-16 | Bull | 78.57 / 2.7% | HEAD 0% | TAIL 0% | B/ATR 1.6
2004-12-16 | Bull | 97.71 / 2.2% | HEAD 2% | TAIL 13% | B/ATR 1.5
2004-12-17 | Bull | 100.01 / 2.3% | HEAD 2% | TAIL 0% | B/ATR 1.6
2005-07-20 | Bull | 84.36 / 3.2% | HEAD 15% | TAIL 3% | B/ATR 1.5
2005-12-21 | Bull | 103.7 / 3.1% | HEAD 11% | TAIL 0% | B/ATR 2.0
2006-05-04 | Bull | 118.2 / 3.2% | HEAD 2% | TAIL 4% | B/ATR 2.0
2006-06-15 | Bull | 109.5 / 2.8% | HEAD 8% | TAIL 15% | B/ATR 1.5
2006-06-21 | Bull | 113.86 / 3.1% | HEAD 4% | TAIL 9% | B/ATR 1.7
2006-07-19 | Bull | 112.45 / 3.7% | HEAD 6% | TAIL 6% | B/ATR 1.9
2007-11-28 | Bull | 97.12 / 4.0% | HEAD 12% | TAIL 8% | B/ATR 1.7
2008-01-22 | Bull | 84.17 / 5.2% | HEAD 13% | TAIL 0% | B/ATR 1.8
2008-01-23 | Bull | 88.99 / 9.1% | HEAD 7% | TAIL 7% | B/ATR 3.2
2008-04-01 | Bull | 97.71 / 4.1% | HEAD 0% | TAIL 0% | B/ATR 1.5
2008-07-16 | Bull | 76.96 / 5.4% | HEAD 6% | TAIL 13% | B/ATR 1.6
2008-07-29 | Bull | 82.12 / 5.3% | HEAD 0% | TAIL 1% | B/ATR 1.6
2008-08-05 | Bull | 83.99 / 6.0% | HEAD 7% | TAIL 0% | B/ATR 1.9
2008-10-31 | Bull | 65.37 / 9.0% | HEAD 8% | TAIL 16% | B/ATR 1.7
2009-07-16 | Bull | 61.79 / 8.1% | HEAD 15% | TAIL 2% | B/ATR 1.8
2010-03-18 | Bull | 92.67 / 5.5% | HEAD 6% | TAIL 18% | B/ATR 2.2
2011-02-10 | Bull | 94.44 / 3.4% | HEAD 8% | TAIL 0% | B/ATR 1.7
2011-10-04 | Bull | 67.86 / 5.7% | HEAD 1% | TAIL 3% | B/ATR 1.6
2013-02-27 | Bull | 105.74 / 3.0% | HEAD 13% | TAIL 12% | B/ATR 2.0
2013-05-07 | Bull | 99.52 / 3.0% | HEAD 3% | TAIL 4% | B/ATR 1.7
2013-05-08 | Bull | 101.95 / 2.9% | HEAD 5% | TAIL 9% | B/ATR 1.7
2013-07-18 | Bull | 108.66 / 4.6% | HEAD 7% | TAIL 1% | B/ATR 2.5
2013-08-01 | Bull | 110.0 / 3.0% | HEAD 10% | TAIL 8% | B/ATR 1.6
2013-10-17 | Bull | 125.19 / 2.6% | HEAD 2% | TAIL 13% | B/ATR 1.6
2014-06-18 | Bull | 148.95 / 2.5% | HEAD 12% | TAIL 7% | B/ATR 1.7
2014-09-29 | Bull | 162.18 / 2.1% | HEAD 10% | TAIL 9% | B/ATR 1.7
2016-03-17 | Bull | 161.34 / 3.9% | HEAD 6% | TAIL 19% | B/ATR 1.8
2017-01-24 | Bull | 191.61 / 3.3% | HEAD 6% | TAIL 0% | B/ATR 2.3
2017-09-28 | Bull | 224.26 / 2.1% | HEAD 5% | TAIL 11% | B/ATR 1.6
2017-11-29 | Bull | 225.93 / 3.2% | HEAD 8% | TAIL 2% | B/ATR 2.4
2018-01-02 | Bull | 257.6 / 2.7% | HEAD 0% | TAIL 12% | B/ATR 2.1
