2000-08-17 | Bull | 15.88 / 3.3% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-08-18 | Bull | 16.13 / 3.2% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-08-22 | Bull | 16.44 / 3.5% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-08-25 | Bull | 16.88 / 2.7% | HEAD 14% | TAIL 0% | B/ATR 1.5
2000-09-28 | Bull | 16.13 / 4.1% | HEAD 19% | TAIL 0% | B/ATR 2.0
2000-10-11 | Bull | 14.38 / 4.6% | HEAD 10% | TAIL 0% | B/ATR 1.9
2001-04-10 | Bull | 17.19 / 4.5% | HEAD 1% | TAIL 5% | B/ATR 1.8
2001-04-17 | Bull | 18.0 / 3.9% | HEAD 15% | TAIL 0% | B/ATR 1.6
2001-04-26 | Bull | 19.55 / 4.0% | HEAD 20% | TAIL 7% | B/ATR 1.8
2001-05-18 | Bull | 20.0 / 3.6% | HEAD 0% | TAIL 0% | B/ATR 1.5
2001-05-25 | Bull | 21.1 / 3.9% | HEAD 19% | TAIL 13% | B/ATR 1.7
2002-07-29 | Bull | 19.0 / 3.8% | HEAD 0% | TAIL 0% | B/ATR 1.9
2002-09-26 | Bull | 19.99 / 3.8% | HEAD 1% | TAIL 12% | B/ATR 1.7
2003-03-03 | Bull | 20.84 / 2.7% | HEAD 2% | TAIL 0% | B/ATR 1.6
2003-05-23 | Bull | 23.2 / 2.7% | HEAD 0% | TAIL 17% | B/ATR 1.8
2003-05-29 | Bull | 23.3 / 2.6% | HEAD 0% | TAIL 0% | B/ATR 1.8
2003-06-05 | Bull | 23.48 / 2.8% | HEAD 0% | TAIL 16% | B/ATR 1.9
2004-04-16 | Bull | 22.79 / 2.9% | HEAD 0% | TAIL 8% | B/ATR 1.7
2004-12-21 | Bull | 20.14 / 3.5% | HEAD 7% | TAIL 0% | B/ATR 1.8
2005-03-11 | Bull | 21.46 / 3.8% | HEAD 0% | TAIL 0% | B/ATR 2.1
2005-06-24 | Bull | 21.12 / 2.5% | HEAD 8% | TAIL 10% | B/ATR 1.6
2006-06-16 | Bull | 21.82 / 1.7% | HEAD 19% | TAIL 8% | B/ATR 1.5
2006-06-27 | Bull | 22.1 / 1.7% | HEAD 0% | TAIL 19% | B/ATR 1.5
2006-10-16 | Bull | 21.89 / 2.2% | HEAD 0% | TAIL 12% | B/ATR 2.0
2006-12-19 | Bull | 21.51 / 2.4% | HEAD 6% | TAIL 8% | B/ATR 1.8
2007-03-12 | Bull | 22.71 / 2.8% | HEAD 0% | TAIL 0% | B/ATR 2.0
2007-05-02 | Bull | 23.99 / 2.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2007-06-27 | Bull | 24.15 / 2.6% | HEAD 5% | TAIL 4% | B/ATR 1.8
2007-08-08 | Bull | 24.2 / 8.3% | HEAD 0% | TAIL 0% | B/ATR 4.5
2007-11-05 | Bull | 22.68 / 4.2% | HEAD 14% | TAIL 0% | B/ATR 1.7
2008-07-08 | Bull | 18.35 / 5.9% | HEAD 14% | TAIL 5% | B/ATR 2.4
2011-02-18 | Bull | 26.95 / 2.5% | HEAD 0% | TAIL 3% | B/ATR 1.7
2011-08-09 | Bull | 20.39 / 11.1% | HEAD 0% | TAIL 3% | B/ATR 4.7
2011-08-11 | Bull | 20.88 / 4.1% | HEAD 17% | TAIL 0% | B/ATR 1.9
2012-04-24 | Bull | 15.43 / 5.5% | HEAD 1% | TAIL 0% | B/ATR 1.6
2012-05-24 | Bull | 16.98 / 6.8% | HEAD 4% | TAIL 0% | B/ATR 2.2
2013-09-30 | Bull | 22.29 / 3.1% | HEAD 7% | TAIL 7% | B/ATR 1.5
2014-01-27 | Bull | 24.63 / 3.3% | HEAD 14% | TAIL 0% | B/ATR 1.8
2014-06-16 | Bull | 28.25 / 3.0% | HEAD 0% | TAIL 14% | B/ATR 1.8
2014-10-16 | Bull | 26.02 / 5.1% | HEAD 9% | TAIL 0% | B/ATR 2.5
2016-01-21 | Bull | 15.39 / 7.7% | HEAD 10% | TAIL 0% | B/ATR 1.9
2016-02-12 | Bull | 16.77 / 6.0% | HEAD 11% | TAIL 0% | B/ATR 1.6
2017-08-30 | Bull | 5.31 / 9.0% | HEAD 16% | TAIL 5% | B/ATR 2.1
