2015-05-04 | Bull | 42.0 / 10.5% | HEAD 0% | TAIL 1% | B/ATR nan
2015-05-05 | Bull | 55.0 / 0.0% | HEAD 398600% | TAIL 0% | B/ATR nan
2015-05-06 | Bull | 55.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2015-05-07 | Bear | 40.0 / -38.5% | HEAD 4% | TAIL 0% | B/ATR nan
2015-05-08 | Bear | 49.0 / -2.0% | HEAD 900% | TAIL 0% | B/ATR nan
2015-05-11 | Bear | 50.0 / -13.7% | HEAD 0% | TAIL 0% | B/ATR nan
2015-05-12 | Bear | 49.95 / -0.1% | HEAD 0% | TAIL 1583% | B/ATR nan
2015-05-13 | Bull | 49.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2015-05-14 | Bear | 45.0 / -8.2% | HEAD 0% | TAIL 25% | B/ATR nan
2015-05-15 | Bear | 38.0 / -15.6% | HEAD 0% | TAIL 0% | B/ATR nan
2015-05-18 | Bear | 27.15 / -28.6% | HEAD 0% | TAIL 0% | B/ATR nan
2015-05-19 | Bull | 29.0 / 3.6% | HEAD 50% | TAIL 10% | B/ATR nan
2015-05-20 | Bull | 31.5 / 6.8% | HEAD 38% | TAIL 12% | B/ATR nan
2015-05-21 | Bull | 32.0 / 3.2% | HEAD 0% | TAIL 50% | B/ATR nan
2015-05-22 | Bear | 31.9 / -0.3% | HEAD 1100% | TAIL 0% | B/ATR nan
2015-05-26 | Bull | 32.0 / 0.3% | HEAD 0% | TAIL 0% | B/ATR nan
2015-05-27 | Bear | 30.55 / -3.0% | HEAD 0% | TAIL 0% | B/ATR nan
2015-05-28 | Bull | 33.0 / 8.0% | HEAD 0% | TAIL 2% | B/ATR nan
2015-05-29 | Bull | 33.0 / 3.3% | HEAD 0% | TAIL 0% | B/ATR nan
2015-06-01 | Bear | 30.65 / -7.1% | HEAD 0% | TAIL 0% | B/ATR nan
2015-06-02 | Bear | 29.15 / -4.9% | HEAD 0% | TAIL 42% | B/ATR nan
2015-06-03 | Bear | 29.0 / -3.3% | HEAD 0% | TAIL 0% | B/ATR nan
2015-06-04 | Bear | 29.2 / -0.2% | HEAD 0% | TAIL 0% | B/ATR nan
2015-06-05 | Bear | 29.2 / -0.2% | HEAD 0% | TAIL 0% | B/ATR nan
2015-06-08 | Bear | 29.25 / -0.8% | HEAD 0% | TAIL 100% | B/ATR nan
2015-06-09 | Bear | 29.0 / -0.5% | HEAD 0% | TAIL 333% | B/ATR nan
2015-06-10 | Bull | 29.25 / 0.5% | HEAD 167% | TAIL 0% | B/ATR nan
2015-06-11 | Bear | 29.15 / -0.3% | HEAD 0% | TAIL 140% | B/ATR nan
2015-06-12 | Bear | 28.94 / -0.2% | HEAD 0% | TAIL 43% | B/ATR nan
2015-06-15 | Bear | 29.0 / -0.3% | HEAD 0% | TAIL 50% | B/ATR nan
2015-06-16 | Bear | 29.0 / -0.2% | HEAD 122% | TAIL 1111% | B/ATR nan
2015-06-17 | Bear | 29.0 / -0.3% | HEAD 900% | TAIL 0% | B/ATR nan
2015-06-18 | Bear | 29.0 / -0.5% | HEAD 0% | TAIL 100% | B/ATR nan
