2015-10-29 | Bull | 32.0 / 10.3% | HEAD 0% | TAIL 0% | B/ATR 1.6
2015-11-02 | Bull | 39.0 / 13.8% | HEAD 0% | TAIL 0% | B/ATR 2.6
2015-11-12 | Bull | 45.0 / 13.9% | HEAD 12% | TAIL 0% | B/ATR 2.9
2016-01-20 | Bull | 49.1 / 12.1% | HEAD 14% | TAIL 0% | B/ATR 1.7
2016-06-03 | Bull | 88.45 / 13.5% | HEAD 14% | TAIL 0% | B/ATR 3.3
2016-06-08 | Bull | 100.0 / 5.8% | HEAD 0% | TAIL 0% | B/ATR 1.7
2017-03-06 | Bull | 139.0 / 7.4% | HEAD 5% | TAIL 0% | B/ATR 1.8
2017-03-21 | Bull | 123.0 / 12.8% | HEAD 0% | TAIL 0% | B/ATR 2.6
2017-05-09 | Bull | 233.0 / 9.8% | HEAD 5% | TAIL 0% | B/ATR 3.5
2017-05-23 | Bull | 294.0 / 14.2% | HEAD 3% | TAIL 5% | B/ATR 5.1
2017-05-24 | Bull | 415.0 / 31.6% | HEAD 5% | TAIL 5% | B/ATR 13.3
2017-06-15 | Bull | 382.5 / 23.7% | HEAD 3% | TAIL 16% | B/ATR 5.1
2017-06-20 | Bull | 459.99 / 5.5% | HEAD 4% | TAIL 13% | B/ATR 1.5
2017-08-10 | Bull | 560.0 / 7.5% | HEAD 8% | TAIL 0% | B/ATR 1.6
2017-08-30 | Bull | 927.0 / 10.2% | HEAD 6% | TAIL 2% | B/ATR 3.0
2017-09-15 | Bull | 630.005 / 22.2% | HEAD 16% | TAIL 7% | B/ATR 3.2
2017-10-31 | Bull | 828.36 / 13.2% | HEAD 7% | TAIL 1% | B/ATR 2.1
2017-11-24 | Bull | 1074.01 / 7.4% | HEAD 1% | TAIL 4% | B/ATR 1.5
2017-12-11 | Bull | 1850.24 / 5.8% | HEAD 10% | TAIL 9% | B/ATR 1.7
2017-12-12 | Bull | 2273.0 / 20.1% | HEAD 14% | TAIL 3% | B/ATR 6.2
2017-12-18 | Bull | 3463.0 / 19.4% | HEAD 4% | TAIL 7% | B/ATR 8.1
2018-01-02 | Bull | 2261.5 / 17.1% | HEAD 18% | TAIL 0% | B/ATR 3.2
