2000-01-03 | Bear | 34.44 / -2.7% | HEAD 13% | TAIL 40% | B/ATR nan
2000-01-04 | Bear | 33.81 / -0.7% | HEAD 152% | TAIL 100% | B/ATR nan
2000-01-05 | Bull | 34.0 / 2.4% | HEAD 23% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 33.56 / 0.0% | HEAD 4400% | TAIL 6200% | B/ATR nan
2000-01-07 | Bear | 33.63 / -2.4% | HEAD 15% | TAIL 16% | B/ATR nan
2000-01-10 | Bear | 32.94 / -2.1% | HEAD 26% | TAIL 9% | B/ATR nan
2000-01-11 | Bull | 33.38 / 1.2% | HEAD 47% | TAIL 16% | B/ATR nan
2000-01-12 | Bull | 33.31 / 0.2% | HEAD 1050% | TAIL 100% | B/ATR nan
2000-01-13 | Bull | 33.44 / 1.3% | HEAD 100% | TAIL 27% | B/ATR nan
2000-01-14 | Bear | 32.69 / -0.8% | HEAD 176% | TAIL 100% | B/ATR nan
2000-01-18 | Bull | 33.0 / 3.1% | HEAD 25% | TAIL 19% | B/ATR nan
2000-01-19 | Bear | 32.69 / -0.6% | HEAD 226% | TAIL 200% | B/ATR nan
2000-01-20 | Bear | 32.13 / -0.8% | HEAD 124% | TAIL 128% | B/ATR nan
2000-01-21 | Bear | 31.5 / -2.0% | HEAD 19% | TAIL 30% | B/ATR nan
2000-01-24 | Bear | 31.19 / -1.0% | HEAD 161% | TAIL 61% | B/ATR nan
2000-01-25 | Bear | 30.19 / -1.8% | HEAD 100% | TAIL 0% | B/ATR nan
2000-01-26 | Bear | 31.0 / -1.4% | HEAD 27% | TAIL 100% | B/ATR nan
2000-01-27 | Bear | 30.38 / -2.8% | HEAD 36% | TAIL 8% | B/ATR nan
2000-01-28 | Bear | 30.25 / -2.0% | HEAD 10% | TAIL 40% | B/ATR nan
2000-01-31 | Bull | 31.19 / 3.5% | HEAD 11% | TAIL 7% | B/ATR nan
2000-02-01 | Bear | 30.25 / -4.2% | HEAD 5% | TAIL 19% | B/ATR nan
2000-02-02 | Bear | 30.13 / -0.4% | HEAD 467% | TAIL 525% | B/ATR nan
2000-02-03 | Bull | 30.63 / 1.7% | HEAD 12% | TAIL 150% | B/ATR nan
2000-02-04 | Bear | 30.38 / -0.4% | HEAD 50% | TAIL 317% | B/ATR nan
2000-02-07 | Bear | 30.56 / -1.0% | HEAD 78% | TAIL 331% | B/ATR nan
2000-02-08 | Bear | 30.81 / -0.4% | HEAD 46% | TAIL 192% | B/ATR nan
2000-02-09 | Bear | 30.5 / -1.0% | HEAD 42% | TAIL 19% | B/ATR nan
2000-02-10 | Bear | 30.06 / -1.1% | HEAD 38% | TAIL 97% | B/ATR nan
2000-02-11 | Bull | 30.44 / 0.0% | HEAD 2500% | TAIL 3100% | B/ATR nan
2000-02-14 | Bull | 31.0 / 1.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-15 | Bull | 32.44 / 3.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-16 | Bull | 32.06 / 0.0% | HEAD 1900% | TAIL 5000% | B/ATR nan
2000-02-17 | Bull | 32.38 / 0.8% | HEAD 72% | TAIL 152% | B/ATR nan
2000-02-18 | Bear | 32.06 / -0.2% | HEAD 357% | TAIL 529% | B/ATR nan
2000-02-22 | Bull | 33.44 / 4.3% | HEAD 9% | TAIL 0% | B/ATR nan
2000-02-23 | Bull | 33.44 / 0.8% | HEAD 148% | TAIL 124% | B/ATR nan
2000-02-24 | Bear | 33.13 / -0.7% | HEAD 0% | TAIL 200% | B/ATR nan
2000-02-25 | Bull | 33.0 / 0.2% | HEAD 217% | TAIL 417% | B/ATR nan
2000-02-28 | Bull | 32.94 / 0.0% | HEAD 1900% | TAIL 1300% | B/ATR nan
