2000-12-18 | Bull | 41.13 / 3.8% | HEAD 12% | TAIL 0% | B/ATR 1.7
2001-11-02 | Bull | 48.96 / 3.5% | HEAD 20% | TAIL 0% | B/ATR 2.1
2002-01-30 | Bull | 49.37 / 2.7% | HEAD 5% | TAIL 4% | B/ATR 1.5
2003-05-08 | Bull | 44.76 / 3.3% | HEAD 20% | TAIL 0% | B/ATR 1.6
2004-04-22 | Bull | 47.92 / 2.1% | HEAD 7% | TAIL 5% | B/ATR 1.6
2004-12-01 | Bull | 46.63 / 2.1% | HEAD 16% | TAIL 5% | B/ATR 1.7
2004-12-14 | Bull | 48.52 / 2.4% | HEAD 7% | TAIL 0% | B/ATR 2.0
2005-01-05 | Bull | 49.75 / 2.5% | HEAD 12% | TAIL 9% | B/ATR 2.1
2005-01-07 | Bull | 50.94 / 1.9% | HEAD 1% | TAIL 2% | B/ATR 1.7
2005-01-18 | Bull | 51.82 / 2.6% | HEAD 2% | TAIL 8% | B/ATR 2.3
2005-09-22 | Bull | 46.19 / 2.4% | HEAD 5% | TAIL 0% | B/ATR 2.0
2005-10-14 | Bull | 48.98 / 2.3% | HEAD 2% | TAIL 6% | B/ATR 1.9
2006-08-08 | Bull | 53.15 / 2.0% | HEAD 5% | TAIL 7% | B/ATR 1.6
2007-03-20 | Bull | 57.37 / 1.8% | HEAD 2% | TAIL 3% | B/ATR 1.5
2007-07-12 | Bull | 59.05 / 1.8% | HEAD 6% | TAIL 18% | B/ATR 1.6
2007-08-06 | Bull | 57.44 / 2.9% | HEAD 2% | TAIL 7% | B/ATR 2.4
2007-09-12 | Bull | 59.09 / 2.9% | HEAD 4% | TAIL 6% | B/ATR 2.1
2008-02-15 | Bull | 56.39 / 2.9% | HEAD 6% | TAIL 19% | B/ATR 1.7
2008-07-22 | Bull | 64.91 / 3.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2010-05-21 | Bull | 71.72 / 2.4% | HEAD 0% | TAIL 0% | B/ATR 1.8
2010-06-02 | Bull | 74.3 / 3.1% | HEAD 0% | TAIL 0% | B/ATR 2.3
2011-01-20 | Bull | 37.12 / 3.2% | HEAD 9% | TAIL 0% | B/ATR 1.7
2011-05-12 | Bull | 39.51 / 2.3% | HEAD 0% | TAIL 8% | B/ATR 1.6
2011-09-22 | Bull | 39.5 / 4.3% | HEAD 18% | TAIL 7% | B/ATR 2.8
2012-08-24 | Bull | 39.04 / 2.0% | HEAD 7% | TAIL 0% | B/ATR 1.6
2013-02-14 | Bull | 44.31 / 2.6% | HEAD 19% | TAIL 16% | B/ATR 2.6
2013-03-12 | Bull | 46.27 / 1.6% | HEAD 11% | TAIL 7% | B/ATR 1.6
2013-05-07 | Bull | 50.76 / 2.1% | HEAD 0% | TAIL 9% | B/ATR 2.1
2014-08-06 | Bull | 51.72 / 1.8% | HEAD 7% | TAIL 12% | B/ATR 1.5
2014-12-18 | Bull | 53.51 / 1.9% | HEAD 2% | TAIL 4% | B/ATR 1.6
2015-03-27 | Bull | 54.99 / 2.0% | HEAD 1% | TAIL 5% | B/ATR 1.6
2015-07-07 | Bull | 57.89 / 2.1% | HEAD 8% | TAIL 8% | B/ATR 1.8
2015-10-22 | Bull | 59.23 / 3.4% | HEAD 6% | TAIL 1% | B/ATR 2.2
2016-04-01 | Bull | 64.96 / 3.3% | HEAD 2% | TAIL 0% | B/ATR 2.2
2016-06-30 | Bull | 71.32 / 4.9% | HEAD 14% | TAIL 0% | B/ATR 3.7
2016-11-08 | Bull | 63.71 / 3.0% | HEAD 12% | TAIL 1% | B/ATR 2.1
2016-12-07 | Bull | 62.99 / 2.9% | HEAD 16% | TAIL 0% | B/ATR 2.0
2017-11-10 | Bull | 53.28 / 3.3% | HEAD 7% | TAIL 5% | B/ATR 2.0
2017-11-29 | Bull | 56.34 / 2.8% | HEAD 14% | TAIL 1% | B/ATR 1.8
