2009-07-30 | Bull | 7.09 / 1.3% | HEAD 656% | TAIL 211% | B/ATR nan
2009-07-31 | Bull | 7.2 / 1.4% | HEAD 300% | TAIL 140% | B/ATR nan
2009-08-03 | Bull | 8.0 / 10.3% | HEAD 0% | TAIL 0% | B/ATR nan
2009-08-04 | Bear | 7.76 / -3.0% | HEAD 67% | TAIL 162% | B/ATR nan
2009-08-05 | Bull | 8.86 / 14.6% | HEAD 1% | TAIL 20% | B/ATR nan
2009-08-06 | Bear | 7.97 / -9.4% | HEAD 0% | TAIL 2% | B/ATR nan
2009-08-07 | Bull | 8.3 / 3.8% | HEAD 30% | TAIL 0% | B/ATR nan
2009-08-10 | Bear | 8.0 / -3.6% | HEAD 0% | TAIL 117% | B/ATR nan
2009-08-11 | Bear | 7.76 / -1.8% | HEAD 71% | TAIL 71% | B/ATR nan
2009-08-12 | Bull | 7.92 / 2.9% | HEAD 58% | TAIL 68% | B/ATR nan
2009-08-13 | Bull | 8.17 / 4.7% | HEAD 22% | TAIL 0% | B/ATR nan
2009-08-14 | Bull | 8.23 / 0.1% | HEAD 685% | TAIL 1200% | B/ATR nan
2009-08-17 | Bull | 8.04 / 0.1% | HEAD 2600% | TAIL 300% | B/ATR nan
2009-08-18 | Bull | 8.14 / 1.6% | HEAD 46% | TAIL 8% | B/ATR nan
2009-08-19 | Bull | 8.2008 / 0.9% | HEAD 140% | TAIL 381% | B/ATR nan
2009-08-20 | Bear | 8.11 / -1.7% | HEAD 36% | TAIL 77% | B/ATR nan
2009-08-21 | Bull | 8.3 / 1.0% | HEAD 62% | TAIL 135% | B/ATR nan
2009-08-24 | Bear | 8.15 / -2.0% | HEAD 100% | TAIL 0% | B/ATR nan
2009-08-25 | Bear | 7.93 / -2.6% | HEAD 52% | TAIL 29% | B/ATR nan
2009-08-26 | Bull | 8.15 / 2.3% | HEAD 0% | TAIL 78% | B/ATR nan
2009-08-27 | Bear | 8.17 / -4.4% | HEAD 0% | TAIL 3% | B/ATR nan
2009-08-28 | Bear | 8.1 / -0.6% | HEAD 580% | TAIL 280% | B/ATR nan
2009-08-31 | Bull | 8.19 / 2.6% | HEAD 52% | TAIL 138% | B/ATR nan
2009-09-01 | Bear | 7.9001 / -0.3% | HEAD 905% | TAIL 151% | B/ATR nan
2009-09-02 | Bull | 7.93 / 1.5% | HEAD 100% | TAIL 8% | B/ATR nan
