2009-07-30|NIU|H/Body 6.56 |T/Body 2.11 |CHG_PCT nan |CHG/ATR nan |B/CHG nan |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 7.0 |H 7.7 |L 6.8 |C 7.1 |V 4 Million
2009-07-31|NIU|H/Body 3.00 |T/Body 1.40 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 0.91 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.1 |O 7.1 |H 7.5 |L 7.0 |C 7.2 |V 252 Thousand
2009-08-03|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 11.1 |CHG/ATR nan |B/CHG 0.94 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 1.2 |O 7.2 |H 8.0 |L 7.2 |C 8.0 |V 305 Thousand
2009-08-04|RED|H/Body 0.67 |T/Body 1.62 |CHG_PCT -3.0 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 1.1 |O 8.0 |H 8.2 |L 7.4 |C 7.8 |V 336 Thousand
2009-08-05|NIU|H/Body 0.01 |T/Body 0.20 |CHG_PCT 14.2 |CHG/ATR nan |B/CHG 1.03 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 1.1 |O 7.7 |H 8.9 |L 7.5 |C 8.9 |V 368 Thousand
2009-08-06|RED|H/Body 0.00 |T/Body 0.02 |CHG_PCT -10.0 |CHG/ATR nan |B/CHG -0.93 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 1.0 |O 8.8 |H 8.8 |L 8.0 |C 8.0 |V 356 Thousand
2009-08-07|NIU|H/Body 0.30 |T/Body 0.00 |CHG_PCT 4.1 |CHG/ATR nan |B/CHG 0.91 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.5 |O 8.0 |H 8.4 |L 8.0 |C 8.3 |V 182 Thousand
2009-08-10|RED|H/Body 0.00 |T/Body 1.17 |CHG_PCT -3.6 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.7 |O 8.3 |H 8.3 |L 7.7 |C 8.0 |V 120 Thousand
2009-08-11|RED|H/Body 0.71 |T/Body 0.71 |CHG_PCT -3.0 |CHG/ATR nan |B/CHG -0.58 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.6 |O 7.9 |H 8.0 |L 7.7 |C 7.8 |V 75 Thousand
2009-08-12|NIU|H/Body 0.58 |T/Body 0.68 |CHG_PCT 2.1 |CHG/ATR nan |B/CHG 1.37 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 2.2 |O 7.7 |H 8.0 |L 7.5 |C 7.9 |V 162 Thousand
2009-08-13|NIU|H/Body 0.22 |T/Body 0.00 |CHG_PCT 3.2 |CHG/ATR nan |B/CHG 1.48 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.9 |O 7.8 |H 8.2 |L 7.8 |C 8.2 |V 150 Thousand
2009-08-14|NIU|H/Body 6.85 |T/Body 12.00 |CHG_PCT 0.7 |CHG/ATR nan |B/CHG 0.17 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.2 |O 8.2 |H 8.3 |L 8.1 |C 8.2 |V 37 Thousand
2009-08-17|NIU|H/Body 26.00 |T/Body 3.00 |CHG_PCT -2.3 |CHG/ATR nan |B/CHG -0.05 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 1.7 |O 8.0 |H 8.3 |L 8.0 |C 8.0 |V 62 Thousand
2009-08-18|NIU|H/Body 0.46 |T/Body 0.08 |CHG_PCT 1.2 |CHG/ATR nan |B/CHG 1.30 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.6 |O 8.0 |H 8.2 |L 8.0 |C 8.1 |V 34 Thousand
2009-08-19|NIU|H/Body 1.40 |T/Body 3.81 |CHG_PCT 0.7 |CHG/ATR nan |B/CHG 1.16 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 1.5 |O 8.1 |H 8.3 |L 7.9 |C 8.2 |V 52 Thousand
2009-08-20|RED|H/Body 0.36 |T/Body 0.77 |CHG_PCT -1.1 |CHG/ATR nan |B/CHG -1.54 |B/ATR nan |V/LONG nan |V/SHORT 3.2 |V/PREV 4.2 |O 8.2 |H 8.3 |L 8.0 |C 8.1 |V 218 Thousand
2009-08-21|NIU|H/Body 0.62 |T/Body 1.35 |CHG_PCT 2.3 |CHG/ATR nan |B/CHG 0.42 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.3 |O 8.2 |H 8.3 |L 8.1 |C 8.3 |V 67 Thousand
2009-08-24|RED|H/Body 1.00 |T/Body 0.00 |CHG_PCT -1.8 |CHG/ATR nan |B/CHG -1.13 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.5 |O 8.3 |H 8.5 |L 8.2 |C 8.2 |V 31 Thousand
2009-08-25|RED|H/Body 0.52 |T/Body 0.29 |CHG_PCT -2.7 |CHG/ATR nan |B/CHG -0.95 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 2.3 |O 8.1 |H 8.2 |L 7.9 |C 7.9 |V 72 Thousand
2009-08-26|NIU|H/Body 0.00 |T/Body 0.78 |CHG_PCT 2.8 |CHG/ATR nan |B/CHG 0.82 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.9 |O 8.0 |H 8.2 |L 7.8 |C 8.2 |V 62 Thousand
