2004-02-03 | Bear | 12.9 / -15.5% | HEAD 31% | TAIL 0% | B/ATR nan
2004-02-04 | Bear | 12.44 / -3.6% | HEAD 130% | TAIL 35% | B/ATR nan
2004-02-05 | Bear | 12.64 / -2.0% | HEAD 23% | TAIL 73% | B/ATR nan
2004-02-06 | Bear | 12.7 / -1.6% | HEAD 100% | TAIL 100% | B/ATR nan
2004-02-09 | Bull | 12.77 / 0.6% | HEAD 329% | TAIL 143% | B/ATR nan
2004-02-10 | Bear | 12.6 / -3.8% | HEAD 0% | TAIL 8% | B/ATR nan
2004-02-11 | Bear | 12.35 / -3.1% | HEAD 13% | TAIL 12% | B/ATR nan
2004-02-12 | Bear | 12.15 / -0.8% | HEAD 430% | TAIL 50% | B/ATR nan
2004-02-13 | Bear | 11.95 / -2.0% | HEAD 20% | TAIL 60% | B/ATR nan
2004-02-17 | Bear | 11.779 / -1.3% | HEAD 0% | TAIL 111% | B/ATR nan
2004-02-18 | Bear | 11.6 / -1.7% | HEAD 5% | TAIL 65% | B/ATR nan
2004-02-19 | Bear | 10.8 / -5.8% | HEAD 21% | TAIL 15% | B/ATR nan
2004-02-20 | Bear | 11.0 / -0.2% | HEAD 1750% | TAIL 1250% | B/ATR nan
2004-02-23 | Bear | 10.94 / -1.4% | HEAD 0% | TAIL 100% | B/ATR nan
2004-02-24 | Bear | 10.811 / -0.3% | HEAD 241% | TAIL 210% | B/ATR nan
2004-02-25 | Bull | 11.48 / 7.3% | HEAD 1% | TAIL 6% | B/ATR nan
2004-02-26 | Bull | 11.87 / 4.6% | HEAD 6% | TAIL 19% | B/ATR nan
2004-02-27 | Bear | 11.72 / -0.3% | HEAD 833% | TAIL 1367% | B/ATR nan
2004-03-01 | Bear | 11.3 / -4.2% | HEAD 0% | TAIL 28% | B/ATR nan
2004-03-02 | Bull | 11.869 / 6.4% | HEAD 18% | TAIL 0% | B/ATR nan
2004-03-03 | Bear | 11.36 / -2.9% | HEAD 85% | TAIL 24% | B/ATR nan
2004-03-04 | Bear | 11.279 / -0.2% | HEAD 952% | TAIL 2090% | B/ATR nan
2004-03-05 | Bull | 11.15 / 0.5% | HEAD 300% | TAIL 60% | B/ATR nan
2004-03-08 | Bull | 11.4 / 1.5% | HEAD 29% | TAIL 59% | B/ATR nan
2004-03-09 | Bull | 11.74 / 3.0% | HEAD 3% | TAIL 59% | B/ATR nan
2004-03-10 | Bear | 11.09 / -3.6% | HEAD 20% | TAIL 34% | B/ATR nan
2004-03-11 | Bull | 11.45 / 2.0% | HEAD 183% | TAIL 83% | B/ATR nan
2004-03-12 | Bull | 11.4 / 0.4% | HEAD 180% | TAIL 220% | B/ATR nan
2004-03-15 | Bear | 10.99 / -4.0% | HEAD 0% | TAIL 7% | B/ATR nan
2004-03-16 | Bear | 10.0 / -12.0% | HEAD 0% | TAIL 6% | B/ATR nan
2004-03-17 | Bear | 10.39 / -2.2% | HEAD 0% | TAIL 17% | B/ATR nan
2004-03-18 | Bear | 10.46 / -1.3% | HEAD 36% | TAIL 114% | B/ATR nan
2004-03-19 | Bear | 10.51 / -1.8% | HEAD 0% | TAIL 63% | B/ATR nan
2004-03-22 | Bear | 10.249 / -2.4% | HEAD 0% | TAIL 27% | B/ATR nan
2004-03-23 | Bear | 10.2 / -2.4% | HEAD 0% | TAIL 120% | B/ATR nan
2004-03-24 | Bull | 10.25 / 1.0% | HEAD 0% | TAIL 110% | B/ATR nan
2004-03-25 | Bear | 10.17 / -0.8% | HEAD 60% | TAIL 25% | B/ATR nan
2004-03-26 | Bear | 9.96 / -2.8% | HEAD 3% | TAIL 21% | B/ATR nan
2004-03-29 | Bear | 9.67 / -4.7% | HEAD 0% | TAIL 0% | B/ATR nan
2004-03-30 | Bull | 10.25 / 6.0% | HEAD 71% | TAIL 17% | B/ATR nan
2004-03-31 | Bull | 10.4 / 0.5% | HEAD 200% | TAIL 500% | B/ATR nan
2004-04-01 | Bull | 10.55 / 2.4% | HEAD 16% | TAIL 0% | B/ATR nan
2004-04-02 | Bull | 10.81 / 2.2% | HEAD 113% | TAIL 87% | B/ATR nan
2004-04-05 | Bear | 10.91 / -0.8% | HEAD 0% | TAIL 100% | B/ATR nan
2004-04-06 | Bear | 10.65 / -3.2% | HEAD 0% | TAIL 86% | B/ATR nan
2004-04-07 | Bear | 10.65 / -0.6% | HEAD 67% | TAIL 183% | B/ATR nan
2004-04-08 | Bull | 10.96 / 3.0% | HEAD 28% | TAIL 19% | B/ATR nan
2004-04-12 | Bull | 11.05 / 0.6% | HEAD 57% | TAIL 143% | B/ATR nan
2004-04-13 | Bull | 11.14 / 0.7% | HEAD 250% | TAIL 100% | B/ATR nan
2004-04-14 | Bull | 11.04 / 1.0% | HEAD 191% | TAIL 0% | B/ATR nan
2004-04-15 | Bear | 10.97 / -2.4% | HEAD 7% | TAIL 4% | B/ATR nan
2004-04-16 | Bear | 11.22 / -0.3% | HEAD 0% | TAIL 133% | B/ATR nan
2004-04-19 | Bull | 11.48 / 2.0% | HEAD 126% | TAIL 0% | B/ATR nan
2004-04-20 | Bear | 11.04 / -5.6% | HEAD 0% | TAIL 0% | B/ATR nan
2004-04-21 | Bull | 11.65 / 5.3% | HEAD 3% | TAIL 10% | B/ATR nan
2004-04-22 | Bull | 12.59 / 6.7% | HEAD 22% | TAIL 13% | B/ATR nan
2004-04-23 | Bear | 12.98 / -0.2% | HEAD 300% | TAIL 2150% | B/ATR nan
2004-04-26 | Bull | 13.48 / 3.8% | HEAD 92% | TAIL 0% | B/ATR nan
2004-04-27 | Bear | 13.38 / -0.9% | HEAD 467% | TAIL 0% | B/ATR nan
2004-04-28 | Bull | 13.89 / 2.9% | HEAD 28% | TAIL 28% | B/ATR nan
2004-04-29 | Bear | 13.75 / -1.4% | HEAD 150% | TAIL 125% | B/ATR nan
2004-04-30 | Bear | 13.5 / -2.5% | HEAD 3% | TAIL 257% | B/ATR nan
2004-05-03 | Bull | 14.14 / 6.0% | HEAD 14% | TAIL 35% | B/ATR nan
2004-05-04 | Bear | 13.93 / -1.3% | HEAD 59% | TAIL 148% | B/ATR nan
2004-05-05 | Bear | 13.05 / -8.5% | HEAD 0% | TAIL 46% | B/ATR nan
2004-05-06 | Bull | 13.14 / 0.9% | HEAD 167% | TAIL 58% | B/ATR nan
2004-05-07 | Bull | 13.58 / 2.6% | HEAD 0% | TAIL 132% | B/ATR nan
2004-05-10 | Bear | 12.87 / -5.5% | HEAD 0% | TAIL 23% | B/ATR nan
2004-05-11 | Bull | 13.34 / 5.4% | HEAD 15% | TAIL 0% | B/ATR nan
2004-05-12 | Bear | 12.88 / -3.0% | HEAD 8% | TAIL 93% | B/ATR nan
2004-05-13 | Bear | 12.46 / -3.3% | HEAD 19% | TAIL 50% | B/ATR nan
2004-05-14 | Bull | 12.81 / 3.9% | HEAD 98% | TAIL 0% | B/ATR nan
2004-05-17 | Bull | 12.73 / 1.0% | HEAD 33% | TAIL 0% | B/ATR nan
2004-05-18 | Bull | 12.8 / 1.6% | HEAD 25% | TAIL 1% | B/ATR nan
2004-05-19 | Bull | 12.94 / 1.1% | HEAD 257% | TAIL 1% | B/ATR nan
2004-05-20 | Bear | 12.12 / -8.9% | HEAD 0% | TAIL 0% | B/ATR nan
2004-05-21 | Bull | 12.8 / 3.6% | HEAD 87% | TAIL 64% | B/ATR nan
2004-05-24 | Bear | 12.84 / -2.5% | HEAD 0% | TAIL 309% | B/ATR nan
2004-05-25 | Bear | 12.31 / -5.3% | HEAD 0% | TAIL 38% | B/ATR nan
2004-05-26 | Bull | 12.89 / 5.2% | HEAD 19% | TAIL 0% | B/ATR nan
2004-05-27 | Bear | 12.11 / -6.8% | HEAD 1% | TAIL 1% | B/ATR nan
2004-05-28 | Bear | 12.32 / -0.2% | HEAD 1300% | TAIL 1033% | B/ATR nan
2004-06-01 | Bull | 12.9 / 6.3% | HEAD 13% | TAIL 0% | B/ATR nan
2004-06-02 | Bear | 13.17 / -5.5% | HEAD 0% | TAIL 87% | B/ATR nan
2004-06-03 | Bear | 12.66 / -6.4% | HEAD 0% | TAIL 18% | B/ATR nan
2004-06-04 | Bear | 11.54 / -11.7% | HEAD 0% | TAIL 19% | B/ATR nan
2004-06-07 | Bull | 12.0 / 0.3% | HEAD 600% | TAIL 1625% | B/ATR nan
2004-06-08 | Bear | 11.7 / -2.7% | HEAD 3% | TAIL 62% | B/ATR nan
2004-06-09 | Bear | 11.53 / -1.9% | HEAD 195% | TAIL 14% | B/ATR nan
2004-06-10 | Bear | 11.5 / -0.3% | HEAD 400% | TAIL 0% | B/ATR nan
2004-06-14 | Bear | 11.57 / -0.3% | HEAD 500% | TAIL 233% | B/ATR nan
2004-06-15 | Bear | 11.64 / -0.9% | HEAD 227% | TAIL 173% | B/ATR nan
2004-06-16 | Bull | 12.05 / 4.8% | HEAD 56% | TAIL 0% | B/ATR nan
2004-06-17 | Bear | 12.01 / -0.3% | HEAD 700% | TAIL 0% | B/ATR nan
2004-06-18 | Bull | 12.23 / 0.3% | HEAD 50% | TAIL 700% | B/ATR nan
2004-06-21 | Bull | 12.3 / 0.5% | HEAD 0% | TAIL 350% | B/ATR nan
2004-06-22 | Bull | 12.2 / 1.9% | HEAD 78% | TAIL 0% | B/ATR nan
2004-06-23 | Bear | 12.21 / -1.5% | HEAD 47% | TAIL 84% | B/ATR nan
2004-06-24 | Bear | 11.85 / -2.9% | HEAD 81% | TAIL 47% | B/ATR nan
2004-06-25 | Bear | 11.56 / -1.7% | HEAD 270% | TAIL 635% | B/ATR 0.3
2004-06-28 | Bear | 10.88 / -2.9% | HEAD 239% | TAIL 109% | B/ATR 0.5
2004-06-29 | Bear | 10.72 / -3.1% | HEAD 26% | TAIL 21% | B/ATR 0.5
2004-06-30 | Bear | 10.41 / -2.7% | HEAD 52% | TAIL 3% | B/ATR 0.5
2004-07-01 | Bear | 10.46 / -3.1% | HEAD 71% | TAIL 18% | B/ATR 0.5
2004-07-02 | Bear | 10.4 / -2.3% | HEAD 50% | TAIL 0% | B/ATR 0.4
2004-07-06 | Bear | 10.4 / -1.2% | HEAD 0% | TAIL 0% | B/ATR 0.2
2004-07-07 | Bear | 10.4 / -5.6% | HEAD 0% | TAIL 0% | B/ATR 1.0
2004-07-08 | Bear | 10.4 / -2.0% | HEAD 0% | TAIL 14% | B/ATR 0.3
2004-07-09 | Bear | 10.11 / -2.9% | HEAD 183% | TAIL 20% | B/ATR 0.5
2004-07-12 | Bear | 9.28 / -8.2% | HEAD 75% | TAIL 2% | B/ATR 1.3
2004-07-13 | Bear | 9.22 / -2.9% | HEAD 32% | TAIL 39% | B/ATR 0.4
2004-07-14 | Bull | 9.23 / 0.2% | HEAD 700% | TAIL 750% | B/ATR 0.0
2004-07-15 | Bear | 9.19 / -0.5% | HEAD 200% | TAIL 0% | B/ATR 0.1
2004-07-16 | Bear | 9.04 / -1.4% | HEAD 346% | TAIL 8% | B/ATR 0.2
2004-07-19 | Bull | 9.12 / 0.7% | HEAD 283% | TAIL 100% | B/ATR 0.1
2004-07-20 | Bear | 8.89 / -4.3% | HEAD 8% | TAIL 5% | B/ATR 0.6
2004-07-21 | Bear | 8.59 / -6.7% | HEAD 0% | TAIL 68% | B/ATR 1.0
2004-07-22 | Bear | 8.51 / -1.3% | HEAD 91% | TAIL 52% | B/ATR 0.2
2004-07-23 | Bull | 8.97 / 5.4% | HEAD 48% | TAIL 0% | B/ATR 0.7
2004-07-26 | Bear | 8.61 / -7.8% | HEAD 0% | TAIL 7% | B/ATR 1.1
2004-07-27 | Bull | 8.9 / 1.6% | HEAD 107% | TAIL 114% | B/ATR 0.2
2004-07-28 | Bear | 8.8 / -4.2% | HEAD 0% | TAIL 62% | B/ATR 0.6
2004-07-29 | Bear | 8.58 / -4.0% | HEAD 0% | TAIL 17% | B/ATR 0.6
2004-07-30 | Bear | 8.51 / -1.4% | HEAD 0% | TAIL 33% | B/ATR 0.2
2004-08-02 | Bull | 9.24 / 6.8% | HEAD 10% | TAIL 10% | B/ATR 0.9
2004-08-03 | Bear | 9.11 / -1.4% | HEAD 154% | TAIL 46% | B/ATR 0.2
2004-08-04 | Bear | 8.9 / -4.7% | HEAD 0% | TAIL 16% | B/ATR 0.7
2004-08-05 | Bull | 9.2 / 4.1% | HEAD 0% | TAIL 25% | B/ATR 0.6
2004-08-06 | Bull | 8.88 / 0.3% | HEAD 567% | TAIL 333% | B/ATR 0.0
2004-08-09 | Bear | 8.85 / -1.7% | HEAD 47% | TAIL 53% | B/ATR 0.2
2004-08-10 | Bull | 8.85 / 0.0% | HEAD 1500% | TAIL 2800% | B/ATR 0.0
