2004-11-19 | Bull | 13.7 / 17.0% | HEAD 2% | TAIL 0% | B/ATR 3.6
2004-11-23 | Bull | 14.855 / 12.7% | HEAD 1% | TAIL 10% | B/ATR 3.0
2005-02-25 | Bull | 11.42 / 8.0% | HEAD 4% | TAIL 0% | B/ATR 1.6
2005-05-05 | Bull | 10.25 / 13.4% | HEAD 12% | TAIL 6% | B/ATR 2.3
2006-11-06 | Bull | 11.31 / 7.0% | HEAD 14% | TAIL 5% | B/ATR 1.8
2006-11-30 | Bull | 15.34 / 7.0% | HEAD 16% | TAIL 1% | B/ATR 2.3
2006-12-15 | Bull | 18.25 / 5.2% | HEAD 1% | TAIL 13% | B/ATR 2.0
2007-02-21 | Bull | 20.55 / 7.8% | HEAD 13% | TAIL 0% | B/ATR 2.7
2007-04-12 | Bull | 21.77 / 4.9% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-12-06 | Bull | 15.24 / 9.6% | HEAD 0% | TAIL 5% | B/ATR 1.7
2008-02-21 | Bull | 12.29 / 12.4% | HEAD 14% | TAIL 12% | B/ATR 1.7
2008-07-22 | Bull | 18.84 / 8.8% | HEAD 4% | TAIL 11% | B/ATR 1.8
2011-04-14 | Bull | 3.8 / 12.1% | HEAD 20% | TAIL 2% | B/ATR 3.0
2012-06-26 | Bull | 3.63 / 18.6% | HEAD 5% | TAIL 4% | B/ATR 2.3
2012-09-12 | Bull | 4.52 / 19.6% | HEAD 9% | TAIL 3% | B/ATR 3.4
2012-09-24 | Bull | 5.0 / 7.5% | HEAD 0% | TAIL 0% | B/ATR 1.6
2013-05-21 | Bull | 6.35 / 11.4% | HEAD 5% | TAIL 17% | B/ATR 2.6
2015-09-18 | Bull | 1.2 / 50.0% | HEAD 0% | TAIL 2% | B/ATR 4.7
2015-09-21 | Bull | 1.09 / 13.5% | HEAD 0% | TAIL 5% | B/ATR 1.5
2015-10-06 | Bull | 1.13 / 36.1% | HEAD 3% | TAIL 0% | B/ATR 3.4
2016-12-12 | Bull | 7.49 / 16.7% | HEAD 0% | TAIL 17% | B/ATR 12.9
2016-12-15 | Bull | 7.05 / 2.2% | HEAD 0% | TAIL 0% | B/ATR 1.6
2017-05-08 | Bull | 5.24 / 11.3% | HEAD 0% | TAIL 8% | B/ATR 1.9
2017-06-12 | Bull | 6.15 / 77.2% | HEAD 3% | TAIL 0% | B/ATR 9.0
2017-06-28 | Bull | 5.47 / 12.8% | HEAD 5% | TAIL 6% | B/ATR 1.9
2017-08-31 | Bull | 6.59 / 11.3% | HEAD 12% | TAIL 0% | B/ATR 1.9
2017-09-07 | Bull | 7.06 / 8.6% | HEAD 7% | TAIL 0% | B/ATR 1.6
2017-09-22 | Bull | 8.76 / 9.2% | HEAD 4% | TAIL 8% | B/ATR 1.9
2017-11-10 | Bull | 10.3 / 19.2% | HEAD 12% | TAIL 2% | B/ATR 3.9
2017-11-30 | Bull | 13.1 / 6.5% | HEAD 15% | TAIL 8% | B/ATR 1.7
2018-01-30 | Bull | 15.75 / 7.2% | HEAD 5% | TAIL 11% | B/ATR 1.8
2018-02-23 | Bull | 16.59 / 7.2% | HEAD 19% | TAIL 4% | B/ATR 1.7
2018-03-02 | Bull | 16.81 / 9.9% | HEAD 12% | TAIL 15% | B/ATR 2.2
